,,pid1263-01,pid52932-01,pid9048-01,pid9050-01,pid9054-01,pid9055-01,pid9058-01,pid9059-01,pid9062-01,pid9063-01,pid9066-01,pid9067-01,pid9068-01,pid9072-01,pid9075-01,pid9088-01,pid9093-01,pid9097-09,pid9099-01,pid9101-01,pid9103-01,pid9104-01,pid9105-01,pid9118-01,pid9137-01,pid9138-01,pid9139-01,pid9150-15,pid9153-01,pid9166c-03,pid9173-06,pid9174-01,pid9186c-01,pid9192-01
9,2,0.24908289,0.50842024,0.40967679,0.20405674,0.36058623,0.39960874,0.28061872,0.33233363,0.22377571,0.33324005,0.36413015,0.57429424,0.31761853,0.21188178,0.3554953,0.26372695,0.25380219,0.18253741,0.33095862,0.31844099,0.31818116,0.36204154,0.75097772,0.70153202,0.42191304,0.44573615,0.37332071,0.33154238,0.29284464,0.47978957,0.21125813,0.29373556,0.3542155,0.30221507
10,0,0.21138619,0.54107558,0.40697624,0.19511203,0.40667348,0.37859148,0.30947323,0.38055091,0.20986812,0.26805324,0.39335989,0.56880881,0.32768821,0.24692843,0.30170644,0.31205066,0.26286712,0.16109649,0.36767922,0.40144172,0.32069734,0.32146332,0.61902485,0.66094082,0.44182987,0.47383382,0.37980978,0.34175081,0.31315461,0.5020238,0.20252211,0.30019549,0.3680233,0.40269321
10,1,0.23015937,0.60325778,0.44908762,0.2183773,0.41728016,0.3812282,0.34418704,0.48091131,0.22490086,0.28689306,0.44177955,0.47533471,0.3345539,0.31286338,0.31398409,0.36166884,0.34192729,0.18761375,0.39927735,0.52490022,0.34597412,0.45845808,0.52486913,0.62607922,0.44566352,0.52356657,0.38764455,0.41751737,0.31001125,0.51571065,0.24466701,0.30670873,0.40452447,0.56615925
10,2,0.2468678,0.59927605,0.50817697,0.22737622,0.42898432,0.40594539,0.36803764,0.52858798,0.23534077,0.34233853,0.49420319,0.43736516,0.36350594,0.3189418,0.32120752,0.3900447,0.37521829,0.19848086,0.38751039,0.59208276,0.35688713,0.52616954,0.52294433,0.65821673,0.43616635,0.56147352,0.40293776,0.48207503,0.3036058,0.51204906,0.28408509,0.31952195,0.46834292,0.64194965
11,0,0.26745515,0.50376627,0.61372439,0.26605529,0.47681663,0.44822659,0.38969991,0.56407517,0.23260168,0.42503403,0.5261753,0.43894117,0.39433666,0.31611564,0.31537961,0.41073757,0.38616447,0.20094758,0.35791392,0.64872526,0.35225018,0.63718189,0.61354469,0.75718451,0.42579962,0.60975462,0.40472823,0.53413617,0.30624297,0.524247,0.33271438,0.35642438,0.54864692,0.7172619
11,1,0.29364538,0.46700853,0.64430195,0.3085562,0.52431493,0.47823424,0.4174068,0.58224353,0.24048695,0.4989336,0.54741036,0.48282457,0.4079929,0.32086187,0.32180766,0.44093872,0.37490078,0.18443258,0.39266483,0.68023947,0.33878505,0.72081774,0.71548543,0.83299751,0.43655198,0.64194606,0.43328467,0.56992126,0.31356705,0.55512788,0.35781855,0.3983828,0.61573265,0.76135831
11,2,0.34137516,0.50038783,0.68526209,0.38448681,0.61068166,0.5454963,0.45599116,0.64354486,0.29192106,0.5982151,0.65986056,0.57621452,0.44564831,0.34997034,0.37122198,0.53729745,0.4270916,0.20531699,0.50065869,0.75721267,0.33729691,0.83310254,0.81721775,0.92296003,0.48591304,0.67231535,0.52352713,0.63845299,0.33622047,0.607482,0.39222896,0.48968367,0.72597486,0.8269516
12,0,0.40160369,0.5983194,0.78654889,0.47471991,0.67939332,0.62304159,0.50076983,0.69577809,0.35247625,0.67927696,0.76108898,0.63264479,0.51129936,0.40789062,0.43305857,0.61348482,0.54148278,0.31246898,0.59329155,0.83904863,0.38490295,0.90431325,0.90422597,0.96950595,0.54015879,0.69290573,0.65467692,0.70617879,0.38227097,0.65310849,0.44453542,0.55601564,0.79139143,0.87870804
12,1,0.46935953,0.68320262,0.88695343,0.5405674,0.72542604,0.71039381,0.54378074,0.76283949,0.39893941,0.72733323,0.825166,0.66832683,0.60666758,0.4672132,0.47720897,0.676504,0.63056041,0.38947131,0.67385048,0.8971247,0.42817398,0.93275636,0.9020805,0.97075543,0.61525898,0.71519679,0.77568825,0.78951366,0.43912011,0.70265024,0.5120696,0.6110805,0.86078557,0.92070648
12,2,0.55896562,0.7485047,0.95881391,0.61551319,0.79856851,0.77200817,0.58206572,0.82372249,0.43781241,0.72039782,0.88864542,0.67799709,0.69524525,0.52830484,0.51127983,0.69557646,0.66238292,0.42480259,0.72072648,0.92481877,0.46531991,0.89570546,0.87975529,0.91943672,0.65826843,0.73924927,0.85322628,0.83383048,0.53295838,0.74930242,0.59893998,0.68109117,0.89289012,0.93570453
13,0,0.59195149,0.78588296,0.95731839,0.65498735,0.83749148,0.79036319,0.59065507,0.84521817,0.44960804,0.68171986,0.89435591,0.65095249,0.75918841,0.5340219,0.51288503,0.68751164,0.66585172,0.45074077,0.72270896,0.90241916,0.4807261,0.83666729,0.81741391,0.83715119,0.64200378,0.74933188,0.86139178,0.84481704,0.59766279,0.73404948,0.66243146,0.7189266,0.90304709,0.91159251
13,1,0.59802546,0.80014651,0.91004261,0.66847669,0.8473756,0.78111763,0.54743745,0.80731111,0.4370285,0.58447285,0.84833997,0.59085762,0.78098101,0.49141362,0.49653651,0.64151611,0.64621368,0.45680229,0.68222805,0.82202492,0.48523364,0.75326534,0.72073265,0.76254263,0.57911531,0.75127551,0.8050658,0.82436313,0.61066742,0.66471088,0.71189414,0.72489781,0.90276298,0.84069087
13,2,0.56054926,0.76574162,0.80026683,0.63226419,0.79659168,0.69409713,0.45310428,0.64384091,0.38864705,0.42026169,0.71347942,0.50503404,0.75830031,0.41371016,0.47708604,0.51476998,0.56528814,0.4509363,0.56803095,0.61627433,0.50181884,0.59767028,0.65734917,0.70325427,0.45412476,0.74052478,0.66376617,0.7582214,0.56558555,0.57882895,0.74778858,0.67163675,0.87051637,0.69058353
14,0,0.52444623,0.66324226,0.6441298,0.55360499,0.70572597,0.5419835,0.32961722,0.47994594,0.33357927,0.26951293,0.60544489,0.43736516,0.68047547,0.35236503,0.51221981,0.34010058,0.47795682,0.43707603,0.46377822,0.39240857,0.52065421,0.46842253,0.66839531,0.68121391,0.32483932,0.71981293,0.49333987,0.65703566,0.46049869,0.49777768,0.75151692,0.57866536,0.82995951,0.61596409
14,1,0.48105643,0.55769198,0.49737476,0.46947958,0.61345603,0.51399166,0.33341649,0.40382289,0.32833164,0.26495992,0.66533865,0.41263102,0.58615931,0.34430721,0.5591034,0.28138387,0.44053818,0.43666241,0.40713052,0.33784312,0.51173976,0.50563249,0.70678093,0.67533798,0.30441588,0.69144801,0.44300116,0.58282538,0.35886139,0.47146276,0.72178522,0.49980451,0.83038568,0.59825332
14,2,0.45815375,0.48621908,0.44559089,0.41688652,0.55244035,0.54667857,0.37819517,0.36012357,0.34119709,0.30260172,0.73897742,0.39758243,0.54353737,0.36007227,0.57671728,0.29523189,0.4240435,0.43512822,0.39037539,0.35037876,0.47325665,0.53163361,0.70448833,0.67015996,0.33451796,0.65129981,0.4891887,0.535044,0.32475316,0.49482194,0.66998319,0.45742847,0.82434832,0.59807767
15,0,0.42390498,0.42144273,0.43708039,0.3713408,0.47471711,0.59254061,0.4314634,0.31626335,0.3500415,0.31863561,0.79721116,0.36483054,0.51721547,0.38164608,0.53214027,0.32081393,0.44013335,0.41423629,0.37550681,0.36892563,0.42723221,0.52259543,0.68515454,0.65425442,0.33555388,0.59125972,0.54745341,0.49154238,0.32149106,0.52766596,0.60122816,0.44092767,0.78293913,0.56158275
15,1,0.35696101,0.41943463,0.42258779,0.36163715,0.41231084,0.60745088,0.46003279,0.26179689,0.33200221,0.30529421,0.79628154,0.32644786,0.49249214,0.37482336,0.44973247,0.35546657,0.46968566,0.3689178,0.35536228,0.37026961,0.42476636,0.50433196,0.6494906,0.61107421,0.33158412,0.52403426,0.58021805,0.46051876,0.31508561,0.51335046,0.52036699,0.4412831,0.7173805,0.50223458
15,2,0.3135211,0.46055331,0.39222543,0.35514095,0.3801636,0.57024751,0.44285409,0.23476638,0.29216084,0.28618968,0.75385126,0.28157754,0.45653095,0.34316919,0.35480116,0.37178245,0.50409589,0.31457472,0.34615975,0.34556488,0.46816679,0.51045097,0.60054924,0.56413431,0.34111153,0.45783528,0.56325981,0.44470588,0.28970754,0.49752402,0.44421376,0.44195841,0.64127424,0.46572014
16,0,0.34703819,0.48440059,0.35080263,0.33129743,0.35112474,0.48780301,0.35701048,0.24519243,0.25549202,0.25949176,0.68698539,0.23542958,0.42252357,0.2995038,0.29238612,0.37398026,0.49564217,0.25684741,0.33500671,0.30760772,0.51506111,0.5125,0.4987311,0.5056114,0.33500189,0.38354592,0.46438428,0.42169523,0.25741782,0.46619095,0.35161927,0.43687578,0.53491015,0.42524395
