,measure_number,beat_number,pid1263-02,pid52932-02,pid9048-02,pid9049-02,pid9050-02,pid9054-02,pid9055-02,pid9058-02,pid9059-02,pid9060-02,pid9061-02,pid9062-02,pid9063-02,pid9065-01,pid9067-02,pid9068-02,pid9072-02,pid9074f-02,pid9075-02,pid9088-02,pid9090-01,pid9093-02,pid9094-02,pid9097-10,pid9098-03,pid9101-02,pid9104-02,pid9112-04,pid9118-02,pid9137-02,pid9138-02,pid9139-02,pid9150-16,pid9153-02,pid915406-12,pid9166c-04,pid9170-02,pid9173-07,pid9174-02,pid9176-02,pid9186c-02,pid9192-02
20,7,2,0.50439691,0.39053688,0.43560715,0.37696361,0.34376512,0.58929142,0.80768456,0.80490906,0.40539728,0.58190015,0.32313551,0.68238994,0.23442286,0.43866715,0.40425469,0.47565007,0.26176716,0.46635367,0.35857741,0.49529781,0.52661229,0.76107069,0.90674906,0.32286184,0.78706251,0.70340548,0.47607775,0.46759478,0.86628597,0.39300992,0.68223187,0.51745239,0.53075549,0.30402088,0.42393313,0.86785921,0.6329015,0.48461067,0.36288762,0.45721646,0.46289123,0.53109297
21,8,0,0.44086661,0.42952465,0.34117579,0.32007406,0.2988872,0.49155567,0.82770654,0.66144142,0.36144349,0.51906273,0.28983392,0.60515348,0.22128806,0.35997818,0.38555333,0.46517555,0.21580995,0.44519845,0.33564854,0.4273839,0.47685255,0.61683284,1.0,0.33194365,0.75749173,0.62316739,0.42295041,0.37108829,0.85925383,0.39033286,0.61721492,0.46221113,0.46822250000000004,0.28242799,0.41431515,0.91505152,0.50795607,0.48205600000000004,0.37486852,0.45166703,0.43725586,0.50349184
22,8,1,0.38787149,0.41970995,0.22841216,0.31608631,0.20862392,0.3794033,0.63432863,0.44478779999999996,0.30114752,0.44976346,0.23953771,0.45925092,0.20601658,0.28686244,0.2816915,0.43062289,0.16323423,0.29120966,0.29222355,0.28510621,0.41825999,0.37300817,0.99208443,0.27979834,0.44697708,0.42761905,0.29495805,0.25900033,0.62217449,0.34536119,0.44072928,0.34238307,0.34507699,0.26467556,0.37636117,0.87236309,0.24956699,0.37783909,0.29720831,0.37195849,0.36483615,0.33234209
23,8,2,0.29134258,0.30614517,0.25595081,0.40768354,0.12244368,0.50696857,0.23605056,0.23806963,0.35576132,0.46127901,0.16014493,0.2597672,0.14521518,0.23729429999999999,0.22443110000000002,0.27620097,0.17864962,0.15006707,0.2429468,0.15438621,0.45695498,0.17851433,0.81974726,0.16928633,0.34688393,0.23891775,0.1294875,0.099370304,0.31659111,0.31336402,0.22362144,0.35095212,0.13885738,0.21750757,0.33734181,0.58850295,0.18267267,0.13427345,0.27682291,0.19723265,0.15070687,0.15860185
24,9,0,0.20437660000000002,0.32331356,0.34032527,0.459859,0.22597089999999997,0.5319659000000001,0.27922696,0.26774888,0.43116493,0.48656426,0.16776685,0.26356895,0.20207009,0.32702973,0.22320065,0.33995887,0.29282578,0.28947368,0.21871488,0.21044198,0.48413632,0.35523219,0.59906957,0.13884439,0.46098091,0.28708514,0.20666168,0.19245974,0.35104966,0.44897309,0.24749866,0.39347384,0.14155277,0.16879954,0.41734652,0.46401528,0.27857495,0.1752163,0.45490596,0.28711268,0.14805916,0.22407381
25,9,1,0.22245763,0.37062184,0.44498592,0.32124902,0.32575731,0.39319126,0.31390365,0.32321533,0.48990187,0.44406968,0.20678621,0.33730405,0.26853701,0.35414129,0.20733823,0.41247979999999995,0.34099472,0.33298351,0.20575015,0.24618667,0.49534648,0.36593909999999996,0.6259825,0.15070079999999997,0.61145788,0.34545455,0.23674724,0.27511492,0.44934480000000004,0.56643768,0.26697995,0.40200592,0.19012590000000001,0.14876603,0.45686621,0.48241287,0.42672675,0.23701887,0.47753187,0.42507544,0.24338482,0.40356991
26,9,2,0.27922568,0.42718816,0.52761336,0.31458378,0.41133572,0.46047949,0.39117054,0.41616468,0.51474359,0.42151723,0.25399873,0.40739698,0.3128261,0.44018547,0.26261211,0.50821213,0.38367324,0.33423814,0.2609205,0.28818092,0.51526302,0.47848738,0.67939869,0.17617992,0.65952914,0.38759740000000004,0.29295623,0.29238631,0.57018205,0.62706091,0.37443341,0.39503605,0.24603273,0.18894259,0.48423686,0.53938868,0.54277265,0.30523196,0.46198511,0.44216531,0.30563046,0.49194464
27,10,0,0.36902136,0.48971655,0.59971266,0.34396496,0.4732302,0.53436335,0.46634915,0.47314688,0.57171573,0.42241888,0.29427695,0.47244908,0.33663217,0.49150832,0.29630865,0.55085941,0.43108086,0.33789947,0.3220801,0.35982053,0.57286925,0.56877751,0.71337314,0.19927059,0.65341584,0.42483405,0.37449954,0.30487964,0.65719065,0.65839235,0.47353519,0.40903124,0.28767646,0.22688962,0.52921891,0.60323029,0.60250651,0.38768308,0.48708293,0.39622433,0.35216148,0.53994322
28,10,1,0.48786859,0.53355307,0.69623585,0.4211066,0.54140263,0.64741609,0.56596446,0.57015451,0.66485438,0.44555018,0.32728234,0.53253544,0.36880334,0.54751341,0.32753688,0.55777141,0.45621006,0.37111181,0.37219964,0.43670816,0.68323217,0.62275218,0.71462297,0.21867849,0.64782716,0.46276335,0.45091785,0.35361572,0.72284466,0.69847025,0.60264113,0.42586430000000003,0.3030514,0.25374702,0.58938136,0.63761723,0.6632471999999999,0.44909735,0.59557369,0.38226246,0.38493095,0.58888573
29,10,2,0.52421929,0.54325057,0.73487731,0.51859289,0.5995917,0.71278636,0.70423154,0.7085175,0.73595283,0.49110035,0.37261716,0.59599174,0.39182253,0.54860442,0.3857757,0.61150286,0.46601834,0.44095321,0.39580395,0.48050517,0.72040971,0.65962454,0.69997223,0.23284468,0.68977442,0.48970418,0.51626381,0.42635269,0.74497372,0.73144476,0.67848433,0.44493437,0.31689896,0.27140924,0.61610454,0.65460229,0.69645849,0.49036719,0.68576177,0.43504085,0.39821035,0.62096522
30,11,0,0.51194277,0.5571303000000001,0.71477501,0.58577939,0.64567329,0.71790091,0.79214142,0.81194993,0.74727762,0.52204597,0.3968264,0.6250352,0.40640397,0.51861078,0.42876733,0.64973557,0.46255627,0.4937425999999999,0.39277346,0.49017998,0.67532878,0.66459175,0.67526038,0.22228261,0.69821098,0.48275613,0.55064374,0.5025902,0.73876767,0.74135977,0.69585391,0.46588094,0.32130142,0.28351698,0.59255989,0.67345143,0.68798845,0.50331766,0.68982202,0.5195481,0.37830351,0.60643719
31,11,1,0.49165603,0.54340438,0.66481237,0.68648437,0.70452319,0.69584443,0.80941564,0.87417367,0.71386515,0.57082429,0.39176981,0.64756407,0.41114339,0.48252568,0.48460455,0.58950345,0.44620172,0.50246193,0.35849372,0.46357928,0.64283005,0.69308363,0.66110957,0.21624714,0.65852275,0.44707071,0.58593737,0.575468,0.73169422,0.81968839,0.68984593,0.48959142,0.32960097,0.29561827,0.52914827,0.69697812,0.62046047,0.47970569999999996,0.66694366,0.62628248,0.31373703,0.54325053
32,11,2,0.45543592,0.56556801,0.65160623,0.72520117,0.75871184,0.67069792,0.78237772,0.88678858,0.6872428,0.63816998,0.36043584,0.65476392,0.41518673,0.49885444,0.55777185,0.56380931,0.4712698,0.46091691,0.33887627,0.41273148,0.6707132,0.78591575,0.67889182,0.22831808,0.65237733,0.4367316,0.56925824,0.59980083,0.72620068,0.94298867,0.67039438,0.50711777,0.37592794,0.33828211,0.48659132,0.74178534,0.54009012,0.43742762,0.64743131,0.69729153,0.26968211,0.53811214
33,12,0,0.39749245,0.58296345,0.64064134,0.69173254,0.77697927,0.59280767,0.70305001,0.7797476999999999,0.59195157,0.62854121,0.33779752,0.60524735,0.37242298,0.49701791,0.57386406,0.59118554,0.50313976,0.39910045,0.31317394,0.32327461,0.6758346,0.82226713,0.68004444,0.24211957,0.63910153,0.40512266,0.51870587,0.54604529,0.67050113,0.99376771,0.58497412,0.45853208,0.40558844,0.39095303,0.51005945,0.78496006,0.47573048,0.38165406,0.58786342,0.64684625,0.23558062,0.53684883
34,12,1,0.35511957,0.57129569,0.6412505000000001,0.58898384,0.81559104,0.54288759,0.38961348,0.60860552,0.49936689,0.58546224,0.43250291,0.45481085,0.36033533,0.47007001,0.53364465,0.5228074,0.3902973,0.29279571,0.26567244,0.30587799,0.72287557,0.69543699,0.59795862,0.32096682,0.5439761,0.30077201,0.47824570000000005,0.41740014,0.5658656999999999,0.92131728,0.53074178,0.37849879999999997,0.40849721,0.36903795,0.61645771,0.74737756,0.46897134,0.35884597,0.4495519,0.50423199,0.22106726,0.54619588
35,12,2,0.2948398,0.63681242,0.66793862,0.49991455,0.89541072,0.54400639,0.41951823,0.58535107,0.44973884,0.59459008,0.5478684,0.36220783,0.42873313,0.49551777,0.54459269,0.50785956,0.33584885,0.41804624,0.32528392,0.46799603,0.7635306,0.61809934,0.52469796,0.45554920000000004,0.55905057,0.32699134,0.53740344,0.32065223,0.54172303,0.79199717,0.59260603,0.39166204,0.44545771,0.25738127,0.72741185,0.63670256,0.5845244,0.45532393,0.45094038,0.38580261,0.24416115,0.64865153
36,13,0,0.29415777,0.70094485,0.68621344,0.44416435,0.94430087,0.55412893,0.55909507,0.63894974,0.41530548,0.63110146,0.66867661,0.35999249,0.5510864999999999,0.62638422,0.58753243,0.64447627,0.58360656,0.57344749,0.48129109,0.65527257,0.80772635,0.59841013,0.51488682,0.58823656,0.61819214,0.44794372,0.68889443,0.28752779,0.5780816,0.66291785,0.71911249,0.45437234,0.49680484,0.21080611,0.80728707,0.53953919,0.73040907,0.68260781,0.51018219,0.34954,0.28574814,0.70979418
37,13,1,0.45777223,0.76159086,0.72313085,0.56261483,0.97001451,0.62003197,0.69091409,0.7525621,0.44721431,0.75388212,0.80736274,0.47746175,0.70231826,0.76033276,0.66379068,0.82907301,0.82600722,0.73447487,0.70962343,0.84221859,0.91470663,0.65922034,0.57756562,0.71717677,0.73316703,0.61805195,0.88711687,0.37690242,0.71264237,0.56485836,0.85860449,0.58523757,0.54441212,0.35386301,0.8740950000000001,0.60834781,0.90368232,0.85823285,0.71537215,0.40313535,0.35127074,0.80574876
38,13,2,0.59063733,0.83483483,0.77081777,0.66200954,0.98725528,0.76382525,0.78248764,0.85790143,0.46580405,0.85139422,0.86052047,0.60939641,0.8145996,0.84108555,0.79816174,0.89863376,0.95226452,0.83555591,0.8244471,0.92054844,0.97824987,0.77799335,0.67813498,0.81965103,0.7931651,0.70016595,0.96743916,0.46490902,0.86529466,0.57849858,0.96930581,0.69462932,0.60860727,0.47943811,0.87862735,0.69069121,0.96909104,0.96382587,0.82823873,0.49111651,0.38133529,0.93456352
39,14,0,0.71521651,0.84230572,0.8202746999999999,0.71544542,0.97451057,0.84491209,0.81298773,0.9225308000000001,0.48925293,0.90454723,0.84036814,0.70560406,0.85291447,0.83947632,0.90178638,0.87578963,1.0,0.87548331,0.85331739,0.92987271,0.97932473,0.84038444,0.73684211,0.83874428,0.80644091,0.74141414,0.98895257,0.53885307,0.91088485,0.65862606,1.0,0.74765206,0.71122292,0.58523101,0.86285243,0.78570105,0.94543406,1.0,0.86016325,0.56402444,0.41125276,0.98339248
40,14,1,0.85583062,0.8286091,0.85088213,0.81777398,0.91891764,0.92136388,0.85844477,0.94341874,0.56415005,0.95441643,0.78107479,0.78698019,0.88184735,0.80843713,0.95686013,0.81989129,0.98327313,0.91083406,0.87435744,0.90293149,0.96421345,0.88481092,0.76683794,0.81192792,0.83107609,0.78499278,0.98031398,0.6226751,0.94373251,0.72478754,0.98988757,0.81380107,0.82119473,0.68728655,0.84130908,0.85769364,0.86411322,0.96321275,0.89087811,0.65168911,0.46655226,0.9920511000000001
41,14,2,0.94941375,0.85395151,0.88147808,0.88862779,0.90171228,0.98252531,0.91273127,0.94932525,0.64615385,1.0,0.71829049,0.89400169,0.88293687,0.78995363,0.98680602,0.78000588,0.90052792,0.9591257,0.87603108,0.86694643,0.9444866,0.92652475,0.77586446,0.7958381,0.89518538,0.83744589,0.99867099,0.71968455,0.99842009,0.76685552,0.96532033,0.92013311,0.92281084,0.83626522,0.83318618,0.89284474,0.80560445,0.92465427,0.93422603,0.73386325,0.53495955,0.98672818
42,15,0,0.99114813,0.90698015,0.89074191,0.92038738,0.94826589,0.99158231,0.98296391,0.97995306,0.71562995,0.98302443,0.6797842,0.97080635,0.85121966,0.81824711,1.0,0.81181137,0.80227841,0.97774797,0.88487747,0.83595902,0.89782499,0.96002874,0.76697681,0.77753146,0.92706872,0.88297258,1.0,0.78378079,1.0,0.80488669,0.95610017,0.97957109,0.98580429,0.89741607,0.84072047,0.8825055,0.79511371,0.91784181,0.94997265,0.78979907,0.58235679,0.99687722
43,15,1,1.0,0.94894895,0.84711223,0.95335754,0.97960845,0.95625999,0.99496245,1.0,0.77045742,0.95847943,0.62958849,1.0,0.76545003,0.84273116,0.963383,0.83994418,0.72975827,0.9610984,0.93048416,0.77446493,0.86785534,0.9770053,0.74100819,0.74327803,0.91794696,0.92258297,0.97582856,0.8139177,0.97851117,0.85205382,0.92606032,1.0,0.97942521,0.92402861,0.87668491,0.86758134,0.79891572,0.90374004,0.93541465,0.78950467,0.62755577,1.0
44,15,2,0.97750755,0.96323152,0.75701396,0.99088514,0.96608489,0.88806606,0.96308848,0.99530608,0.77908357,0.91551177,0.60456998,0.94743265,0.66557714,0.82450223,0.8734712,0.81188482,0.65518199,0.95249744,0.95439331,0.66422627,0.86949924,0.93227342,0.70733231,0.72740275,0.89047461,0.94184704,0.94135726,0.79477533,0.95572123,0.90616147,0.84944382,0.93122573,0.90435867,0.90443972,0.92259697,0.86290379,0.75934662,0.85196539,0.90193335,0.77228233,0.6962735999999999,0.97317246
45,16,0,0.85507604,0.92250787,0.62004483,0.96660258,0.87238763,0.83164624,0.86520425,0.94471934,0.7091089,0.83441866,0.54104517,0.83364311,0.55730283,0.76801527,0.74612705,0.67250624,0.53806057,0.93829401,0.89904363,0.5321541999999999,0.82264795,0.84188449,0.66018609,0.67997712,0.85795959,0.89148629,0.89799817,0.6877169,0.92141758,0.91756374,0.73380525,0.74627473,0.76395144,0.82067144,0.88733887,0.82008799,0.6185665,0.72831937,0.82415745,0.70930301,0.73625072,0.917956
