,measure_number,beat_number,pid1263b-18,pid51495-02,pid5667269b-34,pid5667271-03,pid5667285b-09,pid610003b-22,pid9048b-18,pid9049b-18,pid9050b-20,pid9053-21,pid9054b-20,pid9055b-18,pid9057f-03,pid9058b-18,pid9059b-22,pid9061b-15,pid9062b-21,pid9063b-24,pid9066b-18,pid9067-26,pid9068-23,pid9069-18,pid9072b-22,pid9073b-24,pid9074g-18,pid9075b-18,pid9085-19,pid9088-24,pid9098-04,pid9099b-24,pid9101c-14,pid9104b-18,pid9116-15,pid9118b-24,pid9121-08,pid9130-13,pid9139b-20,pid9153b-20,pid9166-11,pid9170b-20,pid9173-01,pid9174b-18,pid918712-15,pid918726-07,pid918904-14,pid9190-12,pid9192b-20
20,8,1,0.46318226,0.41002543,0.26597063,0.41264774,0.41534702,0.32657228,0.41367664,0.33749118,0.25664275,0.37906994,0.377805,0.35972616,0.30199564,0.39649138,0.43451151,0.35269794,0.30910903,0.33419076,0.5575316,0.6197526999999999,0.46567112,0.81049031,0.45093357,0.25029092,0.38942988,0.41943545,0.36606134,0.36750884,0.65974982,0.35900561,0.54204063,0.39473779999999997,0.31448568,0.44233486,0.550041,0.44934872,0.43303612,0.44909027,0.34659718,0.36815768,0.33373175,0.70803295,0.36132544,0.30673236,0.34960689,0.44545744,0.39498064
21,8,2,0.44372228,0.37506202,0.27755019999999997,0.37631067,0.45342156,0.33074122,0.38413924,0.38523353,0.27579501,0.39360491,0.37452229,0.39665526,0.35185185,0.32395630000000003,0.46651171,0.4070253,0.38750217,0.33303609,0.61284758,0.6401393,0.48081518,0.84059293,0.42574287,0.26419834,0.39902622,0.47506149999999997,0.41281386,0.32760197,0.74373563,0.41871801,0.59047609,0.35267639,0.2871875,0.45492174,0.47959025,0.43957514,0.47353997,0.45355542,0.33620138,0.38831858,0.37572835,0.72044819,0.38043393,0.31797465,0.39655559999999995,0.36617928,0.4444674
22,9,0,0.24450338,0.21497457,0.24762714,0.21436172,0.40205523,0.23558739,0.20906834,0.31055454,0.2039644,0.35493485,0.29363057,0.32854768,0.15964270000000003,0.19761947,0.39997786,0.32021616,0.33223551,0.24667604,0.39350186,0.46567538,0.39491918,0.6472748,0.28882642,0.21651577,0.25100291,0.36689109999999997,0.32268137,0.16879365,0.49833172,0.38549398,0.38665720000000003,0.22393805,0.17965495,0.27246143,0.25671763,0.31905761,0.35173248,0.31395799,0.28749234,0.25080451,0.22702886,0.59732414,0.35691519,0.17807535,0.23665294,0.25182049,0.25829672
23,9,1,0.17916104,0.15136753,0.21868319,0.15467019,0.37431397,0.20419276,0.15534792,0.23087343,0.16308394,0.32415007,0.27562819,0.26470416,0.14725054,0.2218156,0.37329054,0.23759928,0.32609638,0.20593111,0.24089219,0.36313195,0.30191145,0.52871912,0.17262678,0.17426844,0.19152726,0.31443739,0.20547577,0.13198241,0.32085554,0.32909401,0.25261462,0.17539172,0.14457031,0.19484941,0.21389503,0.21351517,0.26198839,0.22403973,0.24503713,0.21781175,0.11854669,0.52612128,0.31787771,0.13883584,0.21331337,0.18437554,0.21549737
24,9,2,0.16450338,0.14922011,0.216665,0.15025752,0.36809684,0.15372822,0.13629570000000002,0.16602229,0.12977679,0.22528081,0.26985371,0.3876088,0.22988235,0.32180672,0.38756887,0.22547286,0.35192408,0.20047787,0.28791078,0.32495696,0.22152495,0.36764728,0.09909817300000001,0.12215537,0.14911361,0.17976822,0.1579357,0.13354316,0.21255666,0.33556378,0.2131118,0.2783353,0.11473307,0.24223032,0.24969123,0.19619722,0.1825504,0.1644546,0.27168063,0.28562349,0.16518846,0.36026694,0.24641420000000003,0.23466664,0.26790715,0.23248859,0.26058023
25,10,0,0.27615236,0.19945423,0.29107803,0.20170547,0.40604276,0.22166825,0.20241948,0.20019049,0.18034286,0.20578853,0.3166865,0.58807824,0.27942484,0.52368094,0.45956316,0.34835831,0.41636332,0.24296052,0.41000743,0.30599468,0.27834856,0.49623717,0.22687746,0.15276871,0.24195589,0.20170271,0.20002779999999998,0.17138053,0.24551026,0.43822702,0.29925932,0.40949189,0.17220052,0.32311974,0.27134124,0.25996154,0.1864747,0.22714248,0.3933238,0.38583266,0.28950085,0.27957323,0.32906509,0.30008029999999997,0.32591539,0.34427556,0.34796225
26,10,1,0.36592093,0.28314934,0.36974723,0.28550348,0.44345987,0.34010005,0.28271179,0.22815013,0.27494494,0.2140632,0.37876391,0.65317359,0.30915904,0.55635104,0.51409386,0.45561287,0.45292367,0.34736084,0.49220818,0.30500861,0.33178496,0.66347396,0.38101428,0.24078279,0.34956305,0.23740127,0.25760215,0.23317237,0.39940447,0.54098996,0.48875208,0.51926456,0.2288151,0.38643555,0.35102905,0.3447679,0.23731038,0.30112508,0.45398188,0.45132743,0.46787097,0.37043266,0.40732939,0.30469225,0.37807563,0.43569034,0.44099865
27,10,2,0.41684667,0.32431469,0.39404536,0.32706196,0.46223988,0.42317247,0.34670558,0.27867222,0.35392383,0.24239928,0.35569399,0.62990709,0.31170370000000003,0.52615918,0.54404024,0.53889298,0.43366846,0.42933086,0.52193309,0.33137424,0.39744202,0.74581528,0.46586661,0.31531519,0.40764877,0.26341448,0.29235616,0.26489609,0.46972497,0.59908493,0.59540335,0.52886514,0.2473112,0.40718766,0.40908761,0.38989422,0.28702667,0.33918432,0.47343825,0.4705712,0.52020374,0.42511756,0.47006706,0.31344952,0.42335455,0.43691845,0.47954634
28,11,0,0.43596914,0.33952493,0.37738036,0.34275458,0.47660359,0.42863463,0.3645104,0.35519966,0.36859391,0.29686985,0.31901029,0.58621027,0.30888017,0.53254575,0.55411255,0.54607386,0.35910325,0.4771067,0.56499628,0.39286273,0.46669712,0.75268719,0.51721532,0.34507422,0.44169788,0.27770944,0.28445289,0.31259809,0.49806585,0.59994904,0.6218304,0.49002808,0.24908203,0.40727242,0.45927909,0.42516828,0.31552605,0.35864463,0.44911779,0.46547868,0.52094397,0.43892537,0.52534122,0.29746506,0.42998128,0.45174247,0.49920621
29,11,1,0.46020251,0.34033118,0.35342192,0.34425857,0.47521724,0.37620814,0.36987655,0.39341753,0.32317976,0.33426689,0.30460559,0.55736919,0.3010719,0.5479126,0.54210941,0.4892246,0.30843011,0.47080747,0.56337546,0.47865081,0.54140548,0.69436716,0.50442852,0.32127551,0.43567208,0.29114981,0.25437784,0.37428645,0.48426762,0.55994505,0.56838291,0.46254868,0.27625651,0.38820139,0.46198794,0.42278171,0.30135999,0.33783071,0.41682676,0.46234111,0.4513073,0.3962058,0.56726627,0.26760135,0.40357918,0.52109461,0.46523640000000005
30,11,2,0.48723240000000007,0.30924398,0.29059846,0.31334156,0.46099646,0.28387898,0.34942396,0.38248906,0.23930655,0.34669013,0.29573738,0.55769193,0.26969063,0.52002132,0.51247048,0.38617866,0.25199341,0.42135108,0.55947955,0.54985913,0.58115249,0.64518434,0.46995758,0.24640252,0.39152726,0.3143856,0.22062448,0.41131327,0.4542518,0.50098597,0.45628517,0.41743501,0.32378906,0.3533226,0.42716734,0.39999126,0.27500933,0.29168498,0.37690578,0.44819791,0.38061799999999996,0.32690969,0.54733728,0.23567584,0.35958817,0.56639022,0.42059936
31,12,0,0.5332594,0.31279459,0.27150564,0.31633536,0.45433627,0.21930302,0.31475576,0.37267532,0.17351657,0.34861465,0.32381886,0.54885086,0.26379085,0.47816664,0.48638577,0.36318677,0.27511989,0.37837683,0.60496654,0.5942714,0.59973296,0.67857849,0.44302369,0.18555048,0.37047857,0.3460896,0.25541555,0.44050185,0.46624217,0.46550196,0.43964905,0.3998098,0.37246745,0.35442448,0.40871397,0.39411662,0.30201619,0.28747473,0.36961646,0.44781979,0.31710017,0.32245348,0.53028797,0.23735784,0.33007113,0.59134254,0.42744987
32,12,1,0.58822565,0.34515319,0.28559297,0.34776316,0.46308312,0.24913218,0.29771585,0.37287992,0.20760938,0.36202636,0.37739903,0.51832763,0.3163573,0.42520874,0.48366785,0.41765332,0.35809209999999997,0.35355718,0.65284758,0.6123649999999999,0.60684469,0.78700114,0.43411626,0.21423098,0.38043279,0.39900298,0.33934958,0.44838320000000004,0.51809856,0.47429819,0.54527248,0.40033511,0.40470052,0.40131096,0.39457816,0.39880234,0.35528364,0.31901204,0.37413312,0.46610619,0.29560611,0.35666770000000003,0.53322288,0.26409628,0.34017222,0.55445587,0.45467792
33,12,2,0.56551591,0.35667328,0.2794485,0.35901474,0.46434084,0.27234209,0.27949916,0.39909694,0.236473,0.36220608,0.38131868,0.46934963,0.32779956,0.3659531,0.47948642,0.47607467,0.43716415,0.32493055,0.65284758,0.59655658,0.56462403,0.89198024,0.39539313,0.24328045,0.37605493,0.42500324,0.3755397,0.40965767,0.54962979,0.51147719,0.5983703,0.39212028,0.39973307,0.43621800000000005,0.36721985,0.40201941,0.37578003,0.33551903,0.35693848,0.46665326,0.30726655,0.37092541,0.49592899,0.27639118,0.39463122,0.44681558,0.45599365
34,13,0,0.47786885,0.35276606,0.27379359,0.35481491,0.44017265,0.28535938,0.27506266,0.52953295,0.25799513,0.37391793,0.36817386,0.44625917,0.32008715,0.37276603,0.44463302,0.53273561,0.43404403,0.30448949,0.6467658000000001,0.57860385,0.48952916,0.95066515,0.34861905,0.28396674,0.38620891,0.45460313,0.33089966,0.30282832,0.55868239,0.53309109,0.58568658,0.41959967,0.36945313,0.4588207,0.35994437,0.39703645,0.37355412,0.35811725,0.34451257,0.44433628,0.32125637,0.37209302,0.46205128,0.2851376,0.46985399,0.36763856,0.36229394
35,13,1,0.386027,0.36763520000000005,0.28534319,0.36931568,0.45499371,0.31404846,0.35571978,0.61730634,0.28703906,0.40280066,0.34174424,0.47069927,0.33912854,0.43732457,0.47138184,0.59618439,0.37080372,0.33096683,0.64942751,0.5117624,0.45004919,0.87594071,0.39700533,0.31278915,0.41096962,0.48666969,0.25856574,0.30655342,0.53744001,0.52860435,0.56292584,0.48646862,0.3548763,0.45326892,0.39675769,0.37006731,0.33926481,0.49572822,0.34573200000000004,0.44028158,0.31697114,0.35527514,0.44379487,0.29642329999999995,0.49386747,0.46356123,0.30011744
36,13,2,0.29434908,0.38534173,0.28989909,0.38719335,0.50800366,0.35863055,0.48354261,0.65174968,0.31594132,0.42126704,0.29312662,0.51700733,0.35951198,0.47931249,0.54678276,0.64558258,0.28985382,0.36956248,0.65852788,0.44730005,0.41493324,0.77354618,0.47242627,0.31559901,0.42388681,0.51850965,0.22505328,0.34486505,0.50083082,0.5185895,0.50359743,0.53669052,0.35125,0.41750014,0.39350915,0.32971414,0.29936568,0.54377252,0.35364807,0.44100563,0.29981664,0.33024113,0.41285207,0.29859363,0.46593785,0.59819107,0.30032404
37,14,0,0.29284474,0.42838316,0.31516635,0.42977341,0.57603476,0.4102742999999999,0.58274592,0.62259771,0.34396775,0.46523888,0.28192763,0.57300733,0.37658388,0.52227749,0.63256346,0.69971342,0.29099497,0.43126293,0.70710781,0.35485992,0.36231202,0.7322919,0.57130478,0.32340419,0.45692884,0.55493332,0.26643195,0.40747607,0.48986401,0.54145525,0.52785225,0.53140114,0.34679036,0.39782166,0.35855362,0.33905936,0.30174599,0.61153204,0.38921589,0.44139984,0.32783022,0.34985485,0.4223432,0.30662384,0.44444028,0.78954517,0.34884303
38,14,1,0.36784957,0.48643327,0.38348486,0.48901091,0.64076435,0.49045399,0.70542617,0.55972908,0.40880463,0.4975513,0.29843914,0.63524694,0.45154684,0.52160242,0.72156631,0.77293867,0.36553129,0.46769787,0.72666171,0.33207075,0.38990864,0.76267579,0.64716907,0.37226464,0.49858509999999995,0.6023307,0.33686649,0.45914461,0.47670384,0.61766335,0.67334937,0.47231229,0.32560547,0.43270046,0.35798279,0.38017309,0.33315320000000004,0.6545046999999999,0.44299339,0.46238134,0.42222071,0.41260592,0.47971598,0.32697066,0.42004493,0.85646998,0.41530381
39,14,2,0.41579556,0.47895994,0.40395644,0.48181728,0.61783958,0.48825892,0.75074432,0.50440243,0.41440734,0.47897259,0.28299153,0.64418582,0.4595817,0.45930005,0.70941558,0.77934987,0.40838967,0.44673092,0.68324164,0.34444357,0.44025299,0.81740783,0.65022218,0.39025913,0.52858094,0.57061375,0.36064116,0.43245667,0.44037380000000004,0.6640374,0.70814746,0.41523413,0.27117839,0.44983613,0.39030212,0.40806015,0.34124625,0.61874835,0.45073234,0.44571199,0.48042784,0.44199972,0.51729389,0.33461021,0.393845,0.76206438,0.41467313
40,15,0,0.43544841,0.43450757,0.38549306,0.43749202,0.50238681,0.40852164,0.68469115,0.47010724,0.37254801,0.465164,0.27910688,0.60964303,0.42690196,0.39661574,0.57617572,0.70580529,0.36556018,0.38907752,0.54081784,0.41824229,0.47116655,0.83200304,0.57923481,0.37284648,0.51867665,0.46803056,0.3288335,0.32013452,0.39465883,0.65721313,0.64213281,0.38922199,0.22792969,0.46820082,0.43487872,0.42026401,0.34774385,0.54543377,0.43002248,0.40580853,0.47680815,0.45375082,0.50863116,0.32251063,0.37217522,0.61363636,0.37813709999999995
41,15,1,0.40262295,0.3858999,0.34205215,0.38690958,0.42859593,0.33298734,0.64125587,0.36919712,0.28985974,0.45747342,0.28397144,0.57892421,0.37412636,0.34877421,0.49081316,0.59392451,0.30253655,0.34139315,0.42523420000000006,0.47660823,0.48040056,0.80334474,0.52506474,0.31882042,0.48394507,0.35751003,0.27440007,0.2478917,0.36443032,0.60779252,0.53923262,0.39747305,0.22903646,0.4617308,0.44961651,0.40042836,0.326617,0.47712051,0.40288167,0.37842317,0.41767063,0.43385858,0.46168047,0.28233788,0.35312617,0.52995145,0.32637771
42,15,2,0.358081,0.3310748,0.27062644,0.33429816,0.40254116,0.24657977,0.56915401,0.30660364,0.21197563,0.43439419,0.27007069,0.54498778,0.28221351,0.30313555,0.44967532,0.46184394,0.22518345,0.29931063,0.35164312,0.49686179,0.45302881,0.75786393,0.46905071,0.23551784,0.43364128,0.27289266,0.22176411,0.22568768,0.35209433,0.50750006,0.41041400000000006,0.38858799,0.24180990000000002,0.42692264,0.43495138,0.36105429,0.29146563,0.38348422,0.37492336,0.34175382,0.34603056,0.37693486,0.3793925,0.22465058,0.32464246,0.47878981,0.29197295
43,16,0,0.32393443,0.29177003,0.23670696,0.29344911,0.39310828,0.20386945,0.49665204,0.23468322,0.15767442,0.41736558,0.28614125,0.50152567,0.21559041,0.2691153,0.4200487,0.37587816,0.22300225,0.279304,0.43440892,0.51738144,0.40879831,0.77582668,0.41613009999999995,0.17091931,0.39748648,0.24627735,0.2557213,0.23004225,0.40889574,0.42248466,0.35511216,0.364342,0.27904948,0.39866927,0.42514349,0.35403444,0.30608201,0.32368814,0.36309013,0.32522928,0.29013922,0.35084036,0.33106114,0.20908933,0.30007488,0.45677049999999997,0.30636988
