,,pid1263b-10,pid52932-22,pid58917-04,pid610003b-14,pid9048b-14,pid9049b-10,pid9049b-25,pid9050b-10,pid9054b-10,pid9055b-10,pid9056-16,pid9057j-06,pid9058b-10,pid9059b-14,pid9060b-08,pid9061b-07,pid9062b-13,pid9063b-14,pid9066b-10,pid9069-10,pid9070b-22,pid9072b-14,pid9073b-14,pid9074g-10,pid9075b-10,pid9088-20,pid9089-05,pid9093b-16,pid9094b-10,pid9099b-14,pid9101c-04,pid9104b-10,pid9111b-12,pid9114-32,pid9118b-14,pid9138b-10,pid9139b-10,pid9153b-10,pid9166l-08,pid9170b-10,pid9174b-10,pid9192b-10
8,0,0.77875606,0.76359659,0.87383613,0.6921329,0.58821211,0.69237071,0.80008462,0.61151342,0.95645655,0.5086852,0.77013099,0.39223301,0.75307837,0.70985609,0.82047854,0.68978939,0.73569931,0.80125329,0.79223827,0.57482889,0.93385664,0.73583327,0.59869491,0.72664098,0.90110375,0.73207011,0.54625055,0.54360533,0.82051036,0.77295784,0.72926971,0.60521558,0.68068345,0.69762035,0.86816974,0.8475045,0.99608675,0.76623089,0.71215513,0.81536034,0.55854361,0.8042011
8,1,0.74372644,0.74773327,0.92774795,0.70891339,0.61288965,0.68176252,0.82744517,0.65136003,0.95860765,0.55908605,0.79012334,0.36625772,0.82514849,0.66178984,0.76959887,0.76318899,0.78067734,0.81386353,0.76058664,0.63487032,0.97827674,0.76175317,0.60608095,0.72259776,0.89851782,0.72403721,0.52951323,0.52284763,0.85934506,0.77320383,0.7532732,0.63484006,0.69289209,0.67348879,0.88085272,0.89085413,0.97509938,0.80064997,0.77258145,0.69989479,0.62501558,0.7780303
8,2,0.74941662,0.74052953,0.98503916,0.77991834,0.66482444,0.65079024,0.89753896,0.72883261,0.91506421,0.63983609,0.8468018,0.38654898,0.84347385,0.62656273,0.69295567,0.83464239,0.82883,0.87908092,0.69833935,0.70824027,0.98691737,0.80358333,0.6597125,0.78735233,0.83355408,0.74194788,0.53318959,0.50915071,0.94112524,0.77039613,0.78156823,0.70891671,0.75971223,0.64719639,0.86328203,0.93413944,0.91462937,0.8588522,0.82419619,0.62034017,0.72413551,0.79070248
9,0,0.83829654,0.75368485,1,0.83435506,0.72529559,0.69562267,0.97538961,0.7682333,0.84029724,0.7720114,0.89065876,0.42707855,0.82688686,0.70152151,0.69896552,0.8860082,0.82693469,0.93702615,0.6916065,0.76559798,0.92053061,0.85873991,0.68846227,0.86000379,0.8106591,0.81851026,0.5692735,0.51366361,1,0.7835355,0.80848123,0.81525267,0.84071942,0.62877462,0.89666884,0.97408027,0.86560048,0.92259399,0.83888216,0.67273365,0.80833333,0.86983471
9,1,0.8995692,0.78781021,0.96356596,0.8975441,0.78658187,0.80479106,1,0.83534291,0.79369011,0.92276857,0.87780859,0.43536628,0.85448356,0.78204167,0.83546798,0.95336067,0.82791789,1,0.80811372,0.83509546,0.8651576,0.90826979,0.75073766,0.93827784,0.83904131,0.90983166,0.63186669,0.54472939,0.95645358,0.81280855,0.82695665,0.91624169,0.90776978,0.63129103,0.91669591,1,0.91952094,0.94364429,0.81663934,0.73536735,0.85623053,0.96418733
9,2,0.8995692,0.80176511,0.92484379,0.9253368,0.79831602,0.84302855,0.99788449,0.86888433,0.78195685,0.96802067,0.8379673,0.43044131,0.89794292,0.79808125,0.90682618,0.96698408,0.83108068,0.99566765,0.89890794,0.9032781,0.89387854,0.92226253,0.79669945,0.95103923,0.84957427,0.91367515,0.66448619,0.57621982,0.90088835,0.82995165,0.84092232,0.94583527,0.93669065,0.64915892,0.90534139,0.99684847,0.92004614,0.94120688,0.80865474,0.77903735,0.85023364,0.9969697
10,0,0.87932149,0.7887154,0.84184634,0.95108187,0.79578108,0.90417873,0.96445949,0.90948007,0.76905026,1,0.78048571,0.41574581,0.95632334,0.78219158,0.96150598,0.97025092,0.84412277,0.9261179,0.99783394,0.96920029,0.96860168,0.91663582,0.8583885,0.88634784,0.86363923,0.82489046,0.68438094,0.62866778,0.8152935,0.85206548,0.8895112,0.97419255,0.93769784,0.67199809,0.86054993,0.99189606,0.91312586,0.94482606,0.84757967,0.82140978,0.8411215,1
10,1,0.86983486,0.77423248,0.80570272,0.9384091,0.79299534,0.88862226,0.91629645,0.90216713,0.77198357,0.97434527,0.75931733,0.43014122,0.95581631,0.74871833,0.94060521,0.96642803,0.85442851,0.86105524,0.98592058,0.98865274,1,0.89457318,0.86528277,0.83662897,0.85701671,0.72894919,0.67213858,0.65004163,0.76251524,0.86928493,0.91744254,0.98485551,0.90294964,0.71738239,0.81996942,0.98507847,0.9150413,0.96742743,0.90197476,0.85126249,0.83123053,0.97203857
10,2,0.88082032,0.76985743,0.76151544,0.8525589,0.79268183,0.81200662,0.85254919,0.81417997,0.78854051,0.90905042,0.7242375,0.49353928,0.87809648,0.71544746,0.8877551,0.96886078,0.84835167,0.79096395,0.90586643,0.93371758,0.95418036,0.85977641,0.79262342,0.81660244,0.8517187,0.65843647,0.64635287,0.6571607,0.75301341,0.89931292,0.93788187,0.99945913,0.82460432,0.79349015,0.75948717,0.96224595,0.91733775,0.99497747,0.97112711,0.86907768,0.79524922,0.93553719
11,0,0.95602226,0.7986724,0.71562968,0.74670695,0.76973307,0.71843608,0.82568225,0.70164987,0.77889316,0.79584001,0.69764796,0.57986761,0.71414602,0.73582671,0.87938072,0.96594147,0.82585674,0.77827634,0.7975361,0.80972622,0.80059632,0.81942696,0.65829393,0.84067218,0.89643646,0.66050427,0.61251279,0.65757702,0.78474133,0.90703198,0.9221705,1,0.76107914,0.84675875,0.72178915,0.91896064,0.9160505,1,1,0.89672102,0.73795171,0.934573
