,,pid1263b-06,pid52932-21,pid53576-04,pid610003b-10,pid9048b-10,pid9049b-06,pid9049b-24,pid9050b-06,pid9052b-11,pid9054b-06,pid9055b-06,pid9058b-06,pid9059b-10,pid9060b-04,pid9061b-03,pid9062b-09,pid9063b-10,pid9064-17,pid9065-22,pid9066b-06,pid9069-06,pid9070b-18,pid9072b-10,pid9073b-10,pid9074g-06,pid9075b-06,pid9076-16,pid9077-04,pid9085-20,pid9089-13,pid9090-17,pid9093b-12,pid9094b-06,pid9099b-10,pid9104b-06,pid9111b-08,pid9115-10,pid9116-12,pid9118b-10,pid9119-10,pid9137-18,pid9138b-06,pid9139b-06,pid9153b-06,pid9158-03,pid9166k-07,pid9170b-06,pid9174b-06,pid9179-08,pid9182-06,pid9192b-06
8,1,0.34266942,0.50224454,0.32952418,0.7581439,0.39070815,0.40327103,0.34054575,0.59278538,0.56416393,0.68267785,0.40916605,0.64168318,0.40517753,0.61827463,0.38471512,0.44290422,0.57948032,0.55360695,0.41899062,0.57475309,0.38629729,0.27644401,0.4110658,0.53947986,0.42255821,0.3911805,0.42323728,0.43160186,0.32878115,0.63092148,0.36872305,0.52606476,0.39529673,0.41746393,0.38728993,0.63894231,0.43631425,0.76097985,0.50934854,0.41966696,0.28979455,0.44943673,0.44119067,0.25556096,0.62188063,0.52544064,0.49964583,0.43422417,0.54175685,0.36718526,0.55294797
8,2,0.30749014,0.47999127,0.31606082,0.71504655,0.32788148,0.35838525,0.29756051,0.54344633,0.48384433,0.62191171,0.37095297,0.6056716,0.37006412,0.58695763,0.36167823,0.39028841,0.5356922,0.47958958,0.38772384,0.52650302,0.34192235,0.25577771,0.34685039,0.49586608,0.39865783,0.34996954,0.36666974,0.368886,0.26835097,0.54778939,0.31154229,0.50611664,0.33867235,0.40150173,0.33884663,0.50649597,0.39621814,0.68932454,0.45023457,0.38289195,0.27868664,0.40600816,0.39818677,0.22478736,0.58379353,0.50360256,0.42170833,0.40342303,0.50896302,0.3200912,0.48036934
9,0,0.2525061,0.4839214,0.33071728,0.65888721,0.26779259,0.30537383,0.25002411,0.47039539,0.39611591,0.5221598,0.32261756,0.53845607,0.34556417,0.5509869,0.38266983,0.34842997,0.47116718,0.38585635,0.36361052,0.48857992,0.2975772,0.27068032,0.26855315,0.42424753,0.37134541,0.32805027,0.28460011,0.27891575,0.19319596,0.48288158,0.26167496,0.45665635,0.23908897,0.39152957,0.29834601,0.39614267,0.33035938,0.59360777,0.39092911,0.35131474,0.28021313,0.37142041,0.33484436,0.20665857,0.50764778,0.49080961,0.33954861,0.39635931,0.46190129,0.28240343,0.41628354
9,1,0.22989488,0.50717904,0.34226513,0.61896514,0.24952889,0.27766096,0.23093241,0.42650843,0.38916584,0.46396935,0.29991861,0.49806373,0.3391425,0.52885826,0.4184989,0.34286064,0.44107277,0.34745067,0.36479487,0.46781091,0.28614835,0.29836621,0.23633296,0.38044119,0.36108506,0.33476771,0.25410019,0.24756922,0.16072864,0.49117561,0.23358209,0.4164254,0.20408296,0.39087151,0.31544313,0.36520572,0.28036983,0.5549355,0.38637452,0.33529329,0.28993856,0.36915102,0.30482504,0.20831916,0.47891641,0.49267868,0.28924306,0.40712944,0.42520231,0.2836731,0.39228624
9,2,0.21561855,0.54391266,0.36599569,0.58390705,0.25547852,0.25923546,0.21140681,0.39760296,0.41202691,0.44077344,0.29546784,0.47211465,0.34998564,0.49129658,0.46977721,0.36106648,0.42671067,0.33891871,0.3721852,0.46139611,0.29463807,0.33147938,0.22733408,0.35335106,0.35489166,0.35971059,0.2580327,0.25398671,0.15386733,0.52993748,0.23563847,0.38272948,0.19667623,0.39263478,0.34978772,0.35817308,0.25455495,0.55175388,0.41281304,0.32468131,0.31288402,0.39764898,0.28406946,0.22432564,0.47392542,0.49914778,0.25383333,0.4340599,0.39089113,0.30705472,0.3866019
10,0,0.21268068,0.58673362,0.40422947,0.54684275,0.28436148,0.27163162,0.21173464,0.38437225,0.43478859,0.48612185,0.31528014,0.44526096,0.37919418,0.458244,0.52094595,0.39588496,0.43013619,0.35240726,0.38049143,0.48383354,0.32244067,0.38172664,0.25353628,0.33800681,0.35713939,0.40921554,0.2914524,0.29063366,0.16577275,0.58498273,0.24644279,0.36254707,0.23081196,0.39570573,0.40139749,0.39845707,0.28136231,0.56714741,0.45227251,0.31630839,0.34428763,0.45613878,0.26898845,0.24230863,0.48148781,0.50526825,0.26078472,0.46868038,0.35221605,0.35322783,0.40602097
10,1,0.22184156,0.61626201,0.42264035,0.51283828,0.32580741,0.30570483,0.22195545,0.37653487,0.44740424,0.53422838,0.34385412,0.42856126,0.40929276,0.40423686,0.56042732,0.43228301,0.44276046,0.36852407,0.38491299,0.53705053,0.35312283,0.41549019,0.31854612,0.33079802,0.36341365,0.44705255,0.32537188,0.32607234,0.17078382,0.62769415,0.25750415,0.34607146,0.2887603,0.39414494,0.46722979,0.44726073,0.33604262,0.58398319,0.49746283,0.30633614,0.37240783,0.50878367,0.2617443,0.25526934,0.50306481,0.50479372,0.28060417,0.51491288,0.31641103,0.40997854,0.43864576
10,2,0.22503285,0.61646288,0.41238411,0.49105867,0.3312,0.32546729,0.22421174,0.37151754,0.4514336,0.55787669,0.35573133,0.41668954,0.42050914,0.3691169,0.57237947,0.44711185,0.44469045,0.38152328,0.37970186,0.57251894,0.36848377,0.42684937,0.3481721,0.3285355,0.36578266,0.45162986,0.34477135,0.34652167,0.16627936,0.65346769,0.2664262,0.34013053,0.32753449,0.39056779,0.47674686,0.47201476,0.39123485,0.58290332,0.50754312,0.30057858,0.38103879,0.54681633,0.25876981,0.2545322,0.51898662,0.4985183,0.29016667,0.52917381,0.29487391,0.42772711,0.45971915
11,0,0.22753895,0.60826201,0.39503497,0.47460489,0.32981333,0.33411864,0.22195545,0.36480818,0.45199939,0.57342576,0.35818561,0.40374041,0.42121734,0.34117747,0.56951242,0.4471527,0.44353747,0.39229676,0.3714588,0.59670151,0.37682455,0.42396753,0.36238751,0.32581565,0.36403622,0.44745621,0.3489669,0.35004389,0.15888942,0.66914171,0.27538972,0.33617271,0.35769836,0.38754746,0.4680789,0.47373658,0.41694526,0.57473547,0.51395785,0.28748295,0.38100998,0.5826449,0.25604777,0.2471932,0.52944302,0.48719737,0.29490278,0.5315763,0.27902983,0.43809013,0.47645475
11,1,0.22771729,0.5889083,0.36223032,0.45180053,0.32069926,0.33321002,0.21313277,0.35232948,0.45033259,0.58610726,0.35334062,0.38914469,0.41476696,0.31499064,0.54763514,0.44090253,0.43793968,0.39988161,0.35708872,0.61867868,0.38051832,0.4093901,0.36468645,0.32067683,0.35957309,0.43418126,0.3447582,0.34384297,0.15142237,0.68052766,0.2949005,0.33116057,0.37581705,0.38679659,0.42742791,0.46395349,0.43106979,0.56037832,0.5056146,0.27028082,0.37620008,0.62995102,0.25035123,0.2326367,0.53815353,0.468313,0.29716667,0.51772605,0.25792792,0.43702611,0.48855439
11,2,0.22545523,0.55820961,0.33573047,0.43054052,0.3110163,0.3254608,0.20699065,0.33929851,0.44873461,0.58952937,0.34324372,0.37200793,0.39996172,0.29838353,0.52237947,0.43104387,0.42875762,0.40663773,0.34243439,0.62281139,0.37278324,0.38107626,0.34999297,0.31381705,0.35406695,0.42605484,0.33773493,0.33431362,0.1512792,0.68688077,0.31621891,0.32333696,0.37098417,0.39232262,0.38786485,0.43116055,0.43378604,0.53721554,0.48593273,0.24915565,0.36274002,0.67527347,0.24243755,0.21113001,0.54070595,0.44689134,0.29935417,0.4863397,0.24011951,0.42297031,0.47912859
12,0,0.22292097,0.52523144,0.3191147,0.41356715,0.30308741,0.31313603,0.20568894,0.33076787,0.45477483,0.58684422,0.32690302,0.36012604,0.38193129,0.29148375,0.49754383,0.42190691,0.41914111,0.41392265,0.33690743,0.62084572,0.35801807,0.35318853,0.32256749,0.30965304,0.35029107,0.42446306,0.33557797,0.32900181,0.16095992,0.68944233,0.34626866,0.3157058,0.35416165,0.40264068,0.35574916,0.40812835,0.42575219,0.51126975,0.44892153,0.23110683,0.34573733,0.72484898,0.23320674,0.19104901,0.5395009,0.42488863,0.30434028,0.45989179,0.22696904,0.39818491,0.45869001
