,measure_number,beat_number,pid1263b-03,pid510262-04,pid52932-18,pid5667249-20,pid5667271-04,pid5667291-18,pid610003b-07,pid9048b-07,pid9049b-03,pid9050b-03,pid9052b-10,pid9054b-03,pid9055b-03,pid9056-11,pid9057f-13,pid9058b-03,pid9059b-07,pid9060b-01,pid9061-32,pid9062b-06,pid9063b-07,pid9064-14,pid9065-21,pid9066b-03,pid9069-03,pid9070b-15,pid9072b-07,pid9073b-07,pid9074g-03,pid9075b-03,pid9085-05,pid9088-19,pid9089-17,pid9090-16,pid9093b-09,pid9094b-03,pid9099b-07,pid9101b-14,pid9103-15,pid9104b-03,pid9111b-05,pid9113-18,pid9114b-12,pid9117-07,pid9118b-07,pid9119-08,pid9120-10,pid9121-11,pid9129-23,pid9130-09,pid9134-09,pid9137-16,pid9138b-03,pid9139b-03,pid9153b-03,pid9161-09,pid9166j-03,pid9170b-03,pid9174b-03,pid917509-09,pid917520-19,pid917525-03,pid9176-11,pid918713-09,pid918819-07,pid918904-11,pid9192b-03
20,8,1,0.44251077,0.32665419,0.56823742,0.29989751,0.25187884,0.36660171,0.38467904,0.2822643,0.39898779,0.24279612,0.61030832,0.3616149,0.35242614,0.46369193,0.26493221,0.33836485,0.37690852,0.37837048,0.337767,0.31221708,0.39721824,0.44740844,0.27118499,0.53637308,0.31802899,0.34142151,0.29358388,0.2552759,0.38276472,0.33951562,0.35104871,0.21557655,0.38751778,0.35039083,0.31034309,0.33770712,0.37308685,0.40848702,0.47639441,0.59581578,0.44412637,0.30744275,0.23243035,0.42569432,0.60476956,0.64291114,0.44992731,0.41575323,0.37003003,0.39723897,0.52168604,0.21753963,0.40715482,0.46781862,0.2730585,0.47345904,0.37357183,0.28864904,0.46296384,0.25952989,0.46093212,0.24785500000000002,0.42639974,0.44954143,0.32347892,0.48116191,0.35802213
21,8,2,0.42644293,0.30106311,0.54300482,0.28516114,0.23214062,0.32005422,0.35809779,0.25534847,0.38295472,0.22409006,0.55780909,0.33874577,0.29477069,0.41562003,0.19939563,0.2912131,0.36769497,0.37627573,0.35132002,0.2859468,0.34581229,0.42726567,0.25296595,0.51492265,0.32755244,0.29567513,0.24739211,0.24065828,0.35637267,0.31999298,0.32300132,0.18802862,0.31748079,0.32140851,0.28202153,0.32485446,0.34277625,0.38085145,0.44629708,0.54902098,0.37875975,0.27117639,0.17898176,0.39360861,0.59327957,0.57492062,0.45460346,0.38420904,0.33430184,0.38344255,0.51171529,0.19919543,0.36981276,0.45390931,0.24218319,0.45637146,0.35623223,0.25676912,0.43189159,0.24467723,0.47378532,0.22773511,0.43630708,0.42900668,0.27743836,0.44500249999999997,0.35340236
22,9,0,0.40140649,0.2819272,0.51256892,0.2806571,0.21394723,0.29290011,0.32580935,0.24813126,0.37747643,0.20077423,0.51040174,0.31732666,0.24095893,0.36863154,0.17910783,0.25160286,0.35809477,0.38367434,0.35915191,0.27287524,0.31283076,0.39632992,0.23540066,0.48872729,0.33824028,0.27516554,0.22231352,0.22511563,0.33654284,0.30962443,0.30896885,0.17461701,0.27316703,0.30359718,0.25398587,0.30008061,0.31393122,0.35707863,0.42378333,0.50590813,0.33158346,0.25959651,0.13733737,0.36467721,0.5801002,0.5075853,0.44306251,0.36565418,0.30502419,0.36484928,0.4910894,0.19168075,0.35331862,0.4305876,0.21186674,0.44313548,0.33324717,0.23395759,0.39160955,0.24149208,0.48194349,0.21807793,0.44055592,0.42013058,0.24539258,0.40877871,0.35258122
23,9,1,0.36429692,0.26840449,0.48582874,0.29318984,0.19618179,0.27435398,0.30216731,0.27055616,0.37987946,0.18594821,0.47864372,0.28868688,0.21459767,0.30799995,0.18029859,0.19749769,0.34342711,0.40522470000000005,0.35950476,0.27160368,0.28358839,0.35393389,0.21608848,0.45510571,0.35136490000000004,0.26015422,0.21100314,0.21500484,0.32016679,0.30250614,0.2977534,0.16049904,0.26697335,0.29020263,0.22769929,0.25747425,0.2802648,0.33460868,0.40230216,0.46311545,0.30157566,0.26409487,0.12533714,0.3220618,0.55810375,0.43861701,0.41659667,0.36279596,0.27924985,0.33945828,0.46349875,0.19028079,0.34648348,0.40077274,0.17293511,0.42850691,0.3033759,0.21248511,0.33215946,0.24979561,0.48684528,0.22121581,0.4392323,0.42381471,0.23854246,0.35554125,0.35842199
24,9,2,0.32817768,0.28340704,0.46913336,0.31608587,0.18593169,0.28056426,0.30500663,0.30851591,0.40201669,0.19262259,0.49377141,0.24639335,0.19763094,0.27127055,0.18956627,0.16900369,0.31839421,0.43936792,0.34750173,0.28723107,0.26670185,0.32337834,0.20815784,0.41624786,0.37276373,0.25406085,0.22653615,0.22335162,0.31673827,0.29955072,0.29254059,0.14772039,0.32865408,0.29727556,0.2205264,0.23253918,0.25918894,0.31262501,0.39417689,0.43022802,0.31165367,0.2886723,0.14162657,0.27299982,0.5354246,0.42704501,0.38235342,0.37622866,0.26183062,0.32787243,0.45131378,0.20317805,0.3580682,0.36700832,0.13777036,0.42612318,0.29336711,0.20569931,0.26910108,0.27315619,0.49160924,0.23525665,0.43496359999999995,0.45005441,0.26575781,0.31804393,0.38053552
25,10,0,0.31568171,0.34019391,0.49834597,0.33064002,0.19941756,0.30959078,0.35855437,0.36965401,0.43273064,0.24710332,0.56225475,0.24409686,0.2125868,0.26285729999999996,0.22695155,0.16398755,0.28891083,0.48218244,0.3267658,0.32364834,0.29929891,0.33303849,0.21779250000000003,0.40536822,0.39664559,0.24393597,0.2932838,0.27006561,0.34589335,0.29330993,0.31634928,0.13116228,0.47381201,0.32431509,0.23300538,0.2623914,0.24916313,0.30485366,0.40265764,0.44952825,0.41977379,0.32436614,0.1866037,0.25051499,0.52990523,0.48894713,0.31363269,0.43171399,0.2761775,0.34159021,0.42855417,0.25348781,0.39752626,0.3310008,0.12680360000000002,0.47043547,0.3129711,0.25404813,0.26126999,0.30613183,0.50018091,0.25924504,0.43073461,0.50911705,0.31200875,0.30486514,0.41390932
26,10,1,0.31278861,0.40386120000000003,0.55487595,0.35693543,0.22613878,0.36929594,0.46614921,0.44428472,0.46764797,0.34460265,0.61768141,0.26268953,0.28880091,0.29503899,0.25902335,0.24832795,0.28565318,0.52516137,0.33655094,0.36732618,0.38882774,0.38315487,0.25681338,0.45867142,0.42353486,0.25635739,0.36819806,0.35630849,0.37860332,0.30142506,0.37051338,0.17093845,0.5993076,0.35485315,0.26647326,0.3847828,0.26942293,0.32293788,0.42084638,0.49888441,0.52605304,0.38872001,0.25725658,0.30696156,0.55061731,0.56660451,0.29034082,0.49546269,0.33050659,0.39549148,0.42215304,0.32864269,0.50618816,0.32244701,0.16211351,0.54681521,0.37004601,0.30366929,0.34567872,0.33277125,0.50998449,0.31491195,0.43475844,0.58195243,0.3588067,0.33575159,0.45162442
27,10,2,0.31679445,0.45349549,0.59236733,0.37300421,0.23916538,0.39100229,0.51608715,0.49702587,0.49100603,0.39366379,0.64687013,0.27734433,0.33285156,0.3269933,0.25902335,0.30792205,0.30242679,0.56117403,0.3590448,0.39318956,0.43740671,0.41871508,0.291526,0.48047281,0.44000617,0.27561814,0.420513,0.40191459999999996,0.40206385,0.31097227,0.41230364,0.20423814,0.68149483,0.37427336,0.28932896,0.4771339,0.29631943,0.35575741,0.43200169,0.54911103,0.58394696,0.40960333,0.29071467,0.34088652,0.56524305,0.63545184,0.30650945,0.53777945,0.38366791,0.42523373,0.44112832,0.36934588,0.55627188,0.33105447,0.19327914,0.59127806,0.40869565,0.34478914,0.41578823,0.35756259999999995,0.51954686,0.35114275,0.43906684,0.63932846,0.397812,0.35584174,0.48353445
28,11,0,0.32727637,0.48350059999999995,0.64297898,0.39271723,0.25320446,0.41192917,0.56137372,0.5502528,0.5167903,0.42967874,0.66782155,0.28970264,0.39480106,0.3548413,0.25993327,0.37330489,0.32620105,0.60328827,0.37801021,0.43239154,0.48559367,0.4549969,0.3229592,0.51114636,0.45925355,0.29342888,0.46481852,0.43746369999999996,0.41961082,0.32481572,0.45255814,0.23961104,0.75921464,0.38385824,0.310444,0.52978056,0.33094346,0.39543077,0.44926788,0.59192372,0.63025741,0.43146129,0.32992336,0.37106859999999997,0.58388392,0.70082153,0.328178,0.59091595,0.43297837,0.45473132,0.47130895,0.4098238,0.60707109,0.35115643,0.22106982,0.62338314,0.4460425,0.37877532,0.46312141,0.39090445,0.52988456,0.39533533,0.44537392,0.67501166,0.42887318,0.37588896,0.50746162
29,11,1,0.34639308,0.52657765,0.69589076,0.43049197,0.26592835,0.43166991,0.61771798,0.61536631,0.54982228,0.47967429,0.70105886,0.32360518,0.49126004,0.42253521,0.25993327,0.42802122,0.36488977,0.64444038,0.40417113,0.48293576,0.53835658,0.50045003,0.37505493,0.56022405,0.48776218,0.34014751,0.51565447,0.48182209,0.45715609,0.34160056,0.51486617,0.2924961,0.8286446,0.4034454,0.33472923,0.62672638,0.3842285,0.44017799999999996,0.47350825,0.67171601,0.66794852,0.45547983,0.36909048,0.42310097,0.60751189,0.78453707,0.35379583,0.65883407,0.49658009999999997,0.48204456,0.51956574,0.44861212,0.64491551,0.38017709,0.25185803,0.66606446,0.49489738,0.41866095,0.52085401,0.43003747,0.54593384,0.45387786,0.46021178,0.72765428,0.47885214,0.40009301,0.54585505
