,measure_number,beat_number,pid1263-14,pid52932-07,pid9048-14,pid9050-14,pid9054-14,pid9055-14,pid9058-14,pid9059-14,pid9062-14,pid9063-14,pid9064-09,pid9065-09,pid9066-14,pid9067-14,pid9068-09,pid9072-14,pid9074f-14,pid9075-14,pid9078-06,pid9081-02,pid9088-09,pid9090-07,pid9093-14,pid9094-14,pid9098-01,pid9099-14,pid9100b-10,pid9101-14,pid9103-08,pid9104-14,pid9105-14,pid9115-08,pid9118-14,pid9126-02,pid9128-10,pid9130-06,pid9138-14,pid9139-14,pid9153-14,pid9166e-07,pid9170-14,pid9173-19,pid9174-14,pid9185-01,pid9186c-14,pid9192-14
105,36,2,0.51064576,0.6193274999999999,0.67138424,0.75729203,0.32291193,0.77004145,0.55914568,0.42653472,0.549419,0.3073046,0.74988737,0.53624203,0.63788536,0.41649091,0.79522128,0.41326694,0.45503725,0.381105,0.5827589,0.26757463,0.7143996,0.33006191,0.32292353,0.46618213,0.85826242,0.50844246,0.61304223,0.48697777,0.46709992,0.67220506,0.56674719,0.51221734,0.65530902,0.59709299,0.48365427,0.67791742,0.65204185,0.49652469,0.50760404,0.60475559,0.43264589999999997,0.5485349,0.63623594,0.23399626,0.67101281,0.65528508
106,37,0,0.36931854,0.44803930000000003,0.49184513,0.65621543,0.21668292,0.6010141999999999,0.46626825,0.30543361,0.46572755,0.24528699,0.58520306,0.46977665,0.45283549999999995,0.34841822,0.65633718,0.31121508,0.36946064,0.22540062,0.43412074,0.20040323,0.44595914,0.29962673,0.27219453,0.40471725,0.72392897,0.37259048,0.50410749,0.29495507,0.33932329,0.51365977,0.47559665,0.41208419,0.5508834,0.49927073,0.45303633,0.56024432,0.50839827,0.36004809,0.41392405,0.51601171,0.28612696,0.49817359,0.41020916,0.18798979,0.4731425,0.49581768
107,37,1,0.29792185,0.34904895,0.34739066,0.59182159,0.18826779,0.41770879,0.39051631,0.22261965,0.35771684,0.22222974,0.39935638,0.34624383,0.27904392,0.32087353,0.59739969,0.23434033,0.25986395,0.19238619,0.35658097,0.16727015,0.2094569,0.24984523,0.22010159,0.23645316,0.57831847,0.3044083,0.38587332,0.228898,0.24571212,0.34751604,0.38791152,0.34678098,0.38373592,0.40867827,0.41838046,0.45658072,0.42686147,0.24194819,0.31814953,0.44398199,0.20079713,0.37098388,0.30325915,0.18310324,0.34839417,0.42184284
108,37,2,0.25849429,0.17255927,0.2533841,0.48320337,0.2525241,0.36558779,0.22946997,0.15042101,0.26624015,0.18251711,0.35835103,0.26768111,0.35587273,0.34592028,0.27702773,0.26627456,0.18701814,0.21245316,0.31460778,0.17825622,0.26304933,0.17855972,0.14026902,0.14258651,0.53364317,0.23199675,0.25186179999999997,0.1558805,0.21161543,0.2204342,0.32791177,0.31579378,0.33589024,0.29259921,0.44189261,0.22720616,0.46113997,0.20158814,0.22760222,0.26482675,0.14734533,0.15392678,0.25593773,0.26102606,0.20402657,0.26895932
109,38,0,0.20160005,0.18946182,0.26744877,0.47162786,0.32991550000000003,0.42616633,0.28029783,0.17198273,0.30483879999999997,0.21157752,0.42363391,0.30421307,0.41128111,0.3725675,0.33883244,0.34030878,0.20515063,0.30272662,0.37509413,0.21957743,0.39791729,0.1745539,0.15290189,0.14549376,0.56718951,0.24157788,0.26132438,0.2529166,0.28544804,0.25083591,0.38426904,0.38651654,0.41552226,0.40887944,0.47756706,0.26529523,0.5460100999999999,0.24328174,0.24050633,0.27804840000000003,0.19868363,0.17009449999999998,0.30224107,0.31238609,0.18757789,0.21198334
110,38,1,0.34257666,0.30695033,0.38510554,0.46996843,0.45050374,0.47788165,0.36109533,0.29242893,0.43092517,0.27623561,0.48135419,0.41294915,0.5126589,0.43240595,0.45884278,0.45068173,0.27900065,0.39421191,0.53896683,0.27995968,0.57486796,0.21707028,0.23570689,0.20476414,0.65654011,0.30147214,0.36897313,0.43752956,0.411416,0.36391728,0.51308384,0.49997664,0.5394903,0.47050244,0.52125673,0.3704347,0.66038961,0.33863049,0.29287861,0.33684335,0.29167764,0.29980148,0.3992809,0.3980431,0.29839074,0.31868976
111,38,2,0.45029324,0.357054,0.45721172,0.47664661,0.51637417,0.49922392,0.44008034,0.35894207,0.51199584,0.32117656,0.47724142,0.48041431,0.61743168,0.46391444,0.46369898,0.51617431,0.357977,0.43943235,0.59911721,0.302333,0.64456403,0.25141114,0.29290753,0.23880709,0.72361002,0.36374949,0.42035509,0.49303957,0.46882608,0.38531020000000005,0.6110008000000001,0.54620632,0.59797131,0.47538098,0.55750109,0.42978781,0.73968254,0.3696658,0.32927784,0.38485879,0.36360246,0.35526086,0.45888372,0.368963,0.33243169,0.35330828
112,39,0,0.52964238,0.37190120000000004,0.48871965,0.50330536,0.56716499,0.50716994,0.51513667,0.38071249,0.6051876,0.3678026,0.40209822,0.57025454,0.70481084,0.46274774,0.40686241,0.54017511,0.41887755,0.48343299,0.59788918,0.30356739,0.65056303,0.32101238,0.33245226,0.27963988,0.75829546,0.41918666,0.44818618,0.48272111,0.50259955,0.36963791,0.69509403,0.59344048,0.59923426,0.45596741,0.59917786,0.45391279,0.77265512,0.36502869,0.34107094,0.39830364,0.40426357,0.43284364,0.49142364,0.31273920000000005,0.35496131,0.36601046
113,39,1,0.56648817,0.33131705,0.50574472,0.55878147,0.58612285,0.49402064,0.58106202,0.37349406,0.7128129,0.43623712,0.35668404,0.66857291,0.77810763,0.44790218,0.36735836,0.54451277,0.46467444,0.49963326,0.55816351,0.28935133,0.57527653,0.39280772,0.37381244,0.32178561,0.77139505,0.5051891,0.42396353,0.43536182,0.51651193,0.32574281,0.75162837,0.61309802,0.53059651,0.43808781,0.59202357,0.42155694,0.73542569,0.29818961,0.31084601,0.39681998,0.42607138,0.47318351,0.57808936,0.28781666,0.34853112,0.34728802
114,39,2,0.54395359,0.24857117,0.50502938,0.62908448,0.56321092,0.46263339,0.60602528,0.34467074,0.7947122,0.46455277,0.44312287,0.7427366,0.7943975000000001,0.40543714,0.48459618,0.52585216,0.46511176,0.47697521,0.53854976,0.28363199,0.47375187,0.42792243,0.39160944,0.37472569,0.78168108,0.6005368000000001,0.41974088,0.39571181,0.50888522,0.30525315,0.74922534,0.58839469,0.43986387,0.4436076,0.53374642,0.32210529,0.67983405,0.24829265,0.29277844,0.40134974,0.43417435,0.47531168,0.70937021,0.35431474,0.34582620000000003,0.30545662
