,,pid1263b-17,pid5667269b-35,pid5667285b-08,pid9048b-21,pid9049b-17,pid9050b-19,pid9054b-19,pid9055b-17,pid9058b-17,pid9059b-21,pid9061b-14,pid9062b-20,pid9063b-23,pid9066b-17,pid9069-17,pid9072b-21,pid9073b-23,pid9074g-17,pid9075b-17,pid9085-18,pid9088-23,pid9094b-25,pid9098-19,pid9099b-23,pid9100b-06,pid9104b-17,pid9114-35,pid9118b-23,pid9137-21,pid9139b-19,pid9153b-19,pid9155b-14,pid9161-04,pid9166b-15,pid9170b-19,pid9174b-17,pid9176-05,pid9192b-19
8,1,0.41453535,0.50224064,0.40054138,0.79286277,0.37648326,0.32328964,0.53069411,0.63633635,0.46119802,0.4537968,0.6233136,0.52333326,0.68652088,0.43517579,0.50823521,0.45708806,0.3033814,0.47707636,0.38435074,0.34768087,0.32804763,0.48777765,0.85239719,0.50357831,0.48437196,0.46715123,0.21825038,0.45319181,0.66852718,0.66503445,0.48177857,0.33061333,0.40676249,0.48426898,0.4245576,0.66028125,0.49414596,0.33138658
8,2,0.35919633,0.53837477,0.42114149,0.81665645,0.37812396,0.36569437,0.52270784,0.67812056,0.51255515,0.47964753,0.61116996,0.53448503,0.66787092,0.34568684,0.51703477,0.42227905,0.35386626,0.42298312,0.36716116,0.25474645,0.3325995,0.49941239,0.8622889,0.4797201,0.45953262,0.4970778,0.21132593,0.37906768,0.66974622,0.6216169,0.4610311,0.38792256,0.40099576,0.49198146,0.44235795,0.67686105,0.51167702,0.27998934
9,0,0.38707521,0.56517802,0.42119655,0.81303091,0.39445641,0.42655504,0.51978886,0.70467959,0.59037973,0.46714042,0.65470478,0.5065837,0.62824776,0.3628851,0.49068487,0.41840339,0.43591365,0.47176742,0.33799634,0.28490921,0.42532905,0.5076801,0.77698324,0.4495349,0.46787731,0.50264036,0.2427579,0.49349288,0.69799893,0.53770326,0.48402393,0.44690312,0.51356827,0.48182931,0.4872844,0.61107287,0.49634317,0.37194091
9,1,0.47865196,0.52675721,0.46703982,0.8084158,0.4780411,0.45820896,0.5358142,0.69651682,0.66329055,0.48906034,0.68322169,0.47661197,0.57262826,0.4326477,0.49397339,0.45688029,0.48446749,0.54838278,0.37618837,0.37589613,0.62139611,0.52093666,0.68391876,0.48463086,0.49780915,0.45681228,0.30320399,0.63237367,0.73016944,0.48574185,0.53928651,0.59159797,0.59728115,0.52196572,0.55815725,0.51916609,0.46073758,0.47866443
9,2,0.56193429,0.52047268,0.56650762,0.86461161,0.62162744,0.48268808,0.5864872,0.70260889,0.69641663,0.58597417,0.7147375,0.56799509,0.58291238,0.63388909,0.56357556,0.56568643,0.52017033,0.63377946,0.52218926,0.53518675,0.74808054,0.53138442,0.69903453,0.61722953,0.65187926,0.51681377,0.40552585,0.76933204,0.80019934,0.53101516,0.65251496,0.77705513,0.70471902,0.61063309,0.61990592,0.49712853,0.49626553,0.59787558
10,0,0.57312772,0.53641805,0.67992292,0.94193887,0.69487073,0.50466702,0.63103721,0.71730388,0.6545728,0.68782588,0.69649478,0.64775541,0.62398491,0.78614534,0.62150073,0.70066326,0.51814656,0.70066919,0.66378385,0.60924828,0.84793168,0.52579622,0.75986852,0.73820498,0.78242454,0.64653267,0.47163947,0.82152885,0.8317105,0.60175471,0.69737056,0.88845194,0.7214564,0.67040049,0.67912342,0.59958698,0.58011646,0.65885175
10,1,0.53156708,0.55217158,0.77523399,0.99124267,0.75899072,0.56615653,0.64418052,0.74729408,0.57137986,0.7986762,0.6606325,0.71233267,0.67926338,0.87916818,0.64593465,0.82044111,0.52091239,0.76756636,0.82671549,0.69329194,0.8780163,0.5010342,0.80679231,0.8058158,0.87888997,0.78031595,0.54102107,0.81048364,0.79437246,0.67101516,0.68211832,0.91348408,0.69009438,0.67482511,0.77055178,0.70134723,0.66841615,0.67849692
10,2,0.48814624,0.5887124,0.81841622,0.98344864,0.7937355,0.63371468,0.65515967,0.79427005,0.51951464,0.85689921,0.69183673,0.74254541,0.71982437,0.93539326,0.64844283,0.89787438,0.55063665,0.80861031,0.95953538,0.75235676,0.85741147,0.47268187,0.85996023,0.79270091,0.92937683,0.89460802,0.59015494,0.76983304,0.77612512,0.73099678,0.62796366,0.8757468,0.66942592,0.62150227,0.83371911,0.83298259,0.7482764,0.66991548
11,0,0.43364471,0.62051105,0.80172509,0.90752255,0.82362446,0.66383059,0.61974136,0.75770762,0.47850648,0.85397547,0.74085527,0.75891155,0.71515655,0.92379485,0.63067651,0.92376538,0.57088287,0.81768161,1,0.78841848,0.7823958,0.4619638,0.90374133,0.68603034,0.89838364,0.95802121,0.60519219,0.70677743,0.73242352,0.78158016,0.5469754,0.74838539,0.66431726,0.52034802,0.84835362,0.94921821,0.73083851,0.64638696
11,1,0.42754067,0.55808011,0.73564874,0.84832297,0.81503149,0.57264944,0.56579572,0.60490567,0.45943308,0.79035978,0.71431687,0.71642968,0.66583541,0.77044219,0.58704104,0.88588781,0.52006071,0.72546658,0.90246828,0.78600056,0.66541053,0.45338465,0.86116578,0.60515378,0.75990263,0.90395313,0.57114128,0.6913048,0.65439699,0.744226,0.46897112,0.62651441,0.63591653,0.47513116,0.79056223,0.95675091,0.62875776,0.58589812
