,,pid1263-21,pid50848-05,pid51495-04,pid5667249-16,pid5667291-17,pid9048-21,pid9049-21,pid9050-21,pid9054-21,pid9055-21,pid9058-21,pid9059-21,pid9060-21,pid9061-21,pid9062-21,pid9063-21,pid9064-11,pid9065-16,pid9066-21,pid9070b-04,pid9072-21,pid9074f-21,pid9075-21,pid9081-12,pid9088-16,pid9089-16,pid9093-21,pid9094-21,pid9099-21,pid9100b-21,pid9101b-03,pid9103-11,pid9104-21,pid9105b-04,pid9111-21,pid9113-17,pid9114b-11,pid9116-09,pid9118-21,pid9122-05,pid9123-04,pid9129-16,pid9130-05,pid9138-21,pid9139-21,pid9153-21,pid915411-09,pid9158-12,pid9166f-18,pid9170-21,pid9174-21,pid9185-10,pid9186c-21,pid918904-06,pid9192-21
7,2,0.43312688,0.6155344,0.48706042,0.41312977,0.89305141,0.46691292,0.56459589,0.30846246,0.69904944,0.57393019,0.61206455,0.62913811,0.58813249,0.64723416,0.76401284,0.78124758,0.87847297,0.43871864,0.78125544,0.66967045,0.56299616,0.48019599,0.62003247,0.70263321,0.56880021,0.47604239,0.44341149,0.51447206,0.65577686,0.47839576,0.87753151,0.50809353,0.81260248,0.70979351,0.98272869,0.84890728,0.76889392,0.4643453,0.54750815,0.72588494,0.53005053,0.58738739,0.6070445,0.75373134,0.55924853,0.44258512,0.55004295,0.59290588,0.56696991,0.67890288,0.52624855,0.81982555,0.49599591,0.52935445,0.90687228
8,0,0.42743762,0.64613141,0.50958596,0.4121374,0.8922853,0.56357734,0.59277827,0.3085083,0.73133258,0.6083655,0.64388238,0.6478635,0.64436223,0.68000846,0.80368364,0.76789055,0.89802988,0.43813773,0.82753364,0.74763776,0.59026135,0.51812223,0.61588409,0.77842672,0.6275423,0.50542959,0.43863111,0.53973637,0.67087233,0.47597427,0.89908735,0.52388489,0.84591328,0.68180458,0.97795522,0.85420751,0.86577445,0.47924365,0.61163428,0.73913043,0.59783463,0.61064083,0.61376949,0.76035237,0.56663769,0.4952396,0.60323753,0.59883354,0.60751467,0.67376012,0.51756263,0.86453269,0.48872214,0.52536929,0.93925578
8,1,0.42321713,0.68726197,0.5307161,0.42544921,0.88125335,0.64886949,0.61501253,0.3198038,0.7698332,0.65351569,0.68487082,0.66772641,0.70326286,0.71185963,0.83752618,0.7674886,0.92588583,0.4432817,0.86897222,0.82571224,0.62379303,0.54908296,0.61756749,0.85605993,0.69344556,0.5555891,0.43982827,0.572477,0.68472482,0.4807605,0.91429813,0.55738129,0.8855549,0.64935658,0.95478216,0.84992376,0.93091911,0.48801829,0.66406523,0.76621871,0.6983078,0.62853136,0.63077216,0.76298956,0.58013136,0.53814628,0.65451602,0.60305187,0.63890833,0.65969143,0.52015928,0.92297018,0.48794304,0.50998806,0.96580624
8,2,0.43884268,0.75778864,0.56003096,0.49136817,0.86141117,0.73127379,0.62854143,0.3457596,0.80725773,0.7073754,0.7511987,0.68918623,0.74242424,0.73934184,0.86206857,0.78518977,0.94436025,0.46596228,0.89631145,0.89782978,0.67909166,0.57983182,0.62875008,0.92836244,0.76036575,0.65070499,0.45346764,0.60171633,0.71100711,0.5108305,0.9192525,0.58855396,0.90862987,0.60918001,0.93846554,0.83808901,0.98499311,0.49864055,0.72457116,0.78389987,0.78671906,0.65532891,0.66757703,0.76714173,0.60572781,0.58216267,0.70525273,0.60618443,0.68171395,0.64077555,0.54734528,0.98115727,0.49818635,0.49256396,0.97867918
9,0,0.48716156,0.84214273,0.60772036,0.59929536,0.83720218,0.8090441,0.63609512,0.38897955,0.82872003,0.75993455,0.83916518,0.70321569,0.76363636,0.75533789,0.8651193,0.81487207,0.95042217,0.50809059,0.91103494,0.92944539,0.73396852,0.59246507,0.64594481,0.98129267,0.83434456,0.75595544,0.48120046,0.6327063,0.75297641,0.5732028,0.91438505,0.60899281,0.92705604,0.57763729,0.92726957,0.82051841,0.99699862,0.56033492,0.76884819,0.8056917,0.85660438,0.69252932,0.71475846,0.77510942,0.63365208,0.61179697,0.73121903,0.60727019,0.72062227,0.64302181,0.62701178,1,0.51499457,0.47766673,0.98115991
9,1,0.53508229,0.87201921,0.63644892,0.78473282,0.80042902,0.86553242,0.63777522,0.43613276,0.84091588,0.81114281,0.8696563,0.68587575,0.77730796,0.7746459,0.84909161,0.8438587,0.93699935,0.56737666,0.92482734,0.92658748,0.78579498,0.58572469,0.6647027,0.99102314,0.87386771,0.79876815,0.51383752,0.67298503,0.78060651,0.65878736,0.90769231,0.63295683,0.9557941,0.55864881,0.9251866,0.79271038,0.96914977,0.69949947,0.79932107,0.85092666,0.8982276,0.72854836,0.73218714,0.79250365,0.64876847,0.62819042,0.74146019,0.60266305,0.74800022,0.6697405,0.69928654,0.90353275,0.51814931,0.48587592,0.97123701
9,2,0.57086356,0.87587922,0.64903085,0.94979448,0.73132613,0.92463249,0.6324436,0.47900431,0.84856818,0.85618392,0.87314765,0.66181275,0.77399577,0.79782961,0.82446954,0.85313442,0.90337014,0.57955043,0.93384151,0.91837099,0.818935,0.56881414,0.6756448,0.95365281,0.87138951,0.82529714,0.52518164,0.72133736,0.78143018,0.67648505,0.90065189,0.63327338,0.94353816,0.57364208,0.95035584,0.73615044,0.86547924,0.81635049,0.79368212,0.89644269,0.90488411,0.77772395,0.73624192,0.79946134,0.64919347,0.63430013,0.72890651,0.60447509,0.76855251,0.70154283,0.71470051,0.80316341,0.50811035,0.51146521,0.95943681
10,0,0.59886746,0.87939612,0.65627748,1,0.71636405,0.95351093,0.62327756,0.52317778,0.85855204,0.86700789,0.87601831,0.6244203,0.76539817,0.82136565,0.78200984,0.86248744,0.84498809,0.56938879,0.90968435,0.91792444,0.83964751,0.53600609,0.68730836,0.89099211,0.85435823,0.85280235,0.51849406,0.80983111,0.76915013,0.66426409,0.90004346,0.59668345,0.91048939,0.58954811,0.96302725,0.72550643,0.79605393,0.92634246,0.75344258,0.93482653,0.88563638,0.8254292,0.73860023,0.7960386,0.64362021,0.63909206,0.69778659,0.59773311,0.75219896,0.71856712,0.71645097,0.74512238,0.48833259,0.53733107,0.94012739
10,1,0.61156432,0.88685881,0.65016827,0.99213153,0.71008963,0.96843519,0.6116591,0.56199688,0.87026962,0.8747273,0.88323377,0.58085168,0.76603242,0.82883518,0.73203716,0.86186906,0.79966804,0.54571477,0.86053103,0.91890685,0.84830911,0.51092498,0.69560512,0.83876009,0.83374637,0.85662671,0.49767173,0.87923932,0.76278547,0.63788309,0.89813125,0.55882734,0.87084777,0.59355828,0.95972921,0.72149132,0.73838811,0.95167769,0.70907533,0.94220466,0.83960221,0.84523202,0.73598326,0.77959825,0.64066454,0.64129887,0.65696069,0.57827746,0.71666039,0.71915824,0.70906753,0.70693613,0.47485152,0.55875919,0.91485082
10,2,0.60875951,0.88480014,0.62916711,0.90816207,0.7015552,0.9691814,0.59903801,0.59278445,0.87887846,0.87984561,0.88075103,0.53631326,0.80056378,0.82066098,0.67930972,0.843936,0.75001804,0.49093282,0.82167084,0.90926141,0.83015742,0.47776601,0.69626646,0.74868118,0.81648436,0.84466049,0.47048382,0.93134697,0.76203669,0.57613507,0.87987831,0.50415108,0.83185699,0.57632051,0.94714459,0.71332317,0.67944302,0.92442687,0.64003203,0.93263065,0.78428102,0.8517763,0.71926208,0.74419257,0.63633729,0.63663304,0.599815,0.55546181,0.65676912,0.70372998,0.69857309,0.68547462,0.47042595,0.57233013,0.88488099
11,0,0.57988852,0.85464917,0.54633506,0.74638873,0.67635026,0.95283934,0.58410677,0.5979371,0.88312309,0.86868602,0.85002715,0.48246318,0.84474982,0.78359524,0.61896685,0.81139368,0.70599697,0.42337094,0.78572671,0.89649013,0.76500716,0.43692644,0.68243853,0.63012013,0.78696804,0.82693759,0.44067867,0.97679528,0.76053912,0.50336739,0.82519774,0.46333813,0.80269631,0.54196469,0.92822427,0.68494881,0.61611887,0.84687635,0.53997451,0.90311814,0.73237629,0.84442461,0.66855839,0.6738301,0.62351009,0.62745902,0.50768418,0.54454552,0.58592884,0.65301176,0.69270781,0.67037748,0.46878472,0.574153,0.85879987
11,1,0.52727836,0.77268828,0.45565835,0.60851439,0.61222707,0.90523095,0.56046338,0.5472999,0.87463383,0.79981541,0.77028474,0.43197462,0.89027484,0.70314284,0.56712731,0.79678442,0.65576965,0.39531066,0.75801913,0.891721,0.64281088,0.39236576,0.62838935,0.53540872,0.74209537,0.82261003,0.43297556,1,0.75499813,0.48367386,0.68770969,0.46882734,0.73193306,0.48350292,0.89194584,0.61123938,0.49350522,0.71772848,0.52001263,0.84515591,0.65394178,0.82015128,0.60885508,0.55400628,0.58676712,0.6087768,0.39668979,0.55008437,0.52405663,0.57374239,0.69329683,0.64532688,0.45985057,0.54991514,0.83385853
11,2,0.47852592,0.67128152,0.41658752,0.48024662,0.47278786,0.83926573,0.52162455,0.46233611,0.84318766,0.69932875,0.66967957,0.4055272,0.8858351,0.65846663,0.55494718,0.8237613,0.61047124,0.39098333,0.75390597,0.88092346,0.54045342,0.39018076,0.56220165,0.46325029,0.65705862,0.81854413,0.44592966,0.93574077,0.73513291,0.48233068,0.56266841,0.47046043,0.64900685,0.39356576,0.84709252,0.48025122,0.30194352,0.60723599,0.61261546,0.80814229,0.58631005,0.76845997,0.56078357,0.47903153,0.55770308,0.55984237,0.30992402,0.55060524,0.48976692,0.49347993,0.68325037,0.62030758,0.44974775,0.50550003,0.80462622
12,0,0.41944789,0.55971007,0.37844303,0.39968878,0.42573355,0.67288262,0.4588849,0.35495553,0.75070246,0.59520893,0.55569866,0.37573283,0.82959831,0.58856317,0.55213551,0.81023421,0.5249116,0.35851153,0.73816954,0.80327766,0.46554945,0.37723631,0.50013227,0.40876851,0.59688088,0.76415768,0.44094287,0.73493066,0.67967802,0.44050322,0.45554107,0.45202878,0.56924182,0.33104893,0.79204999,0.43788572,0.29828774,0.51893345,0.67885056,0.69502855,0.50048921,0.67590515,0.48791175,0.44798002,0.51039312,0.4904918,0.22292699,0.52883868,0.472832,0.41584205,0.59035175,0.57248085,0.41807267,0.43875165,0.72202481
12,1,0.33793134,0.40472637,0.29352376,0.30163829,0.35789474,0.50102231,0.35822099,0.23990098,0.54791654,0.41607652,0.40642408,0.33106315,0.71585624,0.51412867,0.49239596,0.73735797,0.40650213,0.3016922,0.66077659,0.7171028,0.35532876,0.35773687,0.39176937,0.34373615,0.53348146,0.62084478,0.39424538,0.5528285,0.58077125,0.36583428,0.34948283,0.40726619,0.4720311,0.29852611,0.73160042,0.37246061,0.26754084,0.4212507,0.6807678,0.61626702,0.37756035,0.53251742,0.41841765,0.41291101,0.42119193,0.40701765,0.18361414,0.49109383,0.45740432,0.32781817,0.44034345,0.4603635,0.3488984,0.35494374,0.6202883
