,,pid1263-24,pid50848-11,pid610003-26,pid9048-24,pid9054-24,pid9055-24,pid9058-24,pid9061-24,pid9063-24,pid9066-24,pid9072-24,pid9075-24,pid9099-24,pid9101b-06,pid9105b-07,pid9111-24,pid9114b-03,pid9118-24,pid9138-24,pid9139-24,pid9166g-03,pid9174-24,pid9192-24
12,1,0.62543627,0.63383244,0.74987208,0.69257604,0.37332094,0.49594761,0.62721279,0.57647527,0.65986649,0.56328351,0.60521335,0.56523039,0.53053814,0.68375688,0.83183709,0.80165688,0.6652196,0.67093744,0.71720265,0.65213869,0.50529763,0.59329958,0.8380763
12,2,0.70445855,0.59347241,0.68549946,0.71730771,0.39350547,0.51716742,0.58633677,0.54983633,0.65924262,0.58680693,0.51924998,0.4690494,0.46243589,0.66871019,0.81156438,0.70307706,0.67023736,0.62431814,0.774798,0.65068314,0.52164804,0.56473499,0.72317523
13,0,0.80643471,0.57787685,0.62269032,0.76052963,0.38362778,0.47909128,0.56969536,0.4960276,0.60175931,0.57771148,0.4641111,0.398489,0.44415045,0.6411398,0.69581882,0.60427807,0.57890286,0.58003906,0.74668714,0.64109852,0.54710075,0.49262224,0.6174761
13,1,0.79159271,0.58109859,0.49540906,0.79075599,0.34533295,0.41741302,0.57317369,0.42433867,0.52803668,0.4818299,0.40906861,0.34444168,0.42400065,0.55765235,0.50997241,0.39833436,0.49286238,0.49882147,0.63797673,0.59824236,0.52098584,0.37660783,0.49573985
13,2,0.55108337,0.32281292,0.37000398,0.49817772,0.23967527,0.37715923,0.31733859,0.30735203,0.38935679,0.3360533,0.30115658,0.15665421,0.36152406,0.35444209,0.35852065,0.26836153,0.49066922,0.40440434,0.56847123,0.44108479,0.38086351,0.28692301,0.33270851
14,0,0.30497552,0.24629038,0.38522656,0.21673372,0.22382519,0.3692018,0.24245984,0.26431921,0.34569218,0.26350804,0.32542714,0.2037692,0.29943011,0.25991506,0.40317037,0.27406855,0.56492079,0.47964509,0.54384292,0.35299691,0.30068869,0.37970945,0.34473161
14,1,0.34437946,0.19969717,0.45079311,0.19731841,0.34029039,0.39949243,0.1972037,0.31591613,0.39633165,0.36266398,0.41214405,0.29254462,0.33561833,0.3704135,0.57522274,0.44787411,0.70276822,0.63546367,0.63772624,0.43912118,0.44734878,0.5124065,0.45011834
14,2,0.4791962,0.22971063,0.48587185,0.30248654,0.43549818,0.45462955,0.22531828,0.38825091,0.44119409,0.42754828,0.49208797,0.35437941,0.37025157,0.41743727,0.71064176,0.56757254,0.74713875,0.73243989,0.75548643,0.51276347,0.52134704,0.57272852,0.53654265
15,0,0.56518684,0.29200875,0.49938882,0.42850774,0.49866962,0.44431437,0.28651106,0.46047952,0.43579138,0.54218208,0.52268466,0.40197592,0.41914028,0.44169692,0.77192348,0.63781012,0.69453684,0.74395582,0.84453782,0.55060762,0.51992631,0.60930943,0.61965351
15,1,0.56791462,0.33374832,0.48366877,0.52302085,0.48952865,0.44000819,0.32956199,0.50354773,0.42177304,0.65989273,0.53421537,0.39513491,0.52804689,0.53173733,0.83016372,0.70820549,0.67920167,0.70710149,0.87815126,0.61018881,0.48366163,0.63724685,0.71108587
