,,pid1263b-05,pid52932-20,pid5667269b-32,pid5667271-07,pid610003b-09,pid9048b-09,pid9050b-05,pid9054b-05,pid9055b-05,pid9056-06,pid9058b-05,pid9059b-09,pid9060b-03,pid9061b-02,pid9062b-08,pid9063b-09,pid9064-16,pid9066b-05,pid9069-05,pid9072b-09,pid9073b-09,pid9074g-05,pid9075b-05,pid9076-15,pid9077-03,pid9089-12,pid9093b-11,pid9094b-05,pid9099b-09,pid9101b-16,pid9103-16,pid9104b-05,pid9111b-07,pid9116-16,pid9118b-09,pid9124-14,pid9137-17,pid9138b-05,pid9139b-05,pid9153b-05,pid9166k-06,pid9170b-05,pid9174b-05,pid917518-07,pid9176-01,pid9185-03,pid918812-14,pid9192b-05
8,1,0.8054637,0.74237683,0.82141952,0.90820399,0.80502113,0.87248081,0.78735845,0.85499424,0.78236417,0.98174609,0.80658428,0.75709207,0.79372589,0.77577036,0.53396551,0.90399069,0.75843671,0.68702854,0.83072439,0.78885792,0.81246266,0.70570899,0.8006947,0.70019243,0.74475387,0.7973096,0.59416946,0.93177871,0.69521678,0.67651396,0.76835161,0.6717039,0.80318896,0.79282626,0.88535958,0.67863813,0.6711253,0.80112385,0.73737385,0.76277731,0.90181866,0.64171016,0.8074922,0.91969401,0.69978188,0.67674063,0.70703089,0.86267155
8,2,0.80060813,0.77814573,0.88387443,0.89690965,0.81663564,0.86686933,0.80441234,0.86281764,0.79047683,0.97347371,0.84245961,0.77247334,0.78127957,0.78337924,0.50216965,0.85231747,0.79038282,0.61929067,0.8079893,0.78276521,0.81188824,0.72651566,0.7995895,0.7042203,0.7462146,0.78644454,0.59136332,0.83883238,0.71818182,0.63466378,0.84990639,0.72694919,0.74957163,0.79897325,0.81882752,0.7152821,0.73292013,0.81000835,0.71784698,0.78039876,0.9542699,0.57359081,0.76683514,0.92551279,0.74155595,0.66211744,0.75785178,0.80170488
9,0,0.84703535,0.88022685,0.9060934,0.86704545,0.85786269,0.88839829,0.84425029,0.9256474,0.82973453,0.94046626,0.87825143,0.78596822,0.84503967,0.80160957,0.46730104,0.79567824,0.82593037,0.58440904,0.83797783,0.8126792,0.82367538,0.70810879,0.77816957,0.72075012,0.76209251,0.77998758,0.63808559,0.7961548,0.75601399,0.62523594,0.9214585,0.88348664,0.77030779,0.82727641,0.78492453,0.77235409,0.74918349,0.8272458,0.76268007,0.81830946,0.94642857,0.59480689,0.75375353,0.93521826,0.7992597,0.78754782,0.8209257,0.76006308
9,1,0.92649183,0.93280672,0.87750804,0.84595344,0.87659958,0.90046845,0.8655408,0.9525138,0.86961713,0.93369796,0.89688322,0.79561779,0.89336924,0.80129971,0.46050574,0.80315855,0.84540483,0.65284004,0.91405772,0.83736859,0.85113276,0.69389525,0.75859165,0.73817634,0.7831839,0.7730029,0.67269468,0.8331266,0.74573427,0.6213429,0.93376126,1,0.84388386,0.85855174,0.81780598,0.80069066,0.69533106,0.84114208,0.78943112,0.84779556,0.90274117,0.6467206,0.7544968,0.93438701,0.82014674,0.97589901,0.85266673,0.75439434
9,2,0.93177499,0.94711631,0.82681096,0.82685698,0.86393593,0.88007575,0.85903944,0.98041118,0.89524957,0.95856977,0.88112187,0.82057607,0.88798311,0.79063522,0.47232318,0.83401933,0.84200347,0.76197678,0.95909786,0.84270468,0.87004274,0.69702762,0.74848692,0.76573799,0.81013004,0.7702918,0.66309143,0.89059787,0.70062937,0.6140582,0.86388517,0.99923346,0.90385531,0.87982978,0.88653735,0.78803502,0.64887916,0.83635811,0.76763996,0.86148554,0.83902214,0.67216423,0.75278728,0.92809643,0.82417873,0.96585692,0.84148966,0.75245077
10,0,0.88624097,0.91066889,0.78880764,0.77494457,0.84989804,0.86926144,0.84287388,0.97683304,0.89125462,0.96877008,0.86823097,0.83523181,0.87277094,0.78436908,0.47693782,0.80583393,0.82579699,0.81307949,0.93893349,0.82789105,0.87911861,0.71714382,0.72401453,0.82249872,0.87025711,0.77062293,0.64402526,0.93045564,0.66383916,0.63313999,0.73740751,0.90527814,0.88108837,0.86915698,0.92200269,0.71131323,0.64838925,0.85238059,0.74782196,0.85860713,0.79105166,0.6737126,0.75680095,0.92367055,0.79238548,0.77626243,0.76760041,0.7590231
10,1,0.84656024,0.82670515,0.78097884,0.77217295,0.85518811,0.88813914,0.85217688,0.95997332,0.89839644,0.96885212,0.89032817,0.83602989,0.8865274,0.78578929,0.47398621,0.80939513,0.8436708,0.7773787,0.87610856,0.81769672,0.89670741,0.74909902,0.71412031,0.87973753,0.92678582,0.78863825,0.66032427,0.91160175,0.6683007,0.69335431,0.68391727,0.80190539,0.84309059,0.8430154,0.90175224,0.68300584,0.68207393,0.91115499,0.7658393,0.88008986,0.77793885,0.70220077,0.7884644,0.91794163,0.70341728,0.68275631,0.74485669,0.78295116
10,2,0.83707716,0.76177022,0.79533977,0.81377494,0.86894524,0.92290442,0.88822725,0.98144217,0.89179025,0.95598551,0.95342574,0.8304433,0.93092656,0.79841625,0.49546246,0.84441661,0.90963052,0.68797372,0.84435206,0.8161835,0.92299297,0.74665712,0.73854008,0.89313588,0.93853097,0.81445571,0.71745265,0.86587282,0.70972028,0.7893433,0.80532228,0.74638633,0.79335237,0.83639557,0.81465724,0.704893,0.71820814,0.95048979,0.82712628,0.92333614,0.78690037,0.77707029,0.84554779,0.90190065,0.63630775,0.69853673,0.77496522,0.83817236
11,0,0.8586184,0.7772748,0.77549966,0.86898559,0.8619854,0.97193262,0.90604256,1,0.86448395,0.9343406,0.98412384,0.80780672,0.96710095,0.80678258,0.52432873,0.86141732,0.98806189,0.61429472,0.87428326,0.85831475,0.92727816,0.68036376,0.76285459,0.8516739,0.90016032,0.83195364,0.78306961,0.83072852,0.7586014,0.86581793,0.91432647,0.76927289,0.76907822,0.83247771,0.75555235,0.73388132,0.73309828,0.95208444,0.90730398,0.93730694,0.79533474,0.86697112,0.89519845,0.88571364,0.63820477,0.8324694,0.81790186,0.88398261
11,1,0.93208856,0.79348828,0.73672614,0.9305571,0.82600408,1,0.88360016,0.98089636,0.85394976,0.94456826,0.98695253,0.79271566,0.96142368,0.79962128,0.5420604,0.91580172,0.99706549,0.61668017,0.9444094,0.91294998,0.90878177,0.65517851,0.79080048,0.78890124,0.84143459,0.82969785,0.81799049,0.83337468,0.75132867,0.89189933,0.94187394,0.80486202,0.79224972,0.82558768,0.81656812,0.77809339,0.69741686,0.92019136,0.94383464,0.91919405,0.8018582,0.91188239,0.91169912,0.87413224,0.64841034,0.94712127,0.87643076,0.92310971
