,measure_number,beat_number,pid1263-25,pid50848-12,pid51495-05,pid5667230-13,pid5667269b-39,pid6100022-10,pid610003-27,pid9048-25,pid9049-25,pid9050-25,pid9054-25,pid9055-25,pid9057f-02,pid9057j-04,pid9058-25,pid9059-25,pid9060-25,pid9061-25,pid9062-25,pid9063-25,pid9065-19,pid9066-25,pid9067-24,pid9068-15,pid9070b-08,pid9071b-04,pid9072-25,pid9073-27,pid9074f-25,pid9075-25,pid9080-08,pid9089-09,pid9090-12,pid9092-12,pid9093-25,pid9094-25,pid9097-02,pid9098-09,pid9099-25,pid9101b-07,pid9103-13,pid9104-25,pid9105b-08,pid9111-25,pid9113-13,pid9118-25,pid9125-13,pid9127-08,pid9129-19,pid9133-14,pid9138-25,pid9139-25,pid9153-25,pid9165-05,pid9166g-04,pid9170-25,pid9174-25,pid917509-02,pid917813-04,pid9181-05,pid918726-08,pid918904-09,pid9192-25
20,8,1,0.49565303,0.61889915,0.56329457,0.52250561,0.41024275,0.47752585,0.47747056,0.36022445,0.58501229,0.34357136,0.4945393,0.38691281,0.52674595,0.53442115,0.61926422,0.44922280000000003,0.96581764,0.49969723,0.40661491,0.38470732,0.34289709,0.52117633,0.42173727,0.36238507,0.7518874,0.45781977,0.37279059999999997,0.37110477,0.35814957,0.52848782,0.42705956,0.74316035,0.46129539,0.76222802,0.32240386,0.31131066,0.60513017,0.67849985,0.42998393,0.29194844,0.59000146,0.31808531,0.47100409,0.61355948,0.50132763,0.67350389,0.53765255,0.42328003,0.47465544,0.47837999,0.37093542,0.28315569,0.58681572,0.39624343,0.33152691,0.24038184,0.48650442,0.30693959,0.47718951,0.46297957,0.28111452,0.67302627,0.59068582
21,8,2,0.50900865,0.60874097,0.55524548,0.49062776,0.41280837,0.42886813,0.44840416,0.33670672,0.54260731,0.32728612,0.4826973,0.36043427,0.53701121,0.49121275,0.60876227,0.42777367,0.96482204,0.49661517,0.378369,0.38182806,0.31843498,0.5120297,0.38633474,0.34838068,0.69916922,0.42526551,0.36908938,0.35743788,0.37763911,0.5047020000000001,0.38634483,0.70603641,0.43382507,0.68905795,0.31217722,0.27811425,0.56730475,0.67231013,0.42617205,0.26412494,0.59072504,0.29422209999999993,0.43676431,0.59811126,0.49984043,0.66676871,0.53538227,0.41567200000000004,0.47132795,0.47874183,0.33703683,0.27173044,0.54894971,0.35831038,0.31478407,0.21104879,0.47580199,0.2785667,0.44878773,0.47866467,0.28040476,0.68523158,0.56008688
22,9,0,0.52603265,0.59992685,0.54093023,0.45036387,0.41334123,0.39769635,0.41935484,0.31048764,0.49576528,0.30673804,0.46207412,0.34194829,0.51525718,0.43389709,0.59932168,0.4086767,0.95884842,0.50610201,0.35772897,0.38867989,0.29214717,0.50801802,0.35814701,0.33334706,0.64202291,0.3710617,0.37420059,0.33772666,0.40116355,0.46928562,0.35306583,0.69326258,0.40721892,0.59317334,0.31109976,0.24700038,0.5385624,0.66659012,0.42206076,0.24666336,0.58745067,0.27506576,0.40636265,0.5640857,0.49212357,0.66348099,0.54148421,0.41174549,0.46354981,0.46207128,0.29793536,0.2672173,0.49572724,0.29590116,0.3013245,0.19711301,0.46725664,0.23946299,0.42219693,0.49757848,0.27864953,0.692619,0.52788405
23,9,1,0.55062943,0.59354485,0.51901809,0.41509216,0.41440695,0.37386178,0.36955112,0.27249975,0.46164908,0.26022984,0.43004957,0.33718317,0.4595752,0.36882643,0.59276993,0.38857636,0.95328964,0.52933002,0.33161859,0.40625424,0.28215202,0.52026702,0.33125223,0.31976808,0.59160348,0.29204703,0.38416282,0.28311786,0.42704326,0.42905959999999993,0.32023824,0.71070977,0.37664106,0.47548933,0.31394204,0.21382308,0.52258806,0.66364661,0.41723383,0.24405553,0.5759465,0.26539835,0.38272728,0.49537681,0.47849620000000004,0.66372058,0.55559045,0.41273903,0.44937911,0.42887235,0.25682431,0.26857562,0.43312381,0.21192086,0.29352672,0.19852820000000002,0.46321903,0.17301692,0.39029193,0.50986547,0.27525417,0.69422496,0.49378498
24,9,2,0.57420338,0.58974125,0.49047804,0.39339591,0.41826525,0.36962634,0.33447687,0.23838514,0.43659488,0.22058737,0.39623889,0.34187225,0.39973327,0.34836695,0.58882771,0.37825479,0.95627645,0.5584349000000001,0.31524964,0.42290507,0.27597005,0.53970495,0.30350025,0.31067655,0.57898855,0.23338543,0.39600504,0.23302552,0.4429483,0.4028656,0.31134796,0.75977023,0.34584497,0.40711349,0.31379342,0.19518533,0.51701761,0.65986806,0.41027457,0.25864155,0.54572431,0.26807591,0.36969633,0.44201278,0.45757963,0.66393355,0.56989411,0.41554951,0.42778717,0.41370086,0.23562187,0.27072265,0.35379535,0.18519075,0.29460871,0.21483121,0.45792773,0.14525858,0.37299357,0.50773293,0.27238634,0.6909488,0.46774706
25,10,0,0.59578088,0.58593764,0.46118863,0.39399442,0.42405763,0.3937602,0.2963475,0.20916675,0.42782917,0.18695609,0.35669998,0.34673031,0.34910439,0.38362183,0.58488548,0.37110782,0.9649049999999999,0.57497089,0.31087336,0.43669021,0.33929190000000004,0.56504809,0.28425602,0.32687663,0.61920471,0.14667886,0.40485942,0.20260242,0.46768321,0.40201129999999996,0.32002508,0.79403174,0.32430168,0.42194692,0.30811815,0.19226213,0.51013591,0.65421068,0.40037973,0.30084284,0.50132291,0.28369034,0.35470549,0.44283969,0.43741623,0.65454957,0.58455671,0.4121674,0.40851502,0.41424362,0.25765017,0.27627644,0.29607734,0.21806495,0.30785374,0.24389667,0.44494838,0.18166777,0.35716972,0.49612357,0.26760023,0.68086336,0.45123214
26,10,1,0.60039339,0.5792722,0.43470284,0.41906414,0.42708703,0.42492291,0.29711555,0.20067534,0.43077034,0.19261369,0.32689433,0.35592261,0.36771399,0.39289873,0.57819009,0.3672506,0.9754417999999999,0.60774008,0.30545562,0.44439766,0.38322433,0.60205184,0.28281306,0.35471387,0.65174222,0.16173942,0.41354595,0.20696776,0.48510838,0.41169111,0.34326019,0.83944114,0.32004190000000005,0.49622335,0.30788594,0.20627627,0.50937021,0.64995199,0.39087922,0.33906792,0.47103494,0.29984968,0.34610763,0.49350686,0.43906300000000004,0.65196731,0.6014537,0.40731541,0.39521555,0.41955494,0.30186093,0.28417444,0.29121579,0.28019868,0.33146162,0.26217579,0.44142699,0.24131606,0.34550223,0.49537618,0.26610397,0.66326203,0.44737282
27,10,2,0.59839693,0.56994605,0.41086563,0.45485275,0.43018551,0.44898422,0.30394265,0.19877843,0.44684926,0.20394853,0.30792352,0.36208178,0.39755543,0.39184003,0.56809512,0.36560572,0.98481706,0.63108454,0.3012161,0.44735841,0.41830556,0.63224109,0.28596328,0.38701112,0.67731086,0.19560970000000003,0.42010911,0.21861148,0.50131369,0.42509754,0.37789342,0.87701295,0.31992842,0.56106156,0.31182426,0.22032862,0.51160031,0.64864724,0.3840295,0.37446703,0.45155679,0.30733747,0.34795086,0.52605713,0.44328844,0.65738473,0.62605887,0.40336169,0.38636674,0.42538316,0.36660243,0.29246678,0.2968571,0.31958427,0.3532413,0.27573590000000003,0.44679204,0.29970691,0.33770411,0.50810164,0.26645885,0.63946811,0.44864255
28,11,0,0.59113887,0.56033647,0.38948320000000003,0.4969326,0.43384646,0.47115001,0.31167435,0.20304896,0.4762827,0.21353502,0.29736407,0.37440014,0.44079430000000003,0.38227198,0.55877424,0.36680648,0.99236705,0.65830293,0.29748154,0.44975553,0.44632664,0.65934936,0.2910565,0.42831069,0.7072915,0.25047064,0.42564834,0.23269812,0.5195082999999999,0.44161846,0.40871473,0.92332782,0.32299232,0.62454755,0.32134497,0.23403707,0.51109303,0.65311469,0.37889587,0.41762023,0.43231253,0.31925968,0.36210175,0.55595753,0.44886066,0.67020285,0.66469849,0.40219803,0.38316521,0.42887235,0.43225238,0.30153688,0.30778167,0.34823441,0.37046917,0.28532832,0.45444322,0.35158362,0.33256804,0.52824116,0.26758105,0.61342584,0.45409740000000004
29,11,1,0.58022227,0.54185791,0.36736434,0.53557777,0.43687586,0.49036822,0.32452637,0.21268249,0.51472756,0.2284255,0.29567236,0.39569111,0.48021583,0.3644328,0.54071503,0.37220166,0.99858956,0.68031209,0.29373646,0.45152112,0.50161771,0.69590381,0.29523537,0.45991492,0.73951444,0.31097929,0.42866135,0.24760745,0.53866004,0.45938383,0.43457053,0.97248564,0.33119763,0.67911436,0.33887238,0.25981085,0.50661371,0.66366749,0.37715788,0.46786316,0.40917264,0.33338031,0.40652597,0.58292614,0.45373715,0.68698754,0.70384961,0.40483838,0.38272434,0.42453025,0.50220228,0.31542683,0.32316996,0.36316053,0.38901222,0.29259469,0.46002028,0.40444359999999996,0.32621475,0.56978575,0.26919240000000005,0.57721462,0.4661933
