,,pid1263b-01,pid52932-16,pid610003b-05,pid9048b-05,pid9049b-01,pid9050b-01,pid9054b-01,pid9055b-01,pid9056-10,pid9058b-01,pid9059b-05,pid9060-30,pid9061-30,pid9062b-04,pid9063b-05,pid9064-12,pid9066b-01,pid9069-01,pid9070b-13,pid9072b-05,pid9073b-05,pid9074g-01,pid9075b-01,pid9085-03,pid9088-17,pid9093b-07,pid9094b-01,pid9099b-05,pid9101b-12,pid9104b-01,pid9111b-03,pid9112-09,pid9117-05,pid9118b-05,pid9120-09,pid9121-09,pid9134-07,pid9138b-01,pid9139b-01,pid9153b-01,pid9166j-01,pid9170b-01,pid9174b-01,pid917509-08,pid9192b-01
7,2,0.84959481,0.86186186,0.68875601,0.5114644,0.79687003,0.6365649,0.6578796,0.46067338,0.60871557,0.72361503,0.7341224,0.68632756,0.6596888,0.61684286,0.59134951,0.83188217,0.69333798,0.59997388,0.64504851,0.69826566,0.63162543,0.65633974,0.55308278,0.58188559,0.44273086,0.83115495,0.87547845,0.79936513,0.71262415,0.67086593,0.6509421,0.80328148,0.70050121,0.71589304,0.60705929,0.8423156,0.68425968,0.84078085,0.47258991,0.65291428,0.54353593,0.41545291,0.81806949,0.55959069,0.68406826
8,0,0.81361426,0.87695804,0.72110959,0.50147423,0.71880362,0.67627593,0.60545187,0.4540473,0.63399991,0.65746859,0.70017417,0.6751443,0.57522581,0.56707447,0.52512221,0.74639922,0.63986048,0.58004701,0.63572288,0.65679763,0.65592376,0.64009225,0.52016704,0.48703213,0.35390997,0.767612,0.89894473,0.80996575,0.65890653,0.62493701,0.62919368,0.77360367,0.68162738,0.67431116,0.58455412,0.84509611,0.73668565,0.82612361,0.4447956,0.55427161,0.5458919,0.36340283,0.72910307,0.4832825,0.67043809
8,1,0.73628039,0.85601818,0.75948859,0.53586202,0.60927073,0.73749709,0.56668538,0.50665474,0.69954883,0.59510764,0.64081229,0.68927369,0.55611385,0.50692481,0.51246508,0.6907641,0.55314963,0.54566902,0.66744447,0.65356732,0.71068462,0.62997998,0.51997052,0.42102754,0.28967088,0.69788738,0.88442139,0.77715312,0.61404437,0.58629492,0.63245862,0.76076681,0.67041272,0.61197424,0.56559827,0.83125615,0.77705011,0.80815877,0.43990346,0.49892575,0.54215007,0.3317488,0.65313272,0.41870787,0.64312755
8,2,0.69597245,0.81115981,0.7548978,0.58012118,0.56472831,0.73990523,0.53402329,0.58295789,0.77148933,0.55634512,0.62542158,0.70436508,0.60852372,0.49912104,0.5411662,0.66085931,0.53661667,0.51602681,0.69134793,0.68267302,0.72094955,0.62293969,0.56413658,0.44422669,0.32792738,0.66258118,0.85244142,0.71265558,0.61389585,0.57676701,0.65754062,0.77152937,0.68541781,0.56578412,0.55672009,0.81943675,0.78892938,0.79246384,0.464559,0.49415693,0.53052861,0.35056864,0.60073412,0.39600321,0.63357711
9,0,0.71241491,0.77216947,0.74553259,0.68934346,0.65191452,0.73372951,0.53163766,0.65094978,0.83978757,0.56307488,0.68636688,0.72835498,0.7166148,0.6003207,0.61474337,0.67507527,0.58526683,0.56073823,0.7358191,0.753181,0.74014165,0.64826386,0.66617539,0.51534251,0.48414253,0.69232224,0.83578966,0.64239412,0.68070175,0.59768598,0.69147151,0.78502083,0.76427285,0.58425299,0.5784092,0.82077783,0.79373576,0.78520008,0.55154611,0.55139726,0.53130073,0.41669992,0.64440326,0.41332263,0.63146913
9,1,0.78922204,0.74105998,0.74227313,0.81874048,0.78131554,0.73169424,0.57370194,0.71451663,0.88215528,0.61453318,0.78696065,0.77002165,0.82565465,0.76745457,0.72534916,0.74259093,0.66650855,0.68547924,0.80498757,0.87843169,0.77290373,0.71563833,0.78535986,0.63396893,0.63300694,0.76925606,0.81984439,0.67341074,0.79221201,0.65153163,0.73446487,0.82194168,0.84846112,0.67360496,0.62806017,0.86101922,0.78470387,0.78312472,0.66325371,0.71182405,0.55249456,0.5040403,0.77649368,0.47715891,0.64431777
9,2,0.85032415,0.71594026,0.7358575,0.89487099,0.85041309,0.72282296,0.62000421,0.73974848,0.8894633,0.67915214,0.87213997,0.80892256,0.90952562,0.86190759,0.80403282,0.827488,0.72340426,0.74414556,0.86264133,0.9556962,0.78370202,0.74394744,0.85168263,0.72057733,0.71855025,0.81265927,0.8147648,0.74515078,0.85729138,0.68624851,0.78488062,0.86568052,0.86114809,0.71686257,0.6386196,0.8895485,0.74758542,0.79272326,0.70334333,0.81940916,0.56388834,0.56993216,0.85855502,0.53054575,0.66413566
10,0,0.88638574,0.70939859,0.7266874,0.93220723,0.88203051,0.71374971,0.65785855,0.73642398,0.87015932,0.72255244,0.87902779,0.83423521,0.93806452,0.87308469,0.85288932,0.89120352,0.76830136,0.75374771,0.88308877,0.98216341,0.78119262,0.74744583,0.8672562,0.79223164,0.79151367,0.8378956,0.82501341,0.81501128,0.9031746,0.68366264,0.82401404,0.90640143,0.8590336,0.73444569,0.62965293,0.89906124,0.69474943,0.80640768,0.71282456,0.85947594,0.5693724,0.62230646,0.89606047,0.56601926,0.68731627
10,1,0.90915721,0.72345589,0.7137299,0.95028674,0.88989514,0.68430047,0.70509402,0.69811191,0.81692358,0.7604184,0.82376692,0.84638047,0.92652751,0.81731797,0.89743366,0.971031,0.85061737,0.73195787,0.8765937,0.96399803,0.75841567,0.73264294,0.79778924,0.85528778,0.83319733,0.86979038,0.86491683,0.86158216,0.95173118,0.66046943,0.85811275,0.94338179,0.84180437,0.74131616,0.60726576,0.89780957,0.65135535,0.83144173,0.69452231,0.86179865,0.57618293,0.6735834,0.94926588,0.59630819,0.73894027
10,2,0.91547812,0.75487379,0.69482733,0.94849391,0.86638068,0.65600093,0.74789503,0.67052997,0.73862675,0.77701035,0.7567651,0.82208995,0.90314991,0.72968286,0.91288408,1,0.86667597,0.69926874,0.85919333,0.90909091,0.73417854,0.70829345,0.70002456,0.86858227,0.83639331,0.88861488,0.90502593,0.8751984,0.96955351,0.64864739,0.84010985,0.97024569,0.82661132,0.73869485,0.62471733,0.84742959,0.65730068,0.84804462,0.65963872,0.82499819,0.57982578,0.70276337,0.98371856,0.60569021,0.78296408
