,,pid5667203-03,pid58917-01,pid610003b-11,pid9048b-11,pid9050b-07,pid9054b-07,pid9055b-07,pid9058b-07,pid9059b-11,pid9062b-10,pid9063b-11,pid9064-18,pid9065-23,pid9068-16,pid9072b-11,pid9073b-11,pid9079-06,pid9081-07,pid9085-21,pid9090-18,pid9093b-13,pid9094b-07,pid9099b-11,pid9101c-01,pid9111b-09,pid9115-09,pid9118b-11,pid9133-07,pid9138b-07,pid9139b-07,pid9149-12,pid9153b-07,pid9157-10,pid9158-09,pid9174b-07,pid917506-05,pid9179-09,pid918807-12,pid918821-09,pid918824-05,pid9192b-07
8,0,0.5822406,0.39260055,0.61719408,0.57507306,0.51705712,0.75298776,0.71326352,0.85391453,0.42507873,0.595821,0.49096604,0.71232385,0.46023245,0.90741844,0.51815362,0.52675634,0.50176393,0.54098334,0.55927674,0.62989719,0.45243353,0.45992947,0.64557607,0.56984528,0.94658256,0.68233766,0.70814059,0.46776315,0.78157487,0.47329901,0.61973395,0.65528377,0.73541317,0.45848943,0.62885506,0.18702529,0.85651268,0.29793654,0.69765663,0.56070254,0.64803612
8,1,0.62043026,0.43383434,0.76105827,0.7295149,0.67757986,0.82836573,0.83220653,0.93683761,0.48821728,0.63943223,0.52331321,0.75865573,0.55573457,0.96774914,0.61190768,0.67544788,0.54015385,0.59767643,0.61721066,0.66715494,0.5435645,0.53956013,0.74084195,0.64396228,0.98219419,0.76232767,0.72668448,0.48656189,0.84901229,0.55288074,0.68262653,0.75224813,0.84953421,0.54444109,0.68808736,0.18521852,0.92715907,0.29876387,0.72154936,0.59776466,0.70762756
8,2,0.68799941,0.44945082,0.82198408,0.81055913,0.75605034,0.86313895,0.92733749,0.90675214,0.50999825,0.66832103,0.54953962,0.76028696,0.63063624,1,0.65202308,0.76603462,0.56422412,0.61396386,0.64072326,0.65211537,0.56439021,0.60904788,0.78508124,0.67324169,1,0.79381618,0.72188233,0.49044121,0.85513883,0.60265022,0.6980096,0.75900572,0.8202216,0.60253021,0.73838518,0.1884639,0.95031256,0.29876387,0.70757771,0.59283917,0.72656497
9,0,0.69798039,0.45783302,0.86971989,0.87656341,0.82559535,0.87616991,0.90837741,0.77795726,0.47846396,0.65067912,0.57678491,0.69830045,0.6794151,0.97988977,0.6427912,0.8453329,0.56430986,0.60781797,0.60952603,0.56757347,0.48267689,0.6577487,0.77304284,0.66362572,0.99433088,0.7677023,0.6537705,0.48317413,0.81234411,0.66699266,0.63316663,0.69372635,0.70345444,0.65787764,0.73477002,0.19959092,0.88385574,0.29876387,0.66578354,0.55704471,0.72079607
9,1,0.66669106,0.45173838,0.86071128,0.85860121,0.82306873,0.85356371,0.86973213,0.66762393,0.43638908,0.61210049,0.55416604,0.62278589,0.65713683,0.91620736,0.61777137,0.83636955,0.53215493,0.57811547,0.53323805,0.51056319,0.38253622,0.65515033,0.7088257,0.62140171,0.95544554,0.68905095,0.61349485,0.46774986,0.7345289,0.66650904,0.55588118,0.63809063,0.62716431,0.66678248,0.70724686,0.20128861,0.74551117,0.29876387,0.6320583,0.51143797,0.69160091
9,2,0.59664862,0.42513833,0.81243911,0.76594584,0.76110358,0.80460763,0.79344395,0.53494872,0.3888471,0.56354006,0.49283774,0.51763601,0.57675726,0.81923134,0.56506311,0.76058221,0.48070704,0.52816201,0.41458486,0.46467109,0.28269799,0.61068114,0.63531758,0.52646859,0.90402427,0.60042957,0.52030061,0.42244689,0.60789258,0.62617546,0.41955391,0.56434668,0.54843348,0.64210725,0.65338352,0.20130224,0.60804221,0.29957173,0.54623933,0.43094639,0.63795371
10,0,0.51736426,0.38691882,0.7616603,0.62755698,0.70120039,0.73455724,0.69610561,0.41553846,0.34113891,0.49737943,0.42965283,0.44095995,0.46095469,0.72329063,0.51366751,0.68798028,0.42337939,0.45896852,0.26470119,0.41108179,0.26198481,0.55439866,0.55207533,0.43979535,0.84030661,0.50024975,0.43671066,0.36678136,0.50252162,0.55788885,0.31616323,0.48384514,0.44490896,0.58376133,0.59957809,0.20120679,0.46275935,0.29957173,0.454268,0.37747242,0.56569349
10,1,0.40324894,0.29238583,0.69180249,0.46302357,0.61078412,0.60756659,0.59089746,0.32477778,0.29515395,0.4129513,0.35347925,0.36407891,0.33932976,0.57037837,0.43053732,0.59190625,0.33978882,0.37013383,0.19923552,0.35564553,0.26276551,0.47351522,0.43353028,0.32031683,0.74996806,0.37854146,0.35729886,0.29921218,0.37611288,0.46714097,0.21815363,0.40267488,0.33478728,0.48817221,0.54838683,0.20096816,0.29457794,0.29957173,0.37033339,0.30508032,0.47061196
10,2,0.3196912,0.22468412,0.62238252,0.321128,0.5318393,0.4862203,0.47178383,0.26326496,0.26363716,0.35965022,0.28758491,0.32252968,0.28219516,0.45732161,0.33179228,0.5188393,0.25410358,0.31735614,0.20604268,0.32997907,0.26073287,0.38427988,0.3527548,0.24997843,0.66386139,0.30044955,0.36693029,0.31737322,0.32395995,0.39407194,0.16364273,0.33342719,0.30495511,0.42793807,0.50127399,0.1988273,0.21944272,0.30271559,0.3138106,0.24781304,0.42908119
11,0,0.2489097,0.19351722,0.53391639,0.21827391,0.43369797,0.38457163,0.3478502,0.21876068,0.2408415,0.3299551,0.21497358,0.32775643,0.26421698,0.38073142,0.24348359,0.43536743,0.21976824,0.29076671,0.22015555,0.31839687,0.25292587,0.3014291,0.3112777,0.22560562,0.56970616,0.2763037,0.44392745,0.36791062,0.29811561,0.34950402,0.16154231,0.27940167,0.31570871,0.39583082,0.48015387,0.19861594,0.19929287,0.30347479,0.29869544,0.23137217,0.41124847
