,,pid1263b-12,pid52932-24,pid5667249-22,pid5667271-05,pid5667274b-06,pid58917-06,pid9048b-16,pid9049b-12,pid9050b-12,pid9054b-12,pid9055b-12,pid9056-07,pid9058b-12,pid9059b-16,pid9060b-10,pid9061b-09,pid9062b-15,pid9063b-16,pid9064-21,pid9066b-12,pid9068-20,pid9069-12,pid9070b-24,pid9072b-16,pid9074g-12,pid9075b-12,pid9085-16,pid9086-13,pid9088-22,pid9089-07,pid9090-21,pid9093b-18,pid9094b-12,pid9097-24,pid9099b-16,pid9101c-06,pid9102-07,pid9103-20,pid9104b-12,pid9111b-14,pid9116-20,pid9118b-16,pid9119-14,pid9121-07,pid9124-13,pid9127-06,pid9129-17,pid9130-11,pid9138b-12,pid9139b-12,pid9153b-12,pid915412b-21,pid9166l-10,pid9170b-12,pid9172-10,pid9174b-12,pid918713-20,pid918805-02,pid918812-13,pid918904-12,pid9190-09,pid9192b-12
9,1,0.37383541,0.6173543,0.30212833,0.26574386,0.28787676,0.50990852,0.544332,0.36292261,0.42580958,0.50322188,0.63539172,0.35525101,0.28244891,0.48423043,0.62381456,0.44331087,0.42269013,0.55248486,0.46421642,0.46399566,0.50294461,0.49327071,0.1772585,0.48324113,0.24688347,0.34949769,0.31267752,0.32681926,0.28539726,0.70355464,0.30037113,0.5040246,0.358267,0.26132107,0.34954814,0.50592739,0.43491051,0.58232928,0.53680376,0.41954179,0.45390104,0.57138234,0.27065823,0.46990094,0.1741446,0.31342636,0.23861776,0.44180872,0.56012612,0.3729703,0.24327422,0.37463015,0.47564396,0.4189171,0.56447459,0.5343242,0.30092333,0.53151206,0.17653181,0.37102091,0.35991488,0.38119745
9,2,0.34544084,0.5453838,0.39204623,0.27208062,0.23220213,0.57847583,0.45785494,0.39657588,0.38018267,0.49880872,0.58983321,0.28751411,0.29091557,0.40759894,0.62389206,0.46139902,0.31707237,0.53639335,0.38670149,0.44985885,0.48452458,0.56525192,0.20889568,0.38631764,0.27641687,0.32789161,0.40990343,0.28138911,0.20587011,0.65804965,0.28694254,0.55367356,0.2405807,0.2445827,0.3629868,0.52771055,0.49130807,0.44043031,0.45930468,0.46362858,0.45775988,0.50484859,0.17822785,0.45347603,0.23361103,0.29772093,0.2456676,0.39227497,0.56333266,0.3310099,0.21535467,0.38039332,0.39433013,0.40567588,0.49803399,0.51323734,0.18258038,0.41922711,0.23798115,0.34070578,0.32119365,0.38273461
10,0,0.29420681,0.43773203,0.49944569,0.25813662,0.32537025,0.53870052,0.35240718,0.38093385,0.35831719,0.47065791,0.51971001,0.2845839,0.32837003,0.28810026,0.54705136,0.44015803,0.26319537,0.45651254,0.28588806,0.37915309,0.3978337,0.56512383,0.20842979,0.24710565,0.2917462,0.26642432,0.44718803,0.23195738,0.15153261,0.52792928,0.27660667,0.42989222,0.1754757,0.23836124,0.34162928,0.47632131,0.53407273,0.40816651,0.38056068,0.46764685,0.40757959,0.37326333,0.23246582,0.44652397,0.26882872,0.26209819,0.28003186,0.36241604,0.55295499,0.3290495,0.19483131,0.37062563,0.36625514,0.38447349,0.35128401,0.45382257,0.14984336,0.3729662,0.27595247,0.322386,0.27074869,0.30546921
10,1,0.24749623,0.39394504,0.61381582,0.26012862,0.47198779,0.48390943,0.32281125,0.34150454,0.44507335,0.43139976,0.42671586,0.35120344,0.40372248,0.2907212,0.43970972,0.37692308,0.23646502,0.39667404,0.2606791,0.31941368,0.37464003,0.55697694,0.18148067,0.2887667,0.34232355,0.27031725,0.4574323,0.28789266,0.19484898,0.47293587,0.31422651,0.26937002,0.24588735,0.27276458,0.35239581,0.50089528,0.62286748,0.4363985,0.34063999,0.53894083,0.32146529,0.36793979,0.31063291,0.50405979,0.26145988,0.32792248,0.35790452,0.3473365,0.58089488,0.35293069,0.24642445,0.35167251,0.40669867,0.42806572,0.36552618,0.38633535,0.15079143,0.37080488,0.26956991,0.39356666,0.2567131,0.32509554
10,2,0.31960955,0.49837075,0.75145113,0.30808564,0.65763191,0.38783676,0.40482159,0.33453524,0.56169388,0.43267903,0.39363929,0.48652901,0.51884207,0.35185576,0.41380962,0.36472229,0.21983524,0.49658752,0.3750597,0.41616721,0.45966403,0.54445773,0.15911043,0.47583322,0.45002946,0.38344349,0.51168339,0.38658248,0.32823352,0.55277412,0.39972166,0.32868432,0.37315594,0.27682176,0.39370002,0.5893554,0.7043412,0.48606174,0.3582073,0.6739419,0.32439586,0.49710337,0.40397468,0.60014152,0.21705842,0.44218088,0.50413699,0.33808385,0.71832025,0.3690198,0.29886101,0.33097261,0.46648377,0.4854817,0.51389926,0.36524849,0.20170651,0.43393274,0.21987431,0.50455272,0.29898433,0.4962293
11,0,0.38485041,0.60517144,0.70679287,0.31519097,0.69815435,0.31795145,0.43935877,0.34498919,0.58295046,0.41118181,0.35697025,0.53260287,0.55482338,0.39318382,0.41941802,0.39934154,0.20816809,0.56559646,0.42400746,0.52415852,0.51772603,0.54485056,0.14308073,0.53232357,0.4841051,0.44142102,0.55166635,0.41347277,0.38505692,0.59344555,0.40277726,0.38508117,0.42416041,0.2620094,0.39364801,0.61817733,0.73491051,0.46554724,0.38067134,0.69675255,0.3778903,0.59931525,0.43075949,0.68900584,0.18486562,0.47221189,0.58644898,0.33060101,0.76494264,0.35192079,0.2964605,0.33841126,0.4789209,0.49245706,0.57460946,0.33629354,0.22925804,0.47499784,0.18701885,0.5125472,0.3466628,0.55884501
11,1,0.39482581,0.59346681,0.51287455,0.28600894,0.64558309,0.28526823,0.39451614,0.32117596,0.54828397,0.36891837,0.3161046,0.50188696,0.52691272,0.37649956,0.40126823,0.38387172,0.20567034,0.56520235,0.37823881,0.59559175,0.51771306,0.56331341,0.13410497,0.39817838,0.45990338,0.42736946,0.53182162,0.36987372,0.37361969,0.54275907,0.34173935,0.39914366,0.39598211,0.22776491,0.38050842,0.59557298,0.74799124,0.40534144,0.35831796,0.64129612,0.38479478,0.59422135,0.39808101,0.71929949,0.14149559,0.43264599,0.55814639,0.30925989,0.73710337,0.32752475,0.25294839,0.35046046,0.44497028,0.43722181,0.49967995,0.29882025,0.20620775,0.45933258,0.14347015,0.44899797,0.33130199,0.52965605
11,2,0.36789937,0.51956716,0.40037128,0.24417693,0.5812607,0.26185806,0.31187654,0.31944661,0.42820371,0.32859077,0.29779705,0.44584811,0.49264217,0.32048373,0.37707321,0.3436982,0.19756359,0.5259925,0.20600746,0.64128122,0.47839538,0.55847993,0.14342287,0.30528269,0.42724166,0.37805684,0.43279682,0.2483899,0.27209295,0.51498966,0.25419682,0.40213456,0.32974756,0.16477596,0.37896106,0.48955915,0.7322639,0.35811974,0.31062339,0.54691314,0.36936709,0.53389839,0.33235443,0.67858659,0.12913815,0.35182429,0.47067239,0.3163805,0.68316898,0.31631683,0.20541378,0.40925673,0.39476452,0.40103062,0.41572811,0.29572689,0.16787304,0.41691018,0.13563433,0.38465001,0.26716967,0.39447983
12,0,0.35582097,0.46219502,0.4337081,0.24668653,0.55006326,0.27994916,0.30165362,0.33808906,0.36375588,0.33224584,0.31806805,0.40594251,0.48572786,0.31099384,0.42227859,0.36393989,0.20686444,0.49259829,0.19510448,0.66446254,0.45621352,0.54507259,0.21024241,0.33152071,0.4180747,0.35545935,0.39458436,0.23410418,0.27122876,0.53458717,0.23227562,0.40604897,0.35455235,0.17294328,0.41113062,0.39641269,0.74285986,0.33363891,0.31421985,0.53057598,0.38000767,0.53434724,0.32293165,0.6488767,0.2063374,0.41173643,0.43716355,0.33549642,0.64134299,0.34747525,0.21229815,0.47924663,0.36595031,0.40864824,0.35410348,0.3337111,0.19968673,0.44321777,0.21954046,0.39814116,0.23402012,0.30633546
12,1,0.43206095,0.46288401,0.59237567,0.30079994,0.59240902,0.38273736,0.45140759,0.42166018,0.47248824,0.42359551,0.43810818,0.4714789,0.54318074,0.38307828,0.54808709,0.41414517,0.27714117,0.54592906,0.27073134,0.72271444,0.49109482,0.55807003,0.46778773,0.4790784,0.46388594,0.44134831,0.4579057,0.37719021,0.38514227,0.67038744,0.36171832,0.46115501,0.48661966,0.28698127,0.49608608,0.49536923,0.80759711,0.42431244,0.43587237,0.63454429,0.49739931,0.63984718,0.4108,0.64944277,0.3208073,0.62020672,0.48878368,0.43163494,0.71188032,0.42783168,0.31065456,0.59165825,0.38462887,0.45873786,0.36251619,0.50391082,0.36502061,0.55139621,0.33664572,0.50331107,0.26687947,0.3469724
