,,pid1263-15,pid52932-08,pid6100021-11,pid9048-15,pid9049-15,pid9050-15,pid9054-15,pid9055-15,pid9058-15,pid9059-15,pid9060-15,pid9061-15,pid9062-15,pid9063-15,pid9065-10,pid9066-15,pid9067-15,pid9068-10,pid9070-23,pid9072-15,pid9074f-15,pid9075-15,pid9078-07,pid9081-03,pid9088-10,pid9089-08,pid9091-22,pid9093-15,pid9094-15,pid9098-02,pid9099-15,pid9100b-11,pid9101-15,pid9104-15,pid9105-15,pid9111-15,pid9116-06,pid9118-15,pid9126-03,pid9128-11,pid9137-09,pid9138-15,pid9139-15,pid9153-15,pid915410b-22,pid9161-13,pid9166e-08,pid9170-15,pid9173-20,pid9174-15,pid917509-04,pid917813-03,pid9179-07,pid9186c-15,pid918904-03,pid9192-15
7,2,0.63947951,0.48070966,0.69705042,0.62858123,0.57142186,0.31441198,0.5991476,0.49112943,0.49264681,0.57140141,0.65713606,0.54887268,0.58112679,0.57613839,0.81859296,0.67113674,0.61487209,0.60118122,0.75299589,0.38265909,0.58186373,0.49831215,0.60128253,0.64819602,0.64069272,0.58656203,0.48151349,0.57804569,0.77117311,0.64843607,0.52976067,0.59504003,0.66925926,0.81852118,0.93006424,0.50649225,0.65435163,0.5910927,0.73173121,0.6030853,0.57383111,0.56486873,0.67954358,0.45154095,0.55082838,0.64861217,0.66405578,0.78895339,0.59882334,0.65925237,0.35265995,0.51351595,0.5383904,0.4714038,0.5741307,0.65222683
8,0,0.62370852,0.49595182,0.65176539,0.63386607,0.56968314,0.30527866,0.5728173,0.51437082,0.5077129,0.56022535,0.65523402,0.5379443,0.58614225,0.57364358,0.83052053,0.69565026,0.61476003,0.59576624,0.76130165,0.37798444,0.60473675,0.49984283,0.61021313,0.64117394,0.65801074,0.58212471,0.48833478,0.59041878,0.73801231,0.66314824,0.52930747,0.58967566,0.66835875,0.80667624,0.93458789,0.50987263,0.6572841,0.56861151,0.74294173,0.58702837,0.56988094,0.58550336,0.70076987,0.4677071,0.5345759,0.65519056,0.67339073,0.78290598,0.57566138,0.64282128,0.32818949,0.52253945,0.52170848,0.45539755,0.56458693,0.65062971
8,1,0.64623292,0.52474801,0.57814695,0.6598392,0.58758056,0.27471151,0.55075525,0.54258201,0.5702861,0.54814789,0.69655594,0.51956897,0.61000193,0.56796054,0.82560918,0.70347803,0.66572939,0.55517563,0.76930558,0.40397373,0.64829659,0.51860052,0.62069974,0.62950996,0.68671976,0.61766438,0.48526925,0.58994743,0.65401435,0.70350484,0.54931224,0.5179995,0.63507625,0.78097631,0.94969691,0.51125645,0.61329029,0.52459122,0.77783583,0.56720795,0.54161476,0.62100375,0.72641371,0.50093009,0.54228345,0.6098209,0.71603518,0.70129818,0.53982469,0.60373814,0.31238769,0.55133486,0.50486175,0.43223793,0.55802713,0.66676282
8,2,0.70818478,0.55233959,0.5372209,0.69183253,0.62326799,0.25984941,0.57849577,0.54853925,0.6394596,0.55901408,0.78860132,0.51973475,0.64030731,0.56735292,0.79756329,0.64163071,0.75674684,0.52358098,0.77766723,0.45085822,0.66411004,0.55160585,0.6250943,0.63826602,0.70587146,0.69418081,0.47114787,0.57358593,0.6463101,0.78608253,0.59338475,0.430222,0.55043573,0.75872218,0.96326789,0.50877797,0.55932203,0.51204718,0.81465639,0.55854427,0.51712529,0.66940525,0.74907891,0.5359896,0.5654331,0.5048383,0.7621919,0.64811321,0.50299297,0.54627115,0.3441982,0.58464846,0.47852957,0.43072921,0.5822277,0.69987336
9,0,0.74769031,0.59646808,0.55029786,0.70837337,0.67508056,0.33304689,0.6552178,0.56727599,0.73542747,0.59889437,0.89810475,0.54805703,0.65269617,0.5753878,0.78124585,0.62473364,0.85728985,0.5661548,0.79179708,0.53828026,0.66865549,0.59418478,0.62737646,0.71141626,0.73169105,0.78880261,0.46995399,0.54945613,0.78455245,0.88096791,0.65397154,0.42722621,0.54693537,0.74802584,0.98299104,0.51830637,0.50414313,0.5585324,0.8463506,0.56340625,0.54259245,0.72733226,0.77799468,0.56996926,0.59906357,0.46908582,0.7875755,0.68302693,0.575077,0.55186907,0.3811816,0.71989805,0.47758652,0.49586404,0.67278257,0.73805671
9,1,0.79414444,0.60676883,0.6036228,0.71078537,0.70978786,0.40502496,0.70510812,0.61505631,0.81305003,0.62202817,0.94918823,0.57290451,0.66279474,0.58187862,0.77957713,0.67441226,0.9176829,0.63904259,0.81691558,0.60455875,0.67808344,0.60586989,0.63001697,0.76983306,0.75618633,0.82109646,0.48113419,0.53909536,0.90151589,0.92145695,0.68071082,0.4811587,0.59411038,0.74357502,1,0.55704647,0.49062416,0.58476906,0.85578702,0.59052441,0.61809509,0.78061559,0.80472917,0.57491921,0.63298217,0.52385197,0.78961655,0.76374778,0.68794125,0.60232472,0.42717125,0.82682851,0.48849112,0.56404231,0.73555282,0.77900514
9,2,0.81202342,0.60578546,0.66246912,0.71211884,0.72495972,0.44804812,0.76728298,0.66678636,0.91827004,0.63178873,0.94110454,0.55102785,0.68052764,0.58461648,0.78475396,0.74809369,0.94641238,0.70581287,0.87153461,0.66747613,0.70260521,0.59460161,0.63744813,0.80950996,0.80221337,0.82530096,0.51431414,0.52507252,0.97903578,0.92059093,0.69857677,0.51580424,0.66235294,0.71787509,0.99502398,0.58664372,0.51230159,0.60429491,0.84999673,0.6831407,0.70465978,0.80431029,0.81871506,0.57413888,0.67127679,0.59498345,0.8020597,0.83518787,0.76689568,0.66563139,0.46390417,0.86585743,0.50067753,0.62069713,0.77054665,0.82107929
10,0,0.79306441,0.58267639,0.71356614,0.71130503,0.72871912,0.45779524,0.79611407,0.67888853,0.94738163,0.62876761,0.8984444,0.52151194,0.67102822,0.58561012,0.78552195,0.75764727,0.91315953,0.71967672,0.90621087,0.68149456,0.69701221,0.57863195,0.64161637,0.82521271,0.80895536,0.76730077,0.5325457,0.50297317,0.9741528,0.89597555,0.70962074,0.50663531,0.68096587,0.68509691,0.97439609,0.57936661,0.53531746,0.59861654,0.84026644,0.69566339,0.7250887,0.78692624,0.82040143,0.56987467,0.72118675,0.61510907,0.7932635,0.81704564,0.81102424,0.67554398,0.45690172,0.85216126,0.51863212,0.60095378,0.75149199,0.82368254
10,1,0.75414444,0.55801852,0.7593355,0.69794097,0.70743824,0.46055324,0.8208712,0.6785213,0.95382299,0.61923944,0.84321717,0.48874668,0.63588133,0.58721138,0.77926425,0.71364797,0.84396426,0.71631955,0.93009971,0.64197803,0.67875752,0.54804565,0.63487363,0.81031772,0.76811447,0.68971609,0.55022385,0.48715555,0.93519754,0.82555273,0.72048978,0.4679046,0.69566449,0.61497487,0.92572152,0.57628916,0.56707022,0.57949075,0.82564923,0.67307288,0.7212568,0.73352384,0.83569792,0.56102309,0.75416892,0.60276717,0.75133393,0.77739881,0.84806128,0.66101916,0.42013613,0.78183971,0.5434902,0.54185381,0.69253596,0.80468585
10,2,0.7243201,0.52811604,0.77323582,0.68347877,0.66405075,0.4698175,0.82187402,0.67590991,0.92111427,0.6066338,0.79294885,0.47355438,0.61420564,0.58200014,0.76577226,0.61908074,0.75697098,0.69574137,0.92300125,0.57083724,0.64649299,0.52524942,0.61026971,0.77891222,0.68843304,0.59282085,0.55836961,0.49131617,0.88259166,0.68576668,0.72867934,0.4256004,0.71154684,0.52456569,0.89721343,0.56880551,0.59482109,0.58138785,0.79706785,0.64516191,0.72474178,0.64577008,0.88035011,0.55929692,0.76920583,0.56174349,0.69457827,0.76654572,0.85043039,0.63435001,0.38251021,0.67718765,0.57623146,0.49704327,0.60852446,0.76472244
