,measure_number,beat_number,pid1263-04,pid52932-04,pid9048-04,pid9050-04,pid9054-04,pid9055-04,pid9058-04,pid9059-04,pid9061-04,pid9062-04,pid9063-04,pid9066-04,pid9067-04,pid9070-12,pid9072-04,pid9073-06,pid9074f-04,pid9075-04,pid9088-04,pid9093-04,pid9094-04,pid9097-11,pid9099-04,pid9101-04,pid9104-04,pid9105-04,pid9111-04,pid9114-31,pid9118-04,pid9138-04,pid9139-04,pid9150-18,pid9153-04,pid9166c-06,pid9170-04,pid9173-09,pid9174-04,pid9186c-04,pid9192-04
28,11,0,0.94181085,0.70254003,0.71271498,0.66748068,0.60319504,0.73912475,0.49725762,0.81428145,0.78565542,0.48451804,0.63136358,0.57336435,0.63671637,0.62289525,1.0,0.6935559,0.877229,0.80737104,0.71363018,0.48793568,0.91997483,0.5046141,0.72067174,0.80352826,1.0,0.62464835,0.84421704,0.73894422,0.69367447,0.66695581,0.76223699,0.63126752,0.72737643,1.0,0.9124028000000001,0.37786926,0.96607577,0.84570017,0.87090179
29,11,1,1.0,0.63259825,0.72463527,0.74818708,0.57302358,0.73767606,0.40579027,0.71456499,0.69114992,0.64130499,0.37588574,0.46943034,0.52574767,0.54685108,0.81117327,0.74025901,0.72719951,0.8481770000000001,0.43105192,0.59587294,0.64486319,0.42814787,0.5695398,0.84828487,0.86557703,0.49778072,0.68567327,0.70999536,0.6392689,0.63772703,0.70527293,0.53281446,0.48023606,0.86974532,0.84220475,0.26222597,1.0,0.90740848,0.69809949
30,11,2,0.9366114,0.47820233,0.42748191,0.49906934,0.62847446,0.6428169,0.34673939,0.76831816,0.66701334,0.66265942,0.44046281,0.70840384,0.66065917,0.63546906,0.64772013,0.55290994,0.68121285,0.85777176,0.56341629,0.61868663,0.6398815999999999,0.59746132,0.7944331,0.68219536,0.81874661,0.49646791,0.39203416,0.69998452,0.63869085,0.60208051,0.80688389,0.51430919,0.45054658,0.82083968,0.79086652,0.18998115,0.79862323,0.72377494,0.64490043
31,12,0,0.94167403,0.60169578,0.79561143,0.67680212,0.84533911,0.83222334,0.59287699,0.96970601,0.82614796,0.77517548,0.67459799,0.66588409,0.75157381,0.63158758,0.79293432,0.67731503,0.86323109,0.908624,0.69662648,0.77127693,0.79118578,0.75650885,0.87647059,0.71375368,0.8423063000000001,0.8446505999999999,0.36878451,0.75870788,0.74031765,0.77263486,0.86001128,0.72101905,0.76383872,0.96344103,1.0,0.41599048,0.90254657,0.88830138,0.96797153
32,12,1,0.82085505,0.64157205,0.80065235,0.50440014,0.77997542,0.74657948,0.48374563,0.81055066,0.78932496,0.7371824,0.65036606,0.71270446,0.57221205,0.71189591,0.688183,0.53548278,0.70193747,0.8205215,0.71086914,0.59331432,0.60070959,0.71994811,0.7023381,0.76112382,0.7802690999999999,0.60704417,0.43462416,0.60044378,0.61265105,0.77060179,0.76482425,0.80646814,0.66580323,0.90206847,0.84937922,0.43164369,0.78229101,0.85534573,0.77368062
33,12,2,0.84178971,0.61948326,0.62176492,0.48535521,0.79630171,0.72991952,0.40352459999999996,0.9340396999999999,0.56721939,0.66248146,0.57098314,0.7571912,0.63740518,0.54931117,0.53654686,0.55146945,0.63886746,0.81877187,0.77667704,0.58314322,0.57163485,0.65221903,0.89119503,0.7840575,0.73117211,0.72094622,0.51355371,0.66804273,0.58509731,0.70974519,0.85584291,0.77409842,0.65091888,0.69559582,0.74184818,0.34270409999999996,0.70269954,0.67310672,0.75228288
34,13,0,0.75576232,0.5374163000000001,0.85197485,0.62215406,0.84206215,0.81377264,0.52714188,0.83897926,0.7126668,0.8021651,0.69538502,0.82776368,0.85399773,0.54224798,0.58551613,0.67868491,0.5805276999999999,0.83361553,0.52613261,0.75763625,0.65733263,0.55687946,0.96650585,0.91349232,0.70828066,0.80064015,0.6490465999999999,0.66809433,0.8680806000000001,0.60521822,1.0,0.73990138,0.89908112,0.80312141,0.85689737,0.33728797,0.65801314,0.68479566,0.89217839
35,13,1,0.52541888,0.5524818,0.76464239,0.61555757,0.84767979,0.58238431,0.48248465,0.65267124,0.69038462,0.74933267,0.59186822,0.72116469,0.63975063,0.45129018,0.53187984,0.66295245,0.41968783,0.68325996,0.46875365,0.67716255,0.52949246,0.50981192,0.84134348,0.86527279,0.71283186,0.61997224,0.77427667,0.46016306,0.77669355,0.52359718,0.95030019,0.75795224,0.85305767,0.65041824,0.64948232,0.35440928,0.56393413,0.59103235,0.72472174
36,13,2,0.5008645,0.70855895,0.4335666,0.53642956,0.5674585999999999,0.61477867,0.39685062,0.67251157,0.6060831999999999,0.50434009,0.69283566,0.59651015,0.56539367,0.35550514,0.39724883,0.57820334,0.42695903,0.57924145,0.26305658,0.6089116,0.33832524,0.55194107,0.7369178000000001,0.56252205,0.53191259,0.51130894,0.69238754,0.36412096,0.65096755,0.54419219,0.86940946,0.52055496,0.68105989,0.64277506,0.58001461,0.44377542,0.6253036999999999,0.59373426,0.45977133
37,14,0,0.46566243,0.64885735,0.437884,0.53632533,0.54694248,0.54753521,0.37822294,0.65617072,0.59219976,0.38807711,0.7138188,0.37324450000000003,0.66887261,0.35550514,0.17031956,0.605488,0.51413404,0.72637995,0.39552790000000004,0.74514417,0.42167146,0.73636616,0.66102245,0.42012414,0.39944013,0.68404996,0.47937864,0.55601424,0.75260811,0.76789103,0.89468505,0.74365271,0.55275665,0.85566156,0.67186493,0.62173395,0.67359849,0.78380786,0.40615583
