,,pid1263b-16,pid5667250b-05,pid5667269b-33,pid9048b-29,pid9050b-18,pid9054b-18,pid9055b-16,pid9058b-16,pid9059b-20,pid9061b-13,pid9062b-19,pid9063b-22,pid9066b-16,pid9068-22,pid9069-16,pid9072b-20,pid9074g-16,pid9075b-16,pid9085-09,pid9085-17,pid9086-12,pid9094b-21,pid9097-25,pid9099b-22,pid9103-22,pid9104b-16,pid9114-26,pid9116-05,pid9118b-22,pid9124-16,pid9127-01,pid9130-12,pid9139b-18,pid9153b-18,pid9166l-15,pid9170b-18,pid9173-02,pid9174b-16,pid9185-06,pid918812-16,pid918904-13,pid9192b-18
8,2,0.66497152,0.60422084,0.98003709,0.72920686,0.94582793,0.65779943,0.73991068,0.61545386,0.48873837,0.77720429,0.77130394,0.85135447,0.8761249,0.47875747,0.73069877,0.81388589,0.44723547,0.76768483,0.59724488,0.74098191,0.54423573,0.45151563,0.30384264,0.64180686,0.83344974,0.85730346,0.43676858,0.58116435,0.72388882,0.72976607,0.75991501,0.9464658,0.72581356,0.74165142,0.67672879,0.62411969,0.78876588,0.95169103,0.52581108,0.741547,0.77435201,0.72623464
9,0,0.54953095,0.50960192,0.82440527,0.57411962,0.8071962,0.51625453,0.64313182,0.62377298,0.41350579,0.66992911,0.63280885,0.7462536,0.76334368,0.35592798,0.7380831,0.67509343,0.3000265,0.68995808,0.43714,0.60668519,0.42510129,0.38215859,0.28272713,0.54929826,0.76893526,0.6500522,0.39899385,0.38789969,0.61148187,0.69656612,0.59370397,0.80788083,0.65363313,0.65148013,0.68394699,0.45050304,0.69197822,0.8693183,0.42654309,0.70931226,0.72923534,0.70880912
9,1,0.43276013,0.40129026,0.61652669,0.50655119,0.65467815,0.37515299,0.59472172,0.60696418,0.41017627,0.50040691,0.38479514,0.64573487,0.62342901,0.25078281,0.76416431,0.48352296,0.25830242,0.67698143,0.30008324,0.46173696,0.39325967,0.27422907,0.37949323,0.52941723,0.64641397,0.42187425,0.34434893,0.20783699,0.59068984,0.64171267,0.46077904,0.58584516,0.58360199,0.46250624,0.70831979,0.30825672,0.64721416,0.71784513,0.31832833,0.65272895,0.70480253,0.72502208
9,2,0.41233528,0.31680836,0.47008228,0.52890792,0.65899833,0.33337705,0.60387033,0.5828501,0.46338339,0.31337674,0.24313237,0.53831892,0.52585337,0.21512952,0.79705382,0.41227473,0.3266384,0.72203367,0.26047112,0.36032811,0.4682965,0.22672803,0.48723178,0.58046287,0.52415673,0.38428491,0.31513627,0.17706225,0.60407031,0.62246334,0.46057365,0.37522395,0.50471191,0.36790288,0.76328213,0.27147441,0.62434664,0.54561222,0.22499473,0.63371998,0.68192101,0.71537782
10,0,0.49834412,0.24434387,0.39252217,0.65024275,0.7095291,0.39054577,0.6701745,0.6439549,0.58172025,0.24748892,0.21660954,0.45223823,0.52315749,0.23615855,0.85581681,0.46335022,0.48011835,0.77826579,0.33235392,0.39502784,0.67135359,0.37599643,0.65848425,0.684664,0.37947189,0.4173131,0.2473967,0.19837886,0.60629488,0.64984262,0.48781161,0.36489121,0.44312639,0.29856145,0.87269961,0.33518647,0.64401089,0.3590389,0.26264949,0.66235665,0.66311163,0.67993255
10,1,0.61837128,0.2370024,0.34347289,0.84661946,0.87179843,0.42007618,0.75304954,0.78575895,0.67956586,0.26350845,0.34196656,0.4506244,0.55824282,0.35070453,0.95127479,0.60338012,0.61437908,0.81639715,0.45412852,0.562465,0.84686924,0.55028057,0.91546188,0.80088298,0.40135434,0.52895688,0.22592068,0.24143305,0.68571869,0.69832181,0.56483711,0.51151025,0.46860103,0.32907866,0.96186711,0.45520382,0.72199637,0.34367267,0.33858157,0.71414254,0.66175425,0.64371637
10,2,0.70806601,0.22911082,0.32652626,0.94984841,0.94468617,0.44207568,0.79100852,0.8879856,0.68225885,0.31335532,0.45248481,0.49121998,0.6647595,0.4435881,1,0.67999336,0.67417417,0.821854,0.57700183,0.65065282,0.90162063,0.65860342,0.98706437,0.8270936,0.45222317,0.59936561,0.2108479,0.24648455,0.74253337,0.71644813,0.61795326,0.60636416,0.52748615,0.36031931,0.98024425,0.57933218,0.77217786,0.3773557,0.40237376,0.7356488,0.69174585,0.60791777
11,0,0.77643521,0.21310262,0.31432256,0.96797549,1,0.50128637,0.77105731,0.97214326,0.62220499,0.34521234,0.48696578,0.52446686,0.69881691,0.50370766,0.99027384,0.72146001,0.69717364,0.81426765,0.63035625,0.71031219,0.88085635,0.69174795,1,0.8199275,0.4820954,0.60228861,0.20764384,0.23898791,0.77516409,0.70963099,0.65688385,0.67620314,0.58646772,0.35715949,0.93015906,0.6341804,0.80065336,0.39026841,0.43731737,0.73252719,0.71566156,0.60972456
11,1,0.78552524,0.20639628,0.31109311,0.9312125,0.99884281,0.53907206,0.72369128,1,0.56858169,0.3571092,0.4695046,0.54572526,0.69417184,0.52699972,0.94466478,0.74051159,0.69648472,0.79816331,0.64861828,0.73001197,0.81164825,0.6989721,0.98318369,0.82354308,0.49754685,0.58404401,0.20856208,0.22155844,0.77704727,0.68710754,0.67219547,0.72383292,0.61630983,0.34061201,0.83058695,0.66070252,0.8165608,0.3932507,0.43301971,0.71284461,0.71740676,0.61025456
11,2,0.7629526,0.22557512,0.32104792,0.87028007,0.92657224,0.59283752,0.65129838,0.96323669,0.51153093,0.37381406,0.42075609,0.55257445,0.67117921,0.50854683,0.87188857,0.7706918,0.68135488,0.75710388,0.64681205,0.73629306,0.68970534,0.70277428,0.92885406,0.83647179,0.46436968,0.55902995,0.2058269,0.18885804,0.7466301,0.64187084,0.69046034,0.79037038,0.62532033,0.31948279,0.72668392,0.67016479,0.83069873,0.39699444,0.41022603,0.67163934,0.70228169,0.55891753
