,,pid1263b-04,pid52932-19,pid9048b-08,pid9049b-04,pid9054b-04,pid9055b-04,pid9058b-04,pid9059b-08,pid9060b-02,pid9062b-07,pid9063b-08,pid9064-15,pid9066b-04,pid9069-04,pid9070b-16,pid9072b-08,pid9074g-04,pid9075b-04,pid9076-14,pid9077-02,pid9093b-10,pid9094b-04,pid9099b-08,pid9101b-15,pid9104b-04,pid9111b-06,pid9118b-08,pid9119-09,pid9139b-04,pid9158-10,pid9166k-05,pid9170b-04,pid9174b-04,pid9192b-04
9,0,0.31806783,0.44155875,0.38763409,0.41023298,0.46185617,0.32823628,0.50442105,0.31072822,0.6096353,0.47519638,0.62320614,0.27853244,0.71391081,0.51354272,0.77768783,0.51423943,0.53735399,0.29680405,0.37788735,0.36761925,0.36761309,0.5525764,0.4544139,0.41296243,0.43362264,0.42852184,0.47358802,0.49652574,0.29068218,0.35262952,0.54820034,0.35977707,0.60392482,0.42161886
9,1,0.33191413,0.44443136,0.40289035,0.41134436,0.47694752,0.31081231,0.55131579,0.32109522,0.54446389,0.39428222,0.58341901,0.26251516,0.65477854,0.50244873,0.75825905,0.42593138,0.47639776,0.30275815,0.36595234,0.35547851,0.36153778,0.51439369,0.49764753,0.43173825,0.49113962,0.3089866,0.50946692,0.42824849,0.2735066,0.33180812,0.51838464,0.37016314,0.51617456,0.41532896
9,2,0.3523002,0.45744447,0.42139452,0.4387997,0.50010998,0.31317693,0.56936842,0.35324375,0.49916849,0.37813069,0.56050974,0.26841267,0.64436177,0.50266716,0.75150082,0.35364453,0.40629964,0.33092751,0.36617991,0.35558357,0.38599771,0.50495774,0.55894099,0.45427116,0.53464151,0.29792691,0.55135251,0.34583261,0.27153762,0.33560271,0.50829632,0.40682808,0.47087714,0.42497234
10,0,0.39069096,0.47976611,0.44815256,0.4964024,0.5505285,0.33313242,0.62574561,0.38581852,0.45437637,0.41655282,0.53698501,0.27873711,0.67257554,0.51279546,0.76316172,0.34407304,0.376608,0.3750516,0.38991087,0.38061217,0.42335773,0.4930673,0.62631366,0.49822235,0.57776604,0.3825957,0.61612266,0.31149267,0.2864009,0.36910961,0.51203349,0.452543,0.45904508,0.4454677
10,1,0.43257261,0.52733694,0.4851907,0.57503087,0.6200892,0.35992211,0.6832193,0.42016327,0.44917578,0.47449909,0.53338643,0.32006519,0.7354683,0.54090407,0.80630344,0.38426594,0.37150755,0.43085246,0.45329035,0.44757302,0.4980425,0.50322659,0.70029103,0.55945998,0.63688302,0.48183396,0.69467998,0.33483463,0.31733915,0.41549076,0.53167917,0.50217022,0.47611263,0.50842625
10,2,0.4720368,0.58828977,0.52327175,0.65837655,0.68937496,0.3932678,0.74790351,0.44761595,0.48223924,0.52659665,0.55554268,0.35843693,0.7872103,0.56902419,0.84392396,0.44667943,0.40700825,0.49024955,0.53069094,0.52497023,0.55553302,0.52565832,0.74830234,0.61764197,0.66629434,0.56908688,0.76052515,0.37578947,0.35872814,0.47197344,0.55292796,0.54250388,0.52935331,0.57131671
11,0,0.52073787,0.65125186,0.56475963,0.70595209,0.74344718,0.43724036,0.81920175,0.47422338,0.53631656,0.56047928,0.59921801,0.41891298,0.82257302,0.59506346,0.8722576,0.5094905,0.46865753,0.53844518,0.60835704,0.60194719,0.6075302,0.55118661,0.78706548,0.66225617,0.68912453,0.65941568,0.80433234,0.43264884,0.39651238,0.52153085,0.5779854,0.57285008,0.61352441,0.63613073
11,1,0.57599675,0.72600267,0.60697259,0.78406191,0.78737704,0.49816395,0.87647368,0.50741222,0.63579869,0.59212773,0.66127724,0.48166313,0.85604545,0.62287317,0.88478261,0.58102636,0.5473758,0.59767965,0.69652949,0.69182368,0.64976633,0.59221391,0.8236055,0.69907754,0.7262566,0.7409218,0.83251139,0.49470233,0.43108567,0.57189534,0.6106295,0.60434783,0.68560421,0.72805345
11,2,0.6295147,0.78200298,0.64185538,0.84448835,0.810289,0.56111832,0.92263158,0.54652507,0.72983224,0.61822632,0.73528347,0.51735143,0.86971997,0.6538099,0.88829361,0.65259167,0.63481545,0.6471324,0.77688855,0.77107702,0.67968433,0.62920189,0.85772029,0.72537715,0.77101887,0.81044258,0.84611043,0.54237561,0.46233693,0.61785993,0.65663961,0.63207352,0.77250468,0.80144693
12,0,0.6864153,0.83141041,0.67161303,0.91158311,0.81817071,0.63010015,0.96368421,0.58891779,0.830124,0.64312955,0.8384621,0.53763645,0.87781409,0.70519866,0.8878843,0.7237962,0.71952967,0.68878604,0.85023074,0.84616283,0.7042148,0.67326073,0.89814066,0.74367253,0.82218868,0.87467939,0.8504374,0.60730515,0.48771154,0.6614163,0.70358912,0.65243227,0.85510586,0.87232956
