,measure_number,beat_number,pid1263b-02,pid52932-17,pid610003b-06,pid9048b-06,pid9050b-02,pid9054b-02,pid9055b-02,pid9058b-02,pid9059b-06,pid9060-31,pid9063b-06,pid9064-13,pid9065-20,pid9066b-02,pid9069-02,pid9072b-06,pid9073b-06,pid9075b-02,pid9085-04,pid9088-18,pid9090-15,pid9093b-08,pid9094b-02,pid9097-20,pid9098-16,pid9099b-06,pid9101b-13,pid9104b-02,pid9111b-04,pid9118b-06,pid9121-10,pid9134-08,pid9138b-02,pid9139b-02,pid9153b-02,pid915406-14,pid9166j-02,pid9170b-02,pid9174b-02,pid9192b-02
179,60,2,0.30271676,0.35930287,0.35907738,0.18495878,0.28328181,0.43593479,0.29935501,0.34610754,0.40935835,0.26370687,0.50983366,0.46477804,0.25542794,0.64072314,0.45103214,0.20774102,0.29844366,0.42178998,0.41623773,0.40717143,0.29272202,0.32158007,0.41797191,0.29384343,0.4373025,0.40904193,0.26486367,0.34780819,0.33741345,0.55241027,0.49576276,0.53852526,0.33934703,0.30184190000000005,0.21963806,0.29667904,0.3120212,0.31449829,0.47168748,0.35105122
180,61,0,0.35402697,0.39417811,0.39631939,0.20734692,0.30706979,0.4997795,0.32891131,0.39002600000000004,0.43309215,0.26448899,0.54425148,0.51429886,0.30417677,0.69110748,0.53430595,0.23861801,0.32788968,0.49072661,0.46791839,0.46333301,0.32380743,0.36436077,0.47954589,0.35202267,0.50956569,0.47293841,0.302848,0.4078617,0.40278602,0.62790209,0.54342733,0.60907897,0.39422319,0.33253598,0.27808441,0.31956092,0.36435417,0.37344892,0.50795888,0.39411734
181,61,1,0.39558767,0.42544622,0.426511,0.23615262,0.32402171,0.55716958,0.36746917,0.43103024,0.46813886,0.26448899,0.57166692,0.53713103,0.33335983,0.70768831,0.58206913,0.27139465,0.34920992,0.55090411,0.51169067,0.49763879,0.34586135,0.41887527,0.52745815,0.41524619,0.55686745,0.53199177,0.33299481,0.47699115,0.45405539,0.69701156,0.5694336,0.66692307,0.4497678,0.36004482,0.31657673,0.33136673,0.4142938,0.43736818,0.54866617,0.44218529
182,61,2,0.43781309999999996,0.47030184,0.47178894,0.28480877,0.36620674,0.60612722,0.43876105,0.49138049,0.5085927,0.26448899,0.61244249,0.54788776,0.37983017,0.69381237,0.61605424,0.30650625,0.38494217,0.6239134,0.56416321,0.52094839,0.36865062,0.48783809999999994,0.5463248,0.50612823,0.60458565,0.613367,0.3745005,0.53414283,0.48491592,0.74607298,0.58160327,0.73160716,0.50208978,0.39230004,0.36429202,0.35510823,0.46545148,0.54101055,0.60034066,0.49732082
183,62,0,0.45290944,0.48896365,0.51972026,0.31969367,0.41877152,0.63685688,0.48083919999999997,0.53139964,0.54232086,0.26448899,0.64450933,0.5508472,0.43051305,0.6774302,0.63310128,0.32677695,0.424155,0.68551758,0.60348636,0.5356425,0.38091886,0.56293053,0.54757552,0.56031173,0.63069838,0.66747929,0.41079589,0.56775057,0.49469997,0.76610602,0.57638104,0.76875377,0.53481565,0.43003185,0.38802142,0.39064317,0.48789974,0.60733648,0.64144007,0.54801028
184,62,1,0.45732177,0.51023269,0.57462616,0.35903364,0.48054739,0.65956835,0.54168832,0.57007799,0.57642575,0.26488991,0.68441276,0.54793376,0.50478878,0.67736907,0.66071796,0.3444119,0.47710489,0.75587259,0.6561673000000001,0.5452531999999999,0.39350135,0.64135046,0.53643448,0.62684378,0.64456311,0.72237519,0.43883431,0.63436921,0.48880646,0.78628923,0.55541049,0.77978297,0.55805657,0.48265747,0.41661366,0.44863946,0.50814698,0.6906903,0.69475658,0.60749751
185,62,2,0.44456647,0.53530511,0.6120956,0.37797052,0.52955591,0.6615729,0.58442801,0.58563415,0.58952255,0.26488991,0.69990899,0.52741701,0.57009631,0.6958907,0.67975059,0.35085484,0.51929541,0.79477439,0.67907975,0.54387745,0.39953491,0.69019264,0.51973254,0.65601134,0.65142199,0.74229183,0.44711337,0.67259724,0.47439829,0.78592882,0.5301385999999999,0.76236347,0.56709119,0.53913558,0.43813735,0.49417440000000007,0.52115009,0.72866662,0.72557501,0.629644
186,63,0,0.41366089,0.54221101,0.62327768,0.38191805,0.54608058,0.65587999,0.60167509,0.57545492,0.57112941,0.2699047,0.69711563,0.47605612,0.60252487,0.7189969,0.67895151,0.34738800000000003,0.53293984,0.77970305,0.67413049,0.52251927,0.40098674,0.70089512,0.48994612,0.65678356,0.64497955,0.73716574,0.44119659999999994,0.68892776,0.44987636,0.7785253000000001,0.50273351,0.71690946,0.56638052,0.58586914,0.44454932,0.52608534,0.52115009,0.7290548000000001,0.72883454,0.61475384
187,63,1,0.37342004,0.54266891,0.61554498,0.36393986,0.52757043,0.65426968,0.60070642,0.53710494,0.52204408,0.28297075,0.69602862,0.41031971,0.62273974,0.73826734,0.67188086,0.33579231,0.52485376,0.6862640999999999,0.60756038,0.48556932,0.40803846,0.66086787,0.44848951,0.62116188,0.60714548,0.68410914,0.41451595,0.68657131,0.41910649999999994,0.75732092,0.49403756,0.66665089,0.55690262,0.59840864,0.44186142,0.53347557,0.49948180000000003,0.65277868,0.6798804,0.56040476
188,63,2,0.34811175,0.53009065,0.57815136,0.34792416,0.49452109999999994,0.64513564,0.58354203,0.51574771,0.49986149999999996,0.28508051,0.69998483,0.38653684,0.56099564,0.78204991,0.66737696,0.31678012,0.48636881,0.53659589,0.49763478,0.47025076,0.41503991,0.6388597,0.43400038,0.55472193,0.57390442,0.63283741,0.38135556,0.67229883,0.38675404,0.73698754,0.50824717,0.61380069,0.55165353,0.53971471,0.43023781,0.51234385,0.48029233,0.52100666,0.61803522,0.48548209999999997
