,measure_number,beat_number,pid0198-03,pid1263-23,pid50848-10,pid52932-11,pid54293-10,pid59359-07,pid9048-23,pid9049-23,pid9049b-23,pid9050-23,pid9054-23,pid9055-23,pid9056-12,pid9058-23,pid9059-23,pid9060-23,pid9061-23,pid9062-23,pid9063-23,pid9066-23,pid9067-22,pid9070b-06,pid9072-23,pid9073-25,pid9074f-23,pid9075-23,pid9080-07,pid9093-24,pid9094-23,pid9099-23,pid9101b-05,pid9103-12,pid9104-23,pid9105b-06,pid9111-23,pid9118-23,pid9133-12,pid9137-13,pid9138-23,pid9139-23,pid9153-23,pid9161-02,pid9166g-02,pid9170-24,pid9174-23,pid917509-01,pid9176-07,pid918810-14,pid918904-08,pid9192-23
20,8,1,0.62308377,0.77602132,0.90654412,0.980174,0.89028274,0.86257184,0.81435292,0.88548831,0.68567833,0.86129748,0.68875139,0.91592981,0.90834637,0.90125627,0.62307527,0.94937545,0.76561869,0.8424530000000001,0.98152743,0.85771504,0.75353324,0.88294938,0.87939343,0.87240511,0.76140035,0.63470658,0.98310357,0.94421188,0.99953402,0.78465456,0.89314957,0.83073034,0.67139446,0.75793358,0.89600332,0.59243188,0.84596319,0.76728249,0.75900078,0.77029997,1.0,0.81240056,0.64406916,0.73118816,0.82785548,0.58718349,0.58002628,0.68117229,0.92469331,0.89612392
21,8,2,0.57233506,0.75213881,0.85382353,0.95875857,0.79555765,0.85071839,0.76678366,0.83143054,0.62321145,0.7982534,0.68414905,0.88954131,0.87727799,0.84820673,0.60819262,0.88253663,0.74890545,0.82214811,0.91239316,0.77529775,0.69160248,0.78528293,0.82580479,0.83125163,0.71301179,0.5619010999999999,0.96439641,0.91251602,0.99487418,0.73945617,0.80500678,0.77,0.62184018,0.73141242,0.87684968,0.54651407,0.77505496,0.73585978,0.70440908,0.75314837,0.9682601000000001,0.76715957,0.56113268,0.63937551,0.75876815,0.55112535,0.56074051,0.68704362,0.84527792,0.87454118
22,9,0,0.49979985,0.71031436,0.78852941,0.9050527,0.70477517,0.82952586,0.70925995,0.76141678,0.54325649,0.72028463,0.66126947,0.84084001,0.82278433,0.78337564,0.58782914,0.80338698,0.72099053,0.78078084,0.83995037,0.61138068,0.61219622,0.70480131,0.74831331,0.76165205,0.65823004,0.49778975,0.93523589,0.87133704,0.97958993,0.68272406,0.73426118,0.6805618,0.57798472,0.67606187,0.84580279,0.50100715,0.67646235,0.70043423,0.64834333,0.70902621,0.89551317,0.72939635,0.48657777,0.55464282,0.66282948,0.49940606,0.55909407,0.67830077,0.77783647,0.83849655
23,9,1,0.4174129,0.65574723,0.69472794,0.79055546,0.59632774,0.78433908,0.63848854,0.6542022,0.45965156,0.5832363,0.61193687,0.77169107,0.72248293,0.69094578,0.54509159,0.70640163,0.66734979,0.71036601,0.70147505,0.43391266,0.51970388,0.59988817,0.62039453,0.66040997,0.57173015,0.41580751,0.88014752,0.78523708,0.94389562,0.5986199000000001,0.65868052,0.62039326,0.54394301,0.55302662,0.78875674,0.44997845,0.55505625,0.64278383,0.5786851,0.62476353,0.76107808,0.67840898,0.42629497,0.44431787,0.56936525,0.4015161,0.56649146,0.64524373,0.68920585,0.7741154
24,9,2,0.33808006,0.57167759,0.54413971,0.5436171999999999,0.45591955,0.64416667,0.58017325,0.4506121,0.30574324,0.37943813,0.53133343,0.65537441,0.57124871,0.54614984,0.45271179,0.6118184,0.60854681,0.62420174,0.56028398,0.38657256,0.40029911,0.51217476,0.46979374,0.49581343,0.46359402,0.29818144,0.78196825,0.70682614,0.86180801,0.46435554,0.58311794,0.50524719,0.50783986,0.43649996,0.6661180999999999,0.38744526,0.43584853,0.57855677,0.51039003,0.43743807,0.52720673,0.58178755,0.38093633,0.32138967,0.41472118,0.32195217,0.61022648,0.5862838,0.54880554,0.70042578
25,10,0,0.28134173,0.50379676,0.49500735,0.44810105,0.36698037,0.54252874,0.49574341,0.28984182,0.27121754,0.31702246,0.44718437,0.55247306,0.45148983,0.49513767,0.37683887,0.51719914,0.55464214,0.56891563,0.47142266,0.41751213,0.36168399,0.47297398,0.36350318,0.36273777,0.40321539,0.27458208,0.67259134,0.61322512,0.77055918,0.36755114,0.56514234,0.45462359999999996,0.49852754,0.32885295,0.56913981,0.36127953,0.36789301,0.53023054,0.51549048,0.34585173,0.39055526,0.51725784,0.3747454,0.28599891,0.3699211,0.27149109,0.65880807,0.50831853,0.48109996,0.65729702
26,10,1,0.2755745,0.48647593,0.46280882,0.37129831,0.34762573,0.48471983,0.45376746,0.24892022,0.26143349,0.26651881,0.39495273,0.51484526,0.40095125,0.46376359,0.35579565,0.48293298,0.51396522,0.54952604,0.45918114,0.48210851,0.34080609999999995,0.46612242,0.34303797,0.28014418,0.38982045,0.27921942,0.61144869,0.5588380999999999,0.71561976,0.35054629,0.57294171,0.43307303,0.50724292,0.31852084,0.53706956,0.36684137,0.35917496,0.50061582,0.54651709,0.32635799,0.38771334,0.49994385,0.39409481,0.28511391,0.40318271,0.24562363,0.68365927,0.46987369,0.48274344,0.63075907
27,10,2,0.29494440000000005,0.47464487,0.46617647,0.34253806,0.36474793,0.44716954,0.42846688,0.2560729,0.28193561,0.28852232,0.3580089,0.488063,0.3713708,0.46723296,0.34461219,0.47498198,0.48721472,0.53671187,0.47406259,0.56426114,0.34660136,0.48223365,0.36566857,0.29015026,0.38646984,0.30613415,0.5896533,0.53261854,0.7073439,0.35426764,0.59476728,0.42294944,0.53206781,0.34405276,0.53461485,0.38059066,0.3846502,0.49918679999999993,0.58443125,0.343951,0.41593173,0.51261582,0.41886585,0.31036126,0.45114757,0.25432948,0.7165417,0.43719163,0.49880848,0.62520188
28,11,0,0.32800593,0.48902046,0.49171324,0.35675088,0.39509068,0.41142959999999995,0.43422448,0.27288858,0.31882618,0.35533685,0.34831062,0.48233628,0.35852632,0.49237779,0.34806812,0.50176555,0.47350567,0.53745884,0.49664323,0.69227172,0.37834443,0.51227168,0.40312279,0.35253192,0.39622117,0.33466461,0.59234162,0.52954293,0.72280522,0.3713875,0.63187528,0.42024719,0.56723177,0.37339248,0.56011617,0.41843126,0.42914565,0.52890415,0.61085964,0.37643456,0.43357016,0.55386991,0.44759323,0.34577471,0.48754707,0.29878868,0.73714153,0.42210381,0.519892,0.6385773
29,11,1,0.35514455,0.53638476,0.56402941,0.41705705,0.43924793,0.38241379,0.45820327,0.29189133,0.35158320000000004,0.42021994,0.36368187,0.49214562,0.39426195,0.56347068,0.37216657,0.531816,0.47280702,0.53783758,0.54598842,0.81964711,0.4226875,0.53652427,0.46660027,0.43559455,0.41251596,0.39177449999999997,0.61729191,0.5571038,0.76541473,0.42261562,0.63687302,0.43116292,0.6258198,0.45937819,0.6094731,0.45801557,0.48956852,0.58262277,0.62561962,0.41854788,0.44395706,0.6291343,0.45557916,0.38792321,0.53854223,0.35567365,0.75424751,0.42307085,0.53774139,0.68353399
