,measure_number,beat_number,pid52932-15,pid5667229-06,pid5667249-19,pid5667291-09,pid9048b-01,pid9049-26,pid9050-26,pid9054-26,pid9058-26,pid9059b-01,pid9060-26,pid9061-26,pid9062-26,pid9063b-01,pid9064-07,pid9066-26,pid9070b-01,pid9072b-01,pid9074f-26,pid9075-26,pid9090-13,pid9099b-01,pid9101b-08,pid9104-26,pid9111-26,pid9113-09,pid9114b-10,pid9118b-01,pid9119-06,pid9124-12,pid9129-21,pid9138-26,pid9174-26,pid917520g-09,pid9192-26
10,4,1,0.37441666,0.323171,0.19188443,0.43274412,0.21935577,0.44889353,0.24715749,0.33148436,0.15915445,0.40519888,0.43397529,0.55914875,0.29709954,0.29556392,0.24228868,0.42870344,0.32939843,0.23633638,0.31157654,0.61556304,0.20175068,0.29938017,0.26627607,0.35836987,0.29739661,0.44678359,0.18237939,0.22130525,0.55301216,0.14917154,0.22977608,0.30381034,0.31502247,0.37835062,0.16259956
11,4,2,0.37151041,0.28673655,0.17204807,0.46036335,0.23350868,0.38827418,0.23609575,0.27960947,0.16481434,0.37072693,0.47504989999999997,0.53057176,0.25347003,0.32478828,0.22706881,0.41635863,0.28507003,0.21462938,0.28079332,0.57434545,0.21194685,0.2802234,0.26082863,0.34945193,0.24724999,0.4376402,0.21544448,0.17699539,0.42504549,0.13322479,0.27398761,0.26495883,0.27554704,0.38212024,0.16494778
12,5,0,0.38161939,0.267977,0.16596267,0.49364144,0.24211285,0.39326374,0.24658627,0.2591095,0.19591802,0.38542878,0.50956465,0.49694949,0.23860848,0.35213066,0.24553289,0.42854825,0.27601004,0.2114218,0.26067749,0.55910651,0.23781364,0.30767045,0.28742415,0.3828218,0.24319229,0.43631515,0.24335259999999997,0.28126186,0.36802988,0.15315583,0.31671431,0.23646736,0.27920872,0.37624008,0.20460794
13,5,1,0.40111779,0.27522749,0.17223728,0.52291782,0.24912445,0.45295755,0.26428507,0.2901849,0.20664609,0.39847822,0.53560986,0.46542757,0.24912373,0.37093695,0.28436193,0.4588670999999999,0.29115051,0.23897218,0.25653579,0.58661032,0.27113937,0.35029055,0.33579549,0.44628093,0.31149679999999996,0.45274907,0.26329669,0.38184037,0.40246624,0.17554832,0.33148325,0.23774824,0.31406469,0.37083394,0.25043955
14,5,2,0.43001956,0.33034869,0.20447456,0.57022034,0.25406068,0.48608907,0.29145888,0.31839179999999995,0.22901123,0.41194566,0.55278632,0.45164194,0.28459516,0.39608818,0.32867824,0.50967833,0.3092705,0.27380238,0.27795138,0.63003305,0.29853444,0.40008394,0.39059078,0.50172252,0.37689269,0.49899384,0.27611168,0.43898581,0.47509817,0.22330237,0.31843735,0.26480276,0.36015619,0.37064208,0.27991032
15,6,0,0.4567696,0.38161171,0.23567885,0.61578592,0.25045759,0.49792624,0.30907607,0.35157537,0.26668382,0.43380576,0.55920591,0.45718731,0.33313179,0.42058072,0.34911925,0.56312077,0.33163307,0.30569695,0.31628392,0.67024657,0.32563298,0.45685046,0.43004115,0.56262919,0.41956431,0.54775676,0.29846991,0.47423845,0.54994732,0.27393928,0.28589011,0.30816425,0.40402269,0.37112739,0.29581096
16,6,1,0.48111639,0.42560967,0.26735873,0.66777144,0.2439288,0.50939457,0.32822559,0.39355452,0.29733299,0.46282411,0.5573178000000001,0.47794632,0.38180862,0.43634225,0.35776834,0.61093397,0.35891831,0.33420961,0.35990976,0.72655058,0.34047103,0.50328642,0.47297203,0.63124804,0.44773475,0.61023752,0.34123314,0.48645033,0.62925007,0.30787281,0.25242179,0.36452828,0.41240698,0.36840739,0.30693846
17,6,2,0.49452983,0.46599694,0.29805676,0.72466703,0.24386395,0.50592206,0.35388521,0.43142676,0.32380585,0.4823199000000001,0.548093,0.49924432,0.42138100000000006,0.43822422,0.36334432,0.6451044,0.39089952,0.35079841,0.40362314,0.75540163,0.34609375,0.5182141,0.49567552,0.67766207,0.47437309,0.6682428,0.38781216,0.47934557,0.69030744,0.32882866,0.23492139,0.41331468,0.41594342,0.36533752,0.30833087
18,7,0,0.48069023,0.48260901,0.30339044,0.74719205,0.25281401,0.48995825,0.38329858,0.45292898,0.34163451,0.48710078,0.54350758,0.50267822,0.44119348,0.43070977,0.35903561,0.66077878,0.39944944,0.34872742,0.42477608,0.74733096,0.33676437,0.5154313,0.49801911,0.67954901,0.47130888,0.6835276,0.42090748,0.45619633,0.70773872,0.33301408,0.23047483,0.43679027,0.39969056,0.35981852,0.30437784
19,7,1,0.44075031,0.47286161,0.29803631,0.72779721,0.26229012,0.48119694,0.41046332,0.45895974,0.33641197,0.49717197,0.56346766,0.48520309,0.45069225,0.42197876,0.3268914,0.63599041,0.36687718,0.32471236,0.42106539,0.71066345,0.31119982,0.50275052,0.46864756,0.64358754,0.44743551,0.6700022,0.42298538,0.41166953,0.69212719,0.31624365,0.22827537,0.4404553,0.35812274,0.34532691,0.28636498
