,,pid1263b-09,pid5667203-05,pid5667249-18,pid58917-03,pid59340-11,pid6100022-03,pid6100022-06,pid610003b-13,pid9048b-13,pid9049b-09,pid9050b-09,pid9054b-09,pid9055b-09,pid9056-14,pid9058b-09,pid9059b-13,pid9060b-07,pid9061b-06,pid9062b-12,pid9063b-13,pid9065-25,pid9066b-09,pid9068-18,pid9069-09,pid9070b-21,pid9072b-13,pid9073b-13,pid9074g-09,pid9075b-09,pid9079-08,pid9089-04,pid9093b-15,pid9094b-09,pid9097-21,pid9099b-13,pid9101c-03,pid9104b-09,pid9111b-11,pid9116-14,pid9118b-13,pid9133-09,pid9137-19,pid9138b-09,pid9139b-09,pid9149-14,pid9153b-09,pid9157-12,pid9158-15,pid9166l-03,pid9174b-09,pid917506-07,pid9179-11,pid918807-14,pid918821-11,pid918824-07,pid9192b-09
8,1,0.58453853,0.67878375,0.24491795,0.78489928,0.25414073,0.64450266,0.76451824,0.45735292,0.55229358,0.38012188,0.71886819,0.58934167,0.6705547,0.90504285,0.49203116,0.83147559,0.69413945,0.82240423,0.62015789,0.63421356,0.40589531,0.75332087,0.60930349,0.65056156,0.76611071,0.84141034,0.75142178,0.72907927,0.514354,0.8087509,0.74235,0.71879189,0.74937935,0.66304855,0.55029004,0.59630283,0.73487032,0.8179787,0.61527375,0.84858523,0.61777458,0.90026205,0.80438117,0.40887209,0.77889322,0.46615105,0.64553268,0.86279639,0.54698158,0.42953863,0.73672806,0.29727035,0.83494113,0.58805285,0.50698957,0.74480219
8,2,0.54304267,0.67042358,0.26399949,0.73531483,0.21840422,0.66218671,0.746761,0.44811044,0.56805024,0.35157497,0.7152782,0.56947992,0.64667307,0.91678554,0.45150539,0.82172016,0.73248298,0.81031375,0.6517207,0.62917078,0.44426358,0.77272431,0.59887014,0.63139309,0.77631939,0.80349635,0.76264305,0.74347625,0.47143259,0.80132002,0.77121198,0.71325847,0.73286381,0.6905929,0.54141236,0.60304518,0.7011964,0.80181723,0.62580192,0.75842668,0.59285502,0.91217343,0.78535927,0.41023577,0.84491863,0.4299909,0.61731984,0.83846089,0.57824184,0.47275668,0.7370892,0.29486877,0.82161033,0.57605885,0.52637249,0.73558829
9,0,0.50523071,0.66534555,0.34524234,0.6965629,0.1944675,0.7111082,0.73598888,0.46243694,0.6213325,0.38542614,0.68381773,0.57772877,0.63383944,0.925778,0.45384212,0.81292845,0.77096441,0.79696655,0.73153982,0.63087364,0.52400093,0.79392134,0.60203804,0.60421166,0.80079768,0.7605665,0.75474505,0.75882943,0.44724448,0.80284312,0.81014144,0.73145264,0.73001144,0.7198296,0.54864229,0.62401626,0.62575321,0.82430923,0.66990948,0.61882064,0.59711097,0.91527039,0.75707185,0.42369999,0.8941254,0.40407643,0.5733078,0.78305628,0.66151742,0.56642533,0.75716865,0.32325886,0.80695974,0.61261244,0.58673619,0.7442199
9,1,0.50617082,0.65902898,0.47707671,0.68287787,0.21555152,0.7308532,0.73328971,0.51143904,0.66069297,0.48049094,0.65611917,0.59969717,0.64851092,0.92903034,0.48457909,0.80611874,0.79950875,0.79007627,0.76101786,0.63959362,0.63401211,0.7999326,0.62817506,0.60449244,0.82152929,0.7416095,0.7478204,0.77776064,0.45537748,0.81696641,0.8292595,0.74879551,0.73299586,0.74988329,0.57477091,0.64888395,0.50825255,0.84344977,0.69297829,0.56004248,0.63711463,0.91058525,0.74927901,0.44744106,0.91620201,0.40703367,0.56238743,0.76918404,0.70336495,0.68632828,0.77890935,0.38417746,0.80357957,0.64793853,0.65342584,0.75704744
9,2,0.52654708,0.65853356,0.6123394,0.69150585,0.26120332,0.74388263,0.74007852,0.58168972,0.70524628,0.61882242,0.63815909,0.64334431,0.67772858,0.93795433,0.5334257,0.80015456,0.80823925,0.78603744,0.788871,0.65157124,0.71764719,0.77989869,0.66054062,0.65144708,0.8591572,0.7427897,0.7492109,0.78099938,0.49663996,0.84479761,0.8526671,0.77808368,0.73515274,0.76803221,0.60230349,0.6527422,0.41533491,0.87249572,0.72223394,0.5932182,0.70070286,0.88557135,0.75332883,0.47519921,0.90944502,0.43103731,0.59228735,0.76136191,0.76816524,0.78063622,0.80368364,0.47407582,0.8096373,0.69565217,0.72100319,0.79001541
10,0,0.58037364,0.66714144,0.71027859,0.71249472,0.31169606,0.75480744,0.75270735,0.65851051,0.7516968,0.71816153,0.63767368,0.68992758,0.71538365,0.95205925,0.59054823,0.79571779,0.79720762,0.78219795,0.78660228,0.67211254,0.77301266,0.73679805,0.68663473,0.68650108,0.88373217,0.76477097,0.74776478,0.76906231,0.52618445,0.87555193,0.84715725,0.79558051,0.73489744,0.76598973,0.62100042,0.64587712,0.37915466,0.89066806,0.75345812,0.64851948,0.80068917,0.85102835,0.77431429,0.49596648,0.88425679,0.47046406,0.67865855,0.76679605,0.80788802,0.84225526,0.81971831,0.57115747,0.81859096,0.74493066,0.76836163,0.82107381
10,1,0.64477093,0.69135497,0.78266124,0.74292154,0.37704876,0.75106978,0.76716015,0.7619507,0.78557941,0.78280834,0.66646441,0.7275181,0.75175431,0.97074028,0.66258987,0.78888081,0.75806257,0.77400763,0.75470223,0.69686575,0.81319691,0.7231776,0.69588816,0.73991361,0.89670454,0.80349635,0.75716451,0.75141117,0.54884718,0.90026,0.82643062,0.80433798,0.74437891,0.75624416,0.6391509,0.64086063,0.37657846,0.89677515,0.78245892,0.69650037,0.91172041,0.80933852,0.80726514,0.51896821,0.84329468,0.5088626,0.75587625,0.77333558,0.83074959,0.89232073,0.82448537,0.69724033,0.83016521,0.7861413,0.82524347,0.85178969
10,2,0.71704981,0.7094377,0.83748887,0.77595436,0.4721473,0.74036329,0.77810404,0.81953045,0.81352988,0.80676337,0.69815747,0.75707702,0.7833946,0.98864531,0.72210156,0.78389854,0.72359735,0.76512394,0.71800414,0.71691346,0.82740369,0.75899515,0.69554491,0.74637149,0.89323987,0.84391827,0.77165343,0.7368137,0.55486433,0.92009108,0.80819081,0.80567832,0.76510256,0.73616947,0.66709542,0.63677226,0.3913108,0.89819021,0.81113455,0.72820947,0.97425892,0.76733106,0.83383445,0.541017,0.79512134,0.55352138,0.80806146,0.78339381,0.85034653,0.90995918,0.82072951,0.76166481,0.84436954,0.81613568,0.85489959,0.87052577
11,0,0.78360061,0.72052267,0.86070474,0.80398648,0.53736169,0.7277443,0.78259447,0.85416694,0.83004364,0.80832547,0.72006148,0.76668861,0.80862328,0.99901859,0.76490413,0.77786162,0.69825045,0.75710695,0.68427991,0.72787101,0.824724,0.7910842,0.69220538,0.73805616,0.8851825,0.87098916,0.78148421,0.72575571,0.55163082,0.93610671,0.79472127,0.80362253,0.78783344,0.7163282,0.68956704,0.63228503,0.41214741,0.8934237,0.82821865,0.74599843,0.99431779,0.72517272,0.86298092,0.55842438,0.76110928,0.58959964,0.84385473,0.79160408,0.85603684,0.90957406,0.81538462,0.8020199,0.85464299,0.83343328,0.86123416,0.88259976
11,1,0.82850709,0.72454793,0.87609719,0.81863643,0.60975968,0.71125666,0.78095043,0.87314727,0.8371337,0.80100421,0.74742633,0.76556945,0.8299883,1,0.79845716,0.7671061,0.69042489,0.75214942,0.64916073,0.73403258,0.81273184,0.83856556,0.68498284,0.72161987,0.8710821,0.89621598,0.79636247,0.71428131,0.54403205,0.95075309,0.78566146,0.80095091,0.80969275,0.70197246,0.70988651,0.62581115,0.43468693,0.88448648,0.83327182,0.76108175,1,0.69656158,0.87967111,0.57335086,0.72613194,0.61981802,0.86642501,0.79653194,0.85403976,0.89640299,0.80758397,0.82254053,0.86586593,0.84191342,0.85361544,0.89056345
11,2,0.87638693,0.70844687,0.88646483,0.83483589,0.70295643,0.6827264,0.7688369,0.87494623,0.83107687,0.79071324,0.77825981,0.74107966,0.85093563,0.98045168,0.81568304,0.73561233,0.69527708,0.74880395,0.5977926,0.72810135,0.77041048,0.84648999,0.66970109,0.69493521,0.84038353,0.90868186,0.80940529,0.69117057,0.52315479,0.95993785,0.78061385,0.79744611,0.81942953,0.66841737,0.72343001,0.61307816,0.47904986,0.86080286,0.81522981,0.79274028,0.97241049,0.67026126,0.9005952,0.57654646,0.68057054,0.64954504,0.88470921,0.79921526,0.84074412,0.85658168,0.78468761,0.82156489,0.87463919,0.83843703,0.81016117,0.89210481
12,0,0.90382492,0.68373792,0.88557435,0.83765319,0.76211964,0.6518208,0.75307541,0.85747807,0.81063508,0.79394902,0.78431729,0.70592495,0.85044484,0.93971174,0.80452367,0.70460951,0.69885374,0.74613451,0.56701157,0.71408358,0.72357129,0.84190273,0.65296768,0.66579914,0.81395536,0.91008335,0.80727783,0.66192165,0.50836497,0.9508454,0.7725802,0.79355189,0.81059072,0.64583333,0.71594788,0.60009205,0.51865339,0.83235272,0.78390017,0.81706577,0.93515666,0.64886842,0.90519728,0.56309045,0.63016001,0.65381256,0.88407086,0.791275,0.82070947,0.80982824,0.7542073,0.796745,0.87454425,0.82551537,0.77214513,0.8849118
12,1,0.91535762,0.65958633,0.88220328,0.83434287,0.78733575,0.61961401,0.73668412,0.82875989,0.78564176,0.80499528,0.77719799,0.66859776,0.83821687,0.88803935,0.7716447,0.68461678,0.69320003,0.74175767,0.54469227,0.69927608,0.67872527,0.8201948,0.63761442,0.64241901,0.79365885,0.90447739,0.79202414,0.6292335,0.50020385,0.92933737,0.75996117,0.78888788,0.79352936,0.63235294,0.69786465,0.58462837,0.55356737,0.8096373,0.74512699,0.8265608,0.89702426,0.62402128,0.90127017,0.53867576,0.58085104,0.64527753,0.86542188,0.77485444,0.79400875,0.75798352,0.72153124,0.75757998,0.86841056,0.80863006,0.73242265,0.87258092
12,2,0.91015424,0.62162497,0.87310775,0.82103113,0.79457988,0.58592263,0.71855063,0.75994316,0.74432172,0.82147455,0.74242057,0.61384463,0.81292553,0.80831688,0.71863391,0.67169743,0.67734207,0.73472872,0.52977696,0.67878414,0.61625087,0.78682305,0.62218965,0.59820734,0.76175167,0.89333923,0.74855736,0.60261413,0.48974413,0.894783,0.74192475,0.7794693,0.75995246,0.61478758,0.65904161,0.56903429,0.59826216,0.78252774,0.70297038,0.82618151,0.83467972,0.58729453,0.88611401,0.49395383,0.52280909,0.61929026,0.8245902,0.75435828,0.74744665,0.69161981,0.6625641,0.66748864,0.85340866,0.78255247,0.67298974,0.85116458
13,0,0.88316444,0.58183057,0.84931943,0.8072968,0.77653873,0.56188106,0.70488304,0.69416381,0.69494967,0.8297056,0.70731954,0.57289664,0.77805856,0.71895149,0.6494308,0.66782435,0.66469017,0.72733576,0.52589867,0.6560464,0.57193635,0.75785377,0.61050486,0.56206263,0.7437354,0.87430848,0.71294687,0.585657,0.48197666,0.86095171,0.7284737,0.77223329,0.71606656,0.60632586,0.63057587,0.56002915,0.63783949,0.76167424,0.66636787,0.81989784,0.77761804,0.5464782,0.86341044,0.45425943,0.47451083,0.586697,0.75865764,0.72463927,0.69606967,0.63682508,0.59342723,0.58543829,0.83856817,0.75401987,0.63306903,0.83083576
13,1,0.82711879,0.54388779,0.82209643,0.78940696,0.73673928,0.54829273,0.69977098,0.61079897,0.64907812,0.83436615,0.67173311,0.54426596,0.74340044,0.61467094,0.58723038,0.66900627,0.66541412,0.71869475,0.52873457,0.63570253,0.53387813,0.7082201,0.60404748,0.52455724,0.72666989,0.85933466,0.68000612,0.57679673,0.48049346,0.82444345,0.71926597,0.76420033,0.66775244,0.60422502,0.60114334,0.55208253,0.67126888,0.74804498,0.64256965,0.81127519,0.71782935,0.51607242,0.84040007,0.42401216,0.43642186,0.5578071,0.68568041,0.70203358,0.65069305,0.59154279,0.53456844,0.48478643,0.82335739,0.72783921,0.59681117,0.80628532
13,2,0.7609834,0.49206094,0.78227961,0.75404987,0.66983057,0.53452974,0.69940291,0.51967775,0.59622339,0.83419449,0.64732116,0.51069783,0.68164446,0.50013124,0.48305872,0.66674243,0.67664397,0.70844167,0.53080402,0.61887134,0.48492398,0.66229319,0.59761156,0.51508639,0.70896785,0.83388655,0.64543849,0.57824645,0.48518909,0.76501177,0.71294259,0.75520739,0.58153006,0.59675537,0.57472888,0.53848278,0.69606148,0.73076637,0.62161877,0.7910461,0.62017069,0.4806321,0.80603792,0.40087078,0.37975402,0.51564149,0.59471536,0.66870306,0.58698705,0.52737426,0.46221018,0.37844155,0.79677174,0.69933471,0.54273895,0.77894331
