,,pid1263-07,pid52932-05,pid54293-08,pid5667249-03,pid5667249-21,pid9048-07,pid9049-07,pid9050-07,pid9051-11,pid9054-07,pid9055-07,pid9058-07,pid9059-07,pid9060-07,pid9061-07,pid9062-07,pid9063-07,pid9064-06,pid9065-04,pid9066-07,pid9067-07,pid9068-05,pid9070-15,pid9072-07,pid9074f-07,pid9075-07,pid9093-08,pid9094-07,pid9097-13,pid9098-15,pid9099-07,pid9100b-03,pid9101-07,pid9102-02,pid9104-07,pid9105-07,pid9111-07,pid9116-19,pid9118-07,pid9127-02,pid9137-04,pid9138-07,pid9139-07,pid9152-12,pid9153-07,pid915406-11,pid9165-03,pid9166c-10,pid9170-08,pid9173-12,pid9174-07,pid917509-06,pid917518-06,pid9176-03,pid9186c-07,pid918719b-03,pid918904-02,pid9192-07
7,2,0.12538598,0.11653924,0.24071612,0.96742398,0.23897462,0.15260779,0.20228545,0.060018855,0.61996545,0.16800971,0.30807049,0.13632318,0.1879013,0.35433661,0.15170776,0.13099404,0.16004198,0.11696695,0.19809769,0.36286279,0.15562668,0.14413258,0.6179826,0.10259667,0.15174215,0.15642655,0.13504534,0.17067956,0.11252037,0.33290816,0.20403525,0.21429864,0.19022022,0.17155999,0.17814953,0.23021577,0.14396702,0.32950138,0.25955963,0.30784825,0.24831878,0.3566439,0.13320879,0.23295787,0.12085173,0.08173831,0.17790483,0.17184924,0.13598497,0.17827133,0.13027358,0.21442743,0.15884873,0.1752207,0.12357715,0.23616718,0.45549147,0.26425365
8,0,0.1156433,0.114428,0.21391509,0.9714785,0.20220873,0.1555372,0.20642824,0.057574563,0.63140836,0.11767695,0.25341502,0.12567614,0.15084402,0.32646806,0.13857619,0.1090175,0.12166847,0.122372,0.16527506,0.3605154,0.12839149,0.12699012,0.6347357,0.093349524,0.14083967,0.15091265,0.13568291,0.16691457,0.10418054,0.30905612,0.16307666,0.18607764,0.15483277,0.14315913,0.15124609,0.2232163,0.12715237,0.26279004,0.22266577,0.25105705,0.2637409,0.31709202,0.11302459,0.24486542,0.10028564,0.088825992,0.14683143,0.1545233,0.11893172,0.1657193,0.12540566,0.17521754,0.14926372,0.15536761,0.12083908,0.23624634,0.36679935,0.22601354
8,1,0.10467613,0.11463842,0.16630575,0.95602936,0.15170775,0.12692976,0.18745966,0.054450634,0.66075189,0.093565069,0.19656607,0.11923143,0.12629059,0.30322482,0.12445432,0.087761969,0.10137459,0.12847051,0.1423856,0.33392869,0.10627022,0.11543371,0.68111408,0.075795504,0.11892893,0.14587136,0.12332814,0.19125221,0.078657975,0.26455676,0.11939612,0.15370792,0.11933109,0.12214719,0.10768234,0.21811142,0.098335183,0.18399041,0.16429952,0.21162757,0.26570597,0.25442128,0.080332783,0.23807051,0.091813815,0.091503037,0.11786795,0.1148945,0.092791027,0.14887487,0.11342008,0.12251131,0.1529585,0.14620257,0.12845156,0.22163382,0.28715678,0.19563235
8,2,0.068173913,0.091982886,0.11629503,0.91904928,0.15155416,0.078763039,0.16941975,0.047660267,0.73885324,0.077367569,0.1747296,0.085171174,0.10357252,0.29226658,0.10896827,0.071623726,0.090797671,0.12506805,0.10238355,0.2979269,0.093426939,0.087867142,0.75169789,0.040736659,0.10191074,0.11919274,0.077394446,0.2593567,0.080223907,0.20582749,0.087450892,0.097683225,0.084584629,0.15186925,0.08036735,0.23920758,0.07110195,0.13637774,0.11112278,0.18549088,0.2455968,0.18876108,0.057810409,0.23141457,0.07860296,0.094740256,0.084441166,0.086363212,0.06862681,0.11837279,0.083922552,0.11025061,0.15788487,0.1284251,0.13041678,0.2104884,0.22620634,0.1281938
9,0,0.21187223,0.14851652,0.083036021,0.89584062,0.39554597,0.17037552,0.34190213,0.1122386,0.90062521,0.098214768,0.34807503,0.21526874,0.25406666,0.37198403,0.17156932,0.18473371,0.20746885,0.28506157,0.35866324,0.38796326,0.15461491,0.29092094,0.81928739,0.2118376,0.14277025,0.22160474,0.1381482,0.37741006,0.36477007,0.32311862,0.28935346,0.42536512,0.27635971,0.41202779,0.13979117,0.35862717,0.14671793,0.17650751,0.14577906,0.39199971,0.30117176,0.35615265,0.22504127,0.34399503,0.19752012,0.19389705,0.18018443,0.40742392,0.14415224,0.19220213,0.21485459,0.18638183,0.15834672,0.19418424,0.22205907,0.30452782,0.3089277,0.33675098
9,1,0.31392192,0.35233219,0.15587479,0.92289409,0.60167483,0.28114569,0.49171442,0.18687007,0.99465285,0.38784963,0.44628999,0.3356128,0.37781597,0.47055283,0.33943007,0.28698327,0.35104957,0.45681141,0.51363496,0.55654781,0.37536651,0.39426297,0.78246905,0.50179961,0.21739504,0.4315678,0.2300085,0.43112392,0.51912421,0.47452168,0.40945112,0.59132627,0.47328172,0.57927187,0.41693468,0.45505601,0.59401459,0.21746244,0.30458442,0.55746452,0.49576419,0.56703211,0.37968546,0.66339965,0.31469099,0.26295772,0.28928071,0.58829385,0.28910487,0.4930281,0.41248726,0.30888444,0.18588353,0.29049801,0.29026221,0.43289005,0.51753046,0.55343783
9,2,0.32901508,0.4354212,0.18758576,0.92701852,0.60773788,0.33566586,0.52042416,0.22176894,1,0.45674071,0.48848045,0.37880007,0.42942115,0.52358722,0.36842664,0.35648914,0.400237,0.51181465,0.58060668,0.61350386,0.50933994,0.45282734,0.71932921,0.5957158,0.23497521,0.48777705,0.29037971,0.44936321,0.59450861,0.57580517,0.45461892,0.65121748,0.56432697,0.67262674,0.4850926,0.51026239,0.74871571,0.29021088,0.37493697,0.66327831,0.56055313,0.67822909,0.46411504,0.73822411,0.35986108,0.31064332,0.33669495,0.66925191,0.37158336,0.57721124,0.42152544,0.3862339,0.22554217,0.35689063,0.34569142,0.49935091,0.58908205,0.64130388
10,0,0.32559006,0.47338851,0.20950901,0.91932891,0.58061874,0.37873783,0.48419285,0.24191807,0.98362948,0.45458225,0.51381892,0.41299213,0.4525689,0.52141892,0.36632983,0.38658912,0.41166035,0.53794556,0.60480206,0.67908401,0.58707413,0.48372907,0.67099364,0.64175852,0.23425455,0.4807638,0.32819496,0.46021196,0.6027705,0.64299267,0.47807274,0.67086363,0.60719046,0.7322568,0.53434189,0.54683107,0.82971302,0.35868538,0.42340743,0.70415581,0.59597525,0.75215672,0.56216005,0.75614394,0.3866658,0.34884132,0.35985245,0.6863601,0.4252423,0.6125065,0.39953751,0.44632788,0.28189424,0.38212144,0.37033398,0.53744954,0.62655565,0.71300321
10,1,0.30881988,0.48470927,0.22191252,0.90304089,0.54200249,0.38548331,0.42779424,0.26038738,0.96569595,0.41082382,0.52365933,0.43557857,0.44814315,0.50038698,0.34883286,0.39040569,0.42073402,0.5476604,0.6428072,0.70555591,0.6040402,0.50778891,0.6439361,0.64680242,0.22640661,0.4543731,0.35520686,0.49058288,0.59032098,0.67827647,0.48384779,0.69932583,0.60046963,0.75825015,0.57146559,0.56129614,0.79300777,0.43208266,0.46596353,0.70637127,0.59406841,0.78870117,0.5972717,0.75263312,0.37717476,0.35816381,0.36425673,0.67667583,0.45680061,0.62047997,0.36388649,0.47221545,0.33443775,0.40556641,0.36646978,0.54846038,0.63167344,0.74036338
10,2,0.29760426,0.49297187,0.24335334,0.88745194,0.54377971,0.37393081,0.38076138,0.29467775,0.95368542,0.32958899,0.53829514,0.47634372,0.44780554,0.44574939,0.33714127,0.39174197,0.45402221,0.58261828,0.69662725,0.72622313,0.56144951,0.53462119,0.67343593,0.63646553,0.22310083,0.45329748,0.38908331,0.54601655,0.57877135,0.72798151,0.47441913,0.73329956,0.54480548,0.75863183,0.64562914,0.56896474,0.69134295,0.54913605,0.51722834,0.70834057,0.57898836,0.80721304,0.62207837,0.70737273,0.35331732,0.41155729,0.37563999,0.66193167,0.50956659,0.63916493,0.36751587,0.46626349,0.40436412,0.46691152,0.36243445,0.53235969,0.63766044,0.73879587
