,measure_number,beat_number,pid1263b-15,pid9048b-28,pid9049b-15,pid9050b-17,pid9053-20,pid9054b-17,pid9055b-15,pid9058b-15,pid9059b-19,pid9060b-13,pid9061b-12,pid9062b-18,pid9063b-21,pid9064-01,pid9066b-15,pid9068-21,pid9069-15,pid9070b-27,pid9072b-19,pid9073b-21,pid9074g-15,pid9075b-15,pid9085-08,pid9094b-20,pid9099b-21,pid9103-21,pid9104b-15,pid9111b-17,pid9118b-21,pid9124-15,pid9127-03,pid9139b-17,pid9153b-17,pid9166e-15,pid9170b-17,pid9172-11,pid9174b-15,pid918810-15,pid918812-15,pid9192b-17
20,8,1,0.52323822,0.47181049999999997,0.7671312,0.67458556,0.64569584,0.51783249,0.76188039,0.83931261,0.64471722,0.45795007,0.69790243,0.47511234,0.57613357,0.88810846,0.81201531,0.79684374,0.68391547,0.96404387,0.67824088,0.69560989,0.63050934,0.75805448,0.98901747,0.64855332,0.84203256,0.84370039,0.87886661,0.89348396,0.69932732,0.71901902,0.71126996,0.68821484,0.76867927,0.69870466,0.99710476,0.56235191,0.45767803,0.73008546,0.80404731,0.93181818
21,8,2,0.63711368,0.65762431,0.80590656,0.7647398,0.68775108,0.67763461,0.93709601,0.92016979,0.73148754,0.50723782,0.88185223,0.48152341,0.66148593,0.97002614,0.84650015,0.94871082,0.72212397,1.0,0.79160282,0.77532648,0.77127153,0.81465356,1.0,0.69465417,0.93898646,1.0,0.95055614,1.0,0.77395884,0.72295629,0.88683279,0.85017177,0.87355029,0.81589279,1.0,0.70008729,0.47700027,0.73003178,0.80532249,1.0
22,9,0,0.63001185,0.64263694,0.60099646,0.63795589,0.53020983,0.60503912,0.78173633,0.55994112,0.61281142,0.45801112,0.82056372,0.39700124,0.54759629,0.77120222,0.75141505,0.8294620999999999,0.63372535,0.80408202,0.65884156,0.64529036,0.70855991,0.58632293,0.70274195,0.58110591,0.77289608,0.95670371,0.81048957,0.81373142,0.58215084,0.52991325,0.58382657,0.77817462,0.66531243,0.73717617,0.71243429,0.52366879,0.38786775,0.55592176,0.59041767,0.61018831
23,9,1,0.43150697,0.48550901,0.27303776,0.33749459,0.30516499,0.37699034,0.40241683,0.31261809999999995,0.33218767,0.42781848,0.54874052,0.29501323,0.31972139,0.40436132,0.46908047,0.49612136,0.42299938,0.4237959,0.4027582,0.33646383,0.42040308,0.27940664,0.47605956,0.42369799,0.51665752,0.87480156,0.51716327,0.44613678,0.35036879,0.32885385,0.25914223,0.64860279,0.42103044,0.57371463,0.46547048,0.2641913,0.24094721,0.35983596,0.36404546,0.37118831
24,9,2,0.25259367,0.38651049,0.16960069,0.15529768,0.24247669,0.21165439,0.24210975,0.30553197,0.2256774,0.44923348,0.38561663,0.29947209999999996,0.26210052,0.44684744,0.38080371,0.30807402,0.24813865,0.30346209,0.28775667,0.18991386,0.22266764,0.19622465,0.31068033,0.38324607,0.34366996,0.77226151,0.33173662,0.16624975,0.25055225,0.26242909999999997,0.26954372,0.53235368,0.27338863,0.41204663,0.31859048,0.27039531,0.30348502,0.29123545,0.29524118,0.32090909
25,10,0,0.304066,0.65536881,0.23359087,0.33456105,0.29028874,0.3455994,0.39288219,0.32745447,0.31280233,0.52204586,0.47791928,0.45243678,0.37180415,0.63762659,0.49286937,0.40920759999999995,0.36854717,0.51683357,0.47676984,0.28105955,0.36368633,0.31281254,0.5187219,0.53417838,0.58359861,0.75862318,0.56279938,0.35575281,0.36103935,0.23082249,0.50426214,0.44193305,0.55616785,0.49366281,0.52064762,0.43975558,0.44265878,0.25176064,0.25713362,0.2884026
26,10,1,0.55640441,0.84929896,0.42304137,0.43406372,0.44216284,0.50199034,0.50395223,0.34014104,0.47885979,0.64000814,0.6699691,0.57180977,0.56675089,0.76933192,0.61884379,0.58724161,0.67163321,0.48211731,0.65596077,0.37953135,0.50919751,0.47928225,0.71830176,0.64404335,0.73575741,0.79643527,0.67940245,0.58239527,0.51478278,0.19968302,0.67205558,0.47155306,0.72186687,0.59694101,0.7161981,0.5793054,0.54074787,0.21540989,0.21899834,0.41653896
27,10,2,0.70819582,0.93459897,0.52703444,0.54450771,0.60581958,0.6097561,0.58433324,0.5124264000000001,0.69187125,0.72120472,0.76494054,0.6208227,0.67722617,0.83199935,0.6906335,0.72993999,0.88076753,0.66896519,0.73379559,0.5224692,0.59066325,0.55536136,0.8126336,0.7756866,0.85664105,0.82746428,0.84630998,0.67318943,0.67541528,0.23741241,0.73852629,0.6475973,0.79981725,0.66624153,0.81127619,0.62031425,0.67425076,0.26032765,0.26317686,0.63851948
28,11,0,0.79172213,1.0,0.55673334,0.65375523,0.70557747,0.68862172,0.63853663,0.7501026999999999,0.78296963,0.76332926,0.82360708,0.63479999,0.79500137,0.86287161,0.64307584,0.8921427,0.94004775,0.74012399,0.72720656,0.63873298,0.57939172,0.58535888,0.88788973,0.82130982,0.93011343,0.93433396,0.98562962,0.73007868,0.76670785,0.36897731,0.81234551,0.70077297,0.82673789,0.69997011,0.87192381,0.66785135,0.83351663,0.39557478,0.40800222,0.72558442
29,11,1,0.76404412,0.97169729,0.43567767,0.75443275,0.67097382,0.71882191,0.60077718,0.69012734,0.74020731,0.5973545,0.76660736,0.59655304,0.73586452,0.75295655,0.47511329999999996,0.82707268,0.86055354,0.56509299,0.64216212,0.70475132,0.51080982,0.49572086,0.78189725,0.77893818,0.76342847,0.93043729,0.78662012,0.78179006,0.74836198,0.42583417,0.92611397,0.57363107,0.83587545,0.65531088,0.77348571,0.72851977,0.79825406,0.43504960000000004,0.47566069,0.64571429
30,11,2,0.62332027,0.73773404,0.33547549,0.64380136,0.56348637,0.62229636,0.51225476,0.52452417,0.57210402,0.44974902,0.77874333,0.46602132,0.48968861,0.63451486,0.43542149,0.62424983,0.79405783,0.39872198,0.54267545,0.64391961,0.56643459,0.42115313,0.6184934,0.71765408,0.57728686,0.82075336,0.5799383,0.76598749,0.61308922,0.44733066,0.85837397,0.52716913,0.74646798,0.56118972,0.62522667,0.68237935,0.70229585,0.46518444,0.48753465,0.51438312
31,12,0,0.5975841,0.44153967,0.38472814,0.49872423,0.57454268,0.56965601,0.44153161,0.42634534,0.40200036,0.47297517,0.7915066999999999,0.43784727,0.38528408,0.59648808,0.53074831,0.64808846,0.76856486,0.29488794,0.55728624,0.59184959,0.63840967,0.39954596,0.61415936,0.63834849,0.55273509,0.79650743,0.4790777,0.75993544,0.55817639,0.56380547,0.72723629,0.52557711,0.58188655,0.50355719,0.63020952,0.60049258,0.63899505,0.5824387,0.63368139,0.54068831
