,,pid1263-27,pid52932-13,pid610003b-03,pid9048b-03,pid9049-28,pid9050-28,pid9054-28,pid9055-27,pid9058-28,pid9059b-03,pid9060-28,pid9061-28,pid9062b-02,pid9063b-03,pid9066-28,pid9070b-11,pid9071b-06,pid9072b-03,pid9073b-03,pid9074f-28,pid9075-28,pid9093b-02,pid9094-27,pid9099b-03,pid9101b-10,pid9104-28,pid9105b-10,pid9111b-01,pid9118b-03,pid9137-15,pid9138-28,pid9139-27,pid9153-27,pid9166h-04,pid9170-27,pid9174-28,pid917520g-11,pid9176-10,pid9192-28
8,1,0.50655241,0.61179607,0.62046412,0.53562872,0.6287493,0.44676635,0.79090081,0.45303423,0.41783378,0.64702674,0.55286362,0.51045629,0.50551666,0.46054963,0.59371941,0.36103663,0.51422458,0.61353154,0.38654761,0.40899564,0.36234822,0.72158194,0.6157063,0.51781332,0.42157916,0.45247287,0.75896813,0.69755607,0.76668923,0.62315992,0.42916793,0.70630807,0.39256121,0.61436429,0.58086717,0.53919424,0.64706383,0.30818713,0.44003885
8,2,0.50104159,0.58248986,0.53353194,0.49816641,0.60491046,0.36428256,0.65088865,0.41497234,0.3779242,0.59085741,0.56404507,0.45183172,0.51227024,0.40280558,0.56390331,0.31767104,0.459879,0.59405366,0.32816034,0.36461713,0.344547,0.61866119,0.56859486,0.4952577,0.38432866,0.37260613,0.75846791,0.56673869,0.73432605,0.59748748,0.50556061,0.57504793,0.36459411,0.62501234,0.49886933,0.55974101,0.528,0.32413405,0.41821865
9,0,0.50966241,0.47456825,0.46958158,0.44666286,0.55538612,0.3050383,0.51756798,0.39676694,0.38952482,0.48692379,0.60124303,0.44614448,0.54407144,0.37260049,0.48042414,0.31430546,0.46340564,0.58914431,0.27934181,0.32519412,0.34011318,0.56353805,0.47329109,0.47445966,0.39368337,0.29903146,0.71308418,0.48427837,0.6333011,0.60490944,0.68208472,0.45040347,0.35448882,0.59288485,0.40735424,0.54198561,0.39249173,0.38450292,0.44291343
9,1,0.50158085,0.40291335,0.39119479,0.39157363,0.48546447,0.23321302,0.45153425,0.41369295,0.38237784,0.42618316,0.59764173,0.47904994,0.55558717,0.33542248,0.3981833,0.30112647,0.44571344,0.55870196,0.2206114,0.291522,0.31448821,0.52867067,0.37270965,0.45577547,0.4334509,0.26595686,0.59911391,0.4453692,0.54000193,0.58872447,0.7563947,0.42009565,0.33405395,0.5206544,0.31707305,0.486494,0.35485579,0.45826211,0.44011654
9,2,0.46182315,0.34753717,0.34908386,0.35672724,0.39524342,0.19030642,0.43351056,0.46374481,0.36595806,0.33249078,0.60588987,0.5295231,0.52405809,0.30958983,0.30468634,0.29736006,0.43467611,0.49100798,0.18127583,0.26892873,0.28301742,0.50093148,0.32958628,0.45314702,0.50450501,0.26915098,0.42761898,0.40441845,0.47484046,0.54276686,0.75816399,0.4320418,0.29868544,0.52381355,0.27897945,0.44233094,0.37945154,0.49902534,0.42479467
10,0,0.42955603,0.32644541,0.33496102,0.35996251,0.37094292,0.18128315,0.44093119,0.49170124,0.35536745,0.32691303,0.62128253,0.55385552,0.50246147,0.28315012,0.34426071,0.30181064,0.42310757,0.44083394,0.17509943,0.26790607,0.28693478,0.48043101,0.35142751,0.44633046,0.52645291,0.29087787,0.39031013,0.41379927,0.47144653,0.56718304,0.73475887,0.4678065,0.28391377,0.53496227,0.27283945,0.44047962,0.43476123,0.48136152,0.4013929
10,1,0.41437542,0.30440757,0.32053579,0.39167957,0.37171237,0.17423394,0.43909312,0.51738416,0.33836091,0.33849109,0.60594796,0.52906399,0.48310368,0.25561936,0.38646745,0.3049689,0.42281245,0.35039159,0.17157451,0.25926394,0.27465524,0.45723082,0.38868431,0.42516824,0.52306212,0.30789257,0.40448764,0.40995455,0.4884065,0.57418882,0.74400971,0.47796178,0.25496231,0.53915098,0.27379314,0.45622062,0.4889078,0.44888289,0.3654717
10,2,0.43158011,0.29497672,0.31433115,0.41040665,0.37294348,0.17184001,0.43866778,0.54014523,0.34307426,0.34290873,0.61576441,0.52011618,0.48490958,0.25625103,0.46012902,0.30887353,0.45077468,0.30916606,0.16967168,0.24579888,0.27492445,0.49175876,0.42220649,0.42141556,0.52869739,0.31540734,0.36687152,0.39561136,0.51297621,0.58490944,0.7739359,0.50303394,0.24480095,0.56377547,0.27682135,0.45691127,0.49621749,0.49050832,0.34715316
11,0,0.44518726,0.30432497,0.31012006,0.38925923,0.35824706,0.17073512,0.41780343,0.58179461,0.34956714,0.34591272,0.60507667,0.52738686,0.49731588,0.26460213,0.49452024,0.30290947,0.43504501,0.29606962,0.16624035,0.23318604,0.28370969,0.50654405,0.43077898,0.4246378,0.56727054,0.29975958,0.28869516,0.36130691,0.51378844,0.57943738,0.77969872,0.56122664,0.23543081,0.57274522,0.27359158,0.44426859,0.48139953,0.51753636,0.31567703
11,1,0.44037822,0.31499474,0.30010752,0.35856083,0.3473559,0.16730996,0.38108765,0.65121024,0.32809735,0.36670252,0.56097816,0.51550642,0.50319125,0.26280558,0.48341243,0.30333794,0.38329644,0.27042059,0.15849645,0.23756707,0.29518158,0.48813546,0.42702199,0.41457525,0.5741002,0.28067729,0.30846077,0.32180165,0.51773351,0.57108285,0.75952886,0.61136043,0.23002305,0.5624286,0.26900501,0.41505995,0.446487,0.50951417,0.27366815
11,2,0.44095442,0.32568704,0.28962459,0.35295412,0.35849888,0.16026812,0.3637931,0.66806708,0.30148134,0.40126767,0.56384758,0.52442612,0.50717413,0.27397867,0.48405754,0.30454734,0.36373026,0.24379985,0.15121266,0.2560255,0.32838855,0.55202084,0.41196422,0.43220648,0.59591984,0.28387828,0.2768758,0.31062514,0.56305357,0.57102119,0.75745627,0.63061753,0.24902498,0.60475284,0.26667978,0.39688249,0.43001418,0.46707902,0.26283019
12,0,0.42337298,0.33073284,0.27777529,0.40669872,0.36098209,0.15155421,0.35201276,0.77497407,0.26304348,0.40255071,0.57009758,0.53655017,0.50596195,0.28911403,0.47796233,0.29892191,0.37023757,0.22476432,0.14488029,0.26451613,0.32605351,0.59524787,0.40276556,0.44492123,0.6151503,0.28730595,0.24469773,0.32822442,0.57520789,0.56139499,0.78364169,0.65849188,0.27056881,0.63647839,0.27172844,0.36900719,0.40675177,0.44826811,0.27462819
12,1,0.40066484,0.33453221,0.26237568,0.45992177,0.35526721,0.14501326,0.34959745,0.85216978,0.22236437,0.38238322,0.53390451,0.53046941,0.50487346,0.3138064,0.46366602,0.28459572,0.37768924,0.21738941,0.13839195,0.25168866,0.32787759,0.66643511,0.4109877,0.43351279,0.60767936,0.27900811,0.28721595,0.34289546,0.58181203,0.5386975,0.78470327,0.72423783,0.27871784,0.63563218,0.28265657,0.35294964,0.31339007,0.42754536,0.27816315
12,2,0.44365812,0.36288482,0.2618269,0.54466629,0.42982652,0.16199175,0.34880753,0.88494122,0.22900154,0.38856023,0.50083062,0.55183172,0.51603048,0.35972929,0.39368234,0.30009675,0.39898185,0.25445975,0.16582703,0.27887128,0.3887204,0.73455952,0.45815132,0.48334257,0.56876954,0.28151532,0.30988995,0.35122569,0.50778379,0.54360694,0.72859165,0.75492489,0.3128154,0.63786757,0.25586471,0.36993765,0.40534279,0.40936422,0.31248058
13,0,0.48606043,0.4279171,0.32934997,0.61063483,0.58177112,0.23313936,0.36738569,0.87223375,0.25101,0.47860326,0.53769749,0.55759393,0.51259184,0.43981952,0.25129764,0.38248791,0.46772908,0.30262509,0.22830851,0.35374661,0.4538377,0.70668614,0.51625047,0.56199034,0.51248096,0.29595411,0.19910676,0.35920572,0.45225295,0.6101657,0.68749368,0.74276805,0.37210766,0.58680629,0.24005997,0.41330456,0.4872435,0.35104214,0.35790233
13,1,0.46969787,0.55001502,0.4493213,0.6756662,0.72488808,0.33508397,0.44857208,0.67536307,0.35124086,0.66885372,0.58590846,0.5718261,0.48352423,0.54150943,0.25724455,0.50533518,0.6661207,0.45053662,0.31325743,0.48449593,0.56260645,0.65514683,0.61013045,0.74449371,0.52509018,0.44625635,0.26903673,0.49820431,0.52182363,0.74164933,0.67091295,0.78369467,0.50267896,0.54642127,0.27948579,0.50220624,0.5891253,0.32479382,0.44491121
13,2,0.43587205,0.63658958,0.52586014,0.70014669,0.81141578,0.39121243,0.54476682,0.64482192,0.46535206,0.86616472,0.65659851,0.64330554,0.45977538,0.61369155,0.39810174,0.60214236,0.79178102,0.55241479,0.36282461,0.58561959,0.642657,0.65216293,0.66719344,0.8691315,0.62696593,0.56961808,0.55851079,0.59412115,0.58387159,0.87599229,0.66772824,0.87173166,0.59992524,0.56602496,0.37829122,0.5828777,0.64666667,0.34871045,0.5399778
14,0,0.43454975,0.66540772,0.58870173,0.68843615,0.85142697,0.45800678,0.67033268,0.60406293,0.56517891,0.99761832,0.75633132,0.70460976,0.50414368,0.70294504,0.50679964,0.63557706,0.83882249,0.68383611,0.41355377,0.67571492,0.71562002,0.68780392,0.67448379,0.95423957,0.7644008,0.71740624,0.75496641,0.73498994,0.67144653,0.91676301,0.67662521,0.93312686,0.69578219,0.63477188,0.48725789,0.67532854,0.70080378,0.42883491,0.59694784
14,1,0.53972077,0.67134705,0.68275692,0.76318963,0.8658366,0.59183854,0.77046939,0.5801435,0.625606,1,0.81424257,0.73872388,0.64797269,0.77684988,0.59077562,0.6907671,0.81086026,0.86664249,0.50734617,0.73126697,0.74831053,0.72489738,0.61813641,0.95257699,0.8892986,0.81899986,0.91367729,0.82348558,0.76303423,0.91776493,0.66090385,0.94921307,0.80456046,0.76193498,0.62565136,0.79318945,0.71179196,0.59463938,0.63978912
14,2,0.63029475,0.67149722,0.74457934,0.82120447,0.87562955,0.6696376,0.76978581,0.54891079,0.60556945,0.89559004,0.79530669,0.75289984,0.74263414,0.78535685,0.63582233,0.76897028,0.74357385,0.94960116,0.56736333,0.72722682,0.7295753,0.72073729,0.5146776,0.87166495,0.91791583,0.81013876,0.85365156,0.87065047,0.80018372,0.87976879,0.60661207,0.94017445,0.83639649,0.76214653,0.69206568,0.88372182,0.68545626,0.69155046,0.62397336
15,0,0.64262392,0.67537919,0.77881686,0.82153044,0.84632065,0.72015321,0.75905362,0.4951677,0.56522701,0.78173018,0.7508132,0.77871264,0.7699577,0.75671042,0.6388032,0.83040774,0.6812749,0.8657723,0.60079545,0.67899754,0.68529202,0.69374803,0.40242266,0.73780382,0.86557114,0.71960434,0.62378162,0.89516429,0.75413846,0.84300578,0.55221919,0.92202347,0.79409383,0.68517735,0.71851342,0.94052758,0.64358392,0.71322537,0.58374029
15,1,0.47804536,0.68316564,0.77626333,0.71147421,0.76496922,0.6990277,0.82432022,0.4238935,0.51983455,0.64515212,0.54669493,0.79609294,0.63325335,0.60172272,0.61241287,0.79170698,0.58573115,0.48926033,0.58202449,0.52500473,0.57991319,0.59535838,0.40924338,0.45733513,0.62048096,0.54828273,0.53904531,0.91386633,0.54338619,0.82874759,0.507431,0.85530835,0.65958507,0.46798533,0.71099204,0.87315108,0.51306856,0.61586445,0.45917314
15,2,0.41955382,0.67865295,0.71516889,0.5485698,0.65852686,0.61339864,0.90824852,0.43320367,0.50153905,0.57335587,0.41575279,0.75349012,0.48652995,0.50044299,0.61267982,0.64126469,0.52288623,0.51903553,0.53166186,0.44869642,0.53096533,0.55549416,0.52707417,0.45627425,0.4842004,0.53429042,0.7451765,0.89620744,0.5959679,0.80038536,0.46875948,0.78112424,0.56341038,0.45001058,0.66330744,0.78665707,0.45956501,0.47108262,0.37936182
16,0,0.41346679,0.64007358,0.67152361,0.4051585,0.51936206,0.5665881,0.98640437,0.48010028,0.49054444,0.51850031,0.38553671,0.70523752,0.41332905,0.50057424,0.65508676,0.43784381,0.48314889,0.63192168,0.50709662,0.39038571,0.54486017,0.55344174,0.5384495,0.51161428,0.42085772,0.55673856,0.84914964,0.91692124,0.59347322,0.78682081,0.46076231,0.66044076,0.56257554,0.55709047,0.62914168,0.74389448,0.44915366,0.33382066,0.35707547
16,1,0.444877,0.61275717,0.69195189,0.39164697,0.45019586,0.57709929,0.97189731,0.46857711,0.47350904,0.47765058,0.37735827,0.65610419,0.41344037,0.50949139,0.66924959,0.33628196,0.47231813,0.66263234,0.51324963,0.36335459,0.58408879,0.53603568,0.45560194,0.56094529,0.4233507,0.55230114,0.83793054,0.8959094,0.56200928,0.77402697,0.46439187,0.56663085,0.58806305,0.59965447,0.63017402,0.73479137,0.44514421,0.30487329,0.34861265
16,2,0.48569846,0.60019522,0.71339934,0.41170239,0.39783856,0.5759723,0.83989063,0.42940007,0.46334167,0.43624001,0.36529391,0.64528249,0.38635183,0.50621001,0.63896634,0.33058742,0.47013428,0.68027556,0.51910629,0.3069882,0.59969232,0.52282918,0.38430861,0.62147098,0.46076152,0.4852521,0.78112048,0.82929737,0.51569329,0.71247784,0.45846224,0.49868318,0.58925301,0.55264791,0.6208829,0.74939089,0.42338534,0.31916329,0.36061598
17,0,0.51072616,0.62667067,0.74847684,0.43142368,0.37211108,0.58273424,0.76811484,0.44054288,0.49343017,0.4467732,0.38771492,0.73419844,0.38986468,0.51936013,0.62019872,0.41582585,0.47736462,0.74931109,0.53550651,0.29601035,0.61436185,0.55296021,0.38647782,0.66979653,0.51050902,0.45469158,0.74660569,0.76991282,0.4968188,0.70978035,0.47693863,0.48266018,0.60271011,0.48588957,0.64384033,0.76388489,0.43014657,0.34304244,0.42215871
17,1,0.53223018,0.68574861,0.75474868,0.44214,0.36368914,0.57883029,0.77479872,0.51102178,0.55230858,0.47964044,0.39905321,0.82905462,0.43841377,0.51614438,0.60854961,0.4870698,0.48441788,0.82378535,0.5293925,0.35337416,0.62062524,0.59567414,0.43667536,0.71843876,0.56281363,0.5348949,0.78212091,0.70687728,0.50814156,0.74066281,0.50001517,0.5064998,0.6008473,0.43082293,0.66709271,0.72792326,0.47359811,0.39610886,0.48916759
17,2,0.54628056,0.71922961,0.72027596,0.42902779,0.39411724,0.56032705,0.8180161,0.63072268,0.59862447,0.48682391,0.40308434,0.84703457,0.50936348,0.50578343,0.60794157,0.51737388,0.47504796,0.85474982,0.51175232,0.44572944,0.62304269,0.62037417,0.46048453,0.720038,0.57657715,0.57717406,0.8166357,0.67096342,0.51191259,0.77726397,0.50122333,0.56687314,0.58641829,0.41342642,0.65873562,0.67727578,0.49191489,0.44704603,0.50286349
18,0,0.54632489,0.71185613,0.69288146,0.42712085,0.45359541,0.56439305,0.88963998,0.70608575,0.63656214,0.46926091,0.43217356,0.87350323,0.55645301,0.51678425,0.62845914,0.53404976,0.44645123,0.85649021,0.52157062,0.53177198,0.64688753,0.61519577,0.46951174,0.68916159,0.5831984,0.57475615,0.84443333,0.67605991,0.50460259,0.81934489,0.49478819,0.5945684,0.60510249,0.45828221,0.65789991,0.65293046,0.49906383,0.50559304,0.47643729
18,1,0.54042255,0.68797117,0.7071499,0.45592861,0.46987269,0.59996317,0.96528938,0.6861601,0.63624471,0.42621389,0.46425418,0.86926825,0.54518467,0.52275636,0.62906718,0.53862474,0.41159805,0.7906454,0.55488575,0.57941418,0.67622658,0.58110988,0.50140887,0.61206555,0.58557114,0.51207583,0.84629127,0.66115789,0.4801199,0.81317919,0.47866748,0.53659693,0.59594418,0.54579367,0.64452856,0.63574101,0.49268085,0.56263308,0.42892342
18,2,0.54824555,0.68830155,0.74745767,0.50822264,0.44688724,0.62533147,0.9065016,0.55907676,0.59519046,0.39573602,0.47988499,0.83173428,0.44564975,0.52181296,0.58463592,0.51507947,0.38720673,0.67314721,0.57323559,0.57289944,0.66545794,0.55398642,0.52907193,0.5575093,0.59607214,0.44387965,0.79055309,0.59010506,0.46259911,0.77834297,0.45672328,0.44433559,0.53551181,0.55912136,0.6053977,0.64603357,0.48734752,0.5385665,0.4045061
