,measure_number,beat_number,pid1263-05,pid51495-03,pid9048-05,pid9049-05,pid9050-05,pid9053-22,pid9054-05,pid9055-05,pid9058-05,pid9059-05,pid9060-05,pid9062-05,pid9063-05,pid9065-02,pid9066-05,pid9067-05,pid9068-03,pid9072-05,pid9074f-05,pid9093-06,pid9094-05,pid9097-08,pid9098-05,pid9099-05,pid9100b-01,pid9101-05,pid9103-02,pid9104-05,pid9105-05,pid9118-05,pid9138-05,pid9139-05,pid9153-05,pid9166c-08,pid9170-06,pid9173-10,pid9174-05,pid9186c-05,pid918719b-01,pid918904-01,pid9192-05
15,6,0,0.39822417,0.30709227,0.41156898,0.42797179999999996,0.38663613,0.35380492,0.27764551,0.58820129,0.36201321,0.41906119,0.31351141,0.32233701,0.41486365,0.45469201,0.76874314,0.42849682,0.43096396,0.44049637,0.43581891,0.39387233,0.48532009,0.24498063,0.57519615,0.44520132,0.43569567,0.50287275,0.47542506,0.31563196,0.63124082,0.52633319,0.42976022,0.42677703,0.37683903,0.55206261,0.27056223,0.53736662,0.27760721,0.38872905,0.39120888,0.31608298,0.58229108
16,6,1,0.38709913,0.29810151,0.38288315,0.50638898,0.38000948,0.36819606,0.28483374,0.59037454,0.40511215,0.46543149999999994,0.35007234,0.32746403,0.42178978,0.38848252,0.81744484,0.47735481,0.38624928,0.45022700000000004,0.46423816,0.40406269,0.4615379,0.23686249,0.62109486,0.47004157,0.38275143,0.5061569,0.52807101,0.31252467,0.63837188,0.65621052,0.45265769,0.37838655,0.34034338,0.57662926,0.30124344,0.60531508,0.27068246,0.36043762,0.45765779999999995,0.33924344,0.61889469
17,6,2,0.34662070000000006,0.3209817,0.3837277,0.62010253,0.39164363,0.38963309,0.36978767,0.60587238,0.47603549999999994,0.51730244,0.39495826,0.34876033,0.45432723,0.36957812,0.83012313,0.52853457,0.38386945,0.50590194,0.47795321,0.43907311,0.48030905,0.24210243,0.6546719,0.48716422,0.38134445,0.5311108,0.59063161,0.33722381,0.65139501,0.77089359,0.48064611,0.38793851,0.31290038,0.62243204,0.4046185,0.66317026,0.32939262,0.36500466,0.53220526,0.41479561,0.65543478
18,7,0,0.31580487,0.36523706,0.40489989,0.73104774,0.41662586,0.40774908,0.50377153,0.62601726,0.52788634,0.56135606,0.44493599999999994,0.40280073,0.4880169,0.39606192,0.8130562,0.58291072,0.40447722,0.54474374,0.47829561,0.48097799999999996,0.51874172,0.27845922,0.68187411,0.50292202,0.41945954,0.575571,0.63924889,0.39710283,0.65876468,0.86273213,0.5113631,0.43648666,0.36701954,0.6637172,0.54934523,0.68129656,0.38456533,0.39099162,0.6074453000000001,0.49963392,0.67289667
19,7,1,0.3199415,0.42062758,0.48519112,0.80634412,0.45786273,0.45413215,0.66250787,0.68477189,0.56541902,0.60417248,0.54152476,0.49848485,0.52275637,0.48920436,0.7319883,0.64946832,0.46917726,0.5873184,0.46459324,0.5492701999999999,0.57999264,0.38000323,0.74686163,0.52341957,0.51481426,0.68509008,0.68794811,0.49980898,0.64031755,0.87266094,0.52211198,0.50970306,0.44240635,0.70712378,0.74313215,0.67854506,0.47685633,0.44742086,0.71817252,0.64893228,0.69633682
20,7,2,0.35806957,0.46241393,0.5712632,0.80993271,0.48868968,0.49260600000000004,0.76140331,0.72785142,0.57609055,0.61259021,0.6048414000000001,0.55665748,0.55197158,0.54015079,0.61050835,0.6509155,0.53763272,0.62631154,0.43859616,0.58327168,0.61457689,0.46681192,0.79934023,0.54024443,0.56584531,0.74194921,0.70884261,0.55796243,0.61317915,0.82177727,0.52516537,0.57541059,0.46800353,0.74289106,0.85867724,0.69948326,0.5357417,0.48975791,0.7758618,0.72538133,0.72141446
21,8,0,0.45701452,0.48734999,0.65526028,0.75418135,0.54314825,0.51900021,0.77239169,0.80856967,0.54240402,0.57717266,0.64629939,0.59560759,0.59657534,0.56574431,0.50839327,0.59800541,0.62461426,0.65173527,0.39272716,0.619587,0.6125975,0.59210243,0.83338088,0.5668776,0.57882826,0.78578522,0.69907818,0.6307227,0.56088473,0.62798248,0.56198323,0.69333859,0.495019,0.76033503,0.92688065,0.71303939,0.58721008,0.53836127,0.74268849,0.80964002,0.77131564
22,8,1,0.49563355,0.47809365,0.69820167,0.61311759,0.53310165,0.4477268,0.67258055,0.81789457,0.45050915,0.46061617,0.62821369,0.55625191,0.60711817,0.50572666,0.390345,0.46046687,0.65777499,0.61415456,0.33262951,0.5948611,0.52294334,0.62868517,0.79484665,0.56593461,0.51576714,0.74131082,0.61511096,0.58673671,0.45301028,0.48141152,0.57955941,0.74346341,0.49784202,0.7093661,0.82484405,0.671767,0.57094944,0.53389199,0.61263183,0.75930445,0.77025692
23,8,2,0.49452627,0.45258705,0.69507827,0.49418776,0.48030961,0.39064959,0.55978367,0.78830148,0.40369478,0.36291467,0.58575403,0.47679829,0.56289848,0.40119506,0.33142753,0.37820424,0.64292065,0.57062147,0.29596094,0.57818659,0.44998528,0.61480525,0.76739479,0.55409144,0.40665525,0.64538942,0.53573916,0.51677173,0.43378304,0.45147161,0.58617411,0.71593746,0.48024566,0.65875991,0.66646011,0.62464264,0.51905556,0.47602421,0.549575,0.68194021,0.70319735
24,9,0,0.45194819,0.41976195,0.66781216,0.39912848,0.3849143,0.34735779,0.44308934,0.74508323,0.38760149,0.26949481,0.53116305,0.38950872,0.51527333,0.31479788,0.44000975,0.33726798,0.59317956,0.52956013,0.31375943,0.55935966,0.36084621,0.56315903,0.73261412,0.54290589,0.31417405,0.51707334,0.45446909999999996,0.44024196,0.51462004,0.41677390000000003,0.5964446,0.65891473,0.45638572,0.63177506,0.5317057,0.59040333,0.47955949,0.43085196,0.49362506,0.57403905,0.63647657
25,9,1,0.36432675,0.38410388,0.60923917,0.3357001,0.34742911,0.34529694,0.36525496,0.6878545,0.39578918,0.26324216,0.47056205,0.32073003,0.45820638,0.33107956,0.53633427,0.35100359,0.52957791,0.47250807,0.36854987,0.5265151,0.33306107,0.47416075,0.69643367,0.55291892,0.31581181,0.44153781,0.35315125,0.36221585,0.61562041,0.42889862,0.59366879,0.59405466,0.44054696,0.63221474,0.42524889,0.56491511,0.46265643,0.38293762,0.42623957,0.43580232,0.59866601
26,9,2,0.31058184,0.35098367,0.55652712,0.3020314,0.34648132,0.35735571,0.32019688,0.55678175,0.41135957,0.31072836,0.43675014,0.33988369,0.41086289,0.3452358,0.60187736,0.43197634,0.49906376,0.41645985,0.41511001,0.47073384,0.39034584,0.38352701,0.6915566999999999,0.5676779000000001,0.32441748,0.43728188,0.30268351,0.32580707,0.65702093,0.5178329,0.57068864,0.55278544,0.4265133,0.6261033,0.37098359999999997,0.54209785,0.45025029,0.35745809999999995,0.36366284,0.34051251,0.59800254
27,10,0,0.29377416,0.33322841,0.510921,0.2883563,0.34577837,0.3627167,0.31973903,0.4904516,0.42975093,0.33987507,0.43267112,0.36889348,0.36807707,0.33202599,0.64293551,0.48735921,0.46692296,0.38611279,0.43170376,0.43099482,0.43019132,0.34373252,0.69706669,0.5644766999999999,0.31407727,0.44658817,0.32708774,0.31602674,0.64261197,0.54889437,0.5510866999999999,0.52410327,0.39698018,0.61019818,0.35695873,0.52650829,0.43769398,0.34473929,0.33232331,0.29600366,0.60083286
28,10,1,0.28191789,0.31507968,0.48270841,0.26221083,0.32181502,0.34699575,0.36614777,0.43772349,0.450633,0.38922312,0.47232053,0.41315427,0.32840865,0.27885788,0.71620139,0.53520418,0.42564988,0.41119855,0.44990806,0.3985942,0.53744665,0.30333549,0.69278709,0.55126869,0.27665451,0.45629167,0.37350632,0.32268704,0.57292584,0.64253923,0.53664659,0.5052884,0.35823154,0.59078668,0.37703144,0.52062278,0.42086601,0.34844972,0.31724382,0.27962172,0.60849097
29,10,2,0.31290087,0.32298839,0.50352384,0.26094841,0.32251797,0.32772401,0.4807875,0.45678946,0.47717077,0.44526654,0.52026711,0.45903734,0.36361541,0.28797722,0.79574546,0.57580696,0.44624719,0.49764931,0.47522668,0.41430685,0.646961,0.29179040000000006,0.68641227,0.55319809,0.29388819,0.47098879,0.45138955,0.37452404,0.47634912,0.76195648,0.54475549,0.50896728,0.36844463,0.61206679,0.46300657,0.56439836,0.41863007,0.37304469,0.3708012,0.33253203,0.62420243
30,11,0,0.39263554,0.34444226,0.53274845,0.32003845,0.36328884,0.35617211,0.57854976,0.52343557,0.49267923,0.53353145,0.5572621,0.50392562,0.40819997,0.33990215,0.84261855,0.5959479,0.47416706,0.56572841,0.5039059,0.45803457,0.73715968,0.2890736,0.67438481,0.54904771,0.33585201,0.51317208,0.50677364,0.41357529,0.48023128,0.8592966000000001,0.55473069,0.50161608,0.42800624,0.64255801,0.57123972,0.6210053000000001,0.40127649,0.40136872,0.4387376,0.42999390000000004,0.63216403
31,11,1,0.44639089,0.35640370000000005,0.57621405,0.37199616,0.43538425,0.41015108,0.68482802,0.60866215,0.52169396,0.64546061,0.56694491,0.57361494,0.46307771,0.43445621,0.89674509,0.57822312,0.49137507,0.64109161,0.54534272,0.50863658,0.80551876,0.28054659,0.65648181,0.54695701,0.41132286,0.60434813,0.60923182,0.42672397,0.54123532,0.9003223,0.54114694,0.46363816,0.51053882,0.6821944000000001,0.73090428,0.64557412,0.37073252,0.43207169,0.52444514,0.60774253,0.60291502
32,11,2,0.45632508,0.34897698,0.60691664,0.37197052,0.47864308,0.42819049,0.73112803,0.63282984,0.55434842,0.685366,0.54035615,0.5944520999999999,0.50670849,0.49150626,0.85291966,0.54426477,0.50349391,0.69410815,0.56521463,0.51872604,0.80765269,0.27235313,0.67236091,0.56053725,0.45714286,0.62123705,0.70775009,0.40930914,0.58502203,0.82980532,0.5039511,0.41695572,0.53949511,0.69208701,0.80646094,0.63285014,0.35936926,0.43628957,0.49768613,0.64374619,0.5641869
33,12,0,0.43621644,0.33111352,0.62269385,0.36044217,0.52119896,0.40808327,0.68952098,0.63432491,0.58111325,0.68597247,0.51174736,0.58460361,0.52078479,0.51677895,0.75057906,0.513421,0.48560071,0.69012308,0.53605986,0.49995964,0.78042678,0.26358941,0.7203816,0.57416093,0.46909104,0.57869911,0.79665415,0.36648838,0.58763767,0.7276956,0.43644578,0.38452897,0.53988871,0.66343142,0.76535713,0.58749748,0.36217253,0.41186685,0.42231229,0.62977425,0.52788679
34,12,1,0.32509140000000003,0.32820185,0.58940663,0.30851649999999997,0.51330069,0.34689828,0.54657472,0.61266184,0.62132242,0.65322336,0.44908737,0.53549893,0.45942901,0.47530478,0.35990491,0.50236582,0.41336890000000004,0.62898507,0.47124469,0.4299657,0.72788079,0.19982785,0.76972183,0.53338917,0.42805032,0.46830756,0.86159099,0.24628462,0.46670338,0.53980378,0.32562013,0.32535146,0.46349756,0.53316772,0.51113314,0.52321321,0.34322543,0.30704842,0.35221155,0.53480171,0.51245765
35,12,2,0.24166928,0.39477671,0.48003640000000003,0.30606857,0.47165311,0.40948966,0.38857094,0.57648736,0.64070455,0.60535509,0.44245409,0.47716559999999997,0.40283574,0.4530077,0.49682433,0.62357642,0.35702181,0.59806295,0.49121172,0.38122015,0.72206034,0.16274478,0.79600571,0.47140021,0.42608501,0.48649454,0.85865483,0.28348933,0.31259178,0.34474576,0.38522325,0.27260544,0.28663817,0.35307825,0.37809724,0.49844306,0.36596029,0.17085661,0.39392413,0.46530811,0.52129447
36,13,0,0.26972736,0.54068464,0.42594103,0.37854534,0.45903167,0.53250714,0.35930865,0.62577836,0.64522499,0.57893141,0.52891486,0.47459443,0.42767891,0.49731312,0.56294039,0.75259548,0.38074167,0.61016949,0.57481453,0.42204883,0.73167035,0.20336238,0.82379636,0.47559402,0.47313333,0.5942545,0.83079549,0.47322509,0.32512849,0.32311724,0.4987184,0.26616739,0.20955483,0.32519208,0.41859793,0.53927253,0.43467379,0.20916667,0.53093027,0.49080537,0.54043619
37,13,1,0.35616839,0.59644895,0.51673098,0.45948734,0.51314272,0.65757154,0.38015223,0.72587084,0.6526352,0.61095276,0.64696717,0.52669881,0.54401485,0.61610523,0.6612215,0.81035676,0.46586119,0.64099072,0.65842369,0.55495392,0.73043414,0.24035937,0.84517653,0.50593089,0.56242835,0.74996453,0.81345169,0.57817892,0.44741189,0.42342066,0.62514765,0.30277887,0.25882872,0.42997681,0.50311893,0.61131468,0.4959703,0.33678305,0.69852825,0.58288591,0.59265246
38,13,2,0.49460984,0.62780838,0.65966509,0.55748158,0.62218624,0.77643946,0.47994048,0.83839396,0.68859227,0.68754928,0.7803005000000001,0.59138353,0.66713609,0.72360443,0.77307083,0.79959731,0.58538626,0.68179984,0.73165937,0.6849398,0.70618837,0.35717667,0.81158167,0.5731497,0.63378992,0.83430274,0.80682827,0.63389366,0.59527349,0.56325042,0.7188755,0.40745631,0.43276329999999996,0.6208821999999999,0.63568389,0.67116301,0.580569,0.49203911,0.7990713,0.66802929,0.68644833
39,14,0,0.61640029,0.64214047,0.78813251,0.63491189,0.70492062,0.81271322,0.58919476,0.90397657,0.7335214,0.74225241,0.85776294,0.63398378,0.76603508,0.78356593,0.81153237,0.76014598,0.6866991,0.72503027,0.77116226,0.77547589,0.70033113,0.48297289,0.76780492,0.61447981,0.68923546,0.87203859,0.80785251,0.68220312,0.71231645,0.66938597,0.74834633,0.52158718,0.5769544,0.74032997,0.73751394,0.70881149,0.64801435,0.65796089,0.84503384,0.71879195,0.75818746
