,measure_number,beat_number,pid1263-12,pid9048-12,pid9054-12,pid9055-12,pid9058-12,pid9059-12,pid9060-12,pid9062-12,pid9063-12,pid9066-12,pid9067-12,pid9068-07,pid9072-12,pid9075-12,pid9087-06,pid9088-07,pid9090-05,pid9093-12,pid9097-14,pid9100b-16,pid9101-12,pid9104-12,pid9105-12,pid9111-12,pid9118-12,pid9137-08,pid9138-12,pid9139-12,pid9166d-19,pid9170-12,pid9173-17,pid9174-12,pid917803b-07,pid917807-07,pid9186c-12,pid9192-12
220,75,0,0.18390564,0.25620485,0.39741409,0.57742703,0.17287133,0.21835782,0.27843073,0.23054909,0.51553783,0.91589448,0.25569922,0.26849224,0.26189454,0.56898089,0.62734975,0.29131753,0.56147084,0.42730913,0.29115885,0.68838585,0.56213083,0.33919748,0.46375359,0.26375999,0.31185967,0.26910483,0.58466266,0.34016383,0.37360844,0.35096917,0.33120059,0.23781843,0.30294838,0.58277527,0.16683912,0.45877342
221,75,1,0.17609251,0.24403729,0.42624548,0.59632004,0.19847122,0.25773842,0.30263274,0.25344888,0.51771441,0.89775311,0.27152754,0.28996215,0.30141996,0.57115702,0.6710224,0.32440498,0.60447038,0.47061896,0.28130937,0.72482914,0.580444,0.36778308,0.49956571,0.31964065,0.34000254,0.30050079,0.59391692,0.3600213,0.36531831,0.38847338,0.33334450000000004,0.24613247,0.32584685,0.57670145,0.17104377,0.49049404
222,75,2,0.17199655,0.25043384,0.45975,0.62241856,0.24125187,0.32348818,0.33460268,0.28358608,0.53796207,0.85963668,0.29216601,0.32253576,0.33251490000000006,0.59206628,0.70945829,0.3814844,0.65102564,0.51627927,0.27911735,0.76393285,0.61191015,0.41801303,0.54737088,0.41706091,0.38001779999999996,0.3560938,0.60672404,0.3962111,0.37695081,0.42669905,0.36019362,0.28003705,0.36473497,0.56395681,0.20050916,0.54483816
223,76,0,0.19704660000000002,0.27293273,0.52135934,0.66400034,0.30085273,0.38683026,0.39539238,0.31608227,0.57679293,0.8337449,0.31303061,0.36450159,0.36563589,0.6323379,0.78153793,0.47322686,0.69495702,0.58424741,0.29367237,0.7949406,0.66318263,0.47431229,0.60499766,0.48662326,0.43383755,0.41503347,0.62369618,0.4478456,0.40553202,0.48168679,0.39962147,0.34863363,0.41187208,0.54591704,0.23204402,0.58913118
224,76,1,0.22305134,0.31421768,0.57522416,0.70583946,0.41446574,0.44230611,0.44704781,0.36377009,0.62528122,0.81457666,0.33835591,0.41513608,0.40816607,0.6758344000000001,0.82637156,0.54472535,0.72503341,0.64838513,0.32488675,0.81700381,0.71070025,0.53637312,0.67551948,0.56759252,0.49319944,0.47784947,0.63889189,0.48606426,0.45169355,0.54029388,0.45251574,0.40958777,0.46028005,0.5313814,0.2720703,0.62311755
225,76,2,0.26984386,0.3903507,0.62063442,0.75177457,0.5170095,0.50127806,0.49018888,0.38949959,0.69240759,0.79677758,0.3712048,0.48840931,0.47554129,0.72013057,0.85638416,0.61164029,0.74299587,0.71404631,0.38141166,0.83188845,0.76271931,0.60508454,0.75365805,0.6582049,0.56316258,0.55304088,0.65680026,0.5175116,0.51075085,0.60690924,0.5107698,0.47593793,0.52795878,0.5193895000000001,0.34824669,0.66623509
226,77,0,0.32241077,0.44856532,0.67337638,0.78400635,0.59658548,0.55630865,0.53235581,0.41750247,0.75214457,0.7775849,0.39764014,0.53932209,0.54705448,0.74436958,0.88343255,0.67148894,0.74516608,0.76453817,0.43380096,0.83814963,0.81100547,0.66005026,0.81586156,0.70681612,0.6145925999999999,0.63355323,0.67192395,0.53064847,0.56020212,0.65076235,0.56217339,0.54719778,0.56950414,0.50835799,0.38804303,0.69415673
227,77,1,0.37910751,0.51916946,0.7079211999999999,0.80017585,0.65688943,0.59404014,0.55883506,0.43943406,0.79187167,0.75941909,0.41260509,0.58788334,0.58259645,0.75652185,0.8940790000000001,0.7422234999999999,0.73940338,0.78960999,0.47784597,0.83757626,0.83983663,0.69986836,0.85895637,0.73815215,0.65557392,0.67542255,0.67894566,0.5335396,0.58062479,0.67243038,0.60205346,0.57883279,0.59459772,0.49631418,0.42192658,0.7158091999999999
228,77,2,0.44941640000000005,0.59152912,0.73624069,0.80808904,0.71192919,0.63818665,0.57824222,0.45034636,0.83865894,0.72729273,0.43055070000000006,0.64121723,0.61185419,0.76103144,0.89341205,0.79156819,0.7258549,0.8043658,0.52959228,0.82950323,0.86601085,0.73513874,0.87355515,0.76060331,0.69291979,0.69143352,0.68133425,0.52674292,0.5878621999999999,0.67976528,0.63602104,0.60053265,0.6139609,0.47876759,0.4504722,0.75178876
229,78,0,0.49979982,0.63582065,0.75668356,0.80467929,0.76015432,0.6726694000000001,0.58854041,0.4584236,0.86280248,0.71267206,0.45793163,0.67573885,0.63822737,0.75405731,0.87026653,0.82637447,0.69884378,0.80636807,0.56061669,0.79879363,0.88212819,0.74838864,0.86717445,0.77143328,0.70036863,0.69297443,0.67653307,0.50495803,0.581967,0.65988889,0.64682433,0.60886985,0.62070798,0.44325909999999996,0.46692946,0.77277683
230,78,1,0.54097502,0.6580774,0.75783946,0.79052562,0.78753899,0.69301934,0.5808736999999999,0.45751424,0.88005048,0.70680423,0.48915658,0.70363722,0.65589533,0.73088016,0.81093298,0.83499248,0.66464768,0.79400627,0.58160164,0.74131921,0.87767067,0.74384093,0.8409834999999999,0.75888898,0.67914071,0.67551885,0.66693073,0.46460906,0.56467616,0.6145688,0.64831502,0.60041686,0.61680299,0.41712091,0.46548411,0.7818569000000001
