,measure_number,beat_number,pid1263-03,pid52932-03,pid9048-03,pid9049-03,pid9050-03,pid9054-03,pid9055-03,pid9058-03,pid9059-03,pid9060-03,pid9061-03,pid9062-03,pid9063-03,pid9066-03,pid9067-03,pid9072-03,pid9074f-03,pid9075-03,pid9088-03,pid9091-20,pid9093-03,pid9094-03,pid9097-06,pid9099-03,pid9101-03,pid9104-03,pid9105-03,pid9111-03,pid9112-05,pid9114-27,pid9118-03,pid9137-03,pid9138-03,pid9139-03,pid9150-17,pid9153-03,pid9166c-05,pid9170-03,pid9173-08,pid9174-03,pid9186c-03,pid9192-03
105,36,0,0.2711449,0.41275279,0.45694123,0.51417651,0.562487,0.43534332,0.47034113,0.40151383,0.44361636,0.38267779999999996,0.46102103,0.40584153,0.70551666,0.73243409,0.29569441,0.37582938,0.26123978,0.54089143,0.37104033,0.53952503,0.39521492,0.50088588,0.31343294,0.42721223,0.66859941,0.54567803,0.62012594,0.6339089,0.30569395,0.24000294,0.52805173,0.64088759,0.54318515,0.35736406,0.46890408,0.36131539,0.43381376,0.4806003,0.71236504,0.45568962,0.40277684,0.61568273
106,36,1,0.30502659,0.46211308,0.50217863,0.57415503,0.58735702,0.46851463,0.57575416,0.42271991,0.48223444,0.41402927,0.47914306,0.47761001,0.70889667,0.78313918,0.36923733,0.39851896,0.37264986,0.56797889,0.39720307,0.60922076,0.43912769,0.5444614999999999,0.3739205,0.44214923,0.75441481,0.60734338,0.54298197,0.64139132,0.37963746,0.23997351,0.57652587,0.70033389,0.55984367,0.36673733,0.46460901,0.39833298,0.47702234,0.51248737,0.73484077,0.49426397,0.41822766,0.62046118
107,36,2,0.44302094,0.67332508,0.62066445,0.74382463,0.69822357,0.59721492,0.75694953,0.59096686,0.62036439,0.56131946,0.60013023,0.62124609,0.70889667,0.82618026,0.57320163,0.53483412,0.55912239,0.70737483,0.53655019,0.78748113,0.61907723,0.57587891,0.57499285,0.53419935,0.87080861,0.73142744,0.64832933,0.70676473,0.56427936,0.34453056,0.66186267,0.82164719,0.62515877,0.46436866,0.61506163,0.48443932,0.63356474,0.64035661,0.81374346,0.64911825,0.54443623,0.71954438
108,37,0,0.61519608,0.8708213,0.71113202,0.84717923,0.8117850999999999,0.7061656999999999,0.82563669,0.70981809,0.75744242,0.69666133,0.72279742,0.68506825,0.75162965,0.82035561,0.70438435,0.67665877,0.65888965,0.79129096,0.6310435000000001,0.88961793,0.80861494,0.57695312,0.78224192,0.65060881,0.9106313,0.80071372,0.79746887,0.72052867,0.61643683,0.51285196,0.75499628,0.89092933,0.68070347,0.57100461,0.70940871,0.54218482,0.71008904,0.77307578,0.82039791,0.7350659,0.58824044,0.819975
109,37,1,0.69896976,0.95136883,0.70214244,0.87731379,0.83987868,0.72674724,0.80456724,0.89428109,0.84778274,0.78607363,0.84684509,0.66186227,0.78090295,0.76425506,0.73844841,0.78163507,0.67143506,0.79041126,0.75192932,0.92497968,0.96413445,0.55710798,0.96697169,0.76206994,0.81661543,0.79571768,0.8490656999999999,0.74539899,0.80154582,0.64142058,0.77584667,0.86853088,0.72315584,0.6401106,0.7515312,0.57155875,0.80063387,0.83607727,0.70421674,0.818062,0.63926578,0.88081678
110,37,2,0.65284978,0.93520429,0.67051969,0.86733211,0.80269497,0.69031354,0.71520534,1.0,0.76507391,0.77641207,0.90909683,0.58260505,0.7706421999999999,0.74800736,0.63928853,0.85716825,0.6640554,0.77670259,0.85120038,0.91481826,0.95557358,0.57684849,1.0,0.79973099,0.5936726999999999,0.74046788,0.85501405,0.79286577,0.86415703,0.73089375,0.70079084,0.80537006,0.69731314,0.6402211999999999,0.75831086,0.6068825,0.80923634,0.74745914,0.42967339,0.80530908,0.77361662,0.80080567
111,38,0,0.57755899,0.84179392,0.68761581,0.87049087,0.75744367,0.63058329,0.64766469,0.99557688,0.59916122,0.71832838,0.89249202,0.54269046,0.71782955,0.75769467,0.54853636,0.82689573,0.66377157,0.75397698,0.89224309,0.92538613,0.8474813,0.63044085,0.97383472,0.77990939,0.35838993,0.6842268,0.79325375,0.79904782,0.84536254,0.68669675,0.60334016,0.8116305,0.64640938,0.59489401,0.72578005,0.60607847,0.77165711,0.62098068,0.38819176,0.79705773,0.80266254,0.70141686
112,38,1,0.54754071,0.77858027,0.74761146,0.87364963,0.81718371,0.5461114,0.70387182,0.89720907,0.56189068,0.7000343000000001,0.81669597,0.53356974,0.64938436,0.75469037,0.52134418,0.75112559,0.70089691,0.75566307,0.90460344,0.93258623,0.7363791999999999,0.71023996,0.91964541,0.71209118,0.31224709,0.74063442,0.72426312,0.75563135,0.73615436,0.54596292,0.51895236,0.89872009,0.59115779,0.56525346,0.72706086,0.59551887,0.71855569,0.54240713,0.50401304,0.77299981,0.76662408,0.66344631
113,38,2,0.54544699,0.72472142,0.71260133,0.84800051,0.83285095,0.55044666,0.63713937,0.76576128,0.60506016,0.74559799,0.73249984,0.49148174,0.64431434,0.72060086,0.53046075,0.61475118,0.75857175,0.65687266,0.85017035,0.90349553,0.74234478,0.71540179,0.82763798,0.60301572,0.41725173,0.80222046,0.77701885,0.69658211,0.62422153,0.48185029,0.50330294,0.93231775,0.55119687,0.54189862,0.78074923,0.58892581,0.68388922,0.55632095,0.55191825,0.69847782,0.71209574,0.69258925
114,39,0,0.50260884,0.55788967,0.48156485,0.75374313,0.67083189,0.57838501,0.52356921,0.6261525,0.58725335,0.67230734,0.64760044,0.43280714,0.57543457,0.64138565,0.4493896,0.45352488,0.73359446,0.48780881,0.64628793,0.78144234,0.64611156,0.67064035,0.69761224,0.52750956,0.45183385,0.76608247,0.82272886,0.55320827,0.51590302,0.40020602,0.49361742,0.80843072,0.54167074,0.49434101,0.72798536,0.49948006,0.61284334,0.54666865,0.52614246,0.60371264,0.62674645,0.72412835
115,39,1,0.41064307,0.37140597,0.36540967,0.57330848,0.58878683,0.56362761,0.48408044,0.46164964,0.51795119,0.53304368,0.52755747,0.41066118,0.57543457,0.67369712,0.38291546,0.35358412,0.6248296999999999,0.42376659,0.46509785,0.59162699,0.56501757,0.57204939,0.5218473,0.45603851,0.45178379999999996,0.68654243,0.79221791,0.41549776,0.38428047,0.33173256,0.47596762,0.73511408,0.52408403,0.44,0.63409091,0.4004449,0.5687217,0.50239525,0.53159503,0.47180249,0.48114704,0.72260036
116,39,2,0.35036557,0.28854726,0.30753474,0.42710215,0.53823224,0.56984586,0.43649093,0.35208074,0.44781024,0.47701235,0.39981116,0.41768474,0.57543457,0.73948498,0.37581386,0.31294431,0.50544959,0.39168683,0.35341890000000004,0.45037742,0.5010273000000001,0.51245117,0.37299828,0.43819907,0.41699435,0.59574941,0.76029167,0.34408442,0.31371775,0.31636417,0.47419055,0.67651642,0.47142648,0.406,0.56287558,0.36372749,0.55730456,0.47059733,0.55318123,0.37132913,0.4371344,0.66244617
117,40,0,0.30270023,0.22640666,0.27790243,0.37609451,0.51071057,0.56861972,0.44979795,0.29709693,0.38294259,0.47666933,0.32652862,0.42635553,0.57074481,0.77124464,0.35871620000000004,0.25425355,0.40878747,0.3894216,0.2655574,0.40163744,0.43220690000000006,0.51427176,0.28602373,0.46244514,0.41398441,0.48226804,0.71142289,0.30898174,0.25899689,0.29249485,0.50934127,0.66700751,0.42601856,0.3776682,0.47455701,0.36087586,0.56324328,0.42685290000000004,0.57537856,0.35739744,0.41754858,0.59261703
118,40,1,0.32512463,0.30198102,0.30830197,0.41346263,0.54364818,0.54142582,0.53922564,0.33726015,0.37224476,0.51284016,0.33119099,0.44579425,0.57074481,0.72568976,0.3444408,0.26101303,0.35741371,0.44787039,0.27268045,0.45089421,0.4474002,0.51659459,0.34459537,0.50963472,0.46092086,0.45697859,0.68551679,0.32842322,0.2714802,0.30945257,0.55693152,0.6983862,0.44419638,0.3798341,0.44945108,0.41433319,0.5991473,0.4336107,0.60990018,0.37792835,0.42454784,0.56940547
119,40,2,0.45517614,0.49676709,0.41689346,0.55111504,0.62503466,0.56717464,0.71032798,0.47325567,0.47196287,0.63617654,0.46393176,0.52479219,0.57074481,0.70858369,0.43955763,0.41771327,0.51176203,0.59153288,0.44285714,0.60434328,0.57256015,0.50609654,0.52300543,0.59414555,0.57389004,0.50197462,0.76661949,0.4376963,0.36117659999999996,0.41751202,0.63247116,0.71271564,0.5296043,0.46858065,0.53014253,0.51273585,0.68564745,0.5600416,0.71195763,0.48034156,0.52933504,0.64779831
120,41,0,0.67313061,0.6963819,0.55148379,0.67035189,0.77352686,0.60041163,0.83987407,0.64372041,0.61071158,0.76840842,0.62275184,0.61344467,0.57074481,0.71600245,0.57967314,0.64046209,0.6897139,0.6945091999999999,0.70450836,0.7291835999999999,0.72561053,0.49552176,0.77666571,0.65357497,0.69829127,0.63038065,0.87332062,0.60226675,0.46353425,0.52217208,0.69250093,0.77128548,0.58895945,0.6595576,0.62936248,0.58206475,0.80297314,0.73087667,0.81048414,0.62532022,0.62680024,0.76517572
121,41,1,0.80538385,0.86476819,0.59957296,0.73738076,0.82259099,0.64485899,0.85882906,0.78930974,0.74699209,0.85404756,0.77495605,0.61301762,0.56609126,0.68362968,0.63107115,0.77624408,0.7282584,0.70683234,0.89596704,0.80397166,0.83648734,0.49780971,0.97147555,0.66367691,0.67742904,0.69401269,0.94911082,0.65652668,0.60703959,0.64926911,0.72744697,0.80856984,0.61978505,0.76575115,0.72393105,0.57204117,0.88024449,0.85604755,0.73382223,0.78519584,0.68735292,0.83212946
122,41,2,0.82871386,0.92853212,0.60759265,0.76972645,0.74556326,0.69837099,0.66488112,0.8712933,0.78590581,0.86976904,0.81077033,0.58105697,0.56609126,0.69650521,0.59156603,0.82079384,0.70997956,0.70020526,0.94152603,0.84740448,0.81499504,0.55326451,0.9873463,0.66466091,0.57155931,0.64564631,0.97524255,0.66994244,0.67454404,0.70720102,0.74773911,0.82401224,0.61416707,0.69579724,0.81351117,0.58013508,0.84085421,0.80624071,0.58685408,0.8055504,0.77596988,0.82789276
123,42,0,0.7753905,0.85685789,0.65849016,0.7851412,0.74088388,0.72574006,0.37417536,0.90767506,0.80770024,0.82443403,0.78837012,0.55874323,0.54786939,0.70582465,0.48183907,0.77227488,0.6261920999999999,0.69093175,0.89763093,0.86116595,0.72682707,0.76290458,0.96225336,0.66851196,0.43903625,0.60321174,0.90152401,0.68266183,0.70434831,0.68983616,0.76562151,0.82895103,0.57000489,0.62424885,0.84902735,0.6041488,0.76886508,0.65771174,0.37010932,0.76200111,0.79271163,0.7665648
124,42,1,0.65596544,0.73084331,0.74645339,0.77225346,0.80177643,0.6895690999999999,0.47875200000000007,0.83372788,0.84365761,0.75508804,0.7203881,0.54771601,0.54786939,0.67792765,0.40903781,0.71433649,0.59797911,0.77523642,0.86039141,0.85112066,0.74746328,0.97279576,0.95782099,0.67885459,0.59849861,0.59498017,0.75198449,0.73850636,0.66347865,0.58966938,0.77333457,0.89691152,0.53717636,0.66018433,0.81711287,0.61090266,0.68828101,0.58320357,0.44092483,0.68399851,0.76124521,0.71940547
125,42,2,0.5715437,0.66289036,0.73038506,0.74104492,0.7102773,0.64122438,0.47499295,0.7551084,0.8353386,0.71043906,0.6706388000000001,0.48050027,0.54340898,0.66774985,0.37557758,0.53128555,0.51334582,0.81049776,0.79621266,0.81517826,0.73500045,0.92480469,0.92243351,0.66125584,0.73461071,0.55349722,0.72912436,0.78838911,0.5780694000000001,0.47954969,0.72856345,0.95381191,0.52887152,0.6781106,0.8066641,0.60988422,0.65192424,0.57942942,0.50820941,0.63793391,0.74840315,0.7063480999999999
126,43,0,0.46448156,0.5410304,0.50044876,0.66719313,0.55596187,0.59747767,0.42800489,0.59999377,0.74458577,0.56595015,0.56484991,0.3517883,0.51315186,0.62992029,0.3182397,0.38625,0.33421889,0.68902573,0.61205134,0.73208687,0.54260611,0.7719029000000001,0.7803116999999999,0.5978621000000001,0.74319011,0.51123711,0.71055115,0.74262773,0.46035365,0.35687727,0.64468738,0.90978019,0.50532487,0.58643318,0.75343798,0.51795133,0.58643224,0.53022883,0.52734433,0.55028773,0.64309823,0.70933463
127,43,1,0.33319209,0.47702573,0.36539519,0.54913134,0.50890815,0.5364336999999999,0.40949159,0.44450536,0.64593331,0.43182598,0.45431399,0.32551666,0.39110937,0.64984672,0.32293909,0.34725118,0.33960604,0.57177626,0.43477537,0.57947974,0.43266649,0.57179827,0.56026594,0.51748549,0.71286909,0.47398097,0.66829734,0.6521424,0.33092749,0.25500834,0.5800428000000001,0.83583751,0.48135809,0.47152074,0.64806433,0.40227809,0.5625415,0.46244279,0.53039995,0.46114721,0.4511262,0.68995694
128,43,2,0.27175141,0.47391663,0.35121598,0.45098869,0.51214038,0.51510772,0.40982051,0.37605283,0.59575112,0.31402927,0.36548154,0.35929231,0.3695437,0.66321275,0.31745209,0.35922986,0.36419732,0.47547834,0.31510974,0.47540936,0.35510498,0.53120117,0.42459966,0.46649441,0.64477729,0.44095163,0.6811068,0.58521992,0.25573287,0.22306485,0.57307406,0.74394825,0.4868002,0.40142857,0.56919299,0.35024121,0.54131452,0.44064785,0.6067563,0.43027659,0.37993007,0.62171829
129,44,0,0.25166999,0.46470629,0.39295744,0.45999747,0.52156846,0.49159222,0.44786204,0.39053699999999997,0.57636301,0.33155157,0.35745914,0.39588195,0.37999759,0.59328633,0.31212917,0.35410545,0.38526907,0.44079613,0.28474764,0.48808501,0.32112283,0.5824706999999999,0.36237489,0.45185474,0.62743977,0.43405234,0.68027609,0.55480708,0.25217415,0.20045129,0.56918496,0.73713133,0.51152907,0.36075576,0.50688559,0.34226522,0.51012677,0.44149777,0.66367896,0.43947466,0.36811,0.58584526
130,44,1,0.28543536,0.50947861,0.44516503,0.52324215,0.55655113,0.49649676,0.54167841,0.45702093,0.59141973,0.40404185,0.41426711,0.44786090000000006,0.37139667,0.56613734,0.36276582,0.37449052,0.41962988,0.47215747,0.34518659,0.54414702,0.36478327,0.58618164,0.43627395,0.46881637,0.6865089,0.47489294,0.67309704,0.5637746,0.31679827,0.22809281,0.58386677,0.74353088,0.55632633,0.36007373,0.49831471,0.39079117,0.53535315,0.46940862,0.70333401,0.4891034000000001,0.39103745,0.60282678
131,44,2,0.45573279999999994,0.61744394,0.53393167,0.67224714,0.68172444,0.57006481,0.75540833,0.6287689999999999,0.67395669,0.57786417,0.61169499,0.5622206999999999,0.42720908,0.57971796,0.52501313,0.49223341,0.54246708,0.60804926,0.52308058,0.70299617,0.56933405,0.54418945,0.64667572,0.57471329,0.78615858,0.57826328,0.79457674,0.68111987,0.46227202,0.34724811,0.67330666,0.79737062,0.62613581,0.45434101,0.63835709,0.47713336,0.66622397,0.60142645,0.8282067,0.66602933,0.53769246,0.70482011
132,45,0,0.60085577,0.7173614,0.60801245,0.7960705,0.80915945,0.62926957,0.88367635,0.72059556,0.80825026,0.73959524,0.77808166,0.64547396,0.55720063,0.62930717,0.63922289,0.59620853,0.59718438,0.72535738,0.70842247,0.8259784,0.7882670999999999,0.52994559,0.78960538,0.70289537,0.82927004,0.6570341,0.93720386,0.7706246,0.49737544,0.48113902,0.7525121,0.81921258,0.63048363,0.59936406,0.75643297,0.51579653,0.72626773,0.76897474,0.86826917,0.74506219,0.62982586,0.78497013
