,measure_number,beat_number,pid1263-06,pid9048-06,pid9054-06,pid9055-06,pid9058-06,pid9059-06,pid9060-06,pid9062-06,pid9063-06,pid9064-05,pid9065-03,pid9066-06,pid9067-06,pid9068-04,pid9072-06,pid9074f-06,pid9075-06,pid9090-02,pid9093-07,pid9097-12,pid9099-06,pid9100b-02,pid9101-06,pid9103-03,pid9104-06,pid9105-06,pid9118-06,pid9139-06,pid9166c-09,pid9170-07,pid9173-11,pid9174-06,pid9186c-06,pid918719b-02,pid9192-06
304,103,0,0.35303945,0.63179741,0.55030466,0.51421874,0.49577740000000003,0.37805197,0.54614103,0.339194,0.38303329,0.45976279,0.58864857,0.50318509,0.39664036,0.50984907,0.63756866,0.41242759,0.60817757,0.53373675,0.37886626,0.30799557,0.36019605,0.49637779,0.56047646,0.49141058,0.41163906,0.88257767,0.40239384,0.5197925,0.50886055,0.37660026,0.040584627000000005,0.66730791,0.46389987,0.40734286,0.31992311
305,103,1,0.35600419,0.6480198,0.54475555,0.49129656,0.5204784,0.41659399999999996,0.57952526,0.32854414,0.38526098,0.43032919,0.57261187,0.50289887,0.37621411,0.5223349,0.62797051,0.41723463,0.59742991,0.55251028,0.36993211,0.29793886,0.35523059999999995,0.52477647,0.58625023,0.49845088,0.40511358,0.90075567,0.3999645,0.52570386,0.5165385,0.36744859,0.038856623,0.66660081,0.46477359,0.43196007,0.38656984
306,103,2,0.35366298,0.6487243,0.53787901,0.45898900000000004,0.54157514,0.44613708,0.61673376,0.31390201,0.37886284,0.38680006,0.52537307,0.48383238,0.36771333,0.53418243,0.5871061,0.41508313,0.55595016,0.55678383,0.35346232,0.28257712,0.3443516,0.54237585,0.59522604,0.49034635,0.40885148,0.88797229,0.39534987,0.51336842,0.5177627,0.35655527,0.030253019,0.65262512,0.44476805,0.45282971,0.42596326
307,104,0,0.34836880000000003,0.64699162,0.52489482,0.42641719,0.55567488,0.46393443,0.65349112,0.30205104,0.36279627,0.34661126,0.4775056,0.46142668,0.36482551,0.53891905,0.53436687,0.40097796,0.50499221,0.55559094,0.33179905,0.26522341,0.33362526,0.54419369,0.57931908,0.46183879,0.40972939,0.83786734,0.39124551,0.48985870000000004,0.51518357,0.3434383,0.035430324,0.63351254,0.42366687,0.45240673,0.44749252
308,104,1,0.34323933,0.6456588000000001,0.51109822,0.3984656,0.57311041,0.47717126,0.68573015,0.29763553,0.34196348,0.3107552,0.44123,0.43711287,0.35719515,0.54035077,0.46020526,0.37542316,0.46728193,0.55149111,0.31672777,0.24846452,0.32518882,0.52733491,0.55278559,0.41548489,0.3954747,0.775,0.39742424,0.47580414,0.5049978,0.32902956,0.038670692,0.61222665,0.39391166,0.42085272,0.45753951
309,104,2,0.32759209,0.62480008,0.46611779999999997,0.37503197,0.5877634,0.47706662,0.71286785,0.28824397,0.31598239,0.29000323,0.38864195,0.4103919,0.33358009,0.5183917,0.37330876,0.33211465,0.41583333,0.5146679,0.30751527,0.22090192,0.29881890000000005,0.44786168,0.50352654,0.34082494,0.3739705,0.67306885,0.42624351,0.46922926,0.47296671,0.31212082,0.051663790999999994,0.54346085,0.35976701,0.35705947,0.44123879
310,105,0,0.29595642,0.53848058,0.42062962,0.31973404,0.56254983,0.43504534,0.71252082,0.26596049,0.28202953,0.26658059999999995,0.31349885,0.36226332,0.28826975,0.46180278,0.30034692,0.27262469,0.32739875,0.44645897,0.29288527,0.19596763,0.26599711,0.34266940000000007,0.43779779,0.21518892,0.32735994,0.48948363,0.45735901,0.45099754,0.43262774,0.28367609,0.072525398,0.44921855,0.32262672,0.28682007,0.39816318
311,105,1,0.25848539,0.37491432,0.33160453,0.20827721,0.39777886,0.31764911,0.66217379,0.19176609,0.22789146,0.21666936,0.20669042,0.25848378,0.17455462,0.33433156,0.21803267,0.18962612,0.2413785,0.33168105,0.25574338,0.17795684,0.22234453,0.20988635,0.26522228,0.13573048,0.18098470000000003,0.3020361,0.40690864,0.32364695,0.3589384,0.19095758,0.087533065,0.30103882,0.25809583,0.22669825,0.23608714
312,105,2,0.20060236,0.22181074,0.22319019,0.067297758,0.15572370000000002,0.16499826,0.40943226,0.15068807,0.15861935,0.10580926,0.12989289999999998,0.15721415,0.092239486,0.15760902,0.16840850000000002,0.21873166,0.17317757,0.30677515,0.10023761,0.16630931,0.16491242,0.16360552,0.14410054,0.22227329999999998,0.15646665,0.22347817,0.12684696,0.16183855,0.32104781,0.10599614,0.11201839999999999,0.24256762,0.13709174,0.25044412,0.16567279
313,106,0,0.19317874,0.21933549,0.21455099,0.32582048,0.078879668,0.14847401,0.28441144,0.23944451,0.19324569,0.12773923,0.19573825,0.20504917,0.11651346,0.24050588,0.20469789,0.30212142,0.24687695,0.30850657,0.088716904,0.18751556,0.16823076,0.22541204,0.23773213,0.33926322,0.27775364,0.269322,0.12624795,0.22989459,0.35209242,0.20530848,0.13734905,0.34732289,0.15621663,0.27133914,0.31186672
314,106,1,0.19862587,0.24659177,0.21982446,0.36232205,0.094451224,0.19823858,0.26725429999999994,0.32256146,0.22971765,0.20414717,0.29916066,0.2225011,0.19802327,0.31766987,0.23814686,0.34420372,0.34490654,0.31407725,0.16625933,0.20945497,0.19536397,0.29698104,0.35005627,0.37971033,0.31892479,0.34404912,0.18220038,0.3923665,0.38743953,0.26725578,0.30100633,0.4247403,0.193031,0.28667625,0.42029902
