,measure_number,beat_number,pid1263-13,pid50534-05,pid52932-06,pid54293-09,pid5667267b-10,pid7992-03,pid9048-13,pid9050-13,pid9052b-09,pid9054-13,pid9055-13,pid9056-15,pid9058-13,pid9059-13,pid9062-13,pid9063-13,pid9064-04,pid9065-08,pid9066-13,pid9067-13,pid9068-08,pid9070-21,pid9072-13,pid9074f-13,pid9085-15,pid9087-07,pid9088-08,pid9089-15,pid9090-06,pid9093-13,pid9094-13,pid9098-20,pid9099-13,pid9100b-17,pid9101-13,pid9103-07,pid9104-13,pid9105-13,pid9111-13,pid9118-13,pid9130-01,pid9138-13,pid9139-13,pid9152-13,pid9153-13,pid915406-13,pid9156-10,pid9159-04,pid9160-02,pid9161-12,pid9165-04,pid9166d-20,pid9167-13,pid9170-13,pid9173-18,pid9174-13,pid9176-06,pid917803b-08,pid917807-08,pid917811-09,pid917812-05,pid917813-02,pid9181-07,pid9186c-13,pid918818-11,pid9192-13,pid9193-03
231,78,1,0.48087479,0.22502336,0.35482114,0.27039856,0.46395870000000006,0.19582061,0.47603257,0.56835766,0.42223949,0.6774941,0.39557535,0.6829864,0.28988191,0.61300453,0.30432894,0.34693375,0.49360791,0.57846656,0.6317156,0.53523445,0.35502046,0.4974424,0.25029796,0.61156306,0.46511204,0.7186182,0.49059357,0.37881792,0.29344527,0.57121995,0.74550388,0.71312973,0.38726351,0.29449477,0.64362109,0.64025208,0.37641693,0.56609442,0.476696,0.71795499,0.44799654,0.31733851,0.8056,0.61494033,0.41565719,0.44039768,0.37381927,0.78997095,0.43784282,0.48924449999999997,0.45138106,0.51401718,0.72250377,0.47376007,0.53619004,0.26795228,0.62310767,0.34313421,0.81834339,0.52462824,0.65267692,0.41845947,0.38529004,0.19776733,0.36902269,0.60809695,0.47683012
232,78,2,0.51521676,0.28073872,0.38751361,0.26900728,0.44174497,0.21675389,0.48171001,0.54756387,0.43969117,0.66911157,0.39816005,0.68140828,0.31531225,0.62789513,0.31262732,0.38159268,0.46680301,0.5467863000000001,0.64717337,0.54134519,0.3951074,0.47074501,0.2354479,0.59605146,0.44786802,0.71876082,0.51394064,0.40345091,0.30217226,0.60560551,0.73459948,0.73225442,0.34493528,0.30163763,0.65778815,0.63390967,0.38880542,0.5730401999999999,0.479584,0.73514288,0.47258134,0.33420922,0.80433333,0.61657101,0.40746463,0.45119413,0.37906153,0.78644448,0.48712648,0.50607119,0.47265603,0.51725191,0.71842228,0.5186595,0.54862546,0.2543798,0.64619934,0.34080196,0.80749801,0.54781509,0.66997607,0.43599849999999996,0.42258013,0.20709623,0.41271214,0.61219512,0.48383509
233,79,0,0.56750073,0.31996482,0.39994345,0.26108247,0.43930835,0.23173426,0.49699701,0.52358577,0.45357871,0.66322314,0.40136536,0.6865334,0.32755204,0.64417201,0.32056621,0.4062703,0.44675164,0.52301794,0.65155106,0.54129531,0.44218377,0.46536098,0.22027105,0.59118828,0.44608598,0.73242191,0.55023908,0.4164633,0.30853728,0.63689178,0.71365202,0.74876011,0.31337919999999997,0.30488502,0.66221185,0.6310979999999999,0.39716279,0.5730401999999999,0.46776,0.74347973,0.49851207,0.34652135,0.80166667,0.62252892,0.40335806,0.46536481,0.39524653,0.77156398,0.51832788,0.51535254,0.48322661,0.52397901,0.71122297,0.54558082,0.55019373,0.26626083,0.65801295,0.3360802,0.7936579,0.5700168000000001,0.69011966,0.44399181,0.44815574,0.21946077,0.42199753,0.63566022,0.49841185
234,79,1,0.60766172,0.34257342,0.40691757,0.24847914,0.44462959,0.24688181,0.50573391,0.51086679,0.46135768,0.66396842,0.4114486,0.68984745,0.3383707,0.64379479,0.32202666,0.42673491,0.42786074,0.50979608,0.65004151,0.53380446,0.48032731,0.4709831,0.21336025,0.59289114,0.45232606,0.74897618,0.56981863,0.4229266,0.314096,0.65397615,0.70714901,0.75632124,0.30054313,0.30919861,0.66019599,0.63390967,0.40173721,0.56530612,0.45164,0.74687684,0.51234179,0.35985866,0.8,0.62962558,0.40104381,0.47603528,0.41696096,0.76185089,0.52762996,0.52666085,0.48720252,0.52727099,0.70832058,0.56428618,0.54147601,0.28145122,0.66798018,0.33258592,0.7882701999999999,0.59258145,0.70632479,0.45003633,0.46692344,0.23439091,0.42331101,0.65668629,0.50748088
235,79,2,0.65519348,0.36793023,0.4224889,0.23252039,0.45771416,0.26174589,0.5076435,0.51718978,0.46182383,0.67155401,0.43373248,0.69727211,0.35708567,0.63996605,0.32491013,0.44438429,0.41966137,0.50772431,0.64675825,0.52639674,0.52220423,0.49470814,0.21662822,0.60151695,0.46637064,0.78480471,0.59403133,0.43168732,0.31926579,0.67903833,0.71200689,0.7587488,0.29252286,0.3183554,0.65627625,0.64479276,0.41669461,0.56156609,0.44232,0.7531653,0.51975057,0.36974221,0.8032,0.64657921,0.40451861,0.47926709,0.43318873,0.75917036,0.5243553000000001,0.54734749,0.49090127,0.51430344,0.71236806,0.5826180999999999,0.52099631,0.29714006,0.67769962,0.3338707,0.78549938,0.61220109,0.71733333,0.45610288,0.48500423,0.25206293,0.42061252,0.6930958,0.50934175
236,80,0,0.69709049,0.37956432,0.43374592,0.21677988,0.47531687,0.27119494,0.51422441,0.5449635,0.45181121,0.68564787,0.46788113,0.70972421,0.38346677,0.63959826,0.34468244,0.46067526,0.43021022,0.52205546,0.64666767,0.52926505,0.5723746999999999,0.52886329,0.23312188,0.61879833,0.48650238,0.82193721,0.61334707,0.45167779,0.32666477,0.70977616,0.72757106,0.7586965999999999,0.29690414,0.33689199,0.65641624,0.66597722,0.44819907,0.56828414,0.43608800000000003,0.77677653,0.52507254,0.37687867,0.8102,0.66666667,0.4136451,0.47961218,0.44906825,0.7653264,0.50807409,0.58043837,0.4991016,0.48668893,0.72396631,0.59754963,0.50426199,0.30991992,0.68993686,0.34425532,0.79074714,0.63106373,0.72697436,0.45766631,0.50362474,0.26854681,0.41953313,0.71861763,0.51673173
237,80,1,0.74525264,0.38856012,0.45021781,0.20328996,0.51365822,0.28519407,0.53878217,0.57863139,0.4360202,0.70542355,0.52232039,0.72769971,0.42268815,0.65035836,0.38816657,0.47761591,0.46337867,0.57407015,0.64887916,0.56092451,0.60762018,0.60304916,0.26091888,0.64454194,0.52620714,0.84547992,0.65953009,0.49438513,0.34982925,0.73821823,0.77527132,0.76486557,0.31288133,0.38408362,0.66041064,0.69008645,0.51645986,0.58646755,0.436432,0.79792633,0.53644502,0.38658306,0.83713333,0.68619841,0.44765829,0.48467901,0.46441009,0.78108342,0.47686246,0.62987101,0.51550225,0.45441794,0.76250241,0.61376531,0.50546125,0.31920248,0.70642634,0.37477905,0.80579073,0.64495925,0.73750427,0.46089226,0.54515903,0.27984071,0.43872163,0.74706782,0.52737287
238,80,2,0.7826301999999999,0.42560598,0.51772849,0.21054642,0.57375437,0.31536561,0.57003378,0.64603102,0.42288045,0.72987751,0.58370327,0.75321259,0.472498,0.67316107,0.43785201,0.50451816,0.51376391,0.63788744,0.66140841,0.65893748,0.68940505,0.65430108,0.32075163,0.6898721,0.58536141,0.89496954,0.6702060999999999,0.54460439,0.38666287,0.78145526,0.80351421,0.77600278,0.33796506,0.43455749,0.6714419,0.72887614,0.58631699,0.61877901,0.449824,0.83182163,0.55676977,0.41450184,0.84306667,0.70599435,0.50019915,0.50719763,0.52011975,0.80642104,0.46071429,0.69857434,0.55215521,0.43923664,0.78116391,0.6381904,0.55387454,0.34002288,0.72406682,0.40169394,0.8338068000000001,0.65247734,0.75220513,0.48006078,0.59433534,0.29836793,0.47935496,0.79876137,0.56883589
239,81,0,0.82124915,0.46076473,0.58576275,0.25157542,0.63587194,0.34723797,0.60641869,0.70635036,0.42513353,0.7543536,0.66059433,0.77891335,0.52355885,0.71044889,0.49009886,0.52834925,0.57820793,0.68486134,0.68142501,0.72746924,0.74430617,0.70966974,0.42218378,0.73819899,0.65053226,0.92250565,0.69205276,0.58487131,0.44624359999999996,0.81047127,0.82803618,0.79151658,0.35816964,0.49096864,0.6890154000000001,0.76673669,0.64608626,0.66770605,0.4814,0.8663913000000001,0.58036673,0.44177366,0.8616,0.72573563,0.55724488,0.54356924,0.56901081,0.83589665,0.47317847,0.74860828,0.60770334,0.43469466,0.80225162,0.67365524,0.62577491,0.35835104,0.74290624,0.44185761,0.86382401,0.65852293,0.768,0.50615463,0.65014781,0.31011229,0.52265427,0.83217371,0.60577509
240,81,1,0.85197362,0.48901632,0.64461339,0.31551955,0.70388986,0.38203227,0.6615094,0.75880474,0.44841216,0.78372196,0.72688376,0.79386789,0.57957366,0.73569408,0.54126723,0.54771139,0.64832113,0.72225938,0.6996528000000001,0.8112155,0.78707808,0.7688172,0.51800269,0.78368531,0.72069635,0.94709765,0.710338,0.62316492,0.52400873,0.82316179,0.85817399,0.80475942,0.37844664,0.54513589,0.70476902,0.80601115,0.6801261,0.71617763,0.52232,0.88704375,0.59697475,0.46684582,0.87153333,0.74274392,0.624612,0.58446538,0.62479379,0.85481323,0.51340565,0.81008632,0.67547549,0.45416031,0.81413331,0.71231082,0.69056273,0.37510214,0.76005115,0.47868249,0.88676024,0.66719207,0.78133333,0.54275208,0.7070152,0.31912782,0.58595487,0.86222188,0.65694883
