,measure_number,beat_number,pid52932-12,pid5667271-08,pid5667291-10,pid610003b-02,pid9048b-02,pid9049-27,pid9050-27,pid9054-27,pid9058-27,pid9059b-02,pid9060-27,pid9061-27,pid9062b-01,pid9063b-02,pid9064-08,pid9066-27,pid9067-25,pid9070b-10,pid9072b-02,pid9073b-02,pid9074f-27,pid9075-27,pid9090-14,pid9099b-02,pid9100b-22,pid9101b-09,pid9103-14,pid9104-27,pid9111-27,pid9113-10,pid9114-28,pid9116-13,pid9118b-02,pid9119-07,pid9121-06,pid9130-08,pid9138-27,pid9152-14,pid9174-27,pid917520g-10,pid918904-10,pid9192-27
20,7,2,0.38111624,0.1913332,0.19567692,0.23507331,0.25050894,0.28933452,0.15016937,0.34919028,0.10459626,0.2754087,0.41426114,0.28631307,0.21882672,0.35330364,0.30609232,0.33734393,0.43965293,0.36309167,0.24229098,0.12887132,0.32346278,0.29679721,0.28330941,0.34711919,0.26238279999999997,0.35201919,0.65534304,0.29968268,0.43592857,0.2422581,0.23619973,0.25889059999999997,0.51458961,0.3701165,0.33387729,0.3773351,0.20782749,0.41183419,0.31473592,0.28924837,0.24526161,0.2922572
21,8,0,0.29357181,0.20095087,0.18633446,0.28418864,0.2511967,0.25665854,0.17892328,0.25883169,0.11170527,0.22853283,0.39669097,0.29898935,0.19561692,0.34959911,0.25275853,0.19889112,0.42088453,0.29506659999999996,0.18043266,0.13205499,0.27645983,0.27617773,0.25697196,0.35443483,0.20423849,0.27194767,0.4399807,0.24063907,0.29520542,0.22429811,0.22531168,0.23761651,0.38968253,0.25915382,0.29329540000000004,0.35818113,0.21409076,0.35781578,0.29707227,0.23419348,0.26595922,0.25060596
22,8,1,0.25283975,0.16762084,0.1726326,0.19496334,0.16237506,0.25345299,0.13259897,0.18408329,0.09095949199999999,0.17773622,0.24771602,0.24509558,0.16236442,0.25576095,0.19419878,0.11937484,0.32081066,0.27258464,0.13534001,0.11282126,0.18423385,0.23222249,0.23794621,0.26095147,0.1407902,0.19298959,0.33547991,0.14963471,0.15958476,0.20547656,0.21541462,0.16752329999999999,0.24517847,0.16801419,0.21687691,0.25367654,0.18254265,0.21588521,0.24802062,0.23734353,0.1918633,0.17577849
23,8,2,0.2869243,0.1864897,0.16912085,0.13176724,0.1259514,0.27346185,0.09777751900000001,0.18385772,0.14429044,0.13255057,0.22543341,0.28031965,0.1721542,0.22560505,0.10811616,0.19415874,0.3308607,0.25348286,0.15957088,0.10981569,0.15638103,0.17048569,0.22850991,0.24893711,0.17554771,0.27694745,0.24185822,0.17917497,0.20187385,0.20324135,0.25610255,0.1943987,0.28562933,0.2374343,0.23138118,0.21758304,0.18608948,0.26149721,0.31186655,0.39659889,0.19730699999999998,0.13720754
24,9,0,0.2729789,0.27623811,0.24406636,0.21089454,0.21546079999999998,0.38313759999999997,0.17062292,0.24512435,0.28933202,0.15405929999999998,0.22759356,0.41052961,0.28360585,0.27605048,0.14500277,0.33686370000000004,0.45076416,0.26525562,0.27673553,0.18461595,0.23579569,0.23008189,0.21017322,0.35189855,0.31986998,0.48149972,0.36304615,0.32219762,0.37534090000000003,0.29963851,0.41524839,0.31344675,0.48792421,0.39134109999999994,0.32523485,0.31198069,0.25680721,0.3498297,0.40630289,0.55121206,0.3026417,0.23349604
25,9,1,0.27163276,0.38300317,0.40115645,0.39630622,0.34128381,0.51036266,0.31269878,0.28782533,0.45259769,0.18391521,0.27779307,0.48539643,0.32887983,0.34017075,0.23582617,0.44028639,0.60163963,0.31295741,0.43113751,0.30981569,0.32389194,0.3180167,0.23593645,0.43725993,0.46443868,0.63611837,0.49350763,0.4065973,0.5631741,0.51129654,0.59315901,0.47848159,0.56586612,0.61142256,0.44678727,0.4194568,0.39451561,0.45186608,0.47787179999999996,0.64711107,0.41528597,0.3151658
26,9,2,0.31411934,0.47422742,0.53116372,0.55863175,0.41999083,0.55442056,0.4474181,0.33020243,0.52467138,0.24743696,0.33861447,0.43074271,0.30711321,0.40000742,0.35497643,0.50021828,0.73158273,0.35854262,0.52447912,0.41882875,0.3829675,0.37941296,0.28609436,0.49210526,0.5656133000000001,0.70675774,0.59406913,0.47387647,0.66088678,0.68532353,0.71529953,0.58751244,0.5496209,0.75779608,0.52004939,0.50136273,0.50806566,0.5499529000000001,0.44968388,0.69391187,0.49994229,0.34094429
27,10,0,0.38883007,0.46597662,0.49953984,0.54437474,0.37138927,0.46111234,0.43808342,0.32433198,0.47503353,0.27885841,0.43693588,0.34907552,0.22800649,0.40544172,0.36998198,0.35697197,0.76441702,0.37151582,0.38149659,0.40415462,0.39925426,0.36521528,0.29709063,0.47970239,0.55296354,0.65577491,0.56118617,0.43697144,0.66866368,0.64194481,0.61751167,0.50039815,0.40479247,0.69915032,0.52628697,0.48096905,0.52043128,0.49295601,0.37587783,0.68144192,0.51739549,0.25586602
28,10,1,0.43158134,0.35052496,0.36345362,0.41421119,0.29079321,0.33840756,0.32743775,0.3422325,0.35914334,0.22736908,0.48767199,0.26342056,0.23635309,0.36233111,0.31512337,0.30475858,0.69156982,0.38235139,0.24519904,0.30155768,0.37439145,0.29497284,0.28490765,0.432246,0.4763257000000001,0.54069419,0.49257765,0.36099181,0.63168822,0.47217737,0.53137907,0.32754502,0.3772621,0.44187982,0.4623866,0.39000662,0.45836498,0.3423364,0.279146,0.59711285,0.46840215,0.22147787
29,10,2,0.44709975,0.26765055,0.27395859,0.27197589,0.22607061,0.26258217,0.21698601,0.35629265,0.31301976,0.16962455,0.5025454,0.24473519,0.22921161,0.33230141,0.24165512,0.30936872,0.59772782,0.40314853,0.18858941,0.23106573,0.33371324,0.23939836,0.26874342,0.35617212,0.41403912,0.39652477,0.39463064,0.2516936,0.57152283,0.35763947,0.47164504,0.31272283,0.37939749,0.46864049999999996,0.44264319,0.32111290000000003,0.43261667,0.21458801,0.24593911,0.50344019,0.38182226,0.158475
30,11,0,0.37787189,0.27912044,0.34203802,0.27742140000000004,0.24486933,0.280065,0.20210483,0.41222094,0.32196191,0.24431283,0.44642955,0.29940458,0.25050214,0.34595397,0.22424452,0.34441631,0.52645159,0.47909229999999997,0.26359606,0.20837755,0.32052906,0.29645666,0.27558618,0.32531154,0.46320656,0.38101152,0.39732409,0.25074164,0.55347057,0.45218099,0.56623617,0.42979821,0.45374437,0.51795725,0.56160825,0.33197691,0.48884454,0.26206247,0.29849236,0.47983847,0.40267376,0.19574146
31,11,1,0.46074265,0.36080626,0.46648099,0.39699351,0.33253553,0.33582982,0.28955602,0.52469636,0.31750872,0.35920615,0.35510457,0.33430743,0.32272031,0.38312546,0.26434017,0.39574784,0.52629553,0.61725899,0.40288146,0.27203864,0.38557056,0.37374524,0.31736051,0.396782,0.52007181,0.53591923,0.46682751,0.40626522,0.61109352,0.60820581,0.68371587,0.67316985,0.53924126,0.68176244,0.6701809,0.43308413,0.56451883,0.39710849,0.46856337,0.5259761,0.50697615,0.32635078
32,11,2,0.57159495,0.40466521,0.53496609,0.46283307,0.36792297,0.38699313,0.34799473,0.60399075,0.32341053,0.40808396,0.34362273,0.30030555,0.39574190000000004,0.42378619,0.28098836,0.44165721,0.59252593,0.72203443,0.53099566,0.3139386,0.44595469,0.43503608,0.36335535,0.46807653,0.54824628,0.63994047,0.53731356,0.45016604,0.70433712,0.68514279,0.74343073,0.82055018,0.6105202,0.77557814,0.65913361,0.51809407,0.62150628,0.53803174,0.57295983,0.59689968,0.5770454,0.41411379
