,,pid1263b-19,pid5667285b-10,pid9048b-22,pid9049b-19,pid9050b-21,pid9054b-21,pid9055b-19,pid9058b-19,pid9059b-23,pid9060b-17,pid9061b-16,pid9062b-22,pid9063b-25,pid9064-02,pid9066b-19,pid9067-27,pid9069-19,pid9070b-31,pid9072b-23,pid9074g-19,pid9075b-19,pid9088-25,pid9090-26,pid9094b-27,pid9097-15,pid9098-07,pid9099b-25,pid9100b-08,pid9104b-19,pid9111b-21,pid9112-11,pid9114-34,pid9118b-25,pid9137-22,pid9139b-21,pid9153b-21,pid9166b-09,pid9170b-21,pid9172-12,pid9174b-19,pid9190-11,pid9192b-21
12,2,0.28230399,0.17665973,0.14457451,0.26596643,0.17203076,0.17355721,0.16147803,0.34021225,0.17796726,0.24906305,0.22389786,0.32905921,0.13851636,0.64217667,0.24965035,0.31945674,0.28749872,0.46743035,0.22997381,0.22761312,0.19496207,0.22117556,0.39911644,0.25536772,0.10771992,0.61699608,0.28182425,0.34924983,0.23962148,0.26752948,0.51784826,0.2538898,0.3102141,0.23218981,0.29816699,0.22838627,0.26514337,0.24841113,0.43972611,0.4519901,0.21323622,0.16357317
13,0,0.20668454,0.30124913,0.12349808,0.38843243,0.19530763,0.17109064,0.12801862,0.24725613,0.31440655,0.18706974,0.28497711,0.31408607,0.13993042,0.64704099,0.26210664,0.29301083,0.23353827,0.4490502,0.25256565,0.23972893,0.24916124,0.17927789,0.38729976,0.26924718,0.10664297,0.47894871,0.28967641,0.36228928,0.2490352,0.20605407,0.53973259,0.25173616,0.30284787,0.25892033,0.26179265,0.19560667,0.23994787,0.33255068,0.32629055,0.51954329,0.19566562,0.19256729
13,1,0.24164201,0.52424242,0.27411743,0.63657306,0.35628894,0.25784547,0.14820338,0.26773342,0.53555935,0.17145272,0.35166948,0.39120547,0.20418607,0.74942263,0.41166084,0.39787375,0.31861359,0.48404329,0.30351759,0.28571429,0.35931723,0.35412389,0.46949213,0.42051505,0.13058344,0.5549327,0.41583791,0.56462407,0.32718698,0.25377241,0.60022388,0.25161456,0.46268595,0.35198084,0.33965358,0.27931727,0.32417726,0.47029231,0.30567336,0.66338958,0.23651726,0.30147347
13,2,0.2389608,0.56605752,0.34518766,0.67227951,0.42368575,0.31105498,0.17852779,0.29675575,0.5841337,0.21880373,0.34738617,0.43377858,0.22245665,0.8204388,0.45521853,0.46208352,0.43969157,0.48840087,0.33149551,0.29529057,0.38387114,0.43886893,0.53219596,0.43595861,0.16951415,0.74946328,0.49544308,0.68950607,0.39886567,0.32200652,0.59375622,0.28210879,0.56243322,0.29585546,0.38672328,0.35356578,0.35508309,0.5368694,0.39248391,0.61423331,0.27155536,0.3688848
14,0,0.26544933,0.55454545,0.34431438,0.63004607,0.37738512,0.287789,0.23890748,0.30034092,0.57517053,0.26286012,0.32057817,0.44616873,0.19758712,0.82982102,0.4523514,0.4778473,0.4820166,0.48052613,0.42207516,0.30980218,0.35984079,0.53167351,0.51550894,0.43076862,0.17133696,0.72991992,0.51404928,0.73258597,0.41271808,0.36895312,0.63115672,0.3582025,0.65574916,0.25292991,0.38932986,0.3669344,0.36046758,0.51937765,0.47627793,0.55260455,0.28386822,0.39347632
14,1,0.31853735,0.59291387,0.3534188,0.6331176,0.32630452,0.28068648,0.27690573,0.37846145,0.61633015,0.23794195,0.31489762,0.4762385,0.19317659,0.80586028,0.51186189,0.53074928,0.43264166,0.55366682,0.56079694,0.32694914,0.36784379,0.59650068,0.48662452,0.48301604,0.16149798,0.60322031,0.50138044,0.83551922,0.42244621,0.3864107,0.63159204,0.38925068,0.63580792,0.34185459,0.42280333,0.3815687,0.37191268,0.48514851,0.46045059,0.56269259,0.28601972,0.43446616
14,2,0.32796783,0.62636287,0.4022792,0.69827775,0.34741044,0.2624636,0.33115362,0.44485318,0.64748977,0.20505341,0.31760058,0.46916871,0.2010381,0.77735277,0.50942308,0.54163487,0.36928989,0.6226111,0.56176658,0.32610035,0.3687894,0.59532854,0.44385461,0.52143929,0.15672313,0.61756688,0.43630696,0.87685435,0.39768818,0.39066245,0.60423507,0.34996082,0.55274513,0.36268176,0.4312705,0.42460144,0.3600277,0.46779349,0.41541714,0.5057777,0.31641416,0.46691819
15,0,0.36536612,0.67305112,0.43586647,0.74851909,0.365956,0.22661516,0.36716613,0.46743099,0.69304229,0.24256375,0.31439653,0.4758989,0.20457326,0.74097864,0.50827797,0.49400783,0.36913106,0.62618006,0.51269021,0.34876446,0.35946148,0.54311259,0.43820128,0.50769413,0.16216367,0.76541148,0.40204839,0.82520229,0.35888046,0.40186463,0.58692786,0.3050504,0.53289636,0.35259034,0.43394434,0.44821103,0.33797654,0.470033,0.42112205,0.44827586,0.36011654,0.45864773
15,1,0.4098003,0.71599969,0.46249226,0.72279509,0.34282516,0.21361664,0.38456503,0.37935775,0.74017735,0.24516059,0.29272464,0.48611769,0.20528029,0.6347142,0.53723776,0.42311918,0.40881238,0.62969146,0.58360818,0.38309261,0.38444278,0.42405031,0.47189857,0.46161624,0.1682699,0.81904072,0.42448419,0.69676332,0.37382406,0.40180711,0.54430348,0.28178453,0.62277061,0.39103178,0.44749012,0.41227942,0.30342131,0.4748232,0.43726492,0.40945525,0.35333483,0.41805597
15,2,0.37160688,0.70152672,0.49523102,0.56587319,0.33221379,0.22675186,0.34855979,0.31789288,0.72680764,0.1640938,0.24319441,0.45183897,0.19901801,0.46863453,0.53229895,0.35253573,0.37584794,0.70463965,0.6366268,0.38563214,0.47205898,0.30903491,0.47736513,0.39801722,0.15245365,0.73304652,0.45100193,0.52772252,0.41069601,0.38423929,0.48359453,0.2236685,0.61315443,0.4006269,0.4025309,0.3481015,0.2792522,0.41776992,0.39147419,0.33103448,0.25302107,0.3699186
