,,pid1263-16,pid52932-09,pid9048-16,pid9054-16,pid9055-16,pid9058-16,pid9059-16,pid9061-16,pid9062-16,pid9063-16,pid9065-11,pid9066-16,pid9067-16,pid9072-16,pid9074f-16,pid9075-16,pid9078-08,pid9081-04,pid9088-11,pid9093-16,pid9094-16,pid9097-07,pid9099-16,pid9100b-12,pid9101-16,pid9104-16,pid9105-16,pid9118-16,pid9126-04,pid9128-12,pid9138-16,pid9139-16,pid9153-16,pid9166e-09,pid9170-16,pid9173-21,pid9174-16,pid9186c-16,pid9192-16
14,0,0.44312661,0.73911128,0.36561717,0.42245191,0.68177369,0.4194682,0.44083702,0.33601683,0.42343542,0.43323287,0.54747618,0.58102956,0.63868066,0.45825135,0.5087853,0.58282059,0.42026912,0.66121214,0.27946725,0.28870088,0.37167354,0.26949734,0.39590429,0.80463869,0.42522215,0.36637765,0.72418645,0.56585245,0.44467052,0.43613329,0.56109377,0.30883631,0.56170016,0.40683463,0.49108354,0.48737044,0.34899859,0.42652228,0.2896436
14,1,0.67921094,0.84405286,0.48281287,0.43518806,0.80737509,0.56454673,0.51196781,0.3600935,0.59416017,0.51664102,0.5859359,0.68336863,0.69214077,0.50895824,0.51334534,0.72537313,0.54649035,0.81025417,0.41402822,0.37631134,0.48317205,0.28221822,0.41349824,0.77490618,0.44983766,0.38212909,0.78447844,0.71758655,0.49839722,0.43901675,0.68866506,0.39748138,0.67966478,0.4710618,0.61960543,0.73646149,0.40271744,0.55266089,0.38605726
14,2,0.83794747,0.79811339,0.58930674,0.49082974,0.87070168,0.64828176,0.51992757,0.40373072,0.68740093,0.51941986,0.62963225,0.64010498,0.72166022,0.50959672,0.53420609,0.80828511,0.59830382,0.87749109,0.53616249,0.4501692,0.56835539,0.3359753,0.48609806,0.74309447,0.496608,0.4373025,0.77731807,0.75567158,0.57815229,0.47789781,0.76642077,0.47790334,0.71517733,0.52666486,0.77020654,0.85241588,0.47544899,0.57985149,0.39998509
15,0,0.88654626,0.75493201,0.61565463,0.51272466,0.85528919,0.69588711,0.47744064,0.41026648,0.71447594,0.50398658,0.62417513,0.59601252,0.67318709,0.50180468,0.56534137,0.82717027,0.62111721,0.84276334,0.53881803,0.4965313,0.60867606,0.41427346,0.52299618,0.74475783,0.53282638,0.4826975,0.76756659,0.71381068,0.63329942,0.51766609,0.78301887,0.51784414,0.71839059,0.55949277,0.91137485,0.87498007,0.51075693,0.58165842,0.38933791
15,1,0.87209464,0.75891592,0.5937908,0.55420614,0.78688064,0.69287825,0.39884909,0.42208509,0.70482214,0.46427045,0.56906056,0.55469196,0.58510219,0.50119226,0.59927039,0.74236978,0.61929987,0.80254687,0.43075093,0.54923858,0.68431289,0.49672328,0.57908837,0.72742772,0.55185407,0.50984586,0.79666778,0.67034931,0.71975354,0.56643703,0.80819974,0.53410239,0.72300213,0.57666799,0.96092787,0.73620635,0.50180536,0.5804703,0.32955562
15,2,0.78609436,0.79865926,0.53353952,0.60556991,0.70083102,0.63287203,0.36442656,0.44523609,0.58038488,0.46500791,0.4902827,0.53120914,0.50696757,0.53817838,0.65582646,0.57610722,0.60611451,0.78963297,0.33091703,0.5891615,0.72808453,0.64440727,0.61909131,0.67397158,0.54787252,0.53839114,0.77287418,0.70694263,0.8307772,0.55402902,0.82132217,0.59592839,0.70226873,0.56548898,0.91276202,0.57237283,0.48364833,0.57746287,0.29122428
16,0,0.69119484,0.80979697,0.46568995,0.5986793,0.67297399,0.61852745,0.37231388,0.46420757,0.50228267,0.53501347,0.49651941,0.49205268,0.42994555,0.56601733,0.70697975,0.54299117,0.61273941,0.77833491,0.33984743,0.58801466,0.74439068,0.68763081,0.62233558,0.64419748,0.51293575,0.56846821,0.72330882,0.74066132,0.81037296,0.55100204,0.8200454,0.61354933,0.67425688,0.56485286,0.87669544,0.59210652,0.50144805,0.56600248,0.31794661
16,1,0.65351574,0.78587435,0.4800411,0.61050818,0.74769333,0.67486394,0.43249095,0.52072931,0.59138609,0.66233808,0.57638397,0.4374528,0.43553223,0.63512932,0.76590243,0.61626561,0.67308535,0.77149965,0.43263749,0.58843768,0.74943077,0.67522731,0.62999853,0.70223826,0.52347915,0.62736994,0.68831494,0.77285723,0.74067605,0.58483378,0.80600085,0.62368724,0.69223076,0.58564665,0.89226264,0.67953277,0.56379878,0.54773515,0.42653594
16,2,0.61824267,0.74229075,0.54118063,0.66884869,0.86309958,0.76729125,0.48651911,0.59609163,0.68603766,0.76265444,0.62349791,0.40218252,0.49416081,0.6992638,0.81840641,0.70630521,0.71054056,0.7954423,0.53116926,0.59965219,0.74569518,0.64146509,0.65943188,0.77633043,0.5967447,0.67523121,0.68622534,0.78915719,0.66322437,0.64410782,0.80266704,0.66871461,0.72940087,0.58678332,0.92532367,0.7398501,0.61441467,0.53404703,0.56034894
17,0,0.53609822,0.72346294,0.58008176,0.68314671,0.94265095,0.85336651,0.46885312,0.61016363,0.7609695,0.82754051,0.58191196,0.40732112,0.50202793,0.75210111,0.84770613,0.71934207,0.72170237,0.79051784,0.60287906,0.57037037,0.7163441,0.59890204,0.71318996,0.79624913,0.63676521,0.70212909,0.73151399,0.7356579,0.54744035,0.6689369,0.81103703,0.69222094,0.7490138,0.57652199,0.9176942,0.77147185,0.64578279,0.5167203,0.64356546
17,1,0.45082283,0.74053821,0.58915691,0.63135228,0.98158832,0.86308506,0.45438229,0.59354839,0.78186228,0.82294472,0.54097173,0.50806704,0.51705989,0.78780377,0.85967768,0.69223271,0.72667749,0.7767832,0.72020465,0.48327693,0.68585456,0.59587408,0.73634762,0.77195372,0.65240089,0.71252408,0.79053828,0.57214557,0.41029234,0.65780753,0.80898,0.70285224,0.74147606,0.56433145,0.83500308,0.75,0.6490174,0.51538366,0.71694751
17,2,0.3797523,0.79180234,0.61040003,0.55869653,1,0.81565853,0.47950101,0.58075736,0.70333207,0.77259416,0.56817072,0.51928354,0.57277677,0.8301518,0.86637344,0.68224185,0.73080195,0.76665213,0.80274166,0.4394059,0.68565296,0.6584234,0.75337639,0.71767629,0.71076555,0.74810212,0.786777,0.45203244,0.377277,0.66176087,0.79755994,0.7325259,0.73050282,0.55538407,0.75594174,0.70846755,0.67377527,0.51782178,0.77833284
18,0,0.43985687,0.8736449,0.62587487,0.44967557,0.97657926,0.77056445,0.57142052,0.58964937,0.63772113,0.77466761,0.6885739,0.51932959,0.64814172,0.90331618,0.87040244,0.69503503,0.76391359,0.77011465,0.88809827,0.44927618,0.73128647,0.81714702,0.8102613,0.65231674,0.81075701,0.90369942,0.77040845,0.42861582,0.63105361,0.68728146,0.78911902,0.77667223,0.69163811,0.5907356,0.74403514,0.68926009,0.73005172,0.53847772,0.83671339
18,1,0.72372257,0.874095,0.69375655,0.53223084,0.93055006,0.7597963,0.68616499,0.60077606,0.6660643,0.86390065,0.85589416,0.55571415,0.81630238,0.92696593,0.82851931,0.76180323,0.82998221,0.81521711,0.96406308,0.50653318,0.79102035,0.89620861,0.83940106,0.6244763,0.88644908,1,0.78158085,0.48112064,0.85659443,0.7265148,0.75464605,0.87000446,0.65306047,0.68929234,0.84232429,0.81597831,0.84886695,0.57570545,0.86072174
18,2,0.84110924,0.87569431,0.76213052,0.58116566,0.88859267,0.78883533,0.74010463,0.60476858,0.70158836,0.9797358,0.95472084,0.59462197,0.88755622,0.91738875,0.73796495,0.82911971,0.87255433,0.8349791,0.98263134,0.55620417,0.81990892,0.85225596,0.84967704,0.64108908,0.88790157,0.99084778,0.78765463,0.52479955,0.9611302,0.72734983,0.73138034,0.95079059,0.66865451,0.78546103,0.9294852,0.89993621,0.91275035,0.61386139,0.84126156
19,0,0.89618582,0.87881632,0.80814837,0.61154177,0.88990482,0.83727259,0.72648692,0.59525947,0.72883774,0.99742422,0.97228128,0.61866654,0.89639391,0.89556323,0.71226709,0.84776119,0.87984946,0.82810536,0.96894353,0.57924422,0.84119586,0.7673872,0.85701703,0.63610941,0.88140807,0.96628131,0.78392121,0.50242402,0.96272338,0.70231199,0.71939282,0.99067265,0.70064821,0.84995933,0.98551171,0.93151013,0.93069111,0.65637376,0.8264241
19,1,0.69373969,0.81726681,0.73606087,0.57456216,0.81772645,0.76289069,0.48519115,0.51755026,0.66360725,0.65917447,0.78982597,0.51310434,0.80273021,0.70988338,0.61228094,0.61583917,0.7118939,0.64084742,0.67584998,0.51859372,0.76298563,0.56547435,0.72986641,0.50837396,0.63241627,0.72473988,0.59823916,0.36158245,0.7576252,0.56724597,0.57443609,0.83526772,0.6508473,0.74933781,0.93719174,0.78743422,0.76223789,0.6474505,0.65120787
19,2,0.38681617,0.075597587,0.41705015,0.35402814,0.33892904,0.4842093,0.24626962,0.43260402,0.43560966,0.3837694,0.32263958,0.33424809,0.5484968,0.29735488,0.46372746,0.34138288,0.40972598,0.37593937,0.37849116,0.36027449,0.56106209,0.23052839,0.50389019,0.40484037,0.34805195,0.46698459,0.49448345,0.20409907,0.53949364,0.51342571,0.35013477,0.40852384,0.29852764,0.4778714,0.46584464,0.42469303,0.33873061,0.43842822,0.43659409
