,measure_number,beat_number,pid1263b-08,pid5667203-04,pid5667207-03,pid58917-02,pid6100022-02,pid6100022-05,pid610003b-12,pid9048b-12,pid9049b-08,pid9050b-08,pid9054b-08,pid9055b-08,pid9058b-08,pid9059b-12,pid9060b-06,pid9061b-05,pid9062b-11,pid9063b-12,pid9064-19,pid9065-24,pid9066b-08,pid9068-17,pid9069-08,pid9070b-20,pid9072b-12,pid9073b-12,pid9074g-08,pid9075b-08,pid9079-07,pid9089-03,pid9090-19,pid9093b-14,pid9094b-08,pid9099b-12,pid9101c-02,pid9103-18,pid9104b-08,pid9111b-10,pid9118b-12,pid9119-12,pid9129-22,pid9133-08,pid9138b-08,pid9139b-08,pid9149-13,pid9153b-08,pid9157-11,pid9166l-02,pid9170b-08,pid9174b-08,pid917506-06,pid9179-10,pid918807-13,pid918821-10,pid918824-06,pid9192b-08
102,35,0,0.84554056,0.73958849,0.94892916,0.68144116,0.79571671,0.77720006,0.75893298,0.69077538,0.80321336,0.79311337,0.75271484,0.93220211,0.6458979,0.90604666,0.87328927,0.69799215,0.72963353,0.67750309,0.48255199,0.84756731,0.96006229,0.8260499,0.94930356,0.83308897,0.56170712,0.78065005,0.77622916,0.83954279,0.82891938,0.65783674,0.61398146,0.84044934,0.73975787,0.73246314,0.63137255,0.7005402,0.81354445,0.55209092,0.73095853,0.92008466,0.80353118,0.72481287,0.6844492,0.77977679,0.68016553,0.7826976,0.60833757,0.87160446,0.54635357,0.87302309,0.67815617,0.67519161,0.74229043,0.82184285,0.70364387,0.67075537
103,35,1,0.83833012,0.72021495,0.92866557,0.6632601,0.80803899,0.76445755,0.72745348,0.64752593,0.85711889,0.76090084,0.71222684,0.93025075,0.64410009,0.88224091,0.8461179,0.72287138,0.62622278,0.63822964,0.50496931,0.78563554,0.98589356,0.83480552,0.96350881,0.81713298,0.62738555,0.72811897,0.75584816,0.83855422,0.835765,0.66646685,0.5843331,0.82799119,0.76254057,0.71565571,0.57983816,0.6735939000000001,0.75705189,0.56173865,0.74154054,0.87839153,0.79739796,0.66963885,0.7003842,0.73318378,0.6798995,0.77473031,0.65833225,0.84848279,0.58656502,0.85409925,0.68119545,0.61823678,0.69522527,0.81257752,0.63945847,0.6964657
104,35,2,0.86559488,0.69593438,0.84925865,0.62922915,0.81960118,0.77906255,0.72542161,0.64121748,0.91710714,0.75792502,0.744939,0.91262255,0.72596767,0.87295667,0.85199279,0.76328502,0.58260505,0.64446505,0.56303273,0.73263562,1.0,0.8646366,0.98405367,0.80572717,0.74310535,0.71633009,0.74303124,0.8622181000000001,0.86834537,0.70178068,0.56069103,0.83767401,0.79281516,0.72461609,0.61988796,0.69507467,0.74711299,0.64338392,0.76880768,0.85511111,0.8059569999999999,0.62372754,0.74755936,0.7293702,0.73376687,0.79158147,0.74220497,0.83022782,0.65051064,0.86440647,0.70723192,0.59086957,0.65807754,0.83752827,0.58280863,0.75162855
105,36,0,0.89977221,0.51619176,0.77264415,0.5339633,0.82309756,0.79683377,0.69745436,0.67316783,0.9510026,0.73257215,0.8155919,0.86732655,0.74951365,0.87795588,0.88637426,0.78449577,0.58393126,0.67292954,0.66528299,0.71648159,0.99312998,0.87835115,1.0,0.80024672,0.78330116,0.70833939,0.74177056,0.86839666,0.92291561,0.79622708,0.52964836,0.82335683,0.7230721999999999,0.76250768,0.70034236,0.69056244,0.79592978,0.72059328,0.79030393,0.86598942,0.79933175,0.59298278,0.83794168,0.73347541,0.76750419,0.79842064,0.87426191,0.83832283,0.70329402,0.87687693,0.74373441,0.55421945,0.61050978,0.85197344,0.50022946,0.81483021
106,36,1,0.90003504,0.50750902,0.6956425,0.51358636,0.79298936,0.77259817,0.62001103,0.69742391,0.89470593,0.68779106,0.82390401,0.76963612,0.62624941,0.87636883,0.86214033,0.73719807,0.57937453,0.65210823,0.62814524,0.70434609,0.97160392,0.84813265,0.95125973,0.77665652,0.74648373,0.66262635,0.69509735,0.82125425,0.90270829,0.82005465,0.46996859,0.70102203,0.55655759,0.7612715,0.67755991,0.65344773,0.81977455,0.64663874,0.72483081,0.86912169,0.73543648,0.5412238,0.80846508,0.71183893,0.67279535,0.74998237,0.87879397,0.8050509,0.67402906,0.83685694,0.69623597,0.45915651,0.46643332,0.73385861,0.43758605,0.7959113
107,36,2,0.89679341,0.55303684,0.65087315,0.51168188,0.70310292,0.73218221,0.58290035,0.72024316,0.75010487,0.57176122,0.77329401,0.72348228,0.49966459,0.83240755,0.81721076,0.62986111,0.5417871,0.61851394,0.55556597,0.66778781,0.96116149,0.74896172,0.88582548,0.72108355,0.64687672,0.56783794,0.60738199,0.73487797,0.88143743,0.82308709,0.45121428,0.60145374,0.4600579000000001,0.7176981,0.61487706,0.55703209,0.79822735,0.54917256,0.68281039,0.84884656,0.70773403,0.50851422,0.72759337,0.62722225,0.58490492,0.63699499,0.80154776,0.72453708,0.61027043,0.76382476,0.53969763,0.41522987,0.37207862,0.60561757,0.38525929,0.73950104
108,37,0,0.88724374,0.59304957,0.61277595,0.50388702,0.65214164,0.69289151,0.57742881,0.69973644,0.52975082,0.46816506,0.70686419,0.60543929,0.39007178,0.72270275,0.78042593,0.52260719,0.51372122,0.58625876,0.54476645,0.62709915,0.95410827,0.65982489,0.81599754,0.64745139,0.52974352,0.47464768,0.56052668,0.6261971,0.80267533,0.79942701,0.45912817,0.51059912,0.46383016,0.6752457,0.56775599,0.4792755,0.74934171,0.51198242,0.68230589,0.82120635,0.64957148,0.48091317,0.67607231,0.53405866,0.54211252,0.51009659,0.6806139,0.65208919,0.57207998,0.7095619000000001,0.33146820000000005,0.41642033,0.30677616,0.48256365,0.36639743,0.71732502
109,37,1,0.86938847,0.61548469,0.60142504,0.47662063,0.63679692,0.6742355999999999,0.60718121,0.63624384,0.34663982,0.40266115,0.62949457,0.49960407,0.40140873,0.55515791,0.72895387,0.41120924,0.49746659,0.5433663000000001,0.55657177,0.55661101,0.94458184,0.60223152,0.74608767,0.60546832,0.43643133,0.41106453,0.54890741,0.49466172,0.77016987,0.74720557,0.47008351,0.48760352,0.65861918,0.56146345,0.54205415,0.4438068,0.67295413,0.50711392,0.68516058,0.80169312,0.604442,0.43870696,0.64942999,0.46803881,0.53790521,0.42646831,0.61509425,0.59293262,0.55904776,0.69700963,0.28564526,0.45979856,0.23382696,0.45178376,0.34952731,0.71081081
110,37,2,0.84556685,0.61831295,0.608229,0.42898771,0.65027274,0.66170262,0.64255029,0.57058323,0.30499203,0.39071294,0.62453412,0.46085973,0.45709398,0.44328678,0.66294145,0.37026721,0.49471214,0.49170444,0.56562393,0.51613006,0.93175781,0.58682008,0.68281442,0.54594174,0.43191533,0.39600672,0.53821263,0.43162805,0.75261392,0.7057299,0.46645982,0.49911013,0.73725765,0.47830159999999994,0.56412076,0.43543057,0.59389037,0.51163909,0.67092408,0.76838095,0.5852185000000001,0.4011976,0.64287964,0.46904829,0.54981772,0.41025876,0.55958537,0.55822588,0.57110184,0.69874568,0.31298317,0.49936464,0.21664872,0.48969869,0.32892152,0.68957034
111,38,0,0.79622394,0.60692922,0.62359143,0.37431964,0.67017795,0.62030886,0.67884822,0.51447883,0.34747043,0.38375438,0.63670733,0.44468326,0.5293285,0.43537534,0.58150077,0.36078653,0.49156097,0.42363,0.5637401999999999,0.51083327,0.9056609,0.58093135,0.61268947,0.47932698,0.44608384,0.39020568,0.53225242,0.4140933,0.73305072,0.63637165,0.45316785,0.50861674,0.78218265,0.39824171,0.60241519,0.44545281,0.56731779,0.51836847,0.63944875,0.7095873,0.56096026,0.38552582,0.64432827,0.49852504,0.55231057,0.40181203,0.51296312,0.52788173,0.59346231,0.69908199,0.34604115,0.53696446,0.22728415,0.53950536,0.31804497,0.6475744999999999
