,,pid1263-22,pid50848-09,pid5667269b-36,pid9048-22,pid9049-22,pid9054-22,pid9055-22,pid9058-22,pid9059-22,pid9060-22,pid9061-22,pid9062-22,pid9063-22,pid9065-17,pid9066-22,pid9067-21,pid9068-14,pid9070b-05,pid9072-22,pid9073-24,pid9074f-22,pid9075-22,pid9080-05,pid9090-10,pid9092-02,pid9093-22,pid9094-22,pid9097-05,pid9099-22,pid9101b-04,pid9104-22,pid9105b-05,pid9111-22,pid9112-08,pid9114-30,pid9118-22,pid9133-11,pid9137-12,pid9138-22,pid9139-22,pid9153-22,pid9166g-01,pid9170-22,pid9174-22,pid917509-03,pid918713-18,pid918904-07,pid9192-22
8,1,0.34119831,0.33414423,0.50524503,0.42320934,0.47003726,0.50445391,0.44803689,0.33630125,0.43787879,0.57946823,0.49447223,0.31650005,0.50721695,0.45946831,0.49682104,0.51532967,0.60417035,0.30687695,0.55131001,0.28036851,0.38749888,0.56146566,0.53183849,0.51192208,0.44720231,0.48415187,0.44523745,0.38247565,0.55341396,0.67063411,0.46671035,0.54958617,0.407275,0.32318481,0.38618142,0.83102937,0.55306994,0.3588023,0.54871062,0.56442404,0.33925534,0.45971013,0.322581,0.65298381,0.48806581,0.30348855,0.45139503,0.51763251
8,2,0.33115649,0.24463701,0.35050146,0.44170954,0.38744779,0.46652875,0.35894598,0.24919057,0.31414141,0.35074303,0.47224708,0.35248642,0.4374016,0.43933142,0.41508221,0.51649137,0.64613889,0.15990298,0.45468674,0.23762227,0.28648406,0.51296089,0.50687366,0.43291531,0.36989247,0.46772189,0.39914214,0.27170072,0.47730692,0.70200972,0.3642464,0.56010572,0.41408945,0.30003542,0.41225311,0.59828708,0.39368448,0.27836731,0.52038073,0.36254449,0.34390731,0.47777356,0.26283099,0.62475424,0.37251545,0.30582423,0.38283348,0.42791519
9,0,0.30005815,0.14963107,0.24153822,0.26220815,0.31571943,0.43207788,0.25129556,0.15119655,0.25245098,0.37922725,0.37677459,0.36534443,0.2551681,0.35253447,0.37779854,0.49255102,0.45911822,0.12368039,0.31209113,0.21994824,0.25633588,0.40438383,0.41420885,0.32364351,0.296137,0.3720217,0.29085774,0.29886217,0.40811351,0.56434099,0.27017912,0.47069477,0.35232222,0.20755118,0.3705267,0.51396336,0.26657916,0.2211938,0.3999331,0.27030892,0.25351501,0.35437768,0.24406557,0.40038725,0.31732921,0.25544243,0.42659001,0.364
9,1,0.21536242,0.12684212,0.28125493,0.19087851,0.31924085,0.35370855,0.22738691,0.12798698,0.2012552,0.43743273,0.24989032,0.34739143,0.26104613,0.29271898,0.30758028,0.43073783,0.34264888,0.1284887,0.19422295,0.20026629,0.3132555,0.3676372,0.40822371,0.22214698,0.33470729,0.31879684,0.20060499,0.3942936,0.4230359,0.48371228,0.19688947,0.36167681,0.23104363,0.25550046,0.33084126,0.49095797,0.25920243,0.20612504,0.32837246,0.29748067,0.18433432,0.30943853,0.24475084,0.23900308,0.21908301,0.21885761,0.54095843,0.35008481
9,2,0.19230425,0.15266692,0.37886707,0.14816977,0.41757432,0.27303925,0.20707949,0.16358437,0.21040553,0.57072857,0.39243661,0.28017615,0.3777459,0.42197203,0.35545043,0.38631868,0.37611769,0.32087447,0.19687551,0.15234455,0.48013471,0.40624384,0.47407261,0.31275813,0.43390084,0.32276134,0.29187394,0.52777347,0.39830492,0.58677785,0.19903014,0.32851757,0.14792756,0.34636254,0.26650329,0.62243834,0.41503818,0.29223642,0.27887118,0.37432931,0.17314702,0.43462533,0.24075983,0.30867838,0.2622766,0.27914358,0.6104768,0.41252297
10,0,0.17919844,0.3774704,0.54616234,0.40021765,0.56072394,0.33263158,0.19545894,0.38682034,0.24838829,0.70910917,0.6792226,0.32416664,0.53501067,0.56960619,0.50218459,0.406719,0.34269306,0.71886353,0.40192026,0.30872642,0.61212393,0.52724942,0.5831256,0.48995067,0.52878335,0.40666667,0.40401045,0.59478493,0.35375679,0.60698302,0.33168196,0.40702988,0.29018812,0.41741163,0.35525238,0.77021052,0.52439498,0.41615137,0.26405547,0.37137235,0.37490019,0.49230258,0.26158654,0.52146758,0.46916653,0.44577781,0.65406449,0.578
10,1,0.28275893,0.57419731,0.62478323,0.57807677,0.60619523,0.38327959,0.24009662,0.57706317,0.25302288,0.6564945,0.75350531,0.42056961,0.58558081,0.54299177,0.66149396,0.41469388,0.39259586,0.89466598,0.55648495,0.4390697,0.60008981,0.57276372,0.58337241,0.59622941,0.63169056,0.45342209,0.40432949,0.46365831,0.34682411,0.59086928,0.48887724,0.46117558,0.49349778,0.39293051,0.38043892,0.76123459,0.52724214,0.43957866,0.27247294,0.29688928,0.48751085,0.47366985,0.38630009,0.60478602,0.63511776,0.50053152,0.61114417,0.60183746
10,2,0.38232729,0.4240033,0.49104403,0.4913237,0.58071616,0.39131731,0.20961792,0.42639451,0.19909388,0.42685356,0.6711503,0.50022502,0.57411903,0.42223986,0.72541457,0.33945055,0.45947164,0.85802667,0.49561432,0.37579324,0.55621015,0.56581006,0.48155095,0.58043642,0.66572083,0.46911243,0.42139219,0.2286096,0.38260166,0.61247825,0.46236785,0.45638439,0.56081492,0.4208047,0.40051939,0.68757621,0.4751798,0.35760265,0.25560151,0.286298,0.47737372,0.44947458,0.43785977,0.65973588,0.41715383,0.46321306,0.52296374,0.47776678
11,0,0.48678237,0.26417901,0.36452055,0.49776415,0.59231431,0.37270459,0.30307422,0.2658455,0.1948975,0.49358985,0.61472317,0.53997236,0.55827264,0.51749826,0.69341409,0.28011774,0.54822407,0.7012758,0.55576892,0.32037667,0.56458015,0.582721,0.50345534,0.62122732,0.63880924,0.44470414,0.47294663,0.24003965,0.41009428,0.57727518,0.4448318,0.47821326,0.54446179,0.45989941,0.39354792,0.65922346,0.41002792,0.32227641,0.28218587,0.33956624,0.37393682,0.45145527,0.43540376,0.63649091,0.28250376,0.39103159,0.4874407,0.46424028
11,1,0.45456579,0.29022497,0.35268436,0.54481599,0.62871591,0.31752966,0.34485727,0.29205525,0.23213012,0.48351675,0.54162499,0.53294866,0.53253145,0.54420196,0.56046042,0.32994505,0.62488956,0.52911698,0.62037429,0.33793259,0.36541536,0.59758791,0.55348372,0.66723518,0.51550179,0.40495069,0.4624774,0.22250668,0.4081897,0.45075289,0.43053735,0.51581619,0.46866755,0.48963661,0.38125091,0.67558872,0.38325722,0.29711304,0.29323683,0.4133719,0.27890123,0.49185189,0.40931418,0.58862079,0.32263237,0.33725109,0.44944922,0.44857951
