,,pid1263-18,pid50848-02,pid9048-18,pid9049-18,pid9050-18,pid9054-18,pid9055-18,pid9058-18,pid9059-18,pid9060-18,pid9061-18,pid9062-18,pid9063-18,pid9065-13,pid9066-18,pid9067-18,pid9068-12,pid9070b-01,pid9072-18,pid9073-20,pid9074f-18,pid9075-18,pid9081-09,pid9085-13,pid9088-13,pid9092-08,pid9093-18,pid9094-18,pid9099-18,pid9100b-18,pid9101-18,pid9104-18,pid9105b-01,pid9111-18,pid9118-18,pid9122-02,pid9123-01,pid9138-18,pid9139-18,pid9153-18,pid9166f-15,pid9170-18,pid9174-18,pid9186c-18,pid9192-18
8,1,0.89114511,0.71437427,0.64813061,0.56649746,0.78237586,0.84440228,0.75886445,0.71805994,0.54533031,0.88133368,0.82583879,0.66086131,0.61451496,0.58535104,0.86568646,0.58572815,0.77305613,0.61899799,0.64305784,0.7734272,1,0.41565199,0.68301345,0.52793312,0.62801342,0.66748089,0.69182337,0.68619346,0.71367976,0.7099179,0.62477235,0.74047012,0.66947821,0.62047335,0.57042999,0.56919464,0.57475021,0.77353458,0.78643122,0.74006159,0.93511319,0.55151053,0.884262,0.45829631,0.77585094
8,2,0.77394886,0.5502809,0.52655618,0.49197189,0.68734845,0.84250474,0.60599078,0.55188398,0.46452656,0.71888947,0.65769199,0.5702364,0.59011474,0.44656546,0.79072356,0.55654997,0.66728353,0.47783873,0.51649467,0.68998402,0.90991057,0.39455614,0.59721503,0.57689275,0.43445511,0.58402343,0.59709047,0.67391722,0.62974229,0.56455115,0.49285256,0.68196088,0.57830566,0.35570521,0.5285979,0.50662443,0.43361558,0.72857979,0.71740186,0.51915168,0.83140095,0.44703235,0.85588322,0.34781486,0.75284723
9,0,0.64723822,0.42701472,0.47124396,0.41522062,0.5673604,0.69703693,0.49586123,0.42181914,0.42495351,0.5930953,0.58093778,0.43848558,0.48373586,0.37833966,0.63130798,0.54425618,0.44412459,0.36564271,0.3250542,0.56837428,0.71228911,0.38450375,0.42589934,0.4403665,0.30441876,0.51426869,0.48191599,0.52458072,0.61637516,0.4646897,0.43543907,0.55134153,0.49464868,0.36587454,0.41761111,0.50454955,0.36744285,0.63551493,0.64816927,0.45187245,0.73038946,0.29967958,0.72643746,0.28522632,0.57010808
9,1,0.49504731,0.39771406,0.42437605,0.33249512,0.46727651,0.54281127,0.36716807,0.39476866,0.31858171,0.58184563,0.54062629,0.35862011,0.39191206,0.35147059,0.55461967,0.44605509,0.33669941,0.31204973,0.27906513,0.46732574,0.61382871,0.32706357,0.30932122,0.24514857,0.2402256,0.48908748,0.36559079,0.3638376,0.58233207,0.40930992,0.2025395,0.45223846,0.40739698,0.24589186,0.42265213,0.43588628,0.34070279,0.52611411,0.55640108,0.26886858,0.54255832,0.20655325,0.6257706,0.20958098,0.45275851
9,2,0.4176811,0.33015304,0.29308474,0.23921125,0.44915361,0.43459349,0.28983567,0.32703295,0.25972346,0.58386716,0.48428465,0.32507187,0.3181417,0.30717268,0.4830334,0.32540867,0.32027264,0.35027427,0.24735929,0.42933893,0.65371992,0.32908821,0.29847433,0.15323063,0.25815233,0.4231556,0.31143231,0.33104071,0.49798057,0.38189921,0.2562699,0.37818758,0.28937889,0.17776602,0.57917659,0.46982318,0.29719729,0.4131026,0.43672308,0.19895699,0.45475814,0.22638847,0.63397303,0.16282267,0.51920471
10,0,0.43753095,0.25828167,0.16135938,0.32926201,0.42733029,0.54587651,0.27294148,0.25687872,0.3532142,0.4987267,0.44714605,0.43014039,0.33836957,0.27239089,0.4359833,0.48302605,0.44544208,0.51782776,0.25205099,0.39266028,0.66054209,0.44691349,0.32756707,0.2184931,0.31756316,0.42196406,0.30582842,0.46921904,0.47704267,0.41884319,0.34063508,0.41253383,0.36239253,0.15982297,0.55139681,0.50339571,0.26815411,0.35646347,0.39204706,0.26890831,0.45093924,0.36904181,0.57811944,0.16213831,0.49703985
10,1,0.44144097,0.44126308,0.18706718,0.55090199,0.34524288,0.7003941,0.34145726,0.44188573,0.53279696,0.34364663,0.69432524,0.46430266,0.38631951,0.34961101,0.54935065,0.61382399,0.6407052,0.72346864,0.33640621,0.34353905,0.49973264,0.79520034,0.41703538,0.24809812,0.3822504,0.52825936,0.55030405,0.43756282,0.50202788,0.67970511,0.66235616,0.58506147,0.50412837,0.55976525,0.37591135,0.54629002,0.3350127,0.42076638,0.34399521,0.32778385,0.49803895,0.58350626,0.37065056,0.24427903,0.63697371
10,2,0.52615802,0.58465711,0.27035612,0.55287778,0.40780537,0.66174281,0.47349796,0.58039783,0.56692003,0.42436335,0.79169911,0.46689832,0.50899462,0.41564516,0.71508349,0.5923341,0.74687381,0.92274639,0.53004076,0.41980228,0.54633539,1,0.53506371,0.27485581,0.5215997,0.51728726,0.65439237,0.55358292,0.48664132,0.76226813,0.76591004,0.71264208,0.56249629,0.74191841,0.43574196,0.65741237,0.39854361,0.57227897,0.43219564,0.26115029,0.6088041,0.67388618,0.31886485,0.34324649,0.85247621
11,0,0.60808592,0.587747,0.3561606,0.46345959,0.44868244,0.58651292,0.50069559,0.58372766,0.46800356,0.44369913,0.75632508,0.43622485,0.56395731,0.41858634,0.72214286,0.57982384,0.76703983,1,0.59157055,0.46655682,0.64161519,0.93841144,0.54485994,0.27399431,0.57703925,0.43070202,0.59491066,0.62242927,0.42814533,0.70411729,0.7799709,0.72297997,0.5577898,0.76040985,0.45888977,0.69100515,0.39558002,0.61009694,0.4616861,0.29272872,0.63147664,0.66704303,0.29974066,0.44570777,0.86602678
11,1,0.55489665,0.38324293,0.37471639,0.35389301,0.39434823,0.50684572,0.44554387,0.37980196,0.33455163,0.35118798,0.64177781,0.35757347,0.45556447,0.33736243,0.64675325,0.60079869,0.6453507,0.8260011,0.47302923,0.41147394,0.56119664,0.68434093,0.43223286,0.23319705,0.44661135,0.29406216,0.46041725,0.50339375,0.36647233,0.52406063,0.63951489,0.53701384,0.52482953,0.71950164,0.43720975,0.61626907,0.32895851,0.47981914,0.3544501,0.24172047,0.5054359,0.53708422,0.25576467,0.34333053,0.66408292
