,,pid1263b-17,pid5667269b-35,pid5667285b-08,pid9048b-21,pid9049b-17,pid9050b-19,pid9054b-19,pid9055b-17,pid9058b-17,pid9059b-21,pid9061b-14,pid9062b-20,pid9063b-23,pid9066b-17,pid9069-17,pid9072b-21,pid9073b-23,pid9074g-17,pid9075b-17,pid9085-18,pid9088-23,pid9094b-25,pid9098-19,pid9099b-23,pid9100b-06,pid9104b-17,pid9114-35,pid9118b-23,pid9137-21,pid9139b-19,pid9153b-19,pid9155b-14,pid9161-04,pid9166b-15,pid9170b-19,pid9174b-17,pid9176-05,pid9192b-19
9,0,8.534875,9.634875,10.474875,9.674875,9.914875,9.574875,8.771625,9.794875,8.174875,9.814875,9.214875,9.794875,10.094875,10.374875,9.054875,8.734875,10.954875,12.074875,8.654875,10.474875,8.654875,9.334875,9.514875,10.019751,9.714875,10.554875,7.792438,12.494875,7.934875,9.294875,8.094875,8.674875,11.154875,9.154875,9.814875,7.294875,8.934875,9.774875
9,1,8.863685,9.97737,10.81737,10.01737,10.17737,9.91737,9.07737,10.15737,8.47737,10.123685,9.53737,10.15737,10.43737,10.71737,9.43737,9.07737,11.29737,12.45737,8.91737,10.81737,9.01737,9.63737,9.83737,10.41737,10.03737,11.07737,8.03737,12.79737,8.23737,9.57737,8.35737,9.01737,11.49737,9.47737,10.17737,7.51737,9.23737,10.13737
9,2,9.176644,10.316644,11.183288,10.396644,10.516644,10.356644,9.403288,10.536644,8.776644,10.516644,9.856644,10.663288,10.756644,11.156644,9.789932,9.376644,11.736644,12.796644,9.256644,11.303288,9.236644,9.876644,10.163288,10.796644,10.503288,11.536576,8.351107,13.123288,8.556644,9.876644,8.696644,9.343288,11.916644,9.783322,10.503288,7.816644,9.576644,10.503288
10,0,9.428447,10.606893,11.486893,10.666893,10.768964,10.646893,9.706893,10.886893,9.008447,10.788447,10.128447,10.966893,11.046893,11.463787,10.078447,9.646893,12.026893,13.086893,9.508447,11.568964,9.486893,10.138447,10.466893,11.106893,10.826893,11.866893,8.518447,13.426893,8.766893,10.146893,8.968447,9.646893,12.206893,10.066893,10.806893,8.106893,9.866893,10.798447
10,1,9.720363,10.860363,11.760363,10.920363,11.060363,11.020363,10.020363,11.160363,9.300363,11.080363,10.440363,11.280363,11.360363,11.720363,10.380363,9.920363,12.400363,13.420363,9.780363,11.880363,9.720363,10.380363,10.760363,11.420363,11.100363,12.160363,8.722591,13.620363,9.080363,10.455181,9.200363,9.980363,12.540363,10.400363,11.120363,8.325181,10.140363,11.100363
10,2,9.953197,11.133197,12.033197,11.173197,11.253197,11.313197,10.333197,11.493197,9.573197,11.353197,10.693197,11.493197,11.633197,12.013197,10.653197,10.193197,12.693197,13.693197,10.033197,12.153197,9.913197,10.633197,11.033197,11.733197,11.373197,12.456395,8.933197,13.853197,9.333197,10.696395,9.473197,10.273197,12.796395,10.693197,11.393197,8.573197,10.473197,11.373197
11,0,10.363447,11.443447,12.363447,11.503447,11.543447,11.683447,10.643447,11.943447,9.853362,11.683447,11.003447,11.883447,11.923447,12.423447,10.963447,10.543447,13.123447,13.963447,10.343447,12.423447,10.203447,10.943447,11.323447,12.183447,11.683447,12.803447,9.163447,14.283447,9.603447,11.003447,9.763447,10.623447,13.203447,11.063447,11.703447,8.883447,10.763447,11.643447
11,1,10.700771,11.840771,12.860771,11.780771,11.920771,12.060771,11.000771,12.400771,10.180771,12.180771,11.460771,12.280771,12.300771,12.920771,11.400771,10.920771,13.440771,14.440771,10.720771,12.800771,10.580771,11.320771,11.782313,12.560771,12.080771,13.300771,9.440771,14.780771,9.940771,11.360771,10.120771,10.980771,13.700771,11.520771,12.100771,9.140771,11.100771,12.040771
11,2,10.98263,12.12263,13.16263,12.04263,12.22263,12.42263,11.30263,12.66263,10.42263,12.515261,11.68263,12.56263,12.60263,13.24263,11.74263,11.14263,13.86263,14.74263,10.96263,13.04263,10.80263,11.62263,12.12263,12.90263,12.38263,13.58263,9.636315,15.08263,10.20263,11.616315,10.396315,11.28263,14.02263,11.82263,12.40263,9.40263,11.40263,12.30263
12,0,11.281905,12.441905,13.581905,12.361905,12.495952,12.801905,11.587302,12.981905,10.665952,12.901905,11.961905,12.881905,12.921905,13.721905,12.161905,11.461905,14.181905,15.101905,11.241905,13.341905,11.141905,11.875952,12.521905,13.221905,12.781905,14.021905,9.892381,15.481905,10.495952,11.901905,10.641905,11.601905,14.521905,12.141905,12.721905,9.695952,11.701905,12.621905
