,measure_number,beat_number,pid1263b-11,pid51495-01,pid52932-23,pid5667249-23,pid5667271-02,pid5667291-11,pid58917-05,pid610003b-15,pid9048b-15,pid9049b-11,pid9050b-11,pid9054b-11,pid9055b-11,pid9056-05,pid9058b-11,pid9059b-15,pid9060b-09,pid9061b-08,pid9062b-14,pid9063b-15,pid9064-20,pid9065-26,pid9066b-11,pid9068-19,pid9069-11,pid9070b-23,pid9072b-15,pid9073b-15,pid9074g-11,pid9075b-11,pid9088-21,pid9089-06,pid9090-20,pid9093b-17,pid9094b-11,pid9097-23,pid9099b-15,pid9101c-05,pid9103-19,pid9104b-11,pid9111b-13,pid9112-10,pid9113-11,pid9114-33,pid9116-18,pid9118b-15,pid9119-13,pid9127-07,pid9130-10,pid9138b-11,pid9139b-11,pid9153b-11,pid9158-13,pid9166l-09,pid9170b-11,pid9174b-11,pid9176-04,pid9185-04,pid9190-10,pid9192b-11
127,43,1,76.979184,87.639184,69.059184,69.279184,88.379184,71.579184,124.41918000000001,91.439184,79.559184,75.099184,90.11918399999999,82.859184,77.059184,69.479184,90.799184,74.199184,64.17918399999999,78.999184,89.599184,80.159184,66.719184,68.75918399999999,82.499184,73.579184,89.239184,64.47972800000001,68.979184,90.61918399999999,74.199184,65.519184,82.019184,81.39918399999999,65.67918399999999,74.379184,84.519184,102.77918000000001,85.159184,74.799184,69.239184,75.39918399999999,81.519184,64.079184,71.239184,70.959184,64.519184,82.979184,60.979184,67.53918399999999,100.83918,66.279184,71.054592,75.199184,79.959184,70.67918399999999,69.919184,68.059184,63.26459200000001,74.979184,67.199184,67.979184
128,43,2,77.590612,88.390612,69.730612,69.930612,88.97122399999999,72.330612,125.39612,92.252449,80.130612,75.610612,90.912449,83.572449,77.590612,69.970612,91.390612,74.770612,64.750612,79.690612,90.670612,80.791837,67.45061199999999,69.310612,83.251224,74.170612,89.930612,65.033673,69.490612,91.412449,74.790612,65.990612,82.550612,81.970612,66.33030600000001,75.050612,85.090612,103.57061,86.172449,75.371837,69.990612,76.030612,82.090612,64.530612,71.810612,71.435153,65.055802,83.570612,61.370612,68.330612,101.55060999999999,66.830612,71.590612,75.650612,80.550612,71.250612,70.45061199999999,68.630612,63.710612,75.690612,67.610612,68.460306
129,44,0,78.108367,88.959592,70.359592,70.364796,89.69959200000001,72.819592,126.51959,92.938776,80.579592,76.05959200000001,91.609184,84.33959200000001,78.19959200000001,70.459592,92.079592,75.27959200000001,65.27959200000001,80.439592,91.189184,81.27959200000001,67.959592,69.759592,83.83959200000001,74.679592,90.459592,65.534796,70.099592,92.118776,75.219592,66.41959200000001,83.258776,82.63959200000001,66.819592,75.499592,85.55959200000001,104.31959,86.69959200000001,75.939592,70.618776,76.719592,82.659592,64.989184,72.299592,71.859592,65.33959200000001,84.119592,61.779592,68.77959200000001,102.29959000000001,67.27959200000001,72.019592,76.13959200000001,81.158776,71.86918399999999,70.899592,69.06918399999999,64.219592,76.219592,68.039592,68.889184
130,44,1,78.922857,89.602857,70.922857,70.94285699999999,90.342857,73.402857,127.94286000000001,93.72285699999999,81.14285699999999,76.822857,92.382857,85.122857,78.762857,71.122857,92.762857,76.042857,66.00285699999999,81.122857,91.882857,81.922857,68.602857,70.28285699999999,84.64285699999999,75.182857,91.242857,66.00285699999999,70.682857,92.882857,75.982857,67.062857,84.042857,83.182857,67.50285699999999,76.22285699999999,86.242857,105.20286000000002,87.522857,76.80285699999999,71.22285699999999,77.28285699999999,83.422857,65.602857,72.86285699999999,72.36285699999999,65.842857,84.78285699999999,62.28285699999999,69.322857,102.92286,67.982857,72.64285699999999,76.66285699999999,81.762857,72.522857,71.64285699999999,69.602857,64.78285699999999,77.00285699999999,68.675714,69.562857
131,44,2,79.71333299999999,90.29333299999999,71.633333,71.613333,91.033333,74.093333,129.63333,94.51333299999999,81.773333,77.49333299999999,93.173333,85.753333,79.393333,71.913333,93.553333,76.693333,66.593333,81.873333,92.79333299999999,82.593333,69.393333,70.913333,85.43333299999999,75.693333,91.873333,66.51333299999999,71.313333,93.693333,76.733333,67.633333,84.753333,83.833333,68.133333,77.473333,87.113333,106.07333,88.313333,77.57333299999999,72.07333299999999,78.033333,83.901667,66.133333,73.553333,73.033333,66.693333,85.553333,62.693332999999996,69.893333,103.77333,68.833333,73.313333,77.21333299999999,82.29333299999999,73.053333,72.44166700000001,70.233333,65.321667,77.733333,69.333333,70.35333299999999
132,45,0,80.725714,90.865714,72.485714,72.245714,91.605714,74.563929,130.14571,95.145714,82.285714,78.005714,93.825714,86.225714,80.125714,72.485714,94.285714,77.205714,66.965714,82.485714,93.605714,83.185714,69.88571400000001,71.36190500000001,85.903929,76.285714,92.565714,66.988571,71.905714,94.245714,77.265714,68.057857,85.445714,84.505714,68.66571400000001,78.005714,87.745714,106.82571000000002,88.945714,78.445714,72.785714,78.485714,84.365714,66.765714,74.02571400000001,73.445143,67.265714,86.065714,63.118929,70.345714,104.50571,69.828571,74.005714,77.685714,82.945714,73.548571,72.945714,70.685714,65.685714,78.365714,69.945714,70.808929
133,45,1,81.670612,91.570612,73.370612,72.933673,92.310612,75.090612,131.05061,95.830612,82.930612,78.610612,94.490612,86.810612,81.110612,73.130612,95.130612,77.850612,67.490612,83.130612,94.290612,83.810612,70.410612,72.090612,86.490612,77.030612,93.410612,67.590612,72.650612,94.990612,77.830612,68.630612,86.330612,85.170612,69.290612,78.650612,88.390612,107.69061,89.650612,79.350612,73.330612,79.290612,84.970612,67.670612,74.570612,74.070612,67.930612,86.790612,63.690612,70.990612,105.43061000000002,70.970612,74.910612,78.210612,83.670612,74.170612,73.610612,71.410612,66.210612,79.190612,70.630612,71.45061199999999
134,45,2,82.349388,92.329388,74.129388,73.649388,93.069388,76.969388,132.10939,96.669388,83.469388,79.129694,95.329388,87.329388,82.029388,73.709388,95.689388,78.469388,68.029388,83.829388,95.069388,84.349388,70.989388,72.629388,87.04938800000001,77.689388,94.029388,68.036565,73.349388,95.829388,78.589388,69.129388,87.129388,85.809388,69.789388,79.368776,89.149388,108.60938999999999,90.309388,80.029388,73.949388,80.429388,85.509388,68.348776,76.469388,75.869388,68.38969399999999,87.349388,64.127055,71.909388,106.08939,71.609388,75.589388,78.749388,84.369388,74.479694,74.289388,71.949388,66.60771,79.929388,71.249388,71.989388
135,46,0,83.045816,93.093265,75.001633,74.26163299999999,93.861633,77.60163299999999,132.97468999999998,97.436531,84.081633,79.733265,96.148163,87.941633,82.93795899999999,74.673265,96.90449,79.081633,68.54163299999999,84.573265,95.741633,85.55102,71.46163299999999,73.26163299999999,87.661633,78.281633,94.76163299999999,68.481633,74.321224,96.701633,79.441633,69.641633,87.77326500000001,87.25653100000001,70.381633,80.18163299999999,89.82163299999999,109.30163,90.973265,80.799796,74.60163299999999,81.053265,86.10163299999999,69.001633,77.081633,76.781633,68.981633,88.201633,64.721633,72.792857,107.44163,72.556531,76.399796,79.43142900000001,85.201633,74.981633,74.981633,72.561633,67.161633,80.54163299999999,71.921633,72.68163299999999
136,46,1,83.652562,94.173061,75.732096,75.013061,94.913061,78.653061,134.55306000000002,98.433061,85.053061,80.633061,97.09306099999999,88.553061,83.933061,75.513061,98.013061,79.871531,69.23306099999999,85.333061,96.393061,86.813061,71.933061,74.157687,88.073061,78.853061,95.41102,69.171531,75.353061,97.591531,80.371531,70.253061,88.553061,88.09306099999999,70.913061,81.013061,90.653061,110.23306000000001,92.033061,81.690437,75.453061,82.050765,86.833061,69.953061,78.133061,78.253061,69.37306099999999,89.37306099999999,65.253061,73.811531,108.51306000000001,73.37306099999999,77.412883,80.173061,86.013061,75.513061,75.793061,73.493061,67.87306099999999,81.133061,72.573061,73.393061
