,,pid1263b-05,pid52932-20,pid5667269b-32,pid5667271-07,pid610003b-09,pid9048b-09,pid9050b-05,pid9054b-05,pid9055b-05,pid9056-06,pid9058b-05,pid9059b-09,pid9060b-03,pid9061b-02,pid9062b-08,pid9063b-09,pid9064-16,pid9066b-05,pid9069-05,pid9072b-09,pid9073b-09,pid9074g-05,pid9075b-05,pid9076-15,pid9077-03,pid9089-12,pid9093b-11,pid9094b-05,pid9099b-09,pid9101b-16,pid9103-16,pid9104b-05,pid9111b-07,pid9116-16,pid9118b-09,pid9124-14,pid9137-17,pid9138b-05,pid9139b-05,pid9153b-05,pid9166k-06,pid9170b-05,pid9174b-05,pid917518-07,pid9176-01,pid9185-03,pid918812-14,pid9192b-05
8,1,8.320635,8.820635,9.560635,10.041905,9.940635,8.600635,8.240635,8.080635,8.620635,7.720635,6.880635,8.020635,6.000635,7.840635,6.820635,9.65127,8.280635,7.720635,6.800635,7.360635,8.460635,9.980635,6.820635,6.320635,6.300635,8.620635,7.940635,8.480635,8.420635,8.560635,9.93381,8.240635,7.340635,7.520635,10.440635,7.400635,7.360635,7.620635,8.21127,7.860635,7.840635,7.900635,7.360635,7.520635,8.060635,9.220635,7.360635,8.360635
8,2,8.663129,9.163129,9.903129,10.423129,10.283129,8.923129,8.603129,8.423129,8.963129,8.063129,7.223129,8.383129,6.243129,8.143129,7.083129,10.003129,8.603129,8.016565,7.063129,7.663129,8.783129,10.363129,7.183129,6.556565,6.543129,8.963129,8.236565,8.763129,8.763129,8.903129,10.463129,8.583129,7.643129,7.783129,10.743129,7.743129,7.663129,7.863129,8.563129,8.143129,8.143129,8.263129,7.663129,7.863129,8.383129,9.763129,7.703129,8.663129
9,0,9.114286,9.532857,10.272857,10.832857,10.631429,9.251429,8.951429,8.772857,9.331429,8.411429,7.571429,8.731429,6.531429,8.511429,7.371429,10.394286,8.931429,8.331429,7.371429,8.011429,9.132857,10.711429,7.451429,6.851429,6.831429,9.311429,8.571429,9.111429,9.174286,9.311429,10.894286,8.954286,7.951429,8.111429,11.071429,8.091429,7.971429,8.151429,8.911429,8.491429,8.471429,8.611429,7.971429,8.171429,8.711429,10.111429,8.051429,9.071429
9,1,9.461678,9.841678,10.581678,11.201678,10.921678,9.541678,9.221678,9.081678,9.601678,8.701678,7.861678,9.001678,6.755839,8.801678,7.635839,10.721678,9.221678,8.621678,7.661678,8.301678,9.441678,11.061678,7.741678,7.115839,7.121678,9.601678,8.861678,9.421678,9.541678,9.601678,11.301678,9.281678,8.221678,8.381678,11.381678,8.32792,8.261678,8.441678,9.241678,8.781678,8.721678,8.901678,8.221678,8.445839,8.981678,10.601678,8.287226,9.361678
9,2,9.673741,10.177483,10.937483,11.577483,11.277483,9.873741,9.557483,9.417483,9.957483,9.057483,8.151871,9.377483,7.017483,9.097483,7.917483,11.097483,9.553741,8.917483,7.957483,8.637483,9.817483,11.437483,8.017483,7.377483,7.357483,9.957483,9.157483,9.677483,9.897483,9.957483,11.677483,9.617483,8.577483,8.693741,11.717483,8.637483,8.537483,8.717483,9.617483,9.117483,9.017483,9.257483,8.537483,8.737483,9.337483,10.957483,8.617483,9.737483
10,0,9.952472,10.512472,11.272472,11.992472,11.612472,10.152472,9.912472,9.752472,10.292472,9.392472,8.332472,9.732472,7.352472,9.392472,8.221236,11.452472,9.872472,9.212472,8.231236,8.972472,10.132472,11.852472,8.312472,7.612472,7.611236,10.272472,9.472472,9.992472,10.252472,10.292472,12.072472,9.912472,8.901236,8.972472,11.992472,8.992472,8.821236,9.012472,9.952472,9.432472,9.352472,9.592472,8.872472,9.032472,9.672472,11.432472,8.952472,10.072472
10,1,10.251746,10.811746,11.651746,12.371746,11.930873,10.471746,10.231746,10.071746,10.611746,9.711746,8.651746,10.051746,7.510873,9.671746,8.491746,11.791746,10.191746,9.511746,8.511746,9.291746,10.431746,12.211746,8.571746,7.851746,7.851746,10.591746,9.771746,10.311746,10.591746,10.611746,12.516984,10.231746,9.151746,9.291746,12.291746,9.271746,9.131746,9.311746,10.271746,9.751746,9.591746,9.911746,9.171746,9.311746,9.991746,11.751746,9.251746,10.371746
10,2,10.59424,11.17424,11.99424,12.738481,12.25424,10.77424,10.57424,10.37424,10.93424,10.05424,8.99424,10.43424,7.75424,9.95424,8.77424,12.15424,10.542721,9.79424,8.79808,9.63424,10.77424,12.63424,8.89424,8.13424,8.13424,10.91424,10.07424,10.59424,10.95424,10.95424,13.03424,10.59424,9.45424,9.57424,12.666961,9.57424,9.41424,9.59424,10.63424,10.07424,9.93424,10.25424,9.47424,9.61424,10.29424,12.27424,9.51424,10.71424
11,0,10.976735,11.516735,12.336735,13.136735,12.576735,11.096735,10.876735,10.716735,11.236735,10.396735,9.276735,10.776735,8.016735,10.256735,9.053367,12.516735,10.976735,10.076735,9.056735,9.956735,11.076735,13.136735,9.176735,8.396735,8.376735,11.236735,10.376735,10.936735,11.436735,11.276735,13.456735,10.936735,9.736735,9.856735,13.136735,9.816735,9.692245,9.856735,11.016735,10.376735,10.173367,10.576735,9.796735,9.896735,10.636735,12.676735,9.776735,11.016735
11,1,11.307619,11.867619,12.707619,13.527619,12.89881,11.407619,11.207619,11.047619,11.567619,10.727619,9.567619,11.107619,8.25881,10.567619,9.307619,12.847619,11.407619,10.347619,9.347619,10.267619,11.387619,13.487619,9.487619,8.647619,8.627619,11.567619,10.707619,11.247619,11.767619,11.627619,13.947619,11.287619,10.007619,10.147619,13.567619,10.147619,9.987619,10.147619,11.347619,10.707619,10.427619,10.887619,10.087619,10.167619,10.967619,13.007619,10.127619,11.387619
