,,pid1263-22,pid50848-09,pid5667269b-36,pid9048-22,pid9049-22,pid9054-22,pid9055-22,pid9058-22,pid9059-22,pid9060-22,pid9061-22,pid9062-22,pid9063-22,pid9065-17,pid9066-22,pid9067-21,pid9068-14,pid9070b-05,pid9072-22,pid9073-24,pid9074f-22,pid9075-22,pid9080-05,pid9090-10,pid9092-02,pid9093-22,pid9094-22,pid9097-05,pid9099-22,pid9101b-04,pid9104-22,pid9105b-05,pid9111-22,pid9112-08,pid9114-30,pid9118-22,pid9133-11,pid9137-12,pid9138-22,pid9139-22,pid9153-22,pid9166g-01,pid9170-22,pid9174-22,pid917509-03,pid918713-18,pid918904-07,pid9192-22
9,0,16.328084,13.086168,17.528084,19.028084,14.128084,15.626168,18.406168,13.186168,15.088084,17.066168,17.088084,17.726168,19.386168,16.486168,17.908084,12.088084,17.546168,15.646168,17.886168,19.568084,15.168084,13.808084,15.226168,16.888084,16.888084,17.766168,17.108084,12.606168,14.786168,15.028084,16.108084,18.926168,18.386168,12.286168,16.108084,16.288084,17.728084,17.008084,15.028084,19.608084,22.408084,16.046168,17.948084,14.368084,13.266168,16.126168,14.646168,18.408084
9,1,17.294376,13.792188,18.238753,19.734376,14.574376,16.286094,19.114376,13.894376,15.714376,17.634376,17.994376,18.334376,19.994376,17.194376,18.994376,12.489081,18.274376,16.414376,18.734376,20.434376,15.674376,14.214376,15.866875,17.614376,17.354376,18.187768,17.823129,13.142188,15.268798,15.554376,16.774376,19.794376,19.394376,12.674376,16.554376,16.874376,18.614376,17.914376,15.534376,20.554376,23.134376,16.614376,18.674376,15.026094,13.762188,16.554376,15.134376,19.158753
9,2,17.944535,14.344535,18.904535,20.564535,15.124535,17.004535,19.924535,14.495756,16.424535,18.344535,18.904535,19.044535,20.857268,17.844535,19.644535,12.968634,19.104535,17.164535,19.564535,21.364535,16.234845,14.841512,16.437268,18.247268,17.762423,18.649089,18.744535,13.558282,15.924535,16.174845,17.584535,20.824535,20.724535,12.988634,17.067268,17.604535,19.257268,18.484535,16.184535,21.277268,23.924535,17.247268,19.504535,15.804535,14.240907,17.156907,15.628634,19.807268
10,0,18.848254,14.848254,19.508254,21.546508,15.468254,17.628254,20.928254,14.968254,17.088254,18.868254,19.508254,19.828254,21.544762,18.448254,20.208254,13.488254,19.906508,17.768254,20.628254,22.148254,16.708254,15.328254,16.988254,18.768254,18.128254,19.069127,19.288254,13.888254,16.588254,16.768254,18.448254,21.628254,22.348254,13.348254,17.608254,18.148254,19.748254,18.968254,17.048254,21.868254,24.908254,18.068254,20.348254,16.408254,14.628254,17.608254,16.168254,20.388254
10,1,19.797143,15.477143,20.137143,22.197143,16.097143,18.172381,21.857143,15.597143,17.757143,19.477143,20.177143,20.517143,22.257143,19.017143,20.732381,13.977143,20.677143,18.337143,21.357143,22.837143,17.217143,15.997143,17.697143,19.397143,18.577143,19.517143,19.877143,14.357143,17.357143,17.397143,19.237143,22.297143,23.057143,13.697143,17.997143,18.797143,20.357143,19.497143,17.937143,22.697143,25.517143,18.637143,21.257143,16.877143,15.123571,17.957143,16.857143,20.977143
10,2,20.188571,16.048571,20.908571,22.808571,16.508571,18.708571,22.688571,16.148571,18.448571,20.408571,20.748571,21.128571,22.808571,19.748571,21.268571,14.528571,21.408571,18.708571,22.168571,23.488571,17.768571,16.508571,18.268571,19.928571,18.988571,19.928571,20.708571,15.028571,17.948571,17.948571,19.908571,23.068571,23.608571,14.05551,18.488571,19.228571,20.848571,20.148571,18.668571,23.468571,26.248571,19.288571,22.008571,17.428571,15.608571,18.448571,17.368571,21.708571
11,0,20.72263,16.586315,21.56263,23.56263,16.90263,19.25421,23.30263,16.686315,19.025438,20.958158,21.22263,21.70263,23.42263,20.28263,21.72263,15.137519,21.96263,19.12263,22.68263,24.066315,18.24263,16.88263,18.74263,20.44263,19.320877,20.32263,21.196315,15.400877,18.41421,18.558158,20.400526,23.740877,24.08263,14.323158,18.847543,19.648526,21.32263,20.666315,19.286315,24.067543,27.06263,19.92263,22.54263,17.82263,15.998772,18.80263,17.846315,22.32263
11,1,21.291519,17.191519,22.151519,24.173039,17.411519,19.831519,23.791519,17.291519,19.671519,21.571519,21.791519,22.251519,24.031519,20.851519,22.231519,15.551519,22.571519,19.851519,23.311519,24.753039,18.851519,17.431519,19.271519,20.991519,19.851519,20.711519,21.731519,15.931519,18.991519,19.191519,20.991519,24.391519,24.731519,14.671519,19.231519,20.091519,21.851519,21.211519,19.811519,24.731519,27.831519,20.551519,23.171519,18.291519,16.451519,19.151519,18.371519,22.891519
11,2,21.867438,17.909146,23.027438,24.867438,17.935813,20.458719,24.467438,18.027438,20.427438,22.447438,22.347438,23.187438,24.747438,21.687438,22.865744,16.087438,23.247438,20.40859,24.147438,25.507438,19.607438,18.027438,19.967438,21.547438,20.462479,21.148719,22.447438,16.247438,19.667438,19.947438,21.787438,25.207438,25.627438,15.007438,19.622479,20.627438,22.567438,21.918719,20.407438,25.467438,28.907438,21.267438,24.007438,18.768719,16.907438,19.578719,18.967438,23.607438
12,0,22.570476,18.570476,23.990476,25.770476,18.590476,21.270476,25.330476,18.670238,21.450476,23.230476,23.070476,24.330476,25.610476,22.430476,23.430476,16.710476,23.870476,20.950476,25.210476,26.250476,20.550476,18.890476,20.850476,22.310476,21.190476,21.770476,23.430476,16.750476,20.470476,20.770476,22.650476,26.150476,26.690476,15.370476,20.170476,21.230476,23.290476,22.530476,21.050476,26.190476,30.330476,22.110476,24.850476,19.350476,17.250476,20.010476,19.730476,24.370476
12,1,23.298685,19.064342,24.778685,26.478685,19.278685,21.878685,26.038685,19.178685,22.238685,23.938685,23.738685,25.118685,26.278685,23.138685,24.378685,17.438685,24.478685,21.458685,26.078685,27.118685,21.278685,19.678685,21.518685,23.018685,21.898685,22.418685,24.398685,17.244342,21.218685,21.474342,23.738685,26.764342,27.658685,15.678685,20.758685,21.958685,23.898685,23.078685,21.724342,26.938685,31.478685,22.638685,25.918685,19.858685,17.839562,20.404342,20.518685,25.098685
12,2,23.957823,19.617823,25.637823,27.197823,19.897823,22.597823,26.885646,19.737823,23.037823,24.937823,24.497823,26.037823,27.197823,23.997823,25.105646,17.977823,25.097823,22.297823,26.817823,27.977823,22.037823,20.437823,22.325646,23.657823,22.597823,23.017823,24.977823,17.803565,21.837823,22.097823,24.597823,27.457823,28.357823,16.057823,21.457823,22.657823,24.677823,23.777823,22.403912,27.637823,32.397823,23.377823,26.837823,20.597823,18.477823,20.993912,21.177823,25.877823
13,0,24.606032,20.326032,26.526032,27.946032,20.466032,23.326032,27.966032,20.426032,23.806032,25.626032,25.566032,26.846032,28.206032,24.706032,25.866032,18.466032,25.806032,22.906032,27.766032,28.806032,22.566032,21.046032,23.006032,24.286032,23.506032,23.606032,25.646032,18.486032,22.546032,22.866032,25.226032,28.266032,29.366032,16.426032,21.906032,23.306032,25.606032,24.446032,23.046032,28.446032,33.226032,24.006032,27.726032,21.126032,19.206032,21.606032,21.902063,26.706032
