,measure_number,beat_number,pid1263b-18,pid51495-02,pid5667269b-34,pid5667271-03,pid5667285b-09,pid610003b-22,pid9048b-18,pid9049b-18,pid9050b-20,pid9053-21,pid9054b-20,pid9055b-18,pid9057f-03,pid9058b-18,pid9059b-22,pid9061b-15,pid9062b-21,pid9063b-24,pid9066b-18,pid9067-26,pid9068-23,pid9069-18,pid9072b-22,pid9073b-24,pid9074g-18,pid9075b-18,pid9085-19,pid9088-24,pid9098-04,pid9099b-24,pid9101c-14,pid9104b-18,pid9116-15,pid9118b-24,pid9121-08,pid9130-13,pid9139b-20,pid9153b-20,pid9166-11,pid9170b-20,pid9173-01,pid9174b-18,pid918712-15,pid918726-07,pid918904-14,pid9190-12,pid9192b-20
222,75,2,155.9868,159.2668,150.6868,159.9668,142.3584,176.6068,144.9268,138.7668,176.4468,125.4668,146.4868,151.5668,148.9468,159.8468,140.9284,141.5068,154.2068,169.34361,172.25401000000002,115.4868,136.1868,184.3468,167.5268,174.0068,130.9468,125.6668,155.6868,167.53401000000002,136.73721,126.8668,154.9468,149.3868,168.6268,156.4068,146.6068,225.2868,163.5068,135.1068,131.5068,144.1668,131.6068,132.9868,117.7268,148.0668,140.72041000000002,146.7868,142.4468
223,76,0,156.39968000000002,159.83968000000002,151.22656,160.55968000000001,142.89968000000002,177.29968,145.47968,139.31968,177.13968,125.91968,147.01968,152.66937,149.43968,160.73968,141.47968,141.99968,154.81968,169.95968,172.99968,115.99968,136.67968,185.29968,168.41968,174.67968,131.43968,126.13968,156.37968,168.25968,137.97968,127.37968000000001,155.58936,149.92741999999998,169.19968,156.99968,147.17968,226.33968,164.11968000000002,135.65968,132.00794,144.77968,132.03968,133.47968,118.16656,148.58483999999999,141.10484,147.35968,143.15968
224,76,1,157.03111,160.59111000000001,151.87111000000002,161.29222,143.45056,178.03111,146.13111,140.07111,177.87222,126.51111000000002,147.69111,153.51111,150.01111,161.49111000000002,142.01111,142.55111000000002,155.65111000000002,170.63111,173.73111,116.59111000000001,137.25111,186.11111,169.05111000000002,175.41111,132.01111,126.79111,157.17111,169.19111,139.33111,127.95111000000001,156.39111,150.63111,169.81222,157.73111,147.91111,227.31111,164.77056000000002,136.21111000000002,132.63111,145.43111000000002,132.58056000000002,133.99111000000002,118.69056,149.15111000000002,141.69111,148.09111000000001,143.89111
225,76,2,157.64543999999998,161.56181,152.64181000000002,162.26181,144.16181,178.94181,146.86181000000002,140.66181,178.78181,127.08181,148.52181000000002,154.32181,150.72181,162.12181,142.74181000000002,143.22181,156.58181000000002,171.38181,174.48181,117.24181000000002,137.90181,187.08181000000002,169.70181000000002,176.30181000000002,132.64181000000002,127.50181,157.88181,169.88181,140.02181000000002,128.64181000000002,157.26181,151.10181,170.47363,158.40181,148.64181000000002,228.50181,165.52181000000002,136.91363,133.26181,146.40181,133.20181000000002,134.68181,119.28181000000001,149.78181,142.22181,148.80181000000002,144.60181
226,77,0,158.57134,162.73134,153.59134,163.45134,145.34378,180.02688999999998,147.70378,141.75033,179.86688999999998,128.39133999999999,149.57134,155.73134,151.71133999999998,163.13134,143.91027,143.94066999999998,157.53045,172.51067,176.35134,118.39517,138.89133999999999,188.39133999999999,170.68067,177.39133999999999,133.73134,128.59134,158.83067,171.17134,140.70067,129.63033000000001,158.44378,151.94733,171.31134,159.37134,149.57134,230.23134,166.69134,137.93133999999998,134.17134,147.31027,133.86658,135.55133999999998,120.07133999999999,150.53134,143.19134,149.99133999999998,145.65134
227,77,1,158.9537,163.35425,154.2737,164.11257,145.7379,180.7137,148.2537,142.1737,180.5537,129.1937,150.2137,156.3979,152.5579,163.8937,144.31592,144.6737,158.26185,173.2937,177.2337,118.92185,139.22185,189.2337,171.1337,178.0537,133.9737,129.2137,159.6137,172.2137,141.3737,130.3537,159.2337,152.4737,171.9737,160.1137,150.4537,231.6137,167.2137,138.4737,134.60185,147.9937,134.2337,136.0737,120.46185,151.1737,143.7137,150.6179,146.4337
228,77,2,159.90045,164.48045,155.70045,165.18045,146.72045,181.82045,149.10045,142.94045,181.68045,130.56136,151.38045,157.64045,153.86045,165.00045,145.30045,145.80045,159.16045,174.46045,178.60045,119.58045,140.24045,190.42682,172.34045,179.16045,134.78045,130.02045,160.62045,173.18045,142.16045,131.22045,160.54045,153.65174,172.94523,161.26523,151.80045,234.70045,168.22045,139.48946999999998,135.40045,149.02045,135.66045,137.04045,121.18045,152.16523,144.74045,151.49261,147.34045
229,78,0,161.67977,166.29822,157.99931999999998,166.9999,148.15932,183.35932,150.3763,144.25932,183.01932,132.51932,153.09986,159.41932,156.04233,166.67932,146.73932,147.29932,160.23693,176.33932,179.56276,120.49932,141.79932,192.00693,174.49931999999998,180.61385,135.67932,131.09932,161.59932,174.53932,143.35932,132.25932,162.35932,155.71931999999998,174.81932,162.93466,153.73932,239.33548,169.39932,140.9563,136.6763,150.55448,137.39705,139.04786000000001,121.81931999999999,153.77931999999998,146.38233,153.13744,148.29986
230,78,1,162.36906000000002,167.18812,159.28812,167.88812,149.24624,183.92812,151.04811999999998,145.24812,183.78812,133.50812,153.88812,160.34812,156.94812,167.60811999999999,147.74812,148.06812,161.04811999999998,177.36812,180.44812,120.84812,142.28812,192.90812,175.38812,181.22812,136.48812,132.02812,162.42812,175.90812,144.30812,132.88812,163.34906,156.64812,175.74812,163.68812,154.66812,240.18812000000003,170.48812,141.42937,137.12906,151.08812,138.10811999999999,139.84812,122.26937,154.70812,147.28812,153.92812,148.99906000000001
231,78,2,163.10988999999998,167.88988999999998,160.14989,168.58989,149.86989,184.64989,151.78988999999999,145.96989,184.50988999999998,134.18989,154.52989,161.14989,157.62989,168.32988999999998,148.44988999999998,148.74989,161.66988999999998,178.20989,181.08989,121.30989,142.96989,193.78988999999999,176.02989,182.06989,137.08989,132.66988999999998,162.96989,176.86989,144.87994,133.34994,164.00988999999998,157.38988999999998,176.54989,164.28988999999999,155.32988999999998,241.08989,171.26989,142.06989,137.68989,151.80989,138.64989,140.40989,122.83663,155.50988999999998,148.02989,154.56989,149.50988999999998
