,measure_number,beat_number,pid1263-27,pid52932-13,pid610003b-03,pid9048b-03,pid9049-28,pid9050-28,pid9054-28,pid9055-27,pid9058-28,pid9059b-03,pid9060-28,pid9061-28,pid9062b-02,pid9063b-03,pid9066-28,pid9070b-11,pid9071b-06,pid9072b-03,pid9073b-03,pid9074f-28,pid9075-28,pid9093b-02,pid9094-27,pid9099b-03,pid9101b-10,pid9104-28,pid9105b-10,pid9111b-01,pid9118b-03,pid9137-15,pid9138-28,pid9139-27,pid9153-27,pid9166h-04,pid9170-27,pid9174-28,pid917520g-11,pid9176-10,pid9192-28
157,53,1,45.645078999999996,48.001692999999996,54.705079000000005,47.145078999999996,43.045079,52.465079,46.225079,52.585079,45.005078999999995,46.465078999999996,48.085079,50.805079,44.845079,48.965078999999996,56.465079,45.025079,48.005078999999995,44.045079,51.805079,53.305079000000006,41.985079,43.845079,44.805079,52.44507900000001,49.265079,55.885079000000005,61.645079,53.905079,51.305079,46.605078999999996,46.425079,53.325079,43.585079,45.005078999999995,51.225079,43.905079,62.440158999999994,45.225079,53.005079
158,53,2,45.904354,48.204353999999995,55.044354000000006,47.464354,43.284354,52.818706999999996,46.524353999999995,52.96435400000001,45.324354,46.804354,48.564353999999994,51.144354,45.144354,49.284354,56.784354,45.284354,48.404354,44.344353999999996,52.144354,53.744354,42.304354,44.164353999999996,45.064353999999994,52.864354000000006,49.644354,56.304354000000004,62.004354000000006,54.424354,51.684354,46.904354,46.784354,53.764354000000004,43.864354,45.324354,51.564353999999994,44.224354,63.01870699999999,45.524353999999995,53.32435400000001
159,54,0,46.241421,48.564263000000004,55.444263,47.824263,43.644263,53.204263,46.884263,53.398526000000004,45.684263,47.164263,48.924263,51.484263,45.504263,49.644263,57.312789,45.604263,48.898526000000004,44.704263,52.504263,54.164263,42.644263,44.524263,45.424263,53.352789,50.124263,56.847052000000005,62.572789,55.104263,52.152789,47.264263,47.284263,54.332789,44.184263,45.655711,51.904263,44.664263,63.635578,45.864263,53.801315
160,54,1,46.514936,48.907404,55.844806999999996,48.224807,44.034936,53.604806999999994,47.204807,53.804807,46.034936,47.484807,49.264807,51.804807000000004,45.801602,50.044807,57.724807,45.844807,49.344807,45.044807,52.904807,54.524806999999996,42.925801,44.884807,45.744807,53.704806999999995,50.524807,57.237404000000005,63.064806999999995,55.50480699999999,52.524806999999996,47.544807,47.684807,54.724807,44.524807,45.924807,52.264807,45.007404,64.18480699999999,46.207404,54.284806999999994
161,54,2,46.809206,49.229206,56.28920600000001,48.629205999999996,44.429206,54.049206000000005,47.589206,54.229206000000005,46.449206,47.889206,49.769206,52.189206,46.149206,50.509206,58.229206000000005,46.119603000000005,49.829206,45.449206,53.368413000000004,55.049206000000005,43.259603000000006,45.369206,46.069206,54.056402,50.929206,57.589206000000004,63.42920600000001,55.92920600000001,52.989206,47.869206,48.149206,55.28920600000001,44.889206,46.239603,52.629206,45.429206,64.869206,46.479603000000004,54.74920600000001
162,55,0,47.36068,49.640679999999996,56.86068,49.12068,44.98068,54.62068000000001,48.105340000000005,54.740680000000005,46.895340000000004,48.38068,50.34068,52.58068000000001,46.56068,51.06068,58.82068,46.428136,50.500679999999996,45.88068,53.920680000000004,55.64068,43.66068,45.886893,46.58068,54.468136,51.48068,58.060680000000005,63.920680000000004,56.44068000000001,53.660680000000006,48.30068,48.70068,56.08068000000001,45.44068,46.58068,53.160680000000006,45.935340000000004,65.70068,46.84068,55.46068
163,55,1,47.817370000000004,50.11737,57.59737,49.457370000000004,45.41737,55.357369999999996,48.59737,55.177369999999996,47.21737,48.73737,50.85737,53.004739,46.89737,51.39737,59.333175,46.73737,51.33737,46.47737,54.624739,56.45737,44.01737,46.21737,46.91737,54.857369999999996,52.09737,58.584739,64.51737,56.857369999999996,54.45737,48.684739,49.124739,56.83736999999999,45.89737,46.91737,53.717369999999995,46.19737,66.47737,47.17737,56.01736999999999
164,55,2,48.104399,50.384399,57.904399,49.724399,45.744399,55.664398999999996,48.864399,55.444399,47.484398999999996,49.064399,51.184399,53.324399,47.164398999999996,51.664398999999996,59.964399,46.964399,51.804399,46.724399,54.904399,56.944399,44.284399,46.484398999999996,47.184399,55.204399,52.424399,58.884399,64.904399,57.144399,54.724399,48.964399,49.424399,57.104399,46.164398999999996,47.224399,54.024399,46.444399,66.764399,47.464399,56.364399
165,56,0,48.394014,50.634014,58.174014,49.974014000000004,45.994014,55.918027,49.114014000000005,55.694014,47.734014,49.314014,51.434014000000005,53.574014,47.374014,51.914014,60.214014,47.214014,52.174014,46.974014000000004,55.174014,57.214014,44.534014,46.734014,47.414014,55.474014000000004,52.674014,59.154014000000004,65.194014,57.434014000000005,54.934014000000005,49.238027,49.694014,57.414014,46.414014,47.454014,54.294014000000004,46.672007,67.034014,47.754014,56.654014000000004
166,56,1,48.661043,50.881043,58.48104300000001,50.185522,46.221043,56.241043000000005,49.381043,55.961043000000004,47.981043,49.581043,51.701043,53.892086,47.621043,52.181043,60.501043,47.501043,52.44104300000001,47.201043,55.461043000000004,57.48104300000001,44.781043,46.981043,47.621043,55.741043000000005,52.921043000000004,59.421043000000004,65.461043,57.701043000000006,55.16104300000001,49.532086,49.961043,57.721043,46.681043,47.721043,54.601043000000004,46.901043,67.301043,48.041043,56.94104300000001
