,,pid1263-15,pid52932-08,pid6100021-11,pid9048-15,pid9049-15,pid9050-15,pid9054-15,pid9055-15,pid9058-15,pid9059-15,pid9060-15,pid9061-15,pid9062-15,pid9063-15,pid9065-10,pid9066-15,pid9067-15,pid9068-10,pid9070-23,pid9072-15,pid9074f-15,pid9075-15,pid9078-07,pid9081-03,pid9088-10,pid9089-08,pid9091-22,pid9093-15,pid9094-15,pid9098-02,pid9099-15,pid9100b-11,pid9101-15,pid9104-15,pid9105-15,pid9111-15,pid9116-06,pid9118-15,pid9126-03,pid9128-11,pid9137-09,pid9138-15,pid9139-15,pid9153-15,pid915410b-22,pid9161-13,pid9166e-08,pid9170-15,pid9173-20,pid9174-15,pid917509-04,pid917813-03,pid9179-07,pid9186c-15,pid918904-03,pid9192-15
7,2,6.799592,6.814932,8.294796,8.779592,7.797398,8.774796,6.751599,8.799592,6.772398,7.077398,8.019592,8.839592,7.779592,8.624796,8.339592,8.339592,8.259592,9.279592,6.492398,7.259592,9.357398,6.593288,8.291918,8.294796,6.812398,10.839592,9.479864,7.599592,7.604796,7.319592,6.837398,8.819592,8.799592,7.604796,6.359592,8.967398,7.194796,8.084796,7.384796,7.519592,6.299592,9.579592,6.619592,7.039592,9.419592,7.964796,6.759592,8.159592,7.699592,7.139592,11.019592,8.239864,6.831918,9.764796,9.334796,8.979592
8,0,7.093469,7.033469,8.533469,9.053469,8.053469,9.053469,6.953469,9.093469,6.993469,7.313469,8.353469,9.053469,8.073469,8.893469,8.633469,8.633469,8.491735,9.553469,6.710867,7.493469,9.653469,6.753469,8.513469,8.493469,7.053469,11.233469,9.753469,7.861735,7.853469,7.553469,7.093469,9.113469,9.013469,7.853469,6.573469,9.233469,7.433469,8.353469,7.630694,7.751735,6.513469,9.813469,6.853469,7.293469,9.713469,8.253469,6.993469,8.451735,7.973469,7.353469,11.313469,8.493469,7.041735,10.093469,9.613469,9.213469
8,1,7.352653,7.271327,8.812653,9.352653,8.272653,9.352653,7.161327,9.332653,7.272653,7.612653,8.792653,9.392653,8.432653,9.172653,8.852653,9.092653,8.772653,9.832653,6.932653,7.772653,9.932653,7.052653,8.772653,8.812653,7.252653,11.592653,10.072653,8.112653,8.161327,7.841327,7.352653,9.392653,9.292653,8.112653,6.792653,9.572653,7.772653,8.711327,7.881327,8.012653,6.757109,10.092653,7.101327,7.532653,10.012653,8.552653,7.252653,8.772653,8.172653,7.632653,11.717551,8.792653,7.276265,10.452653,9.952653,9.472653
8,2,7.646383,7.682766,9.226383,9.702766,8.626383,9.933832,7.482766,9.802766,7.602766,8.022766,9.242766,9.802766,8.882766,9.472553,9.302766,9.622766,9.100922,10.242766,7.236383,8.040553,10.278794,7.422766,9.142766,9.302766,7.642766,12.102766,10.575533,8.522766,8.622766,8.282766,7.762766,9.922766,9.835533,8.502766,7.142766,10.022766,8.094255,9.142766,8.242766,8.482766,7.082766,10.460922,7.422766,7.962766,10.362766,9.159365,7.566383,9.282766,8.788299,8.066383,12.113192,9.182766,7.596383,10.902766,10.528299,9.922766
9,0,7.932653,7.932653,9.572653,10.015306,8.912653,10.483265,7.812653,10.332653,7.892653,8.372653,9.640612,10.175306,9.232653,9.732653,9.672653,10.025918,9.410332,10.655306,7.472653,8.312653,10.572653,7.752653,9.495306,9.712653,7.992653,12.492653,11.032653,8.872653,8.992653,8.572653,8.112653,10.412653,10.312653,8.852653,7.372653,10.415306,8.357551,9.452653,8.532653,8.755306,7.352653,10.811224,7.652653,8.272653,10.632653,9.552653,7.932653,9.665918,9.203265,8.412653,12.412653,9.532653,7.932653,11.372653,10.912653,10.212653
9,1,8.247347,8.209337,9.849337,10.327347,9.188673,11.007347,8.048673,10.787347,8.164694,8.707347,10.287347,10.527347,9.567347,10.087347,10.027347,10.447347,9.667347,11.027347,7.767347,8.587347,10.887347,8.067347,9.927347,9.98105,8.507347,13.147347,11.467347,9.247347,9.424694,8.927347,8.438673,10.947347,10.607347,9.267347,7.588673,11.127347,8.667347,9.787347,8.818673,9.207347,7.707347,11.247347,8.024694,8.548673,10.947347,10.047347,8.248673,10.087347,9.587347,8.787347,12.927347,9.927347,8.287347,11.744694,11.287347,10.567347
9,2,8.484898,8.484898,10.084898,10.624898,9.404898,11.204898,8.284898,11.064898,8.444898,9.004898,10.564898,10.804898,9.844898,10.364898,10.264898,10.724898,10.104898,11.304898,7.948299,8.844898,11.324898,8.344898,10.064898,10.204898,8.784898,13.404898,11.744898,9.544898,9.784898,9.204898,8.657449,11.224898,10.884898,9.564898,7.864898,11.699796,8.944898,10.024898,9.084898,9.604898,7.884898,11.539796,8.324898,8.804898,11.224898,10.324898,8.581633,10.404898,9.764898,9.124898,13.204898,10.184898,8.424898,12.124898,11.624898,10.864898
10,0,8.722526,8.75263,10.371315,10.91263,9.66421,11.445658,8.490877,11.333772,8.681315,9.29263,10.85263,11.09263,10.13263,10.631315,10.55263,11.01263,10.337543,11.540438,8.21263,9.077543,11.61263,8.560658,10.297543,10.57263,9.020658,13.75263,12.03263,9.79263,9.994526,9.49263,8.93263,11.51263,11.13263,9.83263,8.067105,12.07263,9.231315,10.33263,9.35263,9.89263,8.17263,11.83263,8.573772,9.038526,11.57263,10.59263,8.83263,10.73263,9.994526,9.41263,13.49263,10.457543,8.71263,12.411315,11.91263,11.115658
10,1,9.028707,8.986122,10.706122,11.228707,9.946122,11.806122,8.708707,11.626122,9.008707,9.566122,11.206122,11.366122,10.506122,10.924031,10.766122,11.386122,10.609031,11.866122,8.418061,9.406122,11.986122,8.868061,10.586122,10.946122,9.268707,14.126122,12.386122,10.026122,10.298061,9.746122,9.182041,11.846122,11.488061,10.088061,8.406122,12.446122,9.526122,10.726122,9.586122,10.206122,8.438017,12.106122,8.842041,9.346122,11.946122,10.966122,9.069031,11.106122,10.306122,9.648707,13.906122,10.768061,8.868707,12.806122,12.208707,11.426122
10,2,9.352653,9.312653,11.052653,11.552653,10.272653,12.252653,9.032653,11.952653,9.301327,9.892653,11.532653,11.692653,10.832653,11.232653,11.152653,11.772653,10.932653,12.212653,8.712653,9.651327,12.301327,9.152653,10.912653,11.312653,9.692653,14.532653,12.892653,10.392653,10.592653,10.132653,9.492653,12.292653,11.812653,10.392653,8.672653,12.912653,9.852653,11.092653,9.912653,10.532653,8.671327,12.432653,9.132653,9.672653,12.272653,11.312653,9.392653,11.432653,10.692653,10.021327,14.272653,11.092653,9.192653,13.192653,12.712653,11.832653
